Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,2.391,3.140
0,2,2025-01-01,2.420,2.305
0,3,2025-01-01,2.349,4.108
0,4,2025-01-01,2.038,4.553
0,5,2025-01-01,2.464,4.018
0,6,2025-01-01,2.318,4.312
0,7,2025-01-01,2.284,4.636
1,1,2025-01-01,1.986,2.305
1,2,2025-01-01,2.140,4.108
1,3,2025-01-01,2.028,4.553
1,4,2025-01-01,2.016,4.018
1,5,2025-01-01,2.111,4.312
1,6,2025-01-01,2.421,4.636
1,7,2025-01-01,2.413,2.920
2,1,2025-01-01,1.956,4.108
2,2,2025-01-01,2.289,4.553
2,3,2025-01-01,2.117,4.018
2,4,2025-01-01,1.975,4.312
2,5,2025-01-01,2.114,4.636
2,6,2025-01-01,2.133,2.920
2,7,2025-01-01,2.452,1.282
3,1,2025-01-01,2.881,4.553
3,2,2025-01-01,2.768,4.018
3,3,2025-01-01,2.656,4.312
3,4,2025-01-01,2.500,4.636
3,5,2025-01-01,2.444,2.920
3,6,2025-01-01,2.480,1.282
3,7,2025-01-01,2.537,4.847
4,1,2025-01-01,2.859,4.018
4,2,2025-01-01,2.982,4.312
4,3,2025-01-01,2.850,4.636
4,4,2025-01-01,2.713,2.920
4,5,2025-01-01,2.663,1.282
4,6,2025-01-01,2.416,4.847
4,7,2025-01-01,2.445,4.683
5,1,2025-01-01,2.663,4.312
5,2,2025-01-01,2.665,4.636
5,3,2025-01-01,2.565,2.920
5,4,2025-01-01,2.584,1.282
5,5,2025-01-01,2.660,4.847
5,6,2025-01-01,2.597,4.683
5,7,2025-01-01,2.709,4.033
6,1,2025-01-01,2.781,4.636
6,2,2025-01-01,2.692,2.920
6,3,2025-01-01,2.825,1.282
6,4,2025-01-01,2.766,4.847
6,5,2025-01-01,2.896,4.683
6,6,2025-01-01,2.813,4.033
6,7,2025-01-01,3.253,4.072
7,1,2025-01-01,3.091,2.920
7,2,2025-01-01,3.002,1.282
7,3,2025-01-01,3.034,4.847
7,4,2025-01-01,2.868,4.683
7,5,2025-01-01,2.838,4.033
7,6,2025-01-01,2.937,4.072
7,7,2025-01-01,3.136,2.835
8,1,2025-01-01,2.654,1.282
8,2,2025-01-01,2.898,4.847
8,3,2025-01-01,2.751,4.683
8,4,2025-01-01,2.609,4.033
8,5,2025-01-01,2.972,4.072
8,6,2025-01-01,3.021,2.835
8,7,2025-01-01,2.903,4.973
9,1,2025-01-01,2.249,4.847
9,2,2025-01-01,2.542,4.683
9,3,2025-01-01,2.836,4.033
9,4,2025-01-01,2.591,4.072
9,5,2025-01-01,2.303,2.835
9,6,2025-01-01,2.507,4.973
9,7,2025-01-01,2.642,5.388
10,1,2025-01-01,3.064,4.683
10,2,2025-01-01,2.873,4.033
10,3,2025-01-01,3.057,4.072
10,4,2025-01-01,2.935,2.835
10,5,2025-01-01,2.797,4.973
10,6,2025-01-01,2.756,5.388
10,7,2025-01-01,2.460,5.848
11,1,2025-01-01,3.122,4.033
11,2,2025-01-01,3.299,4.072
11,3,2025-01-01,3.679,2.835
11,4,2025-01-01,3.669,4.973
11,5,2025-01-01,3.832,5.388
11,6,2025-01-01,3.644,5.848
11,7,2025-01-01,2.888,5.689
12,1,2025-01-01,3.351,4.072
12,2,2025-01-01,3.669,2.835
