Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.528,1.355
0,2,2025-01-01,0.528,0.492
0,3,2025-01-01,0.689,1.233
0,4,2025-01-01,0.573,0.312
0,5,2025-01-01,0.683,0.926
0,6,2025-01-01,0.606,0.798
0,7,2025-01-01,0.608,1.409
1,1,2025-01-01,0.609,0.492
1,2,2025-01-01,0.769,1.233
1,3,2025-01-01,0.645,0.312
1,4,2025-01-01,0.748,0.926
1,5,2025-01-01,0.738,0.798
1,6,2025-01-01,0.804,1.409
1,7,2025-01-01,0.746,0.954
2,1,2025-01-01,0.445,1.233
2,2,2025-01-01,0.581,0.312
2,3,2025-01-01,0.560,0.926
2,4,2025-01-01,0.577,0.798
2,5,2025-01-01,0.903,1.409
2,6,2025-01-01,0.694,0.954
2,7,2025-01-01,0.940,1.129
3,1,2025-01-01,0.648,0.312
3,2,2025-01-01,0.781,0.926
3,3,2025-01-01,0.749,0.798
3,4,2025-01-01,0.629,1.409
3,5,2025-01-01,0.680,0.954
3,6,2025-01-01,0.525,1.129
3,7,2025-01-01,0.916,0.444
4,1,2025-01-01,0.530,0.926
4,2,2025-01-01,0.756,0.798
4,3,2025-01-01,0.714,1.409
4,4,2025-01-01,0.714,0.954
4,5,2025-01-01,0.749,1.129
4,6,2025-01-01,0.660,0.444
4,7,2025-01-01,0.789,0.754
5,1,2025-01-01,0.706,0.798
5,2,2025-01-01,0.868,1.409
5,3,2025-01-01,0.757,0.954
5,4,2025-01-01,0.599,1.129
5,5,2025-01-01,0.757,0.444
5,6,2025-01-01,0.854,0.754
5,7,2025-01-01,1.127,1.731
6,1,2025-01-01,0.689,1.409
6,2,2025-01-01,0.936,0.954
6,3,2025-01-01,0.834,1.129
6,4,2025-01-01,0.818,0.444
6,5,2025-01-01,1.046,0.754
6,6,2025-01-01,0.854,1.731
6,7,2025-01-01,0.968,1.705
7,1,2025-01-01,0.985,0.954
7,2,2025-01-01,1.340,1.129
7,3,2025-01-01,1.188,0.444
7,4,2025-01-01,1.193,0.754
7,5,2025-01-01,1.056,1.731
7,6,2025-01-01,1.253,1.705
7,7,2025-01-01,1.359,0.985
8,1,2025-01-01,0.846,1.129
8,2,2025-01-01,1.229,0.444
8,3,2025-01-01,1.164,0.754
8,4,2025-01-01,1.187,1.731
8,5,2025-01-01,1.133,1.705
8,6,2025-01-01,1.428,0.985
8,7,2025-01-01,1.453,1.546
9,1,2025-01-01,0.904,0.444
9,2,2025-01-01,1.223,0.754
9,3,2025-01-01,1.005,1.731
9,4,2025-01-01,0.811,1.705
9,5,2025-01-01,1.329,0.985
9,6,2025-01-01,1.211,1.546
9,7,2025-01-01,1.307,1.956
10,1,2025-01-01,0.776,0.754
10,2,2025-01-01,1.000,1.731
10,3,2025-01-01,0.781,1.705
10,4,2025-01-01,0.968,0.985
10,5,2025-01-01,0.933,1.546
10,6,2025-01-01,1.315,1.956
10,7,2025-01-01,0.891,1.022
11,1,2025-01-01,0.768,1.731
11,2,2025-01-01,0.919,1.705
11,3,2025-01-01,0.815,0.985
11,4,2025-01-01,0.993,1.546
11,5,2025-01-01,0.933,1.956
11,6,2025-01-01,1.123,1.022
11,7,2025-01-01,1.161,0.771
12,1,2025-01-01,1.022,1.705
12,2,2025-01-01,1.002,0.985
12,3,2025-01-01,0.973,1.546
12,4,2025-01-01,0.936,1.956
12,5,2025-01-01,0.877,1.022
12,6,2025-01-01,1.214,0.771
12,7,2025-01-01,1.226,1.435
13,1,2025-01-01,1.029,0.985
13,2,2025-01-01,1.032,1.546
13,3,2025-01-01,1.007,1.956
13,4,2025-01-01,0.987,1.022
13,5,2025-01-01,1.023,0.771
13,6,2025-01-01,1.142,1.435
13,7,2025-01-01,0.972,1.575
14,1,2025-01-01,0.778,1.546
14,2,2025-01-01,1.032,1.956
14,3,2025-01-01,0.985,1.022
14,4,2025-01-01,0.974,0.771
14,5,2025-01-01,0.973,1.435
14,6,2025-01-01,1.015,1.575
14,7,2025-01-01,1.129,0.820
15,1,2025-01-01,0.805,1.956
15,2,2025-01-01,1.064,1.022
15,3,2025-01-01,1.038,0.771
15,4,2025-01-01,0.982,1.435
15,5,2025-01-01,1.041,1.575
15,6,2025-01-01,1.037,0.820
15,7,2025-01-01,1.026,1.073
16,1,2025-01-01,0.899,1.022
16,2,2025-01-01,1.332,0.771
16,3,2025-01-01,1.177,1.435
16,4,2025-01-01,1.164,1.575
16,5,2025-01-01,0.849,0.820
