TIMESTAMP,LW_IN_Consolide,LW_OUT_Consolide,LST_Calculee
2020-10-26 10:30:00,353.52,374.3,11.972931
2020-10-27 10:30:00,317.37,375.32,12.310638
2020-10-28 10:30:00,359.7,372.43,11.585175
2020-10-29 10:30:00,331.84,359.81,9.204468
2020-10-30 10:30:00,362.64,378.95,12.836182
2020-10-31 10:30:00,376.07,392.6,15.376068
2020-11-01 10:30:00,361.58,386.01,14.188629
2020-11-02 10:30:00,396.27,402.43,17.125732
2020-11-03 10:30:00,300.32,379.83,13.244324
2020-11-04 10:30:00,270.85,352.69,8.017731
2020-11-05 10:30:00,262.61,364.9,10.489746
2020-11-06 10:30:00,278.34,365.26,10.498688
2020-11-07 10:30:00,312.99,340.31,5.3022156
2020-11-08 10:30:00,282.78,363.11,10.056274
2020-11-09 10:30:00,326.4,343.14,5.8345337
2020-11-10 10:30:00,325.96,337.19,4.595276
2020-11-11 10:30:00,344.68,354.92,8.170105
2020-11-12 10:30:00,304.13,354.76,8.301575
2020-11-13 10:30:00,304.13,354.34,8.216766
2020-11-14 10:30:00,314.06,389.84,15.090973
2020-11-15 10:30:00,313.19,367.61,10.824005
2020-11-16 10:30:00,324.64,374.81,12.183807
2020-11-17 10:30:00,357.55,365.27,10.187836
2020-11-18 10:30:00,345.8,376.67,12.46167
2020-11-19 10:30:00,318.56,362.84,9.86087
2020-11-20 10:30:00,315.82,341.14,5.4632263
2020-11-21 10:30:00,303.54,327.27,2.5846558
2020-11-22 10:30:00,342.23,358.67,8.934692
2020-11-23 10:30:00,284.74,358.99,9.228851
2020-11-24 10:30:00,254.89,337.74,5.0083313
2020-11-25 10:30:00,256.57,341.37,5.757141
2020-11-26 10:30:00,277.89,344.43,6.3016663
2020-11-27 10:30:00,309.96,338.11,4.8552856
2020-11-28 10:30:00,321.22,328.57,2.7875366
2020-11-29 10:30:00,308.5,332.41,3.6601562
2020-11-30 10:30:00,235.91,326.34,2.675293
2020-12-02 10:30:00,301.59,335.3,4.300293
2020-12-03 10:30:00,293.6,310.02,-1.1499634
2020-12-04 10:30:00,274.61,314.83,0.0029907227
2020-12-05 10:30:00,260.22,308.07,-1.4371338
2020-12-06 10:30:00,302.62,313.75,-0.35980225
2020-12-07 10:30:00,288.69,333.39,3.9516296
2020-12-08 10:30:00,206.92,345.27,6.766327
2020-12-09 10:30:00,316.52,318.22,0.5645752
2020-12-10 10:30:00,318.27,326.05,2.2590027
2020-12-11 10:30:00,310.54,323.64,1.7719727
2020-12-12 10:30:00,320.97,341.45,5.5062866
2020-12-13 10:30:00,331.87,330.02,3.0520325
2020-12-14 10:30:00,328.17,336.64,4.4704285
2020-12-15 10:30:00,339.66,334.64,4.000366
2020-12-16 10:30:00,243.8,349.9,7.5614014
