TIMESTAMP,LW_IN_Consolide,LW_OUT_Consolide,LST_Calculee
2020-11-11 10:30:00,316.67,363.06,9.912018
2020-11-12 10:30:00,281.67,385.59,14.411804
2020-11-13 10:30:00,327.34,381.0,13.364838
2020-11-14 10:30:00,296.9,392.23,15.603088
2020-11-15 10:30:00,301.57,390.7,15.299255
2020-11-16 10:30:00,287.61,374.86,12.336792
2020-11-17 10:30:00,278.56,371.46,11.712311
2020-11-18 10:30:00,286.02,379.98,13.327789
2020-11-19 10:30:00,355.88,359.59,9.064301
2020-11-20 10:30:00,253.19,356.75,8.906769
2020-11-21 10:30:00,229.79,345.91,6.803772
2020-11-22 10:30:00,237.3,345.06,6.5984497
2020-11-23 10:30:00,250.52,350.48,7.652008
2020-11-24 10:30:00,269.45,362.01,9.891052
2020-11-25 10:30:00,269.01,362.02,9.894806
2020-11-26 10:30:00,277.04,371.24,11.675415
2020-11-27 10:30:00,328.02,373.87,11.988464
2020-11-28 10:30:00,322.7,359.91,9.260956
2020-11-29 10:30:00,278.08,373.29,12.069702
2020-11-30 10:30:00,259.96,360.73,9.6744995
2020-12-01 10:30:00,327.0,344.74,6.1629944
2020-12-02 10:30:00,315.16,325.72,2.2013245
2020-12-03 10:30:00,322.32,345.73,6.386444
2020-12-04 10:30:00,296.84,338.08,4.9039307
2020-12-05 10:30:00,241.47,336.52,4.8091736
2020-12-06 10:30:00,256.49,327.37,2.8077698
2020-12-07 10:30:00,318.87,323.26,1.6535339
2020-12-08 10:30:00,320.05,327.79,2.6253662
2020-12-09 10:30:00,292.53,332.75,3.7999268
2020-12-10 10:30:00,338.24,350.37,7.2723694
2020-12-11 10:30:00,332.35,363.34,9.905365
2020-12-12 10:30:00,284.68,346.86,6.7734375
2020-12-13 10:30:00,330.33,344.0,5.9963074
2020-12-14 10:30:00,340.5,343.73,5.8983154
2020-12-15 10:30:00,344.65,348.25,6.8125305
2020-12-16 10:30:00,335.64,352.29,7.6738586
2020-12-17 10:30:00,332.25,342.16,5.606964
2020-12-18 10:30:00,334.87,341.88,5.537903
2020-12-19 10:30:00,287.8,347.52,6.895935
2020-12-20 10:30:00,328.51,357.74,8.803192
2020-12-21 10:30:00,320.38,347.78,6.8157043
2020-12-22 10:30:00,286.97,359.9,9.401611
2020-12-23 10:30:00,292.51,359.86,9.371521
2020-12-24 10:30:00,266.95,347.57,6.991577
2020-12-25 10:30:00,262.24,321.1,1.4305115
2020-12-26 10:30:00,226.78,324.11,2.23526
2020-12-27 10:30:00,258.37,298.58,-3.5825806
2020-12-28 10:30:00,313.85,322.27,1.4604797
2020-12-29 10:30:00,316.23,324.65,1.9658203
2020-12-30 10:30:00,307.34,326.8,2.4674072
2020-12-31 10:30:00,308.39,341.43,5.5544434
2021-01-01 10:30:00,309.14,324.98,2.067688
2021-01-02 10:30:00,249.98,305.2,-2.0368652
2021-01-03 10:30:00,219.1,314.54,0.18389893
2021-01-04 10:30:00,226.4,318.72,1.0683594
2021-01-05 10:30:00,291.57,309.51,-1.2549744
2021-01-06 10:30:00,287.65,312.72,-0.5218811
