TIMESTAMP,LW_IN_Consolide,LW_OUT_Consolide,LST_Calculee
2018-07-05 10:30:00,359.06,443.34,24.502045
2018-08-08 10:30:00,394.59,415.18,19.449219
2018-08-09 10:30:00,377.44,427.1,21.627258
2018-08-10 10:30:00,353.43,429.73,22.172058
2018-08-11 10:30:00,331.04,446.47,25.1297
2018-08-12 10:30:00,344.47,487.8,31.859802
2018-08-13 10:30:00,379.27,421.13,20.566467
2018-08-14 10:30:00,393.71,419.8,20.278625
2018-08-15 10:30:00,397.15,418.36,20.009552
2018-08-16 10:30:00,364.87,450.92,25.767365
2018-08-17 10:30:00,331.12,439.05,23.863403
2018-08-18 10:30:00,349.79,441.94,24.294617
2018-08-19 10:30:00,345.6,452.75,26.139862
2018-08-20 10:30:00,405.42,434.17,22.764221
2018-08-21 10:30:00,401.14,444.97,24.636475
2018-08-22 10:30:00,379.11,462.95,27.726532
2018-08-23 10:30:00,394.25,415.84,19.568909
2018-08-24 10:30:00,311.12,419.07,20.442627
2018-08-25 10:30:00,318.3,397.38,16.481506
2018-08-26 10:30:00,305.15,433.03,22.914368
2018-08-27 10:30:00,357.7,413.78,19.33023
2018-08-28 10:30:00,378.69,420.54,20.463715
2018-08-29 10:30:00,383.15,410.63,18.670044
2018-08-30 10:30:00,323.95,429.43,22.222626
2018-08-31 10:30:00,343.58,426.95,21.719818
2018-09-01 10:30:00,301.71,438.32,23.83908
2018-09-02 10:30:00,311.66,447.84,25.427216
2018-09-03 10:30:00,387.24,438.36,23.551727
2018-09-04 10:30:00,389.02,444.5,24.597687
2018-09-07 10:30:00,368.31,388.64,14.660706
2018-09-08 10:30:00,315.69,409.32,18.677124
2018-09-09 10:30:00,342.14,447.29,25.231018
2018-09-10 10:30:00,341.34,446.6,25.11679
2018-09-11 10:30:00,340.79,446.71,25.137299
2018-09-12 10:30:00,377.2,440.27,23.914642
2018-09-13 10:30:00,378.79,388.2,14.538055
2018-09-14 10:30:00,332.54,419.98,20.528229
2018-09-15 10:30:00,335.33,430.73,22.409668
2018-09-16 10:30:00,340.44,438.78,23.785004
2018-09-17 10:30:00,340.39,456.02,26.704529
2018-09-18 10:30:00,370.17,469.59,28.846588
2018-09-19 10:30:00,380.68,463.23,27.767578
2018-09-20 10:30:00,372.86,456.47,26.671234
2018-09-21 10:30:00,370.58,385.66,14.088074
2018-09-22 10:30:00,346.48,394.84,15.90506
2018-09-23 10:30:00,373.42,380.45,13.082916
2018-09-24 10:30:00,286.51,386.41,14.548553
2018-09-25 10:30:00,282.7,391.65,15.54776
2018-09-26 10:30:00,286.3,406.61,18.292175
2018-09-27 10:30:00,300.32,418.07,20.303162
2018-09-28 10:30:00,369.14,372.45,11.552277
2018-09-29 10:30:00,266.81,379.3,13.271149
2018-09-30 10:30:00,270.38,395.73,16.353363
2018-10-01 10:30:00,352.98,374.14,11.94397
2018-10-02 10:30:00,361.95,364.39,9.996155
2018-10-03 10:30:00,303.5,385.77,14.363251
2018-10-04 10:30:00,312.74,407.41,18.341461
2018-10-05 10:30:00,300.3,413.53,19.491577
2018-10-06 10:30:00,329.37,423.44,21.1521
2018-10-07 10:30:00,336.89,379.79,13.096466
2018-10-08 10:30:00,286.11,399.2,16.936676
2018-10-09 10:30:00,302.42,410.62,18.960083
2018-10-10 10:30:00,309.94,417.36,20.142365
2018-10-12 10:30:00,344.26,412.64,19.173431
2018-10-13 10:30:00,340.95,432.24,22.652924
2018-10-14 10:30:00,328.67,429.0,22.131012
2018-10-15 10:30:00,345.42,438.81,23.773071
