TIMESTAMP,LW_IN_Consolide,LW_OUT_Consolide,LST_Calculee
2019-04-29 10:30:00,358.57,407.56,18.202087
2019-04-30 10:30:00,350.45,425.04,21.359863
2019-05-01 10:30:00,363.47,380.28,13.08847
2019-05-02 10:30:00,351.35,430.05,22.235199
2019-05-03 10:30:00,351.72,391.58,15.276184
2019-05-04 10:30:00,324.98,372.94,11.819611
2019-05-05 10:30:00,340.99,378.2,12.775177
2019-05-06 10:30:00,348.77,373.38,11.812653
2019-05-07 10:30:00,355.55,381.34,13.32193
2019-05-08 10:30:00,369.0,383.62,13.706024
2019-05-09 10:30:00,373.02,391.15,15.11554
2019-05-10 10:30:00,362.0,380.18,13.074921
2019-05-11 10:30:00,362.83,389.11,14.77005
2019-05-12 10:30:00,343.78,387.93,14.619293
2019-05-13 10:30:00,335.28,409.04,18.55542
2019-05-14 10:30:00,343.81,416.93,19.944672
2019-05-17 10:30:00,363.37,372.61,11.605957
2019-05-18 10:30:00,376.96,428.98,21.958588
2019-05-19 10:30:00,396.41,445.77,24.788788
2019-05-20 10:30:00,387.14,403.87,17.423767
2019-05-21 10:30:00,371.23,373.91,11.828369
2019-05-22 10:30:00,355.94,410.95,18.826355
2019-05-23 10:30:00,391.9,450.62,25.625671
2019-05-24 10:30:00,395.4,472.79,29.28595
2019-05-25 10:30:00,370.74,449.88,25.572205
2019-05-26 10:30:00,409.25,442.12,24.121918
2019-05-27 10:30:00,382.43,423.39,20.95578
2019-05-28 10:30:00,376.2,408.59,18.325256
2019-05-29 10:30:00,355.47,445.01,24.798767
2019-05-30 10:30:00,403.12,426.68,21.463135
2019-05-31 10:30:00,408.83,462.31,27.5224
2019-06-01 10:30:00,408.65,485.02,31.21344
2019-06-02 10:30:00,433.65,509.17,34.919067
2019-06-03 10:30:00,413.0,437.46,23.307648
2019-06-04 10:30:00,402.95,462.32,27.543549
2019-06-05 10:30:00,421.43,462.51,27.513824
2019-06-06 10:30:00,376.72,409.16,18.42688
2019-06-07 10:30:00,380.31,431.26,22.345245
2019-06-08 10:30:00,388.12,410.27,18.586823
2019-06-09 10:30:00,378.03,448.93,25.387085
2019-06-10 10:30:00,411.29,454.39,26.19458
2019-06-11 10:30:00,379.66,443.02,24.377075
2019-06-12 10:30:00,383.63,392.78,15.38147
2019-06-13 10:30:00,389.87,428.3,21.79422
2019-06-14 10:30:00,404.0,450.98,25.645569
2019-06-15 10:30:00,410.96,427.65,21.60611
2019-06-16 10:30:00,396.62,447.19,25.029327
2019-06-17 10:30:00,406.39,462.52,27.565247
2019-06-18 10:30:00,427.42,483.1,30.846497
2019-06-19 10:30:00,438.01,451.75,25.660706
2019-06-20 10:30:00,415.4,429.5,21.91504
2019-06-21 10:30:00,380.79,444.56,24.635956
2019-06-22 10:30:00,408.0,456.63,26.580597
2019-06-23 10:30:00,424.38,478.6,30.133057
2019-06-24 10:30:00,441.64,494.1,32.54825
2019-06-25 10:30:00,466.05,520.1,36.489227
2019-06-26 10:30:00,444.75,500.68,33.56961
2019-06-27 10:30:00,397.89,451.32,25.72348
2019-06-28 10:30:00,392.45,447.04,25.018036
2019-06-29 10:30:00,424.27,480.27,30.402374
2019-06-30 10:30:00,452.87,491.09,32.037567
2019-07-01 10:30:00,406.32,456.32,26.534393
2019-07-02 10:30:00,408.89,444.73,24.569153
2019-07-03 10:30:00,401.16,425.99,21.348541
2019-07-04 10:30:00,388.13,453.34,26.0961
2019-07-05 10:30:00,409.18,436.52,23.158386
2019-07-06 10:30:00,419.6,453.35,25.992065
2019-07-07 10:30:00,389.31,418.23,20.014343
2019-07-08 10:30:00,394.78,413.79,19.198578
2019-07-10 10:30:00,392.44,444.97,24.666107
2019-07-11 10:30:00,414.56,432.09,22.370514
2019-07-12 10:30:00,420.62,463.25,27.638916
2019-07-13 10:30:00,407.98,417.25,19.77237
2019-07-14 10:30:00,399.55,412.51,18.950592
2019-07-15 10:30:00,393.16,402.06,17.069092
2019-07-16 10:30:00,398.49,410.27,18.549225
