,LW_IN_Consolide,LW_OUT_Consolide,LST_Calculee
2022-12-31 15:23:00+00:00,271.2,319.0,0.9338337319382504
2022-12-31 15:24:00+00:00,271.4,319.5,1.0421527827369346
2022-12-31 15:25:00+00:00,271.2,319.9,1.130285627692615
2022-12-31 15:26:00+00:00,271.7,320.3,1.2152838471715768
2022-12-31 15:27:00+00:00,272.1,320.8,1.3223998058566053
2022-12-31 15:28:00+00:00,272.8,321.2,1.4063502299911192
2022-12-31 15:29:00+00:00,273.4,321.8,1.534085448349913
2022-12-31 15:30:00+00:00,274.4,321.8,1.5297436397714819
2022-12-31 15:31:00+00:00,275.7,321.8,1.5240989807954293
2022-12-31 15:32:00+00:00,276.9,322.1,1.5840014552970274
2022-12-31 15:33:00+00:00,277.8,322.6,1.6885198796759369
2022-12-31 15:34:00+00:00,278.9,322.9,1.7487481113565764
2022-12-31 15:35:00+00:00,280.3,323.2,1.8076381636015526
2022-12-31 15:36:00+00:00,281.4,323.8,1.9326540385500266
2022-12-31 15:37:00+00:00,282.4,324.6,2.10109084286961
2022-12-31 15:38:00+00:00,283.4,324.9,2.1614799818578945
2022-12-31 15:39:00+00:00,284.1,325.2,2.223122176020013
2022-12-31 15:40:00+00:00,284.8,325.6,2.3062520036795036
2022-12-31 15:41:00+00:00,285.3,326.0,2.3901669129334664
2022-12-31 15:42:00+00:00,285.9,326.3,2.452085668964571
2022-12-31 15:43:00+00:00,286.1,326.6,2.5156809320253615
2022-12-31 15:44:00+00:00,285.9,326.7,2.5380147683850396
2022-12-31 15:45:00+00:00,285.8,326.7,2.538444212046329
2022-12-31 15:46:00+00:00,285.1,326.8,2.562919184108466
2022-12-31 15:47:00+00:00,284.6,326.7,2.5435973794549795
2022-12-31 15:48:00+00:00,284.3,326.6,2.5234124896728076
2022-12-31 15:49:00+00:00,284.2,326.6,2.523842001579794
2022-12-31 15:50:00+00:00,284.5,326.8,2.565495117829471
2022-12-31 15:51:00+00:00,284.7,327.0,2.607558485511163
2022-12-31 15:52:00+00:00,285.0,327.4,2.6920562482476953
2022-12-31 15:53:00+00:00,285.2,327.7,2.755485756596954
2022-12-31 15:54:00+00:00,285.5,328.1,2.8398477643110027
2022-12-31 15:55:00+00:00,285.7,328.6,2.945939809109234
2022-12-31 15:56:00+00:00,285.9,329.0,3.0305546141831883
2022-12-31 15:57:00+00:00,286.2,329.6,3.157331185965063
2022-12-31 15:58:00+00:00,286.0,329.8,3.2008303851594633
2022-12-31 15:59:00+00:00,286.0,330.0,3.243456727280204
