Site,Date_Satellite,NDVI,Heure_ICOS_Retenue,Heure_GOL_Retenue,Decalage_Temporel (min),LST_Sat_DMS (°C),LST_Sat_TsHARP (°C),LST_Sat_DMS_Fusion (°C),LST_Sat_TsHARP_Fusion (°C),LST_Sat_DL (°C),ICOS_LST (°C),Temperature_GOL (°C),Tsoil_GOL (°C),Tair_GOL (°C),B10s (°C),LST_Sat_Raw_30m (°C),LST_Sat_Raw_100m (°C),Biais_DMS_vs_ICOS (°C),Biais_TsHARP_vs_ICOS (°C),Biais_DMS_Fusion_vs_ICOS (°C),Biais_TsHARP_Fusion_vs_ICOS (°C),Biais_DL_vs_ICOS (°C),Biais_DMS_vs_GOL (°C),Biais_TsHARP_vs_GOL (°C),Biais_DMS_Fusion_vs_GOL (°C),Biais_TsHARP_Fusion_vs_GOL (°C),Biais_DL_vs_GOL (°C),Ground_LST (°C),Erreur_DMS,Erreur_TsHARP,Erreur_DMS_Fusion,Erreur_TsHARP_Fusion,Erreur_Raw_B10_(30m),Erreur_Raw_B10_(100m)
Bondville,2023-06-29 16:28:00,0.59,16:28,,0.0,20.97,,,,,30.95,,,,21.46,21.46,21.35,9.98,,,,,,,,,,30.95,-9.98,,,,-9.489999999999998,-9.599999999999998
Lamasquere,2023-07-08 10:35:00,0.735,10:30,,-5.0,38.1,38.95,,,,27.76,,,,37.88,37.88,37.87,10.34,11.19,,,,,,,,,27.76,10.34,11.190000000000001,,,10.120000000000001,10.109999999999996
Estrees-Mons,2023-08-25 10:34:00,-0.008,10:30,,-4.0,5.33,5.35,,,,19.8,,,,5.3,5.3,5.31,14.47,14.45,,,,,,,,,19.8,-14.47,-14.450000000000001,,,-14.5,-14.490000000000002
Selhausen,2023-07-09 10:27:00,0.372,10:30,,3.0,31.49,31.51,,,,39.03,,,,31.51,31.51,31.49,7.54,7.52,,,,,,,,,39.03,-7.540000000000003,-7.52,,,-7.52,-7.540000000000003
Lamasquere,2023-09-10 10:36:00,0.212,10:30,,-6.0,48.73,48.16,,,,38.66,,,,48.62,48.62,48.59,10.07,9.5,,,,,,,,,38.66,10.07,9.5,,,9.96,9.930000000000007
Estrees-Mons,2024-04-13 10:34:00,0.286,10:30,,-4.0,12.72,12.9,,,,20.85,,,,12.85,12.85,12.9,8.13,7.95,,,,,,,,,20.85,-8.13,-7.950000000000001,,,-8.000000000000002,-7.950000000000001
Estrees-Mons,2024-08-26 10:40:00,0.674,10:30,,-10.0,30.13,30.62,,,,20.39,,,,29.92,29.92,30.07,9.74,10.23,,,,,,,,,20.39,9.739999999999998,10.23,,,9.530000000000001,9.68
Bondville,2023-04-09 16:35:00,0.506,16:35,,0.0,15.77,15.87,,,,22.33,,,,16.08,16.08,16.22,6.56,6.46,,,,,,,,,22.33,-6.559999999999999,-6.459999999999999,,,-6.25,-6.109999999999999
Gebesee,2023-06-10 10:08:00,0.558,10:00,,-8.0,38.34,38.49,,,,44.72,,,,36.64,36.64,36.59,6.38,6.22,,,,,,,,,44.72,-6.3799999999999955,-6.229999999999997,,,-8.079999999999998,-8.129999999999995
Borgo Cioffi,2024-03-13 09:41:00,0.75,09:30,,-11.0,10.89,10.93,,,,17.37,,,,10.96,10.96,10.89,6.48,6.44,,,,,,,,,17.37,-6.48,-6.440000000000001,,,-6.41,-6.48
Gebesee,2023-06-18 10:08:00,0.696,10:00,,-8.0,31.84,32.17,,,,45.47,,,,30.68,30.68,30.63,13.62,13.29,,,,,,,,,45.47,-13.629999999999999,-13.299999999999997,,,-14.79,-14.84
Gebesee,2023-06-18 10:12:00,,10:00,,-12.0,,,32.32,32.01,,45.62,,,,,,,,,13.3,13.6,,,,,,,45.62,,,-13.299999999999997,-13.61,,
Gebesee,2023-06-26 10:09:00,0.793,10:00,,-9.0,28.95,28.07,,,,39.42,,,,27.22,27.22,27.18,10.47,11.34,,,,,,,,,39.42,-10.470000000000002,-11.350000000000001,,,-12.200000000000003,-12.240000000000002
Gebesee,2023-07-04 10:09:00,0.792,10:00,,-9.0,25.62,23.86,,,,32.31,,,,23.42,23.42,23.41,6.69,8.46,,,,,,,,,32.31,-6.690000000000001,-8.450000000000003,,,-8.89,-8.900000000000002
Gebesee,2023-07-12 10:08:00,0.821,10:00,,-8.0,29.48,,,,,36.85,,,,28.49,28.49,28.52,7.37,,,,,,,,,,36.85,-7.370000000000001,,,,-8.360000000000003,-8.330000000000002
