Site,Date_Satellite,NDVI_S3,Fv,Emis_Dyn,Heure_ICOS,Decalage_ICOS_min,LST_S3_1km (°C),LST_S3_DMS_300m (°C),LST_S3_Fusion_10m (°C),ICOS_LST (°C),Temp_GOL (°C),Biais_1km_vs_ICOS (°C),Biais_300m_vs_ICOS (°C),Biais_Fusion_vs_ICOS (°C),Ground_LST (°C),Erreur_Raw_1km,Erreur_Sharpened_DMS_300m,Erreur_Fusion_S3+S2_10m
Grignon,2023-07-17 10:50:00,0.0209999997168779,0.074,0.9375,11:00,9.5,26.58,13.59,,33.28,,-6.7,-19.68,,33.28,-6.700000000000003,-19.69,
Selhausen,2023-10-03 09:25:00,-0.0719999969005584,0.17,0.9432,09:30,4.0,-1.12,-2.63,,19.72,,-20.84,-22.35,,19.72,-20.84,-22.349999999999998,
Voulundgaard,2023-06-15 10:15:00,-0.0890000015497207,0.191,0.9444,10:30,14.6,-12.73,-12.17,,21.3,,-34.03,-33.46,,21.3,-34.03,-33.47,
Estrees-Mons,2023-05-27 10:10:00,-0.0540000014007091,0.148,0.9419,10:00,-11.0,-0.85,-4.33,,24.6,,-25.45,-28.93,,24.6,-25.450000000000003,-28.93,
Lonzee,2023-09-27 09:43:00,-0.0729999989271164,0.171,0.9432,09:30,-13.1,-18.65,-18.06,,22.72,,-41.37,-40.78,,22.72,-41.37,-40.78,
Gebesee,2023-06-08 09:56:00,-0.1369999945163726,0.261,0.9485,10:00,3.3,-8.5,-7.82,,24.05,,-32.55,-31.87,,24.05,-32.55,-31.87,
Klingenberg,2023-06-15 10:15:00,-0.0829999968409538,0.184,0.944,10:30,14.6,-6.78,-6.49,,17.44,,-24.22,-23.93,,17.44,-24.220000000000002,-23.93,
Estrees-Mons,2023-09-27 09:43:00,-0.1340000033378601,0.256,0.9482,09:30,-13.1,-29.39,-28.99,,16.04,,-45.44,-45.03,,16.04,-45.43,-45.03,
Borgo Cioffi,2023-05-27 09:31:00,-0.0480000004172325,0.141,0.9414,09:30,-1.9,7.72,5.33,,30.09,,-22.37,-24.76,,30.09,-22.37,-24.759999999999998,
Lamasquere,2023-05-25 10:24:00,-0.0630000010132789,0.159,0.9425,10:30,5.8,-1.72,6.4,,25.81,,-27.53,-19.4,,25.81,-27.529999999999998,-19.409999999999997,
Gebesee,2023-06-15 10:15:00,-0.1120000034570694,0.224,0.9463,10:30,14.6,27.74,24.33,,48.09,,-20.35,-23.76,,48.09,-20.350000000000005,-23.760000000000005,
Klingenberg,2023-10-03 09:25:00,-0.0120000001043081,0.103,0.9393,09:30,4.0,-9.8,-18.79,,24.6,,-34.4,-43.39,,24.6,-34.400000000000006,-43.39,
Bondville,2023-10-18 15:45:00,0.006000000052154,0.086,0.9382,15:45,-0.2,-13.4,-14.03,,16.49,,-29.89,-30.52,,16.49,-29.89,-30.519999999999996,
Lamasquere,2023-06-06 10:52:00,-0.0370000004768371,0.129,0.9407,11:00,7.9,-38.3,-38.48,,25.47,,-63.77,-63.94,,25.47,-63.769999999999996,-63.949999999999996,
Estrees-Mons,2023-04-20 10:31:00,-0.0230000000447034,0.114,0.9399,10:30,-1.6,-18.87,-18.64,,11.2,,-30.07,-29.84,,11.2,-30.07,-29.84,
Selhausen,2023-04-20 10:28:00,-0.050000000745058,0.143,0.9416,10:30,1.4,-17.52,-18.18,,6.4,,-23.92,-24.58,,6.4,-23.92,-24.58,
Bondville,2023-03-05 16:09:00,0.0179999992251396,0.076,0.9376,16:09,-0.2,-10.17,-10.3,,10.04,,-20.2,-20.33,,10.04,-20.21,-20.34,
