Site,Date,LE_pixel (W/m²)_ICOS,ET_pixel (mm/h)_ICOS,Rn (W/m²)_ICOS,Ta (°C)_ICOS,u (m/s)_ICOS,LE_pixel (W/m²)_ERA5,ET_pixel (mm/h)_ERA5,Rn (W/m²)_ERA5,Ta (°C)_ERA5,u (m/s)_ERA5,LE_pixel (W/m²)_ERA5_DS,ET_pixel (mm/h)_ERA5_DS,Rn (W/m²),Ta (°C)_ERA5_DS,u (m/s)
Borgo Cioffi,2022-01-19,,,,,,55.05,0.0809,245.2,9.66,1.58,9.65,0.0142,245.2,8.41,1.58
Borgo Cioffi,2022-02-12,,,,,,50.94,0.0748,246.0,12.3,2.76,7.23,0.0106,246.0,11.04,2.76
Borgo Cioffi,2022-02-20,,,,,,127.78,0.1878,286.9,15.09,0.85,86.94,0.1278,286.9,13.98,0.85
Borgo Cioffi,2022-03-16,,,,,,87.22,0.1282,449.7,12.49,0.77,77.77,0.1143,449.7,12.23,0.77
Borgo Cioffi,2022-03-24,,,,,,206.14,0.3029,485.4,16.27,0.8,159.65,0.2346,485.4,15.05,0.8
Borgo Cioffi,2022-04-09,,,,,,,,353.2,14.61,3.38,,,353.2,14.06,3.38
Borgo Cioffi,2022-04-25,,,,,,,,347.5,16.13,2.42,,,347.5,14.93,2.42
Borgo Cioffi,2022-05-03,,,,,,0.0,0.0,486.8,17.21,0.99,0.0,0.0,486.8,15.99,0.99
Borgo Cioffi,2022-05-11,,,,,,65.23,0.0958,553.8,21.52,1.34,34.8,0.0511,553.8,20.2,1.34
Borgo Cioffi,2022-05-19,,,,,,170.85,0.251,617.6,22.46,2.88,123.56,0.1816,617.6,21.17,2.88
Borgo Cioffi,2022-05-27,,,,,,370.01,0.5437,499.9,30.38,1.84,295.5,0.4342,499.9,28.74,1.84
Borgo Cioffi,2022-06-12,,,,,,8.32,0.0122,623.2,26.78,2.43,0.0,0.0,623.2,25.15,2.43
Borgo Cioffi,2022-06-20,,,,,,156.29,0.2296,610.2,26.74,1.7,117.66,0.1729,610.2,25.72,1.7
Borgo Cioffi,2022-06-28,,,,,,204.45,0.3004,574.7,35.93,0.65,173.74,0.2553,574.7,35.09,0.65
Borgo Cioffi,2022-07-06,,,,,,152.68,0.2244,545.8,31.7,1.37,123.05,0.1808,545.8,30.52,1.37
Borgo Cioffi,2022-07-14,,,,,,252.67,0.3713,571.9,29.29,0.58,202.4,0.2974,571.9,27.93,0.58
Borgo Cioffi,2022-07-30,,,,,,230.8,0.3391,568.2,29.64,1.92,210.77,0.3097,568.2,29.12,1.92
Borgo Cioffi,2022-08-07,,,,,,153.87,0.2261,529.8,32.78,1.23,125.72,0.1847,529.8,31.64,1.23
Borgo Cioffi,2022-10-02,,,,,,0.0,0.0,444.8,20.44,1.29,0.0,0.0,444.8,19.87,1.29
