Site,Date,Source_Meteo,Ta (°C),u (m/s),Rn (W/m²),T_s_max (°C),T_c_max (°C),LST_pixel (°C),Ts_pixel (°C),Tc_pixel (°C),fc_pixel,LE_pixel (W/m²),ET_pixel (mm/h),EF_pixel,ET_moy_carte (mm/h),LE_moy_carte (W/m²),LST_ICOS (°C),LE_pure_ICOS (W/m²),ET_pure_ICOS (mm/h)
Gebesee,2022-02-07,ICOS,4.25,7.32,71.6,5.4,4.68,5.130000114440918,5.59,4.87,0.6370000243186951,0.0,0.0,0.0,0.0092,6.2,3.3283997,60.22276052236556,0.08849058689000654
Gebesee,2022-02-23,ICOS,7.77,5.97,222.7,12.26,9.65,8.970000267028809,9.68,8.57,0.6370000243186951,136.64,0.2008,0.536,0.1466,99.8,9.751648,56.03177848224586,0.08233240919840208
Gebesee,2022-03-11,ICOS,5.65,6.25,239.9,11.14,7.88,11.34000015258789,13.51,10.25,0.6660000085830688,0.0,0.0,0.0,0.0041,2.8,14.483795,0.0,0.0
Gebesee,2022-04-28,ICOS,14.88,1.57,367.7,31.23,23.38,22.40999984741211,27.51,21.45,0.8420000076293945,85.94,0.1263,0.224,0.0681,46.3,28.754395,0.0,0.0
Gebesee,2022-05-06,ICOS,16.8,1.88,451.7,32.85,25.07,20.84000015258789,24.09,20.55,0.9179999828338624,236.18,0.347,0.545,0.2131,145.0,23.852448,87.06931288521292,0.1279385821986802
Gebesee,2022-05-14,ICOS,18.01,3.45,445.6,31.1,24.04,22.71999931335449,26.85,22.08,0.8659999966621399,144.1,0.2117,0.316,0.0689,46.9,27.693787,0.0,0.0
Gebesee,2022-05-22,ICOS,17.72,2.85,433.3,30.75,23.77,20.420000076293945,22.88,20.12,0.8889999985694885,235.04,0.3454,0.585,0.1951,132.8,20.764435,220.01824717781406,0.32329211830209414
Gebesee,2022-06-15,ICOS,23.5,1.13,488.7,41.21,32.28,26.57999992370605,29.05,26.25,0.8830000162124634,301.35,0.4428,0.673,0.4371,297.5,27.314789,273.50658941958517,0.4018872334328598
Gebesee,2022-07-25,ICOS,33.46,5.19,391.4,42.01,37.29,33.939998626708984,33.98,33.69,0.1389999985694885,293.82,0.4317,0.745,0.1595,108.5,39.492157,66.63316352909234,0.09790995457336017
Gebesee,2022-08-02,ICOS,23.99,1.79,315.5,39.01,32.0,38.52000045776367,39.04,32.03,0.0740000009536743,0.0,0.0,0.0,0.0372,25.3,39.60254,0.0,0.0
Gebesee,2022-08-10,ICOS,25.5,4.25,290.7,35.13,30.01,38.59999847412109,39.04,33.91,0.0850000008940696,0.0,0.0,0.0,0.0029,2.0,40.074738,0.0,0.0
Gebesee,2022-09-03,ICOS,22.51,5.09,237.2,29.58,25.63,31.81999969482422,32.19,28.24,0.0930000022053718,0.0,0.0,0.0,0.016,10.9,33.49997,0.0,0.0
Gebesee,2022-10-05,ICOS,17.2,6.67,265.2,22.05,19.38,20.290000915527344,20.87,18.85,0.2899999916553497,52.84,0.0776,0.208,0.0581,39.6,20.709564,28.064775194586367,0.0412380370206167
Gebesee,2022-11-06,ICOS,9.93,1.17,198.7,20.31,14.28,13.579999923706056,14.97,12.04,0.4740000069141388,89.7,0.1318,0.444,0.1647,112.1,12.900513,97.45890125385496,0.14320491612811342
