Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,2.590,3.140
0,2,2025-01-01,2.975,2.305
0,3,2025-01-01,2.502,4.108
0,4,2025-01-01,1.966,4.553
0,5,2025-01-01,2.474,4.018
0,6,2025-01-01,2.818,4.312
0,7,2025-01-01,3.228,4.636
1,1,2025-01-01,2.498,2.305
1,2,2025-01-01,2.995,4.108
1,3,2025-01-01,2.481,4.553
1,4,2025-01-01,2.140,4.018
1,5,2025-01-01,2.626,4.312
1,6,2025-01-01,2.980,4.636
1,7,2025-01-01,3.459,2.920
2,1,2025-01-01,2.430,4.108
2,2,2025-01-01,3.017,4.553
2,3,2025-01-01,2.579,4.018
2,4,2025-01-01,2.237,4.312
2,5,2025-01-01,2.729,4.636
2,6,2025-01-01,3.095,2.920
2,7,2025-01-01,3.583,1.282
3,1,2025-01-01,3.023,4.553
3,2,2025-01-01,3.402,4.018
3,3,2025-01-01,2.865,4.312
3,4,2025-01-01,2.252,4.636
3,5,2025-01-01,2.890,2.920
3,6,2025-01-01,3.240,1.282
3,7,2025-01-01,3.679,4.847
4,1,2025-01-01,3.189,4.018
4,2,2025-01-01,3.499,4.312
4,3,2025-01-01,2.867,4.636
4,4,2025-01-01,2.302,2.920
4,5,2025-01-01,3.046,1.282
4,6,2025-01-01,3.392,4.847
4,7,2025-01-01,3.927,4.683
5,1,2025-01-01,3.125,4.312
5,2,2025-01-01,3.564,4.636
5,3,2025-01-01,2.863,2.920
5,4,2025-01-01,2.501,1.282
5,5,2025-01-01,3.147,4.847
5,6,2025-01-01,3.503,4.683
5,7,2025-01-01,4.000,4.033
6,1,2025-01-01,3.328,4.636
6,2,2025-01-01,3.748,2.920
6,3,2025-01-01,2.966,1.282
6,4,2025-01-01,2.592,4.847
6,5,2025-01-01,3.238,4.683
6,6,2025-01-01,3.573,4.033
6,7,2025-01-01,4.115,4.072
7,1,2025-01-01,3.598,2.920
7,2,2025-01-01,4.012,1.282
7,3,2025-01-01,3.227,4.847
7,4,2025-01-01,2.633,4.683
7,5,2025-01-01,3.357,4.033
7,6,2025-01-01,3.646,4.072
7,7,2025-01-01,4.140,2.835
8,1,2025-01-01,3.381,1.282
8,2,2025-01-01,3.982,4.847
8,3,2025-01-01,3.291,4.683
8,4,2025-01-01,2.658,4.033
8,5,2025-01-01,3.290,4.072
8,6,2025-01-01,3.583,2.835
8,7,2025-01-01,3.902,4.973
9,1,2025-01-01,2.890,4.847
9,2,2025-01-01,3.683,4.683
9,3,2025-01-01,3.421,4.033
9,4,2025-01-01,2.811,4.072
9,5,2025-01-01,3.296,2.835
9,6,2025-01-01,3.585,4.973
9,7,2025-01-01,3.932,5.388
10,1,2025-01-01,3.677,4.683
10,2,2025-01-01,4.001,4.033
10,3,2025-01-01,3.318,4.072
10,4,2025-01-01,2.525,2.835
10,5,2025-01-01,3.214,4.973
10,6,2025-01-01,3.590,5.388
10,7,2025-01-01,3.952,5.848
11,1,2025-01-01,3.828,4.033
11,2,2025-01-01,4.115,4.072
11,3,2025-01-01,3.555,2.835
11,4,2025-01-01,2.648,4.973
11,5,2025-01-01,3.385,5.388
11,6,2025-01-01,3.856,5.848
11,7,2025-01-01,4.248,5.689
12,1,2025-01-01,3.954,4.072
12,2,2025-01-01,4.290,2.835
12,3,2025-01-01,3.664,4.973
12,4,2025-01-01,2.709,5.388
12,5,2025-01-01,3.176,5.848
12,6,2025-01-01,3.704,5.689
12,7,2025-01-01,4.114,2.778
13,1,2025-01-01,3.804,2.835
13,2,2025-01-01,4.191,4.973
13,3,2025-01-01,3.614,5.388
13,4,2025-01-01,2.624,5.848
13,5,2025-01-01,3.254,5.689
13,6,2025-01-01,3.680,2.778
13,7,2025-01-01,4.056,5.945
14,1,2025-01-01,3.212,4.973
14,2,2025-01-01,3.840,5.388
14,3,2025-01-01,3.415,5.848
14,4,2025-01-01,2.913,5.689
14,5,2025-01-01,3.533,2.778
14,6,2025-01-01,3.902,5.945
14,7,2025-01-01,4.322,6.142
15,1,2025-01-01,4.090,5.388
15,2,2025-01-01,4.485,5.848
15,3,2025-01-01,4.091,5.689
15,4,2025-01-01,3.197,2.778
15,5,2025-01-01,3.400,5.945
15,6,2025-01-01,4.088,6.142
15,7,2025-01-01,4.533,6.013
16,1,2025-01-01,4.631,5.848
16,2,2025-01-01,5.024,5.689
16,3,2025-01-01,4.721,2.778
16,4,2025-01-01,4.282,5.945
16,5,2025-01-01,3.329,6.142
16,6,2025-01-01,4.434,6.013
16,7,2025-01-01,5.010,4.249
17,1,2025-01-01,4.982,5.689
17,2,2025-01-01,5.310,2.778
17,3,2025-01-01,5.079,5.945
17,4,2025-01-01,4.332,6.142
17,5,2025-01-01,3.701,6.013
17,6,2025-01-01,4.954,4.249
17,7,2025-01-01,5.476,6.228
18,1,2025-01-01,5.043,2.778
18,2,2025-01-01,5.342,5.945
18,3,2025-01-01,5.082,6.142
18,4,2025-01-01,3.614,6.013
18,5,2025-01-01,4.258,4.249
18,6,2025-01-01,4.958,6.228
18,7,2025-01-01,5.481,5.028
19,1,2025-01-01,4.029,5.945
19,2,2025-01-01,4.902,6.142
19,3,2025-01-01,4.549,6.013
19,4,2025-01-01,3.727,4.249
19,5,2025-01-01,4.349,6.228
19,6,2025-01-01,4.639,5.028
19,7,2025-01-01,4.942,4.124
20,1,2025-01-01,4.824,6.142
20,2,2025-01-01,5.276,6.013
20,3,2025-01-01,4.899,4.249
20,4,2025-01-01,3.861,6.228
20,5,2025-01-01,4.883,5.028
20,6,2025-01-01,5.307,4.124
20,7,2025-01-01,5.619,5.684
21,1,2025-01-01,5.306,6.013
21,2,2025-01-01,5.923,4.249
21,3,2025-01-01,5.751,6.228
21,4,2025-01-01,4.250,5.028
21,5,2025-01-01,4.829,4.124
21,6,2025-01-01,5.544,5.684
21,7,2025-01-01,5.797,5.223
22,1,2025-01-01,5.226,4.249
22,2,2025-01-01,5.650,6.228
22,3,2025-01-01,5.001,5.028
22,4,2025-01-01,4.408,4.124
22,5,2025-01-01,5.477,5.684
22,6,2025-01-01,5.692,5.223
22,7,2025-01-01,6.019,5.858
23,1,2025-01-01,4.719,6.228
23,2,2025-01-01,5.590,5.028
23,3,2025-01-01,5.154,4.124
23,4,2025-01-01,4.756,5.684
23,5,2025-01-01,5.499,5.223
23,6,2025-01-01,5.786,5.858
23,7,2025-01-01,6.135,4.500
24,1,2025-01-01,5.488,5.028
24,2,2025-01-01,6.209,4.124
24,3,2025-01-01,5.772,5.684
24,4,2025-01-01,4.725,5.223
24,5,2025-01-01,5.687,5.858
24,6,2025-01-01,5.909,4.500
24,7,2025-01-02,6.255,3.633
25,1,2025-01-01,4.826,4.124
25,2,2025-01-01,5.863,5.684
25,3,2025-01-01,5.455,5.223
25,4,2025-01-01,5.221,5.858
25,5,2025-01-01,5.762,4.500
25,6,2025-01-02,6.100,3.633
25,7,2025-01-02,6.503,7.370
26,1,2025-01-01,4.807,5.684
26,2,2025-01-01,6.025,5.223
26,3,2025-01-01,6.078,5.858
26,4,2025-01-01,5.196,4.500
26,5,2025-01-02,5.748,3.633
26,6,2025-01-02,5.826,7.370
26,7,2025-01-02,5.895,7.282
27,1,2025-01-01,5.508,5.223
27,2,2025-01-01,6.546,5.858
27,3,2025-01-01,6.286,4.500
27,4,2025-01-02,4.978,3.633
27,5,2025-01-02,5.881,7.370
27,6,2025-01-02,6.301,7.282
27,7,2025-01-02,6.377,7.812
28,1,2025-01-01,5.505,5.858
28,2,2025-01-01,6.363,4.500
28,3,2025-01-02,5.878,3.633
28,4,2025-01-02,5.159,7.370
28,5,2025-01-02,5.715,7.282
28,6,2025-01-02,5.853,7.812
28,7,2025-01-02,6.168,5.807
29,1,2025-01-01,6.147,4.500
29,2,2025-01-02,6.871,3.633
29,3,2025-01-02,6.056,7.370
29,4,2025-01-02,4.579,7.282
29,5,2025-01-02,5.613,7.812
29,6,2025-01-02,5.953,5.807
29,7,2025-01-02,6.331,3.229
30,1,2025-01-02,5.967,3.633
30,2,2025-01-02,7.027,7.370
30,3,2025-01-02,6.421,7.282
30,4,2025-01-02,4.284,7.812
30,5,2025-01-02,5.187,5.807
30,6,2025-01-02,5.356,3.229
30,7,2025-01-02,5.644,2.771
31,1,2025-01-02,5.331,7.370
31,2,2025-01-02,6.246,7.282
31,3,2025-01-02,5.688,7.812
31,4,2025-01-02,4.770,5.807
31,5,2025-01-02,5.439,3.229
31,6,2025-01-02,5.441,2.771
31,7,2025-01-02,5.681,5.181
32,1,2025-01-02,6.815,7.282
32,2,2025-01-02,7.116,7.812
32,3,2025-01-02,6.398,5.807
32,4,2025-01-02,6.324,3.229
32,5,2025-01-02,3.860,2.771
32,6,2025-01-02,6.014,5.181
32,7,2025-01-02,6.510,5.622
33,1,2025-01-02,6.506,7.812
33,2,2025-01-02,5.978,5.807
33,3,2025-01-02,4.412,3.229
33,4,2025-01-02,3.756,2.771
33,5,2025-01-02,5.446,5.181
33,6,2025-01-02,5.886,5.622
33,7,2025-01-02,6.649,4.847
34,1,2025-01-02,6.204,5.807
34,2,2025-01-02,5.695,3.229
34,3,2025-01-02,4.160,2.771
34,4,2025-01-02,4.511,5.181
34,5,2025-01-02,5.456,5.622
34,6,2025-01-02,6.105,4.847
34,7,2025-01-02,7.057,6.047
35,1,2025-01-02,5.738,3.229
35,2,2025-01-02,5.809,2.771
35,3,2025-01-02,4.497,5.181
35,4,2025-01-02,5.358,5.622
35,5,2025-01-02,5.864,4.847
35,6,2025-01-02,6.787,6.047
35,7,2025-01-02,7.510,7.765
36,1,2025-01-02,5.024,2.771
36,2,2025-01-02,5.807,5.181
36,3,2025-01-02,5.012,5.622
36,4,2025-01-02,5.604,4.847
36,5,2025-01-02,6.282,6.047
36,6,2025-01-02,7.049,7.765
36,7,2025-01-02,7.696,8.990
37,1,2025-01-02,4.559,5.181
37,2,2025-01-02,5.785,5.622
37,3,2025-01-02,5.698,4.847
37,4,2025-01-02,5.778,6.047
37,5,2025-01-02,6.503,7.765
37,6,2025-01-02,7.062,8.990
37,7,2025-01-02,7.453,9.620
38,1,2025-01-02,4.949,5.622
38,2,2025-01-02,5.862,4.847
38,3,2025-01-02,6.311,6.047
38,4,2025-01-02,6.339,7.765
38,5,2025-01-02,6.980,8.990
38,6,2025-01-02,7.464,9.620
38,7,2025-01-02,7.842,9.883
39,1,2025-01-02,5.795,4.847
39,2,2025-01-02,6.752,6.047
39,3,2025-01-02,7.671,7.765
39,4,2025-01-02,8.135,8.990
39,5,2025-01-02,8.870,9.620
