Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.837,1.355
0,2,2025-01-01,1.306,0.492
0,3,2025-01-01,0.952,1.233
0,4,2025-01-01,0.536,0.312
0,5,2025-01-01,0.922,0.926
0,6,2025-01-01,1.201,0.798
0,7,2025-01-01,1.541,1.409
1,1,2025-01-01,0.955,0.492
1,2,2025-01-01,1.400,1.233
1,3,2025-01-01,1.034,0.312
1,4,2025-01-01,0.608,0.926
1,5,2025-01-01,1.025,0.798
1,6,2025-01-01,1.334,1.409
1,7,2025-01-01,1.731,0.954
2,1,2025-01-01,0.901,1.233
2,2,2025-01-01,1.357,0.312
2,3,2025-01-01,0.967,0.926
2,4,2025-01-01,0.541,0.798
2,5,2025-01-01,0.907,1.409
2,6,2025-01-01,1.171,0.954
2,7,2025-01-01,1.518,1.129
3,1,2025-01-01,0.964,0.312
3,2,2025-01-01,1.414,0.926
3,3,2025-01-01,0.993,0.798
3,4,2025-01-01,0.574,1.409
3,5,2025-01-01,0.951,0.954
3,6,2025-01-01,1.209,1.129
3,7,2025-01-01,1.525,0.444
4,1,2025-01-01,0.880,0.926
4,2,2025-01-01,1.318,0.798
4,3,2025-01-01,0.913,1.409
4,4,2025-01-01,0.508,0.954
4,5,2025-01-01,0.857,1.129
4,6,2025-01-01,1.113,0.444
4,7,2025-01-01,1.419,0.754
5,1,2025-01-01,0.961,0.798
5,2,2025-01-01,1.389,1.409
5,3,2025-01-01,1.002,0.954
5,4,2025-01-01,0.607,1.129
5,5,2025-01-01,0.950,0.444
5,6,2025-01-01,1.208,0.754
5,7,2025-01-01,1.535,1.731
6,1,2025-01-01,0.992,1.409
6,2,2025-01-01,1.443,0.954
6,3,2025-01-01,1.094,1.129
6,4,2025-01-01,0.673,0.444
6,5,2025-01-01,1.051,0.754
6,6,2025-01-01,1.324,1.731
6,7,2025-01-01,1.653,1.705
7,1,2025-01-01,1.142,0.954
7,2,2025-01-01,1.635,1.129
7,3,2025-01-01,1.247,0.444
7,4,2025-01-01,0.824,0.754
7,5,2025-01-01,1.233,1.731
7,6,2025-01-01,1.545,1.705
7,7,2025-01-01,1.926,0.985
8,1,2025-01-01,1.120,1.129
8,2,2025-01-01,1.578,0.444
8,3,2025-01-01,1.183,0.754
8,4,2025-01-01,0.763,1.731
8,5,2025-01-01,1.164,1.705
8,6,2025-01-01,1.486,0.985
8,7,2025-01-01,1.867,1.546
9,1,2025-01-01,1.148,0.444
9,2,2025-01-01,1.593,0.754
9,3,2025-01-01,1.209,1.731
9,4,2025-01-01,0.783,1.705
9,5,2025-01-01,1.166,0.985
9,6,2025-01-01,1.464,1.546
9,7,2025-01-01,1.832,1.956
10,1,2025-01-01,1.053,0.754
10,2,2025-01-01,1.453,1.731
10,3,2025-01-01,1.087,1.705
10,4,2025-01-01,0.697,0.985
10,5,2025-01-01,1.042,1.546
10,6,2025-01-01,1.331,1.956
10,7,2025-01-01,1.653,1.022
11,1,2025-01-01,0.967,1.731
11,2,2025-01-01,1.343,1.705
11,3,2025-01-01,1.005,0.985
11,4,2025-01-01,0.644,1.546
11,5,2025-01-01,1.005,1.956
11,6,2025-01-01,1.289,1.022
11,7,2025-01-01,1.637,0.771
12,1,2025-01-01,1.067,1.705
12,2,2025-01-01,1.489,0.985
12,3,2025-01-01,1.162,1.546
12,4,2025-01-01,0.804,1.956
12,5,2025-01-01,1.199,1.022
