Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.663,0.944
0,2,2025-01-01,1.005,0.648
0,3,2025-01-01,0.748,0.907
0,4,2025-01-01,0.424,0.853
0,5,2025-01-01,0.691,0.759
0,6,2025-01-01,0.895,1.143
0,7,2025-01-01,1.147,1.174
1,1,2025-01-01,0.724,0.648
1,2,2025-01-01,1.087,0.907
1,3,2025-01-01,0.826,0.853
1,4,2025-01-01,0.487,0.759
1,5,2025-01-01,0.764,1.143
1,6,2025-01-01,0.975,1.174
1,7,2025-01-01,1.226,0.579
2,1,2025-01-01,0.719,0.907
2,2,2025-01-01,1.079,0.853
2,3,2025-01-01,0.814,0.759
2,4,2025-01-01,0.469,1.143
2,5,2025-01-01,0.727,1.174
2,6,2025-01-01,0.934,0.579
2,7,2025-01-01,1.174,1.240
3,1,2025-01-01,0.785,0.853
3,2,2025-01-01,1.116,0.759
3,3,2025-01-01,0.809,1.143
3,4,2025-01-01,0.466,1.174
3,5,2025-01-01,0.723,0.579
3,6,2025-01-01,0.938,1.240
3,7,2025-01-01,1.192,0.838
4,1,2025-01-01,0.790,0.759
4,2,2025-01-01,1.100,1.143
4,3,2025-01-01,0.760,1.174
4,4,2025-01-01,0.447,0.579
4,5,2025-01-01,0.721,1.240
4,6,2025-01-01,0.956,0.838
4,7,2025-01-01,1.224,1.066
5,1,2025-01-01,0.844,1.143
5,2,2025-01-01,1.246,1.174
5,3,2025-01-01,0.927,0.579
5,4,2025-01-01,0.585,1.240
5,5,2025-01-01,0.852,0.838
5,6,2025-01-01,1.123,1.066
5,7,2025-01-01,1.417,1.179
6,1,2025-01-01,0.975,1.174
6,2,2025-01-01,1.341,0.579
6,3,2025-01-01,1.018,1.240
6,4,2025-01-01,0.683,0.838
6,5,2025-01-01,0.944,1.066
6,6,2025-01-01,1.173,1.179
6,7,2025-01-01,1.456,1.303
7,1,2025-01-01,1.028,0.579
7,2,2025-01-01,1.393,1.240
7,3,2025-01-01,1.049,0.838
7,4,2025-01-01,0.730,1.066
7,5,2025-01-01,0.999,1.179
7,6,2025-01-01,1.266,1.303
7,7,2025-01-01,1.536,1.296
8,1,2025-01-01,0.993,1.240
8,2,2025-01-01,1.312,0.838
8,3,2025-01-01,0.992,1.066
8,4,2025-01-01,0.721,1.179
8,5,2025-01-01,1.000,1.303
8,6,2025-01-01,1.248,1.296
8,7,2025-01-01,1.532,1.108
9,1,2025-01-01,1.021,0.838
9,2,2025-01-01,1.327,1.066
9,3,2025-01-01,1.009,1.179
9,4,2025-01-01,0.727,1.303
