Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.849,1.514
0,2,2025-01-01,1.330,0.599
0,3,2025-01-01,0.981,1.165
0,4,2025-01-01,0.556,0.251
0,5,2025-01-01,0.934,0.993
0,6,2025-01-01,1.212,0.482
0,7,2025-01-01,1.585,1.779
1,1,2025-01-01,0.986,0.599
1,2,2025-01-01,1.490,1.165
1,3,2025-01-01,1.086,0.251
1,4,2025-01-01,0.660,0.993
1,5,2025-01-01,1.078,0.482
1,6,2025-01-01,1.373,1.779
1,7,2025-01-01,1.753,1.536
2,1,2025-01-01,0.940,1.165
2,2,2025-01-01,1.421,0.251
2,3,2025-01-01,0.994,0.993
2,4,2025-01-01,0.541,0.482
2,5,2025-01-01,0.918,1.779
2,6,2025-01-01,1.187,1.536
2,7,2025-01-01,1.532,0.429
3,1,2025-01-01,0.995,0.251
3,2,2025-01-01,1.486,0.993
3,3,2025-01-01,1.065,0.482
3,4,2025-01-01,0.633,1.779
3,5,2025-01-01,1.026,1.536
3,6,2025-01-01,1.295,0.429
3,7,2025-01-01,1.638,0.903
4,1,2025-01-01,0.908,0.993
4,2,2025-01-01,1.384,0.482
4,3,2025-01-01,0.967,1.779
4,4,2025-01-01,0.513,1.536
4,5,2025-01-01,0.881,0.429
4,6,2025-01-01,1.158,0.903
4,7,2025-01-01,1.487,1.239
5,1,2025-01-01,1.032,0.482
5,2,2025-01-01,1.527,1.779
5,3,2025-01-01,1.103,1.536
5,4,2025-01-01,0.651,0.429
5,5,2025-01-01,1.029,0.903
5,6,2025-01-01,1.318,1.239
5,7,2025-01-01,1.654,1.969
6,1,2025-01-01,1.007,1.779
6,2,2025-01-01,1.488,1.536
6,3,2025-01-01,1.117,0.429
6,4,2025-01-01,0.661,0.903
6,5,2025-01-01,1.049,1.239
6,6,2025-01-01,1.337,1.969
6,7,2025-01-01,1.694,1.997
7,1,2025-01-01,1.245,1.536
7,2,2025-01-01,1.796,0.429
7,3,2025-01-01,1.391,0.903
7,4,2025-01-01,0.869,1.239
7,5,2025-01-01,1.290,1.969
7,6,2025-01-01,1.596,1.997
7,7,2025-01-01,1.952,1.277
8,1,2025-01-01,1.282,0.429
8,2,2025-01-01,1.810,0.903
8,3,2025-01-01,1.388,1.239
8,4,2025-01-01,0.873,1.969
8,5,2025-01-01,1.286,1.997
8,6,2025-01-01,1.590,1.277
8,7,2025-01-01,1.971,1.681
9,1,2025-01-01,1.185,0.903
9,2,2025-01-01,1.677,1.239
9,3,2025-01-01,1.279,1.969
9,4,2025-01-01,0.811,1.997
9,5,2025-01-01,1.206,1.277
9,6,2025-01-01,1.497,1.681
9,7,2025-01-01,1.844,1.425
10,1,2025-01-01,1.180,1.239
10,2,2025-01-01,1.652,1.969
10,3,2025-01-01,1.253,1.997
10,4,2025-01-01,0.785,1.277
10,5,2025-01-01,1.175,1.681
10,6,2025-01-01,1.452,1.425
10,7,2025-01-01,1.821,0.826
11,1,2025-01-01,1.133,1.969
