Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.698,0.861
0,2,2025-01-01,1.014,0.809
0,3,2025-01-01,0.712,0.450
0,4,2025-01-01,0.427,1.133
0,5,2025-01-01,0.689,0.416
0,6,2025-01-01,0.908,1.423
0,7,2025-01-01,1.151,0.688
1,1,2025-01-01,0.754,0.809
1,2,2025-01-01,1.090,0.450
1,3,2025-01-01,0.812,1.133
1,4,2025-01-01,0.508,0.416
1,5,2025-01-01,0.756,1.423
1,6,2025-01-01,0.966,0.688
1,7,2025-01-01,1.213,0.572
2,1,2025-01-01,0.766,0.450
2,2,2025-01-01,1.102,1.133
2,3,2025-01-01,0.793,0.416
2,4,2025-01-01,0.539,1.423
2,5,2025-01-01,0.794,0.688
2,6,2025-01-01,1.022,0.572
2,7,2025-01-01,1.277,1.283
3,1,2025-01-01,0.776,1.133
3,2,2025-01-01,1.076,0.416
3,3,2025-01-01,0.762,1.423
3,4,2025-01-01,0.430,0.688
3,5,2025-01-01,0.680,0.572
3,6,2025-01-01,0.911,1.283
3,7,2025-01-01,1.163,1.421
4,1,2025-01-01,0.831,0.416
4,2,2025-01-01,1.147,1.423
4,3,2025-01-01,0.804,0.688
4,4,2025-01-01,0.504,0.572
4,5,2025-01-01,0.781,1.283
4,6,2025-01-01,1.018,1.421
4,7,2025-01-01,1.272,1.389
5,1,2025-01-01,0.805,1.423
5,2,2025-01-01,1.255,0.688
5,3,2025-01-01,0.928,0.572
5,4,2025-01-01,0.643,1.283
5,5,2025-01-01,0.914,1.421
5,6,2025-01-01,1.241,1.389
5,7,2025-01-01,1.582,1.192
6,1,2025-01-01,1.004,0.688
6,2,2025-01-01,1.382,0.572
6,3,2025-01-01,1.073,1.283
6,4,2025-01-01,0.702,1.421
6,5,2025-01-01,0.953,1.389
6,6,2025-01-01,1.191,1.192
6,7,2025-01-01,1.469,1.187
7,1,2025-01-01,0.983,0.572
7,2,2025-01-01,1.360,1.283
7,3,2025-01-01,1.013,1.421
7,4,2025-01-01,0.700,1.389
7,5,2025-01-01,0.945,1.192
7,6,2025-01-01,1.207,1.187
7,7,2025-01-01,1.467,1.214
8,1,2025-01-01,1.003,1.283
8,2,2025-01-01,1.305,1.421
8,3,2025-01-01,0.961,1.389
8,4,2025-01-01,0.674,1.192
8,5,2025-01-01,0.944,1.187
8,6,2025-01-01,1.180,1.214
8,7,2025-01-01,1.438,1.287
9,1,2025-01-01,1.025,1.421
9,2,2025-01-01,1.325,1.389
9,3,2025-01-01,0.991,1.192
9,4,2025-01-01,0.710,1.187
9,5,2025-01-01,0.998,1.214
9,6,2025-01-01,1.238,1.287
9,7,2025-01-01,1.499,0.819
10,1,2025-01-01,1.050,1.389
10,2,2025-01-01,1.361,1.192
10,3,2025-01-01,1.014,1.187
10,4,2025-01-01,0.747,1.214
10,5,2025-01-01,1.042,1.287
10,6,2025-01-01,1.281,0.819
10,7,2025-01-01,1.560,0.602
11,1,2025-01-01,1.035,1.192
11,2,2025-01-01,1.344,1.187
11,3,2025-01-01,1.034,1.214
11,4,2025-01-01,0.737,1.287
11,5,2025-01-01,1.037,0.819
11,6,2025-01-01,1.275,0.602
11,7,2025-01-01,1.561,1.107
12,1,2025-01-01,1.023,1.187
12,2,2025-01-01,1.358,1.214
12,3,2025-01-01,1.081,1.287
12,4,2025-01-01,0.771,0.819
12,5,2025-01-01,1.089,0.602
12,6,2025-01-01,1.333,1.107
12,7,2025-01-01,1.619,1.520
13,1,2025-01-01,1.024,1.214
13,2,2025-01-01,1.437,1.287
13,3,2025-01-01,1.176,0.819
13,4,2025-01-01,0.821,0.602
13,5,2025-01-01,1.126,1.107
13,6,2025-01-01,1.371,1.520
13,7,2025-01-01,1.663,1.662
14,1,2025-01-01,1.100,1.287
14,2,2025-01-01,1.541,0.819
14,3,2025-01-01,1.254,0.602
14,4,2025-01-01,0.857,1.107
14,5,2025-01-01,1.197,1.520
14,6,2025-01-01,1.468,1.662
14,7,2025-01-01,1.808,1.608
15,1,2025-01-01,1.158,0.819
15,2,2025-01-01,1.572,0.602
15,3,2025-01-01,1.240,1.107
15,4,2025-01-01,0.904,1.520
15,5,2025-01-01,1.220,1.662
15,6,2025-01-01,1.534,1.608
15,7,2025-01-01,1.863,0.873
16,1,2025-01-01,1.151,0.602
16,2,2025-01-01,1.539,1.107
16,3,2025-01-01,1.197,1.520
16,4,2025-01-01,0.824,1.662
16,5,2025-01-01,1.126,1.608
16,6,2025-01-01,1.402,0.873
16,7,2025-01-01,1.720,0.848
17,1,2025-01-01,1.179,1.107
17,2,2025-01-01,1.596,1.520
17,3,2025-01-01,1.247,1.662
17,4,2025-01-01,0.805,1.608
17,5,2025-01-01,1.152,0.873
17,6,2025-01-01,1.398,0.848
17,7,2025-01-01,1.714,0.931
18,1,2025-01-01,1.126,1.520
18,2,2025-01-01,1.510,1.662
18,3,2025-01-01,1.162,1.608
18,4,2025-01-01,0.742,0.873
18,5,2025-01-01,1.070,0.848
18,6,2025-01-01,1.312,0.931
18,7,2025-01-01,1.612,0.947
19,1,2025-01-01,1.171,1.662
19,2,2025-01-01,1.569,1.608
19,3,2025-01-01,1.210,0.873
19,4,2025-01-01,0.820,0.848
19,5,2025-01-01,1.158,0.931
19,6,2025-01-01,1.438,0.947
19,7,2025-01-01,1.748,1.057
20,1,2025-01-01,1.230,1.608
20,2,2025-01-01,1.649,0.873
20,3,2025-01-01,1.301,0.848
20,4,2025-01-01,0.888,0.931
20,5,2025-01-01,1.229,0.947
20,6,2025-01-01,1.503,1.057
20,7,2025-01-01,1.846,1.389
21,1,2025-01-01,1.256,0.873
21,2,2025-01-01,1.669,0.848
