Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.470,1.355
0,2,2025-01-01,0.445,0.492
0,3,2025-01-01,0.487,1.233
0,4,2025-01-01,0.469,0.312
0,5,2025-01-01,0.494,0.926
0,6,2025-01-01,0.471,0.798
0,7,2025-01-01,0.494,1.409
1,1,2025-01-01,0.540,0.492
1,2,2025-01-01,0.515,1.233
1,3,2025-01-01,0.557,0.312
1,4,2025-01-01,0.553,0.926
1,5,2025-01-01,0.559,0.798
1,6,2025-01-01,0.568,1.409
1,7,2025-01-01,0.608,0.954
2,1,2025-01-01,0.426,1.233
2,2,2025-01-01,0.424,0.312
2,3,2025-01-01,0.447,0.926
2,4,2025-01-01,0.456,0.798
2,5,2025-01-01,0.502,1.409
2,6,2025-01-01,0.426,0.954
2,7,2025-01-01,0.483,1.129
3,1,2025-01-01,0.572,0.312
3,2,2025-01-01,0.558,0.926
3,3,2025-01-01,0.560,0.798
3,4,2025-01-01,0.539,1.409
3,5,2025-01-01,0.531,0.954
3,6,2025-01-01,0.511,1.129
3,7,2025-01-01,0.605,0.444
4,1,2025-01-01,0.494,0.926
4,2,2025-01-01,0.490,0.798
4,3,2025-01-01,0.520,1.409
4,4,2025-01-01,0.490,0.954
4,5,2025-01-01,0.497,1.129
4,6,2025-01-01,0.504,0.444
4,7,2025-01-01,0.517,0.754
5,1,2025-01-01,0.565,0.798
5,2,2025-01-01,0.563,1.409
5,3,2025-01-01,0.554,0.954
5,4,2025-01-01,0.483,1.129
5,5,2025-01-01,0.489,0.444
5,6,2025-01-01,0.471,0.754
5,7,2025-01-01,0.570,1.731
6,1,2025-01-01,0.561,1.409
6,2,2025-01-01,0.597,0.954
6,3,2025-01-01,0.556,1.129
6,4,2025-01-01,0.561,0.444
6,5,2025-01-01,0.628,0.754
6,6,2025-01-01,0.568,1.731
6,7,2025-01-01,0.592,1.705
7,1,2025-01-01,0.771,0.954
7,2,2025-01-01,0.805,1.129
7,3,2025-01-01,0.828,0.444
7,4,2025-01-01,0.841,0.754
7,5,2025-01-01,0.833,1.731
7,6,2025-01-01,0.921,1.705
7,7,2025-01-01,1.009,0.985
8,1,2025-01-01,0.648,1.129
8,2,2025-01-01,0.719,0.444
8,3,2025-01-01,0.768,0.754
8,4,2025-01-01,0.823,1.731
8,5,2025-01-01,0.835,1.705
8,6,2025-01-01,0.946,0.985
8,7,2025-01-01,1.017,1.546
9,1,2025-01-01,0.734,0.444
9,2,2025-01-01,0.749,0.754
9,3,2025-01-01,0.740,1.731
9,4,2025-01-01,0.656,1.705
9,5,2025-01-01,0.810,0.985
9,6,2025-01-01,0.835,1.546
9,7,2025-01-01,0.925,1.956
10,1,2025-01-01,0.633,0.754
10,2,2025-01-01,0.659,1.731
10,3,2025-01-01,0.623,1.705
10,4,2025-01-01,0.670,0.985
10,5,2025-01-01,0.608,1.546
10,6,2025-01-01,0.787,1.956
10,7,2025-01-01,0.685,1.022
11,1,2025-01-01,0.617,1.731
11,2,2025-01-01,0.644,1.705
11,3,2025-01-01,0.627,0.985
11,4,2025-01-01,0.725,1.546
11,5,2025-01-01,0.660,1.956
11,6,2025-01-01,0.719,1.022
11,7,2025-01-01,0.793,0.771
12,1,2025-01-01,0.830,1.705
12,2,2025-01-01,0.777,0.985
12,3,2025-01-01,0.805,1.546
