Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.402,0.944
0,2,2025-01-01,0.427,0.648
0,3,2025-01-01,0.469,0.907
0,4,2025-01-01,0.487,0.853
0,5,2025-01-01,0.499,0.759
0,6,2025-01-01,0.488,1.143
0,7,2025-01-01,0.470,1.174
1,1,2025-01-01,0.422,0.648
1,2,2025-01-01,0.442,0.907
1,3,2025-01-01,0.491,0.853
1,4,2025-01-01,0.504,0.759
1,5,2025-01-01,0.517,1.143
1,6,2025-01-01,0.520,1.174
1,7,2025-01-01,0.489,0.579
2,1,2025-01-01,0.423,0.907
2,2,2025-01-01,0.446,0.853
2,3,2025-01-01,0.485,0.759
2,4,2025-01-01,0.520,1.143
2,5,2025-01-01,0.501,1.174
2,6,2025-01-01,0.538,0.579
2,7,2025-01-01,0.502,1.240
3,1,2025-01-01,0.429,0.853
3,2,2025-01-01,0.466,0.759
3,3,2025-01-01,0.524,1.143
3,4,2025-01-01,0.506,1.174
3,5,2025-01-01,0.558,0.579
3,6,2025-01-01,0.562,1.240
3,7,2025-01-01,0.596,0.838
4,1,2025-01-01,0.470,0.759
4,2,2025-01-01,0.518,1.143
4,3,2025-01-01,0.566,1.174
4,4,2025-01-01,0.608,0.579
4,5,2025-01-01,0.637,1.240
4,6,2025-01-01,0.706,0.838
4,7,2025-01-01,0.777,1.066
5,1,2025-01-01,0.548,1.143
5,2,2025-01-01,0.526,1.174
5,3,2025-01-01,0.566,0.579
5,4,2025-01-01,0.644,1.240
5,5,2025-01-01,0.665,0.838
5,6,2025-01-01,0.712,1.066
5,7,2025-01-01,0.795,1.179
6,1,2025-01-01,0.589,1.174
6,2,2025-01-01,0.585,0.579
6,3,2025-01-01,0.618,1.240
6,4,2025-01-01,0.595,0.838
6,5,2025-01-01,0.618,1.066
6,6,2025-01-01,0.635,1.179
6,7,2025-01-01,0.683,1.303
7,1,2025-01-01,0.612,0.579
7,2,2025-01-01,0.686,1.240
7,3,2025-01-01,0.681,0.838
7,4,2025-01-01,0.783,1.066
7,5,2025-01-01,0.860,1.179
7,6,2025-01-01,0.946,1.303
7,7,2025-01-01,0.979,1.296
8,1,2025-01-01,0.592,1.240
8,2,2025-01-01,0.719,0.838
8,3,2025-01-01,0.762,1.066
8,4,2025-01-01,0.747,1.179
