Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.404,0.861
0,2,2025-01-01,0.426,0.809
0,3,2025-01-01,0.476,0.450
0,4,2025-01-01,0.514,1.133
0,5,2025-01-01,0.542,0.416
0,6,2025-01-01,0.564,1.423
0,7,2025-01-01,0.605,0.688
1,1,2025-01-01,0.407,0.809
1,2,2025-01-01,0.432,0.450
1,3,2025-01-01,0.472,1.133
1,4,2025-01-01,0.503,0.416
1,5,2025-01-01,0.540,1.423
1,6,2025-01-01,0.547,0.688
1,7,2025-01-01,0.556,0.572
2,1,2025-01-01,0.419,0.450
2,2,2025-01-01,0.438,1.133
2,3,2025-01-01,0.495,0.416
2,4,2025-01-01,0.562,1.423
2,5,2025-01-01,0.578,0.688
2,6,2025-01-01,0.642,0.572
2,7,2025-01-01,0.676,1.283
3,1,2025-01-01,0.347,1.133
3,2,2025-01-01,0.395,0.416
3,3,2025-01-01,0.446,1.423
3,4,2025-01-01,0.519,0.688
3,5,2025-01-01,0.579,0.572
3,6,2025-01-01,0.646,1.283
3,7,2025-01-01,0.686,1.421
4,1,2025-01-01,0.523,0.416
4,2,2025-01-01,0.533,1.423
4,3,2025-01-01,0.595,0.688
4,4,2025-01-01,0.637,0.572
4,5,2025-01-01,0.671,1.283
4,6,2025-01-01,0.748,1.421
4,7,2025-01-01,0.812,1.389
5,1,2025-01-01,0.441,1.423
5,2,2025-01-01,0.492,0.688
5,3,2025-01-01,0.563,0.572
5,4,2025-01-01,0.635,1.283
5,5,2025-01-01,0.707,1.421
5,6,2025-01-01,0.809,1.389
5,7,2025-01-01,0.933,1.192
6,1,2025-01-01,0.551,0.688
6,2,2025-01-01,0.488,0.572
6,3,2025-01-01,0.537,1.283
6,4,2025-01-01,0.611,1.421
6,5,2025-01-01,0.643,1.389
6,6,2025-01-01,0.679,1.192
6,7,2025-01-01,0.694,1.187
7,1,2025-01-01,0.521,0.572
7,2,2025-01-01,0.571,1.283
7,3,2025-01-01,0.613,1.421
7,4,2025-01-01,0.701,1.389
7,5,2025-01-01,0.792,1.192
7,6,2025-01-01,0.877,1.187
7,7,2025-01-01,0.912,1.214
8,1,2025-01-01,0.471,1.283
8,2,2025-01-01,0.584,1.421
8,3,2025-01-01,0.671,1.389
8,4,2025-01-01,0.658,1.192
8,5,2025-01-01,0.726,1.187
8,6,2025-01-01,0.807,1.214
8,7,2025-01-01,0.844,1.287
9,1,2025-01-01,0.572,1.421
9,2,2025-01-01,0.651,1.389
9,3,2025-01-01,0.691,1.192
9,4,2025-01-01,0.789,1.187
9,5,2025-01-01,0.842,1.214
9,6,2025-01-01,0.870,1.287
9,7,2025-01-01,0.909,0.819
10,1,2025-01-01,0.677,1.389
10,2,2025-01-01,0.689,1.192
10,3,2025-01-01,0.740,1.187
10,4,2025-01-01,0.801,1.214
10,5,2025-01-01,0.848,1.287
10,6,2025-01-01,0.906,0.819
10,7,2025-01-01,0.980,0.602
11,1,2025-01-01,0.612,1.192
11,2,2025-01-01,0.651,1.187
11,3,2025-01-01,0.665,1.214
11,4,2025-01-01,0.678,1.287
11,5,2025-01-01,0.777,0.819
11,6,2025-01-01,0.755,0.602
11,7,2025-01-01,0.794,1.107
12,1,2025-01-01,0.649,1.187
12,2,2025-01-01,0.669,1.214
12,3,2025-01-01,0.714,1.287
12,4,2025-01-01,0.740,0.819
12,5,2025-01-01,0.730,0.602
12,6,2025-01-01,0.729,1.107
12,7,2025-01-01,0.679,1.520
13,1,2025-01-01,0.575,1.214
13,2,2025-01-01,0.639,1.287
13,3,2025-01-01,0.692,0.819
13,4,2025-01-01,0.698,0.602
13,5,2025-01-01,0.738,1.107
13,6,2025-01-01,0.705,1.520
13,7,2025-01-01,0.650,1.662
14,1,2025-01-01,0.644,1.287
14,2,2025-01-01,0.686,0.819
14,3,2025-01-01,0.716,0.602
14,4,2025-01-01,0.758,1.107
14,5,2025-01-01,0.766,1.520
14,6,2025-01-01,0.764,1.662
14,7,2025-01-01,0.827,1.608
15,1,2025-01-01,0.633,0.819
15,2,2025-01-01,0.682,0.602
15,3,2025-01-01,0.736,1.107
15,4,2025-01-01,0.805,1.520
15,5,2025-01-01,0.888,1.662
15,6,2025-01-01,0.955,1.608
15,7,2025-01-01,1.063,0.873
16,1,2025-01-01,0.581,0.602
16,2,2025-01-01,0.626,1.107
16,3,2025-01-01,0.722,1.520
16,4,2025-01-01,0.796,1.662
16,5,2025-01-01,0.893,1.608
16,6,2025-01-01,0.947,0.873
16,7,2025-01-01,1.038,0.848
17,1,2025-01-01,0.470,1.107
17,2,2025-01-01,0.528,1.520
17,3,2025-01-01,0.613,1.662
17,4,2025-01-01,0.665,1.608
17,5,2025-01-01,0.655,0.873
17,6,2025-01-01,0.653,0.848
17,7,2025-01-01,0.758,0.931
18,1,2025-01-01,0.584,1.520
18,2,2025-01-01,0.641,1.662
18,3,2025-01-01,0.671,1.608
18,4,2025-01-01,0.712,0.873
18,5,2025-01-01,0.732,0.848
18,6,2025-01-01,0.726,0.931
18,7,2025-01-01,0.792,0.947
19,1,2025-01-01,0.698,1.662
19,2,2025-01-01,0.738,1.608
19,3,2025-01-01,0.788,0.873
19,4,2025-01-01,0.825,0.848
19,5,2025-01-01,0.888,0.931
19,6,2025-01-01,0.911,0.947
19,7,2025-01-01,0.984,1.057
20,1,2025-01-01,0.719,1.608
20,2,2025-01-01,0.766,0.873
20,3,2025-01-01,0.844,0.848
20,4,2025-01-01,0.891,0.931
20,5,2025-01-01,0.900,0.947
20,6,2025-01-01,0.947,1.057
20,7,2025-01-01,0.989,1.389
21,1,2025-01-01,0.667,0.873
21,2,2025-01-01,0.777,0.848
21,3,2025-01-01,0.877,0.931
21,4,2025-01-01,0.815,0.947
21,5,2025-01-01,0.911,1.057
21,6,2025-01-01,0.972,1.389
21,7,2025-01-01,1.108,1.394
22,1,2025-01-01,0.692,0.848
22,2,2025-01-01,0.734,0.931
22,3,2025-01-01,0.841,0.947
22,4,2025-01-01,0.970,1.057
22,5,2025-01-01,1.059,1.389
22,6,2025-01-01,1.165,1.394
22,7,2025-01-01,1.320,1.183
23,1,2025-01-01,0.628,0.931
23,2,2025-01-01,0.716,0.947
23,3,2025-01-01,0.719,1.057
23,4,2025-01-01,0.816,1.389
23,5,2025-01-01,0.921,1.394
23,6,2025-01-01,0.984,1.183
23,7,2025-01-01,1.089,1.241
24,1,2025-01-01,0.501,0.947
24,2,2025-01-01,0.586,1.057
24,3,2025-01-01,0.679,1.389
24,4,2025-01-01,0.756,1.394
24,5,2025-01-01,0.790,1.183
24,6,2025-01-01,0.842,1.241
24,7,2025-01-02,0.911,1.139
25,1,2025-01-01,0.520,1.057
25,2,2025-01-01,0.554,1.389
25,3,2025-01-01,0.683,1.394
25,4,2025-01-01,0.697,1.183
25,5,2025-01-01,0.763,1.241
25,6,2025-01-02,0.754,1.139
