Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,2.196,3.140
0,2,2025-01-01,2.238,2.305
0,3,2025-01-01,2.358,4.108
0,4,2025-01-01,2.387,4.553
0,5,2025-01-01,2.733,4.018
0,6,2025-01-01,2.822,4.312
0,7,2025-01-01,2.881,4.636
1,1,2025-01-01,1.976,2.305
1,2,2025-01-01,2.145,4.108
1,3,2025-01-01,2.203,4.553
1,4,2025-01-01,2.428,4.018
1,5,2025-01-01,2.687,4.312
1,6,2025-01-01,2.947,4.636
1,7,2025-01-01,2.988,2.920
2,1,2025-01-01,2.062,4.108
2,2,2025-01-01,2.461,4.553
2,3,2025-01-01,2.469,4.018
2,4,2025-01-01,2.553,4.312
2,5,2025-01-01,2.721,4.636
2,6,2025-01-01,2.778,2.920
2,7,2025-01-01,2.900,1.282
3,1,2025-01-01,2.644,4.553
3,2,2025-01-01,2.704,4.018
3,3,2025-01-01,2.750,4.312
3,4,2025-01-01,2.814,4.636
3,5,2025-01-01,2.922,2.920
3,6,2025-01-01,3.021,1.282
3,7,2025-01-01,3.084,4.847
4,1,2025-01-01,2.628,4.018
4,2,2025-01-01,2.713,4.312
4,3,2025-01-01,2.769,4.636
4,4,2025-01-01,2.906,2.920
4,5,2025-01-01,3.054,1.282
4,6,2025-01-01,3.138,4.847
4,7,2025-01-01,3.287,4.683
5,1,2025-01-01,2.571,4.312
5,2,2025-01-01,2.599,4.636
5,3,2025-01-01,2.788,2.920
5,4,2025-01-01,3.113,1.282
5,5,2025-01-01,3.380,4.847
5,6,2025-01-01,3.513,4.683
5,7,2025-01-01,3.592,4.033
6,1,2025-01-01,2.896,4.636
6,2,2025-01-01,3.024,2.920
6,3,2025-01-01,3.319,1.282
6,4,2025-01-01,3.558,4.847
6,5,2025-01-01,3.695,4.683
6,6,2025-01-01,3.743,4.033
6,7,2025-01-01,3.760,4.072
7,1,2025-01-01,3.242,2.920
7,2,2025-01-01,3.322,1.282
7,3,2025-01-01,3.555,4.847
7,4,2025-01-01,3.694,4.683
7,5,2025-01-01,3.778,4.033
7,6,2025-01-01,3.760,4.072
7,7,2025-01-01,3.817,2.835
8,1,2025-01-01,3.290,1.282
8,2,2025-01-01,3.585,4.847
8,3,2025-01-01,3.764,4.683
8,4,2025-01-01,3.854,4.033
8,5,2025-01-01,3.852,4.072
8,6,2025-01-01,3.818,2.835
8,7,2025-01-01,3.716,4.973
9,1,2025-01-01,3.242,4.847
9,2,2025-01-01,3.576,4.683
9,3,2025-01-01,3.800,4.033
9,4,2025-01-01,3.921,4.072
9,5,2025-01-01,3.859,2.835
9,6,2025-01-01,3.804,4.973
9,7,2025-01-01,3.650,5.388
10,1,2025-01-01,3.543,4.683
10,2,2025-01-01,3.413,4.033
10,3,2025-01-01,3.511,4.072
10,4,2025-01-01,3.555,2.835
10,5,2025-01-01,3.581,4.973
10,6,2025-01-01,3.676,5.388
10,7,2025-01-01,3.648,5.848
11,1,2025-01-01,3.735,4.033
11,2,2025-01-01,3.725,4.072
11,3,2025-01-01,3.828,2.835
11,4,2025-01-01,3.899,4.973
11,5,2025-01-01,3.922,5.388
11,6,2025-01-01,3.989,5.848
11,7,2025-01-01,4.026,5.689
12,1,2025-01-01,3.960,4.072
12,2,2025-01-01,3.958,2.835
12,3,2025-01-01,3.990,4.973
12,4,2025-01-01,4.044,5.388
12,5,2025-01-01,4.038,5.848
12,6,2025-01-01,4.084,5.689
12,7,2025-01-01,4.184,2.778
13,1,2025-01-01,3.584,2.835
13,2,2025-01-01,3.757,4.973
13,3,2025-01-01,3.798,5.388
13,4,2025-01-01,3.897,5.848
13,5,2025-01-01,3.932,5.689
13,6,2025-01-01,4.070,2.778
13,7,2025-01-01,4.089,5.945
14,1,2025-01-01,2.915,4.973
14,2,2025-01-01,3.147,5.388
14,3,2025-01-01,3.626,5.848
14,4,2025-01-01,3.953,5.689
14,5,2025-01-01,4.122,2.778
14,6,2025-01-01,4.230,5.945
14,7,2025-01-01,4.224,6.142
15,1,2025-01-01,3.498,5.388
15,2,2025-01-01,3.679,5.848
15,3,2025-01-01,3.800,5.689
15,4,2025-01-01,3.971,2.778
15,5,2025-01-01,4.154,5.945
15,6,2025-01-01,4.387,6.142
15,7,2025-01-01,4.487,6.013
16,1,2025-01-01,3.735,5.848
16,2,2025-01-01,3.879,5.689
16,3,2025-01-01,4.050,2.778
16,4,2025-01-01,4.326,5.945
16,5,2025-01-01,4.634,6.142
16,6,2025-01-01,4.934,6.013
16,7,2025-01-01,5.152,4.249
17,1,2025-01-01,3.789,5.689
17,2,2025-01-01,3.924,2.778
17,3,2025-01-01,4.128,5.945
17,4,2025-01-01,4.551,6.142
17,5,2025-01-01,4.951,6.013
17,6,2025-01-01,5.282,4.249
17,7,2025-01-01,5.496,6.228
18,1,2025-01-01,3.761,2.778
18,2,2025-01-01,3.872,5.945
18,3,2025-01-01,4.194,6.142
18,4,2025-01-01,4.568,6.013
18,5,2025-01-01,4.963,4.249
18,6,2025-01-01,5.257,6.228
18,7,2025-01-01,5.370,5.028
19,1,2025-01-01,3.265,5.945
19,2,2025-01-01,3.731,6.142
19,3,2025-01-01,4.116,6.013
19,4,2025-01-01,4.730,4.249
19,5,2025-01-01,5.178,6.228
19,6,2025-01-01,5.418,5.028
19,7,2025-01-01,5.391,4.124
20,1,2025-01-01,3.496,6.142
20,2,2025-01-01,3.557,6.013
20,3,2025-01-01,4.002,4.249
20,4,2025-01-01,4.571,6.228
20,5,2025-01-01,5.057,5.028
20,6,2025-01-01,5.391,4.124
20,7,2025-01-01,5.464,5.684
21,1,2025-01-01,3.776,6.013
21,2,2025-01-01,3.984,4.249
21,3,2025-01-01,4.292,6.228
21,4,2025-01-01,4.687,5.028
21,5,2025-01-01,5.097,4.124
21,6,2025-01-01,5.434,5.684
21,7,2025-01-01,5.504,5.223
22,1,2025-01-01,3.710,4.249
22,2,2025-01-01,3.653,6.228
22,3,2025-01-01,3.861,5.028
22,4,2025-01-01,4.278,4.124
22,5,2025-01-01,4.989,5.684
22,6,2025-01-01,5.383,5.223
22,7,2025-01-01,5.638,5.858
23,1,2025-01-01,3.628,6.228
23,2,2025-01-01,3.862,5.028
23,3,2025-01-01,4.137,4.124
23,4,2025-01-01,4.692,5.684
23,5,2025-01-01,5.173,5.223
23,6,2025-01-01,5.580,5.858
23,7,2025-01-01,5.846,4.500
24,1,2025-01-01,4.152,5.028
24,2,2025-01-01,4.275,4.124
24,3,2025-01-01,4.643,5.684
24,4,2025-01-01,5.139,5.223
24,5,2025-01-01,5.521,5.858
24,6,2025-01-01,5.816,4.500
24,7,2025-01-02,6.033,3.633
25,1,2025-01-01,4.031,4.124
25,2,2025-01-01,4.392,5.684
25,3,2025-01-01,4.863,5.223
25,4,2025-01-01,5.428,5.858
25,5,2025-01-01,5.876,4.500
25,6,2025-01-02,6.154,3.633
25,7,2025-01-02,6.176,7.370
26,1,2025-01-01,4.699,5.684
26,2,2025-01-01,5.083,5.223
26,3,2025-01-01,5.405,5.858
26,4,2025-01-01,5.667,4.500
26,5,2025-01-02,5.835,3.633
26,6,2025-01-02,5.903,7.370
26,7,2025-01-02,5.747,7.282
27,1,2025-01-01,5.045,5.223
27,2,2025-01-01,5.317,5.858
27,3,2025-01-01,5.555,4.500
27,4,2025-01-02,5.759,3.633
27,5,2025-01-02,5.929,7.370
27,6,2025-01-02,6.106,7.282
27,7,2025-01-02,6.156,7.812
28,1,2025-01-01,4.941,5.858
28,2,2025-01-01,5.232,4.500
28,3,2025-01-02,5.498,3.633
28,4,2025-01-02,5.747,7.370
28,5,2025-01-02,5.920,7.282
28,6,2025-01-02,6.118,7.812
28,7,2025-01-02,6.262,5.807
29,1,2025-01-01,5.328,4.500
29,2,2025-01-02,5.491,3.633
29,3,2025-01-02,5.526,7.370
29,4,2025-01-02,5.673,7.282
29,5,2025-01-02,5.841,7.812
29,6,2025-01-02,6.014,5.807
29,7,2025-01-02,6.370,3.229
30,1,2025-01-02,5.494,3.633
30,2,2025-01-02,5.801,7.370
30,3,2025-01-02,5.922,7.282
30,4,2025-01-02,6.068,7.812
30,5,2025-01-02,6.201,5.807
30,6,2025-01-02,6.388,3.229
30,7,2025-01-02,6.512,2.771
31,1,2025-01-02,5.441,7.370
31,2,2025-01-02,5.765,7.282
31,3,2025-01-02,5.834,7.812
31,4,2025-01-02,5.947,5.807
31,5,2025-01-02,6.148,3.229
31,6,2025-01-02,6.281,2.771
31,7,2025-01-02,6.359,5.181
32,1,2025-01-02,5.988,7.282
32,2,2025-01-02,6.150,7.812
32,3,2025-01-02,6.182,5.807
32,4,2025-01-02,6.143,3.229
32,5,2025-01-02,6.032,2.771
32,6,2025-01-02,6.208,5.181
32,7,2025-01-02,6.369,5.622
33,1,2025-01-02,5.983,7.812
33,2,2025-01-02,6.330,5.807
33,3,2025-01-02,6.187,3.229
33,4,2025-01-02,6.095,2.771
33,5,2025-01-02,5.934,5.181
33,6,2025-01-02,5.759,5.622
33,7,2025-01-02,5.807,4.847
34,1,2025-01-02,6.007,5.807
34,2,2025-01-02,6.402,3.229
34,3,2025-01-02,6.332,2.771
34,4,2025-01-02,6.061,5.181
34,5,2025-01-02,5.830,5.622
34,6,2025-01-02,5.773,4.847
34,7,2025-01-02,5.930,6.047
35,1,2025-01-02,6.086,3.229
35,2,2025-01-02,6.602,2.771
35,3,2025-01-02,6.563,5.181
35,4,2025-01-02,6.462,5.622
35,5,2025-01-02,6.232,4.847
35,6,2025-01-02,5.986,6.047
35,7,2025-01-02,5.743,7.765
36,1,2025-01-02,5.878,2.771
36,2,2025-01-02,6.472,5.181
36,3,2025-01-02,6.517,5.622
36,4,2025-01-02,6.409,4.847
36,5,2025-01-02,6.132,6.047
36,6,2025-01-02,5.781,7.765
36,7,2025-01-02,5.357,8.990
37,1,2025-01-02,5.935,5.181
37,2,2025-01-02,6.416,5.622
37,3,2025-01-02,6.611,4.847
37,4,2025-01-02,6.616,6.047
37,5,2025-01-02,6.325,7.765
37,6,2025-01-02,5.817,8.990
37,7,2025-01-02,5.216,9.620
38,1,2025-01-02,6.065,5.622
38,2,2025-01-02,6.283,4.847
38,3,2025-01-02,6.283,6.047
38,4,2025-01-02,6.146,7.765
38,5,2025-01-02,5.882,8.990
38,6,2025-01-02,5.659,9.620
38,7,2025-01-02,5.459,9.883
