Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.512,0.944
0,2,2025-01-01,0.584,0.648
0,3,2025-01-01,0.599,0.907
0,4,2025-01-01,0.603,0.853
0,5,2025-01-01,0.606,0.759
0,6,2025-01-01,0.585,1.143
0,7,2025-01-01,0.610,1.174
1,1,2025-01-01,0.525,0.648
1,2,2025-01-01,0.597,0.907
1,3,2025-01-01,0.616,0.853
1,4,2025-01-01,0.615,0.759
1,5,2025-01-01,0.622,1.143
1,6,2025-01-01,0.631,1.174
1,7,2025-01-01,0.645,0.579
2,1,2025-01-01,0.518,0.907
2,2,2025-01-01,0.599,0.853
2,3,2025-01-01,0.641,0.759
2,4,2025-01-01,0.696,1.143
2,5,2025-01-01,0.658,1.174
2,6,2025-01-01,0.723,0.579
2,7,2025-01-01,0.726,1.240
3,1,2025-01-01,0.523,0.853
3,2,2025-01-01,0.634,0.759
3,3,2025-01-01,0.692,1.143
3,4,2025-01-01,0.691,1.174
3,5,2025-01-01,0.794,0.579
3,6,2025-01-01,0.787,1.240
3,7,2025-01-01,0.841,0.838
4,1,2025-01-01,0.572,0.759
4,2,2025-01-01,0.689,1.143
4,3,2025-01-01,0.737,1.174
4,4,2025-01-01,0.824,0.579
4,5,2025-01-01,0.872,1.240
4,6,2025-01-01,0.950,0.838
4,7,2025-01-01,0.994,1.066
5,1,2025-01-01,0.669,1.143
5,2,2025-01-01,0.724,1.174
5,3,2025-01-01,0.834,0.579
5,4,2025-01-01,1.010,1.240
5,5,2025-01-01,1.081,0.838
5,6,2025-01-01,1.150,1.066
5,7,2025-01-01,1.206,1.179
6,1,2025-01-01,0.629,1.174
6,2,2025-01-01,0.752,0.579
6,3,2025-01-01,0.798,1.240
6,4,2025-01-01,0.801,0.838
6,5,2025-01-01,0.901,1.066
6,6,2025-01-01,0.987,1.179
6,7,2025-01-01,1.095,1.303
7,1,2025-01-01,0.641,0.579
7,2,2025-01-01,0.856,1.240
7,3,2025-01-01,0.846,0.838
7,4,2025-01-01,1.045,1.066
7,5,2025-01-01,1.166,1.179
7,6,2025-01-01,1.314,1.303
7,7,2025-01-01,1.259,1.296
8,1,2025-01-01,0.593,1.240
8,2,2025-01-01,0.868,0.838
8,3,2025-01-01,0.905,1.066
8,4,2025-01-01,0.913,1.179
8,5,2025-01-01,1.058,1.303
8,6,2025-01-01,1.160,1.296
8,7,2025-01-01,1.236,1.108
9,1,2025-01-01,0.652,0.838
9,2,2025-01-01,0.865,1.066
9,3,2025-01-01,0.943,1.179
9,4,2025-01-01,1.028,1.303
9,5,2025-01-01,1.093,1.296
9,6,2025-01-01,1.161,1.108
9,7,2025-01-01,1.154,0.574
10,1,2025-01-01,0.660,1.066
10,2,2025-01-01,0.870,1.179
10,3,2025-01-01,0.868,1.303
10,4,2025-01-01,1.011,1.296
10,5,2025-01-01,1.052,1.108
10,6,2025-01-01,1.098,0.574
10,7,2025-01-01,1.104,0.715
11,1,2025-01-01,0.699,1.179
11,2,2025-01-01,0.842,1.303
11,3,2025-01-01,0.865,1.296
11,4,2025-01-01,0.920,1.108
11,5,2025-01-01,0.966,0.574
11,6,2025-01-01,1.009,0.715
11,7,2025-01-01,0.954,0.746
12,1,2025-01-01,0.723,1.303
12,2,2025-01-01,0.831,1.296
12,3,2025-01-01,0.811,1.108
12,4,2025-01-01,0.841,0.574
12,5,2025-01-01,0.837,0.715
12,6,2025-01-01,0.894,0.746
12,7,2025-01-01,0.863,1.850
13,1,2025-01-01,0.674,1.296
13,2,2025-01-01,0.697,1.108
13,3,2025-01-01,0.759,0.574
13,4,2025-01-01,0.750,0.715
13,5,2025-01-01,0.789,0.746
13,6,2025-01-01,0.801,1.850
13,7,2025-01-01,0.849,1.421
14,1,2025-01-01,0.706,1.108
14,2,2025-01-01,0.770,0.574
14,3,2025-01-01,0.817,0.715
14,4,2025-01-01,0.822,0.746
14,5,2025-01-01,0.830,1.850
14,6,2025-01-01,0.857,1.421
14,7,2025-01-01,0.962,1.052
15,1,2025-01-01,0.739,0.574
15,2,2025-01-01,0.853,0.715
15,3,2025-01-01,0.857,0.746
15,4,2025-01-01,0.917,1.850
15,5,2025-01-01,0.947,1.421
15,6,2025-01-01,0.964,1.052
15,7,2025-01-01,1.092,0.978
16,1,2025-01-01,0.557,0.715
16,2,2025-01-01,0.725,0.746
16,3,2025-01-01,0.716,1.850
16,4,2025-01-01,0.854,1.421
16,5,2025-01-01,0.986,1.052
16,6,2025-01-01,0.977,0.978
16,7,2025-01-01,1.006,1.077
17,1,2025-01-01,0.546,0.746
17,2,2025-01-01,0.750,1.850
17,3,2025-01-01,0.715,1.421
17,4,2025-01-01,0.844,1.052
17,5,2025-01-01,0.852,0.978
17,6,2025-01-01,0.866,1.077
17,7,2025-01-01,0.954,1.136
18,1,2025-01-01,0.595,1.850
18,2,2025-01-01,0.745,1.421
18,3,2025-01-01,0.718,1.052
18,4,2025-01-01,0.791,0.978
18,5,2025-01-01,0.830,1.077
18,6,2025-01-01,0.805,1.136
18,7,2025-01-01,0.863,0.793
19,1,2025-01-01,0.822,1.421
19,2,2025-01-01,0.888,1.052
19,3,2025-01-01,0.918,0.978
19,4,2025-01-01,0.906,1.077
19,5,2025-01-01,0.986,1.136
19,6,2025-01-01,0.890,0.793
19,7,2025-01-01,0.981,0.896
20,1,2025-01-01,0.701,1.052
20,2,2025-01-01,0.780,0.978
20,3,2025-01-01,0.793,1.077
20,4,2025-01-01,0.895,1.136
20,5,2025-01-01,0.929,0.793
20,6,2025-01-01,0.872,0.896
20,7,2025-01-01,0.986,0.938
21,1,2025-01-01,0.682,0.978
21,2,2025-01-01,0.799,1.077
21,3,2025-01-01,0.820,1.136
21,4,2025-01-01,0.861,0.793
21,5,2025-01-01,0.920,0.896
21,6,2025-01-01,1.009,0.938
21,7,2025-01-01,1.068,0.924
22,1,2025-01-01,0.651,1.077
22,2,2025-01-01,0.810,1.136
22,3,2025-01-01,0.915,0.793
22,4,2025-01-01,1.028,0.896
22,5,2025-01-01,1.050,0.938
22,6,2025-01-01,1.033,0.924
22,7,2025-01-01,1.054,1.099
23,1,2025-01-01,0.701,1.136
23,2,2025-01-01,0.824,0.793
23,3,2025-01-01,0.868,0.896
23,4,2025-01-01,0.918,0.938
23,5,2025-01-01,0.923,0.924
23,6,2025-01-01,1.050,1.099
23,7,2025-01-01,1.008,0.739
24,1,2025-01-01,0.642,0.793
24,2,2025-01-01,0.748,0.896
24,3,2025-01-01,0.850,0.938
24,4,2025-01-01,0.899,0.924
24,5,2025-01-01,0.919,1.099
24,6,2025-01-01,0.973,0.739
24,7,2025-01-02,1.024,1.398
25,1,2025-01-01,0.649,0.896
25,2,2025-01-01,0.764,0.938
25,3,2025-01-01,0.855,0.924
25,4,2025-01-01,0.899,1.099
25,5,2025-01-01,0.945,0.739
25,6,2025-01-02,1.006,1.398
25,7,2025-01-02,1.175,3.044
26,1,2025-01-01,0.780,0.938
26,2,2025-01-01,0.912,0.924
26,3,2025-01-01,0.833,1.099
26,4,2025-01-01,0.936,0.739
26,5,2025-01-02,0.978,1.398
26,6,2025-01-02,1.137,3.044
26,7,2025-01-02,1.234,2.289
27,1,2025-01-01,0.642,0.924
27,2,2025-01-01,0.833,1.099
27,3,2025-01-01,0.951,0.739
27,4,2025-01-02,0.930,1.398
27,5,2025-01-02,1.145,3.044
27,6,2025-01-02,1.196,2.289
27,7,2025-01-02,1.279,2.185
28,1,2025-01-01,0.784,1.099
28,2,2025-01-01,0.894,0.739
28,3,2025-01-02,0.970,1.398
28,4,2025-01-02,1.055,3.044
28,5,2025-01-02,1.104,2.289
28,6,2025-01-02,1.186,2.185
28,7,2025-01-02,1.280,2.907
29,1,2025-01-01,0.814,0.739
29,2,2025-01-02,0.922,1.398
29,3,2025-01-02,1.019,3.044
29,4,2025-01-02,0.943,2.289
29,5,2025-01-02,1.244,2.185
29,6,2025-01-02,1.385,2.907
29,7,2025-01-02,1.477,2.574
30,1,2025-01-02,0.869,1.398
30,2,2025-01-02,0.965,3.044
30,3,2025-01-02,1.069,2.289
30,4,2025-01-02,1.197,2.185
30,5,2025-01-02,1.263,2.907
30,6,2025-01-02,1.516,2.574
30,7,2025-01-02,1.551,1.492
31,1,2025-01-02,0.851,3.044
31,2,2025-01-02,1.030,2.289
31,3,2025-01-02,1.086,2.185
