Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.487,0.861
0,2,2025-01-01,0.579,0.809
0,3,2025-01-01,0.652,0.450
0,4,2025-01-01,0.724,1.133
0,5,2025-01-01,0.760,0.416
0,6,2025-01-01,0.778,1.423
0,7,2025-01-01,0.825,0.688
1,1,2025-01-01,0.478,0.809
1,2,2025-01-01,0.582,0.450
1,3,2025-01-01,0.631,1.133
1,4,2025-01-01,0.672,0.416
1,5,2025-01-01,0.722,1.423
1,6,2025-01-01,0.751,0.688
1,7,2025-01-01,0.801,0.572
2,1,2025-01-01,0.489,0.450
2,2,2025-01-01,0.578,1.133
2,3,2025-01-01,0.684,0.416
2,4,2025-01-01,0.803,1.423
2,5,2025-01-01,0.800,0.688
2,6,2025-01-01,0.893,0.572
2,7,2025-01-01,0.944,1.283
3,1,2025-01-01,0.389,1.133
3,2,2025-01-01,0.529,0.416
3,3,2025-01-01,0.593,1.423
3,4,2025-01-01,0.720,0.688
3,5,2025-01-01,0.806,0.572
3,6,2025-01-01,0.881,1.283
3,7,2025-01-01,0.894,1.421
4,1,2025-01-01,0.602,0.416
4,2,2025-01-01,0.707,1.423
4,3,2025-01-01,0.775,0.688
4,4,2025-01-01,0.853,0.572
4,5,2025-01-01,0.896,1.283
4,6,2025-01-01,0.979,1.421
4,7,2025-01-01,1.019,1.389
5,1,2025-01-01,0.509,1.423
5,2,2025-01-01,0.696,0.688
5,3,2025-01-01,0.850,0.572
5,4,2025-01-01,0.951,1.283
5,5,2025-01-01,1.075,1.421
5,6,2025-01-01,1.191,1.389
5,7,2025-01-01,1.267,1.192
6,1,2025-01-01,0.596,0.688
6,2,2025-01-01,0.656,0.572
6,3,2025-01-01,0.717,1.283
6,4,2025-01-01,0.857,1.421
6,5,2025-01-01,0.950,1.389
6,6,2025-01-01,1.050,1.192
6,7,2025-01-01,1.073,1.187
7,1,2025-01-01,0.540,0.572
7,2,2025-01-01,0.741,1.283
7,3,2025-01-01,0.819,1.421
7,4,2025-01-01,0.982,1.389
7,5,2025-01-01,1.119,1.192
7,6,2025-01-01,1.233,1.187
7,7,2025-01-01,1.177,1.214
8,1,2025-01-01,0.488,1.283
8,2,2025-01-01,0.747,1.421
8,3,2025-01-01,0.816,1.389
8,4,2025-01-01,0.826,1.192
8,5,2025-01-01,0.946,1.187
8,6,2025-01-01,1.053,1.214
8,7,2025-01-01,1.048,1.287
9,1,2025-01-01,0.664,1.421
9,2,2025-01-01,0.874,1.389
9,3,2025-01-01,0.886,1.192
9,4,2025-01-01,1.045,1.187
9,5,2025-01-01,1.112,1.214
9,6,2025-01-01,1.107,1.287
9,7,2025-01-01,1.119,0.819
10,1,2025-01-01,0.797,1.389
10,2,2025-01-01,0.922,1.192
10,3,2025-01-01,0.955,1.187
10,4,2025-01-01,1.065,1.214
10,5,2025-01-01,1.117,1.287
10,6,2025-01-01,1.170,0.819
10,7,2025-01-01,1.242,0.602
11,1,2025-01-01,0.733,1.192
11,2,2025-01-01,0.860,1.187
11,3,2025-01-01,0.822,1.214
11,4,2025-01-01,0.882,1.287
11,5,2025-01-01,1.030,0.819
11,6,2025-01-01,1.003,0.602
11,7,2025-01-01,1.056,1.107
12,1,2025-01-01,0.776,1.187
12,2,2025-01-01,0.862,1.214
12,3,2025-01-01,0.862,1.287
12,4,2025-01-01,0.908,0.819
12,5,2025-01-01,0.919,0.602
12,6,2025-01-01,0.943,1.107
12,7,2025-01-01,0.913,1.520
13,1,2025-01-01,0.702,1.214
13,2,2025-01-01,0.861,1.287
13,3,2025-01-01,0.867,0.819
13,4,2025-01-01,0.862,0.602
13,5,2025-01-01,0.938,1.107
13,6,2025-01-01,0.928,1.520
13,7,2025-01-01,0.898,1.662
14,1,2025-01-01,0.767,1.287
14,2,2025-01-01,0.887,0.819
14,3,2025-01-01,0.884,0.602
14,4,2025-01-01,0.967,1.107
14,5,2025-01-01,1.014,1.520
14,6,2025-01-01,1.050,1.662
14,7,2025-01-01,1.158,1.608
15,1,2025-01-01,0.775,0.819
15,2,2025-01-01,0.878,0.602
15,3,2025-01-01,0.950,1.107
15,4,2025-01-01,1.082,1.520
15,5,2025-01-01,1.197,1.662
15,6,2025-01-01,1.255,1.608
15,7,2025-01-01,1.377,0.873
16,1,2025-01-01,0.693,0.602
16,2,2025-01-01,0.799,1.107
16,3,2025-01-01,0.932,1.520
16,4,2025-01-01,1.063,1.662
16,5,2025-01-01,1.199,1.608
16,6,2025-01-01,1.245,0.873
16,7,2025-01-01,1.313,0.848
17,1,2025-01-01,0.572,1.107
17,2,2025-01-01,0.718,1.520
17,3,2025-01-01,0.735,1.662
17,4,2025-01-01,0.824,1.608
17,5,2025-01-01,0.855,0.873
17,6,2025-01-01,0.897,0.848
17,7,2025-01-01,1.021,0.931
18,1,2025-01-01,0.728,1.520
18,2,2025-01-01,0.860,1.662
18,3,2025-01-01,0.855,1.608
18,4,2025-01-01,0.960,0.873
18,5,2025-01-01,1.026,0.848
18,6,2025-01-01,1.046,0.931
18,7,2025-01-01,1.109,0.947
19,1,2025-01-01,0.860,1.662
19,2,2025-01-01,0.971,1.608
19,3,2025-01-01,1.012,0.873
19,4,2025-01-01,1.097,0.848
19,5,2025-01-01,1.212,0.931
19,6,2025-01-01,1.246,0.947
19,7,2025-01-01,1.321,1.057
20,1,2025-01-01,0.888,1.608
20,2,2025-01-01,1.004,0.873
20,3,2025-01-01,1.081,0.848
20,4,2025-01-01,1.171,0.931
20,5,2025-01-01,1.233,0.947
20,6,2025-01-01,1.333,1.057
20,7,2025-01-01,1.394,1.389
21,1,2025-01-01,0.838,0.873
21,2,2025-01-01,1.026,0.848
21,3,2025-01-01,1.154,0.931
21,4,2025-01-01,1.077,0.947
21,5,2025-01-01,1.285,1.057
21,6,2025-01-01,1.371,1.389
21,7,2025-01-01,1.518,1.394
22,1,2025-01-01,0.851,0.848
22,2,2025-01-01,0.940,0.931
22,3,2025-01-01,1.123,0.947
22,4,2025-01-01,1.342,1.057
22,5,2025-01-01,1.437,1.389
22,6,2025-01-01,1.489,1.394
22,7,2025-01-01,1.583,1.183
23,1,2025-01-01,0.754,0.931
23,2,2025-01-01,0.918,0.947
23,3,2025-01-01,0.946,1.057
23,4,2025-01-01,1.142,1.389
23,5,2025-01-01,1.324,1.394
23,6,2025-01-01,1.371,1.183
23,7,2025-01-01,1.401,1.241
24,1,2025-01-01,0.614,0.947
24,2,2025-01-01,0.813,1.057
24,3,2025-01-01,0.859,1.389
24,4,2025-01-01,1.013,1.394
24,5,2025-01-01,1.108,1.183
24,6,2025-01-01,1.212,1.241
24,7,2025-01-02,1.276,1.139
25,1,2025-01-01,0.659,1.057
25,2,2025-01-01,0.782,1.389
25,3,2025-01-01,0.881,1.394
25,4,2025-01-01,0.934,1.183
25,5,2025-01-01,1.070,1.241
25,6,2025-01-02,1.108,1.139
25,7,2025-01-02,1.289,1.679
26,1,2025-01-01,0.840,1.389
26,2,2025-01-01,0.897,1.394
26,3,2025-01-01,0.882,1.183
26,4,2025-01-01,1.030,1.241
26,5,2025-01-02,0.982,1.139
26,6,2025-01-02,1.142,1.679
26,7,2025-01-02,1.261,1.601
27,1,2025-01-01,0.774,1.394
27,2,2025-01-01,0.857,1.183
27,3,2025-01-01,0.896,1.241
27,4,2025-01-02,0.975,1.139
27,5,2025-01-02,1.142,1.679
27,6,2025-01-02,1.192,1.601
27,7,2025-01-02,1.297,1.689
28,1,2025-01-01,0.847,1.183
28,2,2025-01-01,0.905,1.241
28,3,2025-01-02,0.920,1.139
28,4,2025-01-02,1.016,1.679
28,5,2025-01-02,1.133,1.601
28,6,2025-01-02,1.217,1.689
28,7,2025-01-02,1.327,3.149
29,1,2025-01-01,0.868,1.241
29,2,2025-01-02,0.898,1.139
29,3,2025-01-02,0.966,1.679
29,4,2025-01-02,1.005,1.601
29,5,2025-01-02,1.245,1.689
29,6,2025-01-02,1.391,3.149
29,7,2025-01-02,1.542,1.984
30,1,2025-01-02,0.879,1.139
30,2,2025-01-02,0.927,1.679
30,3,2025-01-02,1.019,1.601
30,4,2025-01-02,1.184,1.689
30,5,2025-01-02,1.388,3.149
30,6,2025-01-02,1.563,1.984
30,7,2025-01-02,1.690,2.719
31,1,2025-01-02,0.966,1.679
31,2,2025-01-02,1.002,1.601
31,3,2025-01-02,1.136,1.689
31,4,2025-01-02,1.288,3.149
31,5,2025-01-02,1.518,1.984
31,6,2025-01-02,1.693,2.719
31,7,2025-01-02,1.947,2.215
32,1,2025-01-02,0.974,1.601
32,2,2025-01-02,0.997,1.689
32,3,2025-01-02,1.261,3.149
32,4,2025-01-02,1.582,1.984
32,5,2025-01-02,1.716,2.719
32,6,2025-01-02,1.761,2.215
32,7,2025-01-02,1.849,2.403
33,1,2025-01-02,1.137,1.689
33,2,2025-01-02,1.206,3.149
33,3,2025-01-02,1.439,1.984
33,4,2025-01-02,1.598,2.719
33,5,2025-01-02,1.789,2.215
33,6,2025-01-02,1.905,2.403
33,7,2025-01-02,2.004,1.485
34,1,2025-01-02,0.975,3.149
34,2,2025-01-02,1.142,1.984
34,3,2025-01-02,1.308,2.719
34,4,2025-01-02,1.673,2.215
34,5,2025-01-02,1.883,2.403
34,6,2025-01-02,1.988,1.485
34,7,2025-01-02,2.049,2.454
35,1,2025-01-02,1.512,1.984
35,2,2025-01-02,1.577,2.719
35,3,2025-01-02,1.681,2.215
35,4,2025-01-02,1.808,2.403
35,5,2025-01-02,1.824,1.485
35,6,2025-01-02,2.276,2.454
35,7,2025-01-02,2.288,2.137
36,1,2025-01-02,1.268,2.719
36,2,2025-01-02,1.526,2.215
36,3,2025-01-02,1.753,2.403
36,4,2025-01-02,1.978,1.485
36,5,2025-01-02,2.177,2.454
36,6,2025-01-02,2.312,2.137
36,7,2025-01-02,2.511,1.326
37,1,2025-01-02,1.400,2.215
37,2,2025-01-02,1.484,2.403
37,3,2025-01-02,1.660,1.485
37,4,2025-01-02,1.946,2.454
37,5,2025-01-02,2.254,2.137
37,6,2025-01-02,2.308,1.326
37,7,2025-01-02,2.443,1.366
38,1,2025-01-02,1.452,2.403
38,2,2025-01-02,1.631,1.485
38,3,2025-01-02,1.800,2.454
38,4,2025-01-02,1.924,2.137
38,5,2025-01-02,2.180,1.326
38,6,2025-01-02,2.172,1.366
38,7,2025-01-02,2.328,2.423
39,1,2025-01-02,1.220,1.485
39,2,2025-01-02,1.383,2.454
39,3,2025-01-02,1.554,2.137
39,4,2025-01-02,1.838,1.326
39,5,2025-01-02,1.969,1.366
39,6,2025-01-02,2.206,2.423
39,7,2025-01-02,2.196,3.110
40,1,2025-01-02,1.116,2.454
40,2,2025-01-02,1.227,2.137
40,3,2025-01-02,1.415,1.326
40,4,2025-01-02,1.819,1.366
40,5,2025-01-02,1.912,2.423
40,6,2025-01-02,1.945,3.110
40,7,2025-01-02,2.145,2.856
41,1,2025-01-02,1.443,2.137
41,2,2025-01-02,1.475,1.326
41,3,2025-01-02,1.505,1.366
41,4,2025-01-02,1.730,2.423
41,5,2025-01-02,2.100,3.110
41,6,2025-01-02,2.103,2.856
41,7,2025-01-02,2.152,2.958
42,1,2025-01-02,1.548,1.326
42,2,2025-01-02,1.661,1.366
42,3,2025-01-02,1.713,2.423
42,4,2025-01-02,1.934,3.110
42,5,2025-01-02,2.184,2.856
42,6,2025-01-02,2.266,2.958
42,7,2025-01-02,2.069,3.363
43,1,2025-01-02,1.487,1.366
43,2,2025-01-02,1.628,2.423
43,3,2025-01-02,1.906,3.110
43,4,2025-01-02,2.120,2.856
43,5,2025-01-02,2.171,2.958
43,6,2025-01-02,2.255,3.363
43,7,2025-01-02,2.249,3.019
44,1,2025-01-02,1.580,2.423
44,2,2025-01-02,1.684,3.110
44,3,2025-01-02,1.933,2.856
44,4,2025-01-02,2.074,2.958
44,5,2025-01-02,2.319,3.363
