Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.233,1.141
0,2,2025-01-01,0.303,0.349
0,3,2025-01-01,0.307,1.117
0,4,2025-01-01,0.303,0.277
0,5,2025-01-01,0.332,0.629
0,6,2025-01-01,0.319,1.444
0,7,2025-01-01,0.333,0.961
1,1,2025-01-01,0.340,0.349
1,2,2025-01-01,0.347,1.117
1,3,2025-01-01,0.378,0.277
1,4,2025-01-01,0.398,0.629
1,5,2025-01-01,0.401,1.444
1,6,2025-01-01,0.418,0.961
1,7,2025-01-01,0.447,1.092
2,1,2025-01-01,0.199,1.117
2,2,2025-01-01,0.239,0.277
2,3,2025-01-01,0.264,0.629
2,4,2025-01-01,0.287,1.444
2,5,2025-01-01,0.319,0.961
2,6,2025-01-01,0.364,1.092
2,7,2025-01-01,0.401,1.298
3,1,2025-01-01,0.340,0.277
3,2,2025-01-01,0.377,0.629
3,3,2025-01-01,0.334,1.444
3,4,2025-01-01,0.340,0.961
3,5,2025-01-01,0.299,1.092
3,6,2025-01-01,0.295,1.298
3,7,2025-01-01,0.411,0.276
4,1,2025-01-01,0.221,0.629
4,2,2025-01-01,0.290,1.444
4,3,2025-01-01,0.330,0.961
4,4,2025-01-01,0.316,1.092
4,5,2025-01-01,0.329,1.298
4,6,2025-01-01,0.367,0.276
4,7,2025-01-01,0.416,1.495
5,1,2025-01-01,0.297,1.444
5,2,2025-01-01,0.356,0.961
5,3,2025-01-01,0.346,1.092
5,4,2025-01-01,0.299,1.298
5,5,2025-01-01,0.307,0.276
5,6,2025-01-01,0.278,1.495
5,7,2025-01-01,0.411,1.801
6,1,2025-01-01,0.490,0.961
6,2,2025-01-01,0.568,1.092
6,3,2025-01-01,0.406,1.298
6,4,2025-01-01,0.464,0.276
6,5,2025-01-01,0.549,1.495
6,6,2025-01-01,0.473,1.801
6,7,2025-01-01,0.529,1.774
7,1,2025-01-01,0.599,1.092
7,2,2025-01-01,0.666,1.298
7,3,2025-01-01,0.679,0.276
7,4,2025-01-01,0.671,1.495
7,5,2025-01-01,0.613,1.801
7,6,2025-01-01,0.675,1.774
7,7,2025-01-01,0.846,1.934
8,1,2025-01-01,0.447,1.298
8,2,2025-01-01,0.624,0.276
8,3,2025-01-01,0.551,1.495
8,4,2025-01-01,0.607,1.801
8,5,2025-01-01,0.606,1.774
8,6,2025-01-01,0.758,1.934
8,7,2025-01-01,0.782,1.938
9,1,2025-01-01,0.654,0.276
9,2,2025-01-01,0.723,1.495
9,3,2025-01-01,0.667,1.801
9,4,2025-01-01,0.653,1.774
9,5,2025-01-01,0.731,1.934
9,6,2025-01-01,0.767,1.938
9,7,2025-01-01,0.902,1.807
10,1,2025-01-01,0.436,1.495
10,2,2025-01-01,0.531,1.801
10,3,2025-01-01,0.478,1.774
10,4,2025-01-01,0.456,1.934
10,5,2025-01-01,0.423,1.938
10,6,2025-01-01,0.651,1.807
10,7,2025-01-01,0.635,1.240
11,1,2025-01-01,0.660,1.801
11,2,2025-01-01,0.799,1.774
11,3,2025-01-01,0.707,1.934
11,4,2025-01-01,0.691,1.938
11,5,2025-01-01,0.613,1.807
11,6,2025-01-01,0.645,1.240
11,7,2025-01-01,0.751,0.908
12,1,2025-01-01,0.901,1.774
12,2,2025-01-01,0.909,1.934
12,3,2025-01-01,0.897,1.938
12,4,2025-01-01,0.847,1.807
12,5,2025-01-01,0.694,1.240
12,6,2025-01-01,0.774,0.908
12,7,2025-01-01,0.880,1.973
13,1,2025-01-01,0.942,1.934
13,2,2025-01-01,0.937,1.938
13,3,2025-01-01,0.944,1.807
13,4,2025-01-01,0.920,1.240
13,5,2025-01-01,0.882,0.908
13,6,2025-01-01,0.946,1.973
13,7,2025-01-01,0.752,1.363
14,1,2025-01-01,1.005,1.938
14,2,2025-01-01,1.037,1.807
14,3,2025-01-01,1.023,1.240
14,4,2025-01-01,0.990,0.908
14,5,2025-01-01,0.958,1.973
14,6,2025-01-01,1.003,1.363
14,7,2025-01-01,1.081,1.149
15,1,2025-01-01,0.827,1.807
15,2,2025-01-01,1.159,1.240
15,3,2025-01-01,1.096,0.908
15,4,2025-01-01,1.124,1.973
15,5,2025-01-01,1.145,1.363
15,6,2025-01-01,1.205,1.149
15,7,2025-01-01,1.266,0.800
16,1,2025-01-01,0.912,1.240
16,2,2025-01-01,1.268,0.908
16,3,2025-01-01,1.188,1.973
16,4,2025-01-01,1.160,1.363
16,5,2025-01-01,0.959,1.149
16,6,2025-01-01,0.956,0.800
16,7,2025-01-01,1.231,1.389
17,1,2025-01-01,0.863,0.908
17,2,2025-01-01,0.877,1.973
17,3,2025-01-01,0.841,1.363
17,4,2025-01-01,0.888,1.149
17,5,2025-01-01,0.896,0.800
17,6,2025-01-01,1.155,1.389
17,7,2025-01-01,1.040,0.846
18,1,2025-01-01,0.849,1.973
18,2,2025-01-01,0.933,1.363
18,3,2025-01-01,0.910,1.149
18,4,2025-01-01,1.012,0.800
