Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.388,0.881
0,2,2025-01-01,0.402,0.621
0,3,2025-01-01,0.423,0.851
0,4,2025-01-01,0.431,0.215
0,5,2025-01-01,0.443,0.417
0,6,2025-01-01,0.429,0.983
0,7,2025-01-01,0.467,0.787
1,1,2025-01-01,0.443,0.621
1,2,2025-01-01,0.432,0.851
1,3,2025-01-01,0.451,0.215
1,4,2025-01-01,0.491,0.417
1,5,2025-01-01,0.523,0.983
1,6,2025-01-01,0.564,0.787
1,7,2025-01-01,0.616,1.049
2,1,2025-01-01,0.420,0.851
2,2,2025-01-01,0.419,0.215
2,3,2025-01-01,0.468,0.417
2,4,2025-01-01,0.571,0.983
2,5,2025-01-01,0.630,0.787
2,6,2025-01-01,0.676,1.049
2,7,2025-01-01,0.740,1.235
3,1,2025-01-01,0.471,0.215
3,2,2025-01-01,0.491,0.417
3,3,2025-01-01,0.465,0.983
3,4,2025-01-01,0.493,0.787
3,5,2025-01-01,0.461,1.049
3,6,2025-01-01,0.505,1.235
3,7,2025-01-01,0.605,0.365
4,1,2025-01-01,0.392,0.417
4,2,2025-01-01,0.446,0.983
4,3,2025-01-01,0.505,0.787
4,4,2025-01-01,0.534,1.049
4,5,2025-01-01,0.568,1.235
4,6,2025-01-01,0.624,0.365
4,7,2025-01-01,0.711,1.261
5,1,2025-01-01,0.423,0.983
5,2,2025-01-01,0.475,0.787
5,3,2025-01-01,0.436,1.049
5,4,2025-01-01,0.445,1.235
5,5,2025-01-01,0.454,0.365
5,6,2025-01-01,0.490,1.261
5,7,2025-01-01,0.624,1.204
6,1,2025-01-01,0.594,0.787
6,2,2025-01-01,0.645,1.049
6,3,2025-01-01,0.574,1.235
6,4,2025-01-01,0.652,0.365
6,5,2025-01-01,0.718,1.261
6,6,2025-01-01,0.710,1.204
6,7,2025-01-01,0.792,1.194
7,1,2025-01-01,0.679,1.049
7,2,2025-01-01,0.700,1.235
7,3,2025-01-01,0.730,0.365
7,4,2025-01-01,0.808,1.261
