Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,3.157,3.140
0,2,2025-01-01,2.591,2.305
0,3,2025-01-01,2.397,4.108
0,4,2025-01-01,1.254,4.553
0,5,2025-01-01,2.410,4.018
0,6,2025-01-01,2.965,4.312
0,7,2025-01-01,2.371,4.636
1,1,2025-01-01,2.339,2.305
1,2,2025-01-01,2.810,4.108
1,3,2025-01-01,2.474,4.553
1,4,2025-01-01,2.242,4.018
1,5,2025-01-01,2.704,4.312
1,6,2025-01-01,3.758,4.636
1,7,2025-01-01,3.199,2.920
2,1,2025-01-01,2.019,4.108
2,2,2025-01-01,3.544,4.553
2,3,2025-01-01,3.536,4.018
2,4,2025-01-01,2.932,4.312
2,5,2025-01-01,3.479,4.636
2,6,2025-01-01,2.862,2.920
2,7,2025-01-01,3.448,1.282
3,1,2025-01-01,3.463,4.553
3,2,2025-01-01,3.457,4.018
3,3,2025-01-01,3.448,4.312
3,4,2025-01-01,3.027,4.636
3,5,2025-01-01,2.902,2.920
3,6,2025-01-01,3.829,1.282
3,7,2025-01-01,3.803,4.847
4,1,2025-01-01,3.891,4.018
4,2,2025-01-01,4.018,4.312
4,3,2025-01-01,3.733,4.636
4,4,2025-01-01,3.758,2.920
4,5,2025-01-01,3.747,1.282
4,6,2025-01-01,4.047,4.847
4,7,2025-01-01,1.781,4.683
5,1,2025-01-01,4.236,4.312
5,2,2025-01-01,3.836,4.636
5,3,2025-01-01,3.831,2.920
5,4,2025-01-01,4.199,1.282
5,5,2025-01-01,4.535,4.847
5,6,2025-01-01,4.659,4.683
5,7,2025-01-01,4.155,4.033
6,1,2025-01-01,3.168,4.636
6,2,2025-01-01,3.079,2.920
6,3,2025-01-01,3.994,1.282
6,4,2025-01-01,3.491,4.847
6,5,2025-01-01,4.548,4.683
6,6,2025-01-01,4.435,4.033
6,7,2025-01-01,3.100,4.072
7,1,2025-01-01,4.207,2.920
7,2,2025-01-01,3.562,1.282
7,3,2025-01-01,4.364,4.847
7,4,2025-01-01,3.897,4.683
7,5,2025-01-01,3.399,4.033
7,6,2025-01-01,4.572,4.072
7,7,2025-01-01,2.668,2.835
8,1,2025-01-01,1.147,1.282
8,2,2025-01-01,0.859,4.847
8,3,2025-01-01,0.568,4.683
8,4,2025-01-01,1.122,4.033
8,5,2025-01-01,2.287,4.072
8,6,2025-01-01,2.439,2.835
8,7,2025-01-01,3.533,4.973
9,1,2025-01-01,1.447,4.847
9,2,2025-01-01,2.624,4.683
9,3,2025-01-01,3.221,4.033
9,4,2025-01-01,1.909,4.072
9,5,2025-01-01,2.086,2.835
9,6,2025-01-01,1.584,4.973
9,7,2025-01-01,2.546,5.388
10,1,2025-01-01,4.637,4.683
10,2,2025-01-01,4.292,4.033
10,3,2025-01-01,4.579,4.072
10,4,2025-01-01,4.407,2.835
10,5,2025-01-01,3.427,4.973
