Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,1.068,1.355
0,2,2025-01-01,1.093,0.492
0,3,2025-01-01,1.108,1.233
0,4,2025-01-01,1.025,0.312
0,5,2025-01-01,1.240,0.926
0,6,2025-01-01,1.192,0.798
0,7,2025-01-01,1.373,1.409
1,1,2025-01-01,1.371,0.492
1,2,2025-01-01,1.169,1.233
1,3,2025-01-01,1.445,0.312
1,4,2025-01-01,1.154,0.926
1,5,2025-01-01,1.411,0.798
1,6,2025-01-01,1.231,1.409
1,7,2025-01-01,1.783,0.954
2,1,2025-01-01,0.451,1.233
2,2,2025-01-01,0.474,0.312
2,3,2025-01-01,0.566,0.926
2,4,2025-01-01,0.556,0.798
2,5,2025-01-01,0.942,1.409
2,6,2025-01-01,0.670,0.954
2,7,2025-01-01,1.312,1.129
3,1,2025-01-01,1.255,0.312
3,2,2025-01-01,1.440,0.926
3,3,2025-01-01,1.283,0.798
3,4,2025-01-01,1.062,1.409
3,5,2025-01-01,0.899,0.954
3,6,2025-01-01,0.973,1.129
3,7,2025-01-01,1.823,0.444
4,1,2025-01-01,0.424,0.926
4,2,2025-01-01,0.405,0.798
4,3,2025-01-01,0.670,1.409
4,4,2025-01-01,0.512,0.954
4,5,2025-01-01,0.605,1.129
4,6,2025-01-01,0.911,0.444
4,7,2025-01-01,1.260,0.754
5,1,2025-01-01,0.823,0.798
5,2,2025-01-01,1.042,1.409
5,3,2025-01-01,0.976,0.954
5,4,2025-01-01,0.549,1.129
5,5,2025-01-01,0.643,0.444
5,6,2025-01-01,0.560,0.754
5,7,2025-01-01,1.730,1.731
6,1,2025-01-01,1.063,1.409
6,2,2025-01-01,1.398,0.954
6,3,2025-01-01,1.051,1.129
6,4,2025-01-01,0.964,0.444
6,5,2025-01-01,1.553,0.754
6,6,2025-01-01,1.183,1.731
6,7,2025-01-01,1.132,1.705
7,1,2025-01-01,1.737,0.954
7,2,2025-01-01,1.630,1.129
7,3,2025-01-01,1.880,0.444
7,4,2025-01-01,1.868,0.754
7,5,2025-01-01,1.059,1.731
7,6,2025-01-01,1.734,1.705
7,7,2025-01-01,1.789,0.985
8,1,2025-01-01,0.681,1.129
8,2,2025-01-01,1.091,0.444
8,3,2025-01-01,0.989,0.754
8,4,2025-01-01,1.379,1.731
8,5,2025-01-01,0.702,1.705
8,6,2025-01-01,1.741,0.985
8,7,2025-01-01,1.969,1.546
9,1,2025-01-01,1.603,0.444
9,2,2025-01-01,1.371,0.754
9,3,2025-01-01,1.464,1.731
9,4,2025-01-01,0.666,1.705
9,5,2025-01-01,1.583,0.985
9,6,2025-01-01,1.713,1.546
9,7,2025-01-01,2.427,1.956
10,1,2025-01-01,0.573,0.754
10,2,2025-01-01,0.875,1.731
10,3,2025-01-01,0.503,1.705
10,4,2025-01-01,0.839,0.985
10,5,2025-01-01,0.357,1.546
10,6,2025-01-01,1.717,1.956
10,7,2025-01-01,1.125,1.022
11,1,2025-01-01,1.036,1.731
11,2,2025-01-01,1.096,1.705
11,3,2025-01-01,1.033,0.985
11,4,2025-01-01,1.616,1.546
11,5,2025-01-01,1.467,1.956
11,6,2025-01-01,1.721,1.022
11,7,2025-01-01,2.436,0.771
12,1,2025-01-01,1.794,1.705
12,2,2025-01-01,1.758,0.985
12,3,2025-01-01,1.701,1.546
12,4,2025-01-01,1.902,1.956
12,5,2025-01-01,1.488,1.022
12,6,2025-01-01,1.881,0.771
12,7,2025-01-01,2.623,1.435
13,1,2025-01-01,1.827,0.985
13,2,2025-01-01,1.649,1.546
13,3,2025-01-01,1.754,1.956
13,4,2025-01-01,1.797,1.022
13,5,2025-01-01,1.874,0.771
13,6,2025-01-01,2.082,1.435
13,7,2025-01-01,1.236,1.575
14,1,2025-01-01,1.493,1.546
14,2,2025-01-01,1.806,1.956
14,3,2025-01-01,1.846,1.022
14,4,2025-01-01,1.988,0.771
14,5,2025-01-01,1.968,1.435
14,6,2025-01-01,2.044,1.575
14,7,2025-01-01,2.619,0.820
15,1,2025-01-01,1.389,1.956
15,2,2025-01-01,1.712,1.022
15,3,2025-01-01,2.085,0.771
15,4,2025-01-01,2.168,1.435
15,5,2025-01-01,2.255,1.575
15,6,2025-01-01,2.494,0.820
15,7,2025-01-01,2.556,1.073
16,1,2025-01-01,1.592,1.022
16,2,2025-01-01,2.192,0.771
16,3,2025-01-01,2.379,1.435
16,4,2025-01-01,2.442,1.575
16,5,2025-01-01,1.484,0.820
16,6,2025-01-01,0.901,1.073
16,7,2025-01-01,2.859,1.825
17,1,2025-01-01,1.560,0.771
17,2,2025-01-01,1.034,1.435
17,3,2025-01-01,1.200,1.575
17,4,2025-01-01,1.307,0.820
17,5,2025-01-01,1.278,1.073
17,6,2025-01-01,1.669,1.825
17,7,2025-01-01,1.544,1.500
18,1,2025-01-01,0.703,1.435
18,2,2025-01-01,0.875,1.575
18,3,2025-01-01,0.607,0.820
18,4,2025-01-01,0.566,1.073
18,5,2025-01-01,1.265,1.825
18,6,2025-01-01,1.194,1.500
18,7,2025-01-01,2.161,1.847
19,1,2025-01-01,1.320,1.575
19,2,2025-01-01,1.480,0.820
19,3,2025-01-01,1.141,1.073
19,4,2025-01-01,0.538,1.825
19,5,2025-01-01,0.997,1.500
19,6,2025-01-01,1.038,1.847
19,7,2025-01-01,2.321,1.625
20,1,2025-01-01,0.896,0.820
20,2,2025-01-01,1.292,1.073
20,3,2025-01-01,2.295,1.825
20,4,2025-01-01,1.589,1.500
20,5,2025-01-01,1.014,1.847
20,6,2025-01-01,2.251,1.625
20,7,2025-01-01,1.473,2.379
21,1,2025-01-01,0.663,1.073
21,2,2025-01-01,0.727,1.825
21,3,2025-01-01,0.691,1.500
21,4,2025-01-01,1.716,1.847
21,5,2025-01-01,1.191,1.625
21,6,2025-01-01,0.887,2.379
21,7,2025-01-01,1.621,2.125
22,1,2025-01-01,0.792,1.825
22,2,2025-01-01,1.033,1.500
22,3,2025-01-01,0.542,1.847
22,4,2025-01-01,1.177,1.625
22,5,2025-01-01,1.815,2.379
22,6,2025-01-01,1.608,2.125
22,7,2025-01-01,1.362,2.152
23,1,2025-01-01,1.955,1.500
23,2,2025-01-01,1.585,1.847
23,3,2025-01-01,1.699,1.625
23,4,2025-01-01,0.919,2.379
23,5,2025-01-01,2.319,2.125
23,6,2025-01-01,2.187,2.152
23,7,2025-01-01,2.035,2.287
24,1,2025-01-01,1.411,1.847
24,2,2025-01-01,1.097,1.625
24,3,2025-01-01,1.199,2.379
24,4,2025-01-01,1.656,2.125
24,5,2025-01-01,1.854,2.152
24,6,2025-01-01,1.803,2.287
24,7,2025-01-02,1.119,1.376
25,1,2025-01-01,2.238,1.625
25,2,2025-01-01,1.826,2.379
25,3,2025-01-01,2.073,2.125
25,4,2025-01-01,2.116,2.152
25,5,2025-01-01,1.972,2.287
25,6,2025-01-02,1.637,1.376
25,7,2025-01-02,2.576,3.431
26,1,2025-01-01,2.144,2.379
26,2,2025-01-01,1.922,2.125
26,3,2025-01-01,2.116,2.152
26,4,2025-01-01,2.094,2.287
26,5,2025-01-02,2.188,1.376
26,6,2025-01-02,2.293,3.431
26,7,2025-01-02,2.306,0.881
27,1,2025-01-01,2.597,2.125
27,2,2025-01-01,2.091,2.152
27,3,2025-01-01,1.957,2.287
27,4,2025-01-02,2.119,1.376
27,5,2025-01-02,2.228,3.431
27,6,2025-01-02,2.178,0.881
27,7,2025-01-02,2.813,3.760
28,1,2025-01-01,2.387,2.152
28,2,2025-01-01,1.822,2.287
28,3,2025-01-02,2.108,1.376
28,4,2025-01-02,2.261,3.431
28,5,2025-01-02,1.869,0.881
28,6,2025-01-02,2.298,3.760
28,7,2025-01-02,3.941,1.508
29,1,2025-01-01,2.457,2.287
29,2,2025-01-02,1.698,1.376
29,3,2025-01-02,1.791,3.431
29,4,2025-01-02,2.546,0.881
29,5,2025-01-02,1.976,3.760
29,6,2025-01-02,2.944,1.508
29,7,2025-01-02,3.424,1.227
30,1,2025-01-02,1.723,1.376
30,2,2025-01-02,1.555,3.431
30,3,2025-01-02,1.771,0.881
30,4,2025-01-02,2.146,3.760
30,5,2025-01-02,3.305,1.508
30,6,2025-01-02,2.562,1.227
30,7,2025-01-02,4.608,2.619
31,1,2025-01-02,1.118,3.431
31,2,2025-01-02,1.553,0.881
31,3,2025-01-02,0.953,3.760
31,4,2025-01-02,2.909,1.508
31,5,2025-01-02,3.190,1.227
31,6,2025-01-02,3.010,2.619
31,7,2025-01-02,3.874,2.276
32,1,2025-01-02,3.336,0.881
32,2,2025-01-02,2.803,3.760
32,3,2025-01-02,3.687,1.508
32,4,2025-01-02,3.572,1.227
32,5,2025-01-02,3.367,2.619
32,6,2025-01-02,4.143,2.276
32,7,2025-01-02,5.480,2.226
33,1,2025-01-02,0.703,3.760
33,2,2025-01-02,0.714,1.508
33,3,2025-01-02,2.337,1.227
33,4,2025-01-02,1.525,2.619
33,5,2025-01-02,0.843,2.276
33,6,2025-01-02,1.384,2.226
33,7,2025-01-02,5.056,1.605
34,1,2025-01-02,3.645,1.508
34,2,2025-01-02,3.950,1.227
34,3,2025-01-02,3.955,2.619
