Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.556,1.141
0,2,2025-01-01,0.703,0.349
0,3,2025-01-01,0.731,1.117
0,4,2025-01-01,0.652,0.277
0,5,2025-01-01,0.834,0.629
0,6,2025-01-01,0.877,1.444
0,7,2025-01-01,0.941,0.961
1,1,2025-01-01,0.809,0.349
1,2,2025-01-01,0.834,1.117
1,3,2025-01-01,0.913,0.277
1,4,2025-01-01,0.865,0.629
1,5,2025-01-01,0.885,1.444
1,6,2025-01-01,1.085,0.961
1,7,2025-01-01,1.480,1.092
2,1,2025-01-01,0.330,1.117
2,2,2025-01-01,0.294,0.277
2,3,2025-01-01,0.395,0.629
2,4,2025-01-01,0.487,1.444
2,5,2025-01-01,0.367,0.961
2,6,2025-01-01,0.898,1.092
2,7,2025-01-01,0.929,1.298
3,1,2025-01-01,0.827,0.277
3,2,2025-01-01,0.852,0.629
3,3,2025-01-01,0.649,1.444
3,4,2025-01-01,0.687,0.961
3,5,2025-01-01,0.514,1.092
3,6,2025-01-01,0.725,1.298
3,7,2025-01-01,1.862,0.276
4,1,2025-01-01,0.295,0.629
4,2,2025-01-01,0.417,1.444
4,3,2025-01-01,0.687,0.961
4,4,2025-01-01,0.588,1.092
4,5,2025-01-01,0.723,1.298
4,6,2025-01-01,0.888,0.276
4,7,2025-01-01,1.537,1.495
5,1,2025-01-01,0.492,1.444
5,2,2025-01-01,0.518,0.961
5,3,2025-01-01,0.568,1.092
5,4,2025-01-01,0.420,1.298
5,5,2025-01-01,0.605,0.276
5,6,2025-01-01,0.395,1.495
5,7,2025-01-01,1.311,1.801
6,1,2025-01-01,1.091,0.961
6,2,2025-01-01,1.270,1.092
6,3,2025-01-01,0.818,1.298
6,4,2025-01-01,1.110,0.276
6,5,2025-01-01,1.625,1.495
6,6,2025-01-01,1.388,1.801
6,7,2025-01-01,1.638,1.774
7,1,2025-01-01,1.361,1.092
7,2,2025-01-01,1.426,1.298
7,3,2025-01-01,1.686,0.276
7,4,2025-01-01,1.479,1.495
7,5,2025-01-01,0.859,1.801
7,6,2025-01-01,0.846,1.774
7,7,2025-01-01,2.056,1.934
8,1,2025-01-01,0.497,1.298
8,2,2025-01-01,0.871,0.276
8,3,2025-01-01,0.585,1.495
8,4,2025-01-01,0.750,1.801
8,5,2025-01-01,0.660,1.774
8,6,2025-01-01,1.410,1.934
8,7,2025-01-01,1.157,1.938
9,1,2025-01-01,1.359,0.276
9,2,2025-01-01,1.330,1.495
9,3,2025-01-01,1.256,1.801
9,4,2025-01-01,1.322,1.774
9,5,2025-01-01,1.653,1.934
9,6,2025-01-01,1.471,1.938
9,7,2025-01-01,2.323,1.807
10,1,2025-01-01,0.366,1.495
10,2,2025-01-01,0.464,1.801
10,3,2025-01-01,0.476,1.774
10,4,2025-01-01,0.474,1.934
10,5,2025-01-01,0.436,1.938
10,6,2025-01-01,1.534,1.807
10,7,2025-01-01,1.693,1.240
11,1,2025-01-01,1.133,1.801
11,2,2025-01-01,1.556,1.774
11,3,2025-01-01,1.500,1.934
11,4,2025-01-01,1.579,1.938
11,5,2025-01-01,1.401,1.807
11,6,2025-01-01,1.696,1.240
11,7,2025-01-01,2.461,0.908
12,1,2025-01-01,1.704,1.774
12,2,2025-01-01,1.850,1.934
12,3,2025-01-01,1.821,1.938
12,4,2025-01-01,1.963,1.807
12,5,2025-01-01,1.456,1.240
12,6,2025-01-01,1.917,0.908
12,7,2025-01-01,2.552,1.973
13,1,2025-01-01,1.743,1.934
13,2,2025-01-01,1.789,1.938
13,3,2025-01-01,1.865,1.807
13,4,2025-01-01,1.981,1.240
13,5,2025-01-01,2.052,0.908
13,6,2025-01-01,2.184,1.973
13,7,2025-01-01,1.180,1.363
14,1,2025-01-01,2.022,1.938
14,2,2025-01-01,2.134,1.807
14,3,2025-01-01,2.067,1.240
14,4,2025-01-01,2.292,0.908
14,5,2025-01-01,2.171,1.973
14,6,2025-01-01,2.314,1.363
14,7,2025-01-01,2.972,1.149
15,1,2025-01-01,0.932,1.807
15,2,2025-01-01,2.115,1.240
15,3,2025-01-01,2.318,0.908
15,4,2025-01-01,2.331,1.973
15,5,2025-01-01,2.450,1.363
15,6,2025-01-01,2.666,1.149
15,7,2025-01-01,2.533,0.800
16,1,2025-01-01,1.408,1.240
16,2,2025-01-01,2.480,0.908
16,3,2025-01-01,2.644,1.973
16,4,2025-01-01,2.585,1.363
16,5,2025-01-01,1.185,1.149
16,6,2025-01-01,0.893,0.800
16,7,2025-01-01,2.134,1.389
17,1,2025-01-01,0.945,0.908
17,2,2025-01-01,1.007,1.973
17,3,2025-01-01,0.921,1.363
17,4,2025-01-01,1.088,1.149
17,5,2025-01-01,0.981,0.800
17,6,2025-01-01,2.294,1.389
17,7,2025-01-01,1.835,0.846
18,1,2025-01-01,0.830,1.973
18,2,2025-01-01,0.855,1.363
18,3,2025-01-01,0.794,1.149
18,4,2025-01-01,0.796,0.800
18,5,2025-01-01,1.026,1.389
18,6,2025-01-01,1.232,0.846
18,7,2025-01-01,2.405,2.033
19,1,2025-01-01,2.299,1.363
19,2,2025-01-01,1.196,1.149
19,3,2025-01-01,1.621,0.800
19,4,2025-01-01,1.433,1.389
19,5,2025-01-01,1.494,0.846
19,6,2025-01-01,1.394,2.033
19,7,2025-01-01,2.320,2.041
20,1,2025-01-01,1.952,1.149
20,2,2025-01-01,1.110,0.800
20,3,2025-01-01,1.882,1.389
20,4,2025-01-01,1.970,0.846
20,5,2025-01-01,0.917,2.033
20,6,2025-01-01,2.406,2.041
20,7,2025-01-01,1.291,2.232
21,1,2025-01-01,0.500,0.800
21,2,2025-01-01,0.794,1.389
21,3,2025-01-01,0.690,0.846
21,4,2025-01-01,1.125,2.033
21,5,2025-01-01,0.905,2.041
21,6,2025-01-01,1.090,2.232
21,7,2025-01-01,2.124,2.161
22,1,2025-01-01,0.796,1.389
22,2,2025-01-01,0.559,0.846
22,3,2025-01-01,0.400,2.033
22,4,2025-01-01,1.482,2.041
22,5,2025-01-01,2.077,2.232
22,6,2025-01-01,2.075,2.161
22,7,2025-01-01,1.931,1.898
23,1,2025-01-01,1.411,0.846
23,2,2025-01-01,1.577,2.033
23,3,2025-01-01,1.446,2.041
23,4,2025-01-01,0.867,2.232
23,5,2025-01-01,2.268,2.161
23,6,2025-01-01,1.964,1.898
23,7,2025-01-01,2.091,1.768
24,1,2025-01-01,0.844,2.033
24,2,2025-01-01,1.026,2.041
24,3,2025-01-01,1.058,2.232
24,4,2025-01-01,1.002,2.161
24,5,2025-01-01,0.846,1.898
24,6,2025-01-01,1.245,1.768
24,7,2025-01-02,1.376,2.384
25,1,2025-01-01,1.804,2.041
25,2,2025-01-01,1.903,2.232
25,3,2025-01-01,1.638,2.161
25,4,2025-01-01,1.819,1.898
25,5,2025-01-01,1.274,1.768
25,6,2025-01-02,1.251,2.384
25,7,2025-01-02,1.911,3.601
26,1,2025-01-01,2.131,2.232
