Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,2.765,3.140
0,2,2025-01-01,2.676,2.305
0,3,2025-01-01,2.720,4.108
0,4,2025-01-01,2.669,4.553
0,5,2025-01-01,2.916,4.018
0,6,2025-01-01,2.986,4.312
0,7,2025-01-01,3.024,4.636
1,1,2025-01-01,2.453,2.305
1,2,2025-01-01,2.571,4.108
1,3,2025-01-01,2.685,4.553
1,4,2025-01-01,2.880,4.018
1,5,2025-01-01,3.070,4.312
1,6,2025-01-01,3.246,4.636
1,7,2025-01-01,3.289,2.920
2,1,2025-01-01,2.480,4.108
2,2,2025-01-01,2.699,4.553
2,3,2025-01-01,2.807,4.018
2,4,2025-01-01,2.928,4.312
2,5,2025-01-01,3.090,4.636
2,6,2025-01-01,3.184,2.920
2,7,2025-01-01,3.240,1.282
3,1,2025-01-01,3.102,4.553
3,2,2025-01-01,3.021,4.018
3,3,2025-01-01,3.038,4.312
3,4,2025-01-01,3.083,4.636
3,5,2025-01-01,3.158,2.920
3,6,2025-01-01,3.247,1.282
3,7,2025-01-01,3.296,4.847
4,1,2025-01-01,3.204,4.018
4,2,2025-01-01,3.200,4.312
4,3,2025-01-01,3.256,4.636
4,4,2025-01-01,3.335,2.920
4,5,2025-01-01,3.415,1.282
4,6,2025-01-01,3.462,4.847
4,7,2025-01-01,3.462,4.683
5,1,2025-01-01,3.146,4.312
5,2,2025-01-01,3.171,4.636
5,3,2025-01-01,3.291,2.920
5,4,2025-01-01,3.431,1.282
5,5,2025-01-01,3.533,4.847
5,6,2025-01-01,3.573,4.683
5,7,2025-01-01,3.568,4.033
6,1,2025-01-01,3.312,4.636
6,2,2025-01-01,3.263,2.920
6,3,2025-01-01,3.401,1.282
6,4,2025-01-01,3.493,4.847
6,5,2025-01-01,3.566,4.683
6,6,2025-01-01,3.591,4.033
6,7,2025-01-01,3.546,4.072
7,1,2025-01-01,3.573,2.920
7,2,2025-01-01,3.487,1.282
7,3,2025-01-01,3.513,4.847
7,4,2025-01-01,3.508,4.683
7,5,2025-01-01,3.512,4.033
7,6,2025-01-01,3.516,4.072
7,7,2025-01-01,3.491,2.835
8,1,2025-01-01,3.320,1.282
8,2,2025-01-01,3.307,4.847
8,3,2025-01-01,3.253,4.683
8,4,2025-01-01,3.259,4.033
8,5,2025-01-01,3.400,4.072
8,6,2025-01-01,3.442,2.835
8,7,2025-01-01,3.430,4.973
9,1,2025-01-01,3.161,4.847
9,2,2025-01-01,3.378,4.683
9,3,2025-01-01,3.548,4.033
9,4,2025-01-01,3.579,4.072
9,5,2025-01-01,3.485,2.835
9,6,2025-01-01,3.425,4.973
9,7,2025-01-01,3.350,5.388
10,1,2025-01-01,3.889,4.683
10,2,2025-01-01,3.737,4.033
10,3,2025-01-01,3.720,4.072
10,4,2025-01-01,3.682,2.835
10,5,2025-01-01,3.613,4.973
10,6,2025-01-01,3.529,5.388
10,7,2025-01-01,3.412,5.848
11,1,2025-01-01,4.086,4.033
11,2,2025-01-01,3.985,4.072
11,3,2025-01-01,3.992,2.835
11,4,2025-01-01,3.975,4.973
11,5,2025-01-01,3.972,5.388
11,6,2025-01-01,3.943,5.848
11,7,2025-01-01,3.700,5.689
12,1,2025-01-01,3.955,4.072
12,2,2025-01-01,3.878,2.835
12,3,2025-01-01,3.876,4.973
12,4,2025-01-01,3.915,5.388
12,5,2025-01-01,3.927,5.848
12,6,2025-01-01,3.933,5.689
12,7,2025-01-01,3.900,2.778
13,1,2025-01-01,3.802,2.835
13,2,2025-01-01,3.919,4.973
13,3,2025-01-01,3.922,5.388
13,4,2025-01-01,3.905,5.848
13,5,2025-01-01,3.636,5.689
13,6,2025-01-01,3.706,2.778
13,7,2025-01-01,3.775,5.945
14,1,2025-01-01,3.387,4.973
14,2,2025-01-01,3.605,5.388
14,3,2025-01-01,3.935,5.848
14,4,2025-01-01,4.030,5.689
14,5,2025-01-01,3.809,2.778
14,6,2025-01-01,3.749,5.945
14,7,2025-01-01,3.684,6.142
15,1,2025-01-01,4.147,5.388
15,2,2025-01-01,4.170,5.848
15,3,2025-01-01,4.207,5.689
15,4,2025-01-01,4.233,2.778
15,5,2025-01-01,4.314,5.945
15,6,2025-01-01,4.230,6.142
15,7,2025-01-01,4.203,6.013
16,1,2025-01-01,4.533,5.848
16,2,2025-01-01,4.571,5.689
16,3,2025-01-01,4.659,2.778
16,4,2025-01-01,4.788,5.945
16,5,2025-01-01,4.916,6.142
16,6,2025-01-01,5.010,6.013
16,7,2025-01-01,5.031,4.249
17,1,2025-01-01,4.897,5.689
17,2,2025-01-01,4.904,2.778
17,3,2025-01-01,4.978,5.945
17,4,2025-01-01,5.195,6.142
17,5,2025-01-01,5.350,6.013
17,6,2025-01-01,5.444,4.249
17,7,2025-01-01,5.467,6.228
18,1,2025-01-01,4.955,2.778
18,2,2025-01-01,4.949,5.945
18,3,2025-01-01,5.049,6.142
18,4,2025-01-01,5.047,6.013
18,5,2025-01-01,5.121,4.249
18,6,2025-01-01,5.161,6.228
18,7,2025-01-01,5.117,5.028
19,1,2025-01-01,4.288,5.945
19,2,2025-01-01,4.611,6.142
19,3,2025-01-01,4.658,6.013
19,4,2025-01-01,4.766,4.249
19,5,2025-01-01,4.728,6.228
19,6,2025-01-01,4.672,5.028
19,7,2025-01-01,4.340,4.124
20,1,2025-01-01,4.835,6.142
20,2,2025-01-01,4.789,6.013
20,3,2025-01-01,4.871,4.249
20,4,2025-01-01,4.960,6.228
20,5,2025-01-01,4.954,5.028
20,6,2025-01-01,4.833,4.124
20,7,2025-01-01,4.641,5.684
21,1,2025-01-01,4.954,6.013
21,2,2025-01-01,4.888,4.249
21,3,2025-01-01,4.814,6.228
21,4,2025-01-01,4.693,5.028
21,5,2025-01-01,4.605,4.124
21,6,2025-01-01,4.546,5.684
21,7,2025-01-01,4.164,5.223
22,1,2025-01-01,4.791,4.249
22,2,2025-01-01,4.486,6.228
22,3,2025-01-01,4.292,5.028
22,4,2025-01-01,3.970,4.124
22,5,2025-01-01,3.920,5.684
22,6,2025-01-01,3.571,5.223
22,7,2025-01-01,3.706,5.858
23,1,2025-01-01,4.391,6.228
23,2,2025-01-01,4.326,5.028
23,3,2025-01-01,4.250,4.124
23,4,2025-01-01,4.105,5.684
23,5,2025-01-01,3.569,5.223
23,6,2025-01-01,3.878,5.858
23,7,2025-01-01,3.542,4.500
24,1,2025-01-01,4.932,5.028
24,2,2025-01-01,4.620,4.124
24,3,2025-01-01,4.520,5.684
24,4,2025-01-01,4.438,5.223
24,5,2025-01-01,4.160,5.858
24,6,2025-01-01,3.949,4.500
24,7,2025-01-02,3.935,3.633
25,1,2025-01-01,4.464,4.124
25,2,2025-01-01,4.407,5.684
25,3,2025-01-01,4.514,5.223
25,4,2025-01-01,4.565,5.858
25,5,2025-01-01,4.471,4.500
25,6,2025-01-02,4.258,3.633
25,7,2025-01-02,3.989,7.370
26,1,2025-01-01,4.701,5.684
26,2,2025-01-01,4.552,5.223
26,3,2025-01-01,4.528,5.858
