Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.605,1.355
0,2,2025-01-01,0.612,0.492
0,3,2025-01-01,0.662,1.233
0,4,2025-01-01,0.652,0.312
0,5,2025-01-01,0.671,0.926
0,6,2025-01-01,0.667,0.798
0,7,2025-01-01,0.693,1.409
1,1,2025-01-01,0.673,0.492
1,2,2025-01-01,0.719,1.233
1,3,2025-01-01,0.724,0.312
1,4,2025-01-01,0.770,0.926
1,5,2025-01-01,0.775,0.798
1,6,2025-01-01,0.813,1.409
1,7,2025-01-01,0.828,0.954
2,1,2025-01-01,0.645,1.233
2,2,2025-01-01,0.661,0.312
2,3,2025-01-01,0.687,0.926
2,4,2025-01-01,0.702,0.798
2,5,2025-01-01,0.758,1.409
2,6,2025-01-01,0.722,0.954
2,7,2025-01-01,0.810,1.129
3,1,2025-01-01,0.735,0.312
3,2,2025-01-01,0.761,0.926
3,3,2025-01-01,0.785,0.798
3,4,2025-01-01,0.780,1.409
3,5,2025-01-01,0.789,0.954
3,6,2025-01-01,0.762,1.129
3,7,2025-01-01,0.831,0.444
4,1,2025-01-01,0.722,0.926
4,2,2025-01-01,0.745,0.798
4,3,2025-01-01,0.771,1.409
4,4,2025-01-01,0.782,0.954
4,5,2025-01-01,0.792,1.129
4,6,2025-01-01,0.802,0.444
4,7,2025-01-01,0.840,0.754
5,1,2025-01-01,0.772,0.798
5,2,2025-01-01,0.806,1.409
5,3,2025-01-01,0.822,0.954
5,4,2025-01-01,0.810,1.129
5,5,2025-01-01,0.836,0.444
5,6,2025-01-01,0.851,0.754
5,7,2025-01-01,0.980,1.731
6,1,2025-01-01,0.743,1.409
6,2,2025-01-01,0.811,0.954
6,3,2025-01-01,0.837,1.129
6,4,2025-01-01,0.878,0.444
6,5,2025-01-01,0.937,0.754
6,6,2025-01-01,0.891,1.731
6,7,2025-01-01,0.953,1.705
7,1,2025-01-01,0.903,0.954
7,2,2025-01-01,1.064,1.129
7,3,2025-01-01,1.093,0.444
7,4,2025-01-01,1.132,0.754
7,5,2025-01-01,1.118,1.731
7,6,2025-01-01,1.216,1.705
7,7,2025-01-01,1.328,0.985
8,1,2025-01-01,0.854,1.129
8,2,2025-01-01,1.003,0.444
8,3,2025-01-01,1.065,0.754
8,4,2025-01-01,1.124,1.731
8,5,2025-01-01,1.123,1.705
8,6,2025-01-01,1.241,0.985
8,7,2025-01-01,1.298,1.546
9,1,2025-01-01,0.895,0.444
9,2,2025-01-01,1.047,0.754
9,3,2025-01-01,1.038,1.731
9,4,2025-01-01,1.032,1.705
9,5,2025-01-01,1.206,0.985
9,6,2025-01-01,1.198,1.546
9,7,2025-01-01,1.293,1.956
10,1,2025-01-01,0.840,0.754
10,2,2025-01-01,0.972,1.731
10,3,2025-01-01,0.937,1.705
10,4,2025-01-01,1.048,0.985
10,5,2025-01-01,1.018,1.546
10,6,2025-01-01,1.179,1.956
10,7,2025-01-01,1.068,1.022
11,1,2025-01-01,0.817,1.731
11,2,2025-01-01,0.940,1.705
11,3,2025-01-01,0.933,0.985
11,4,2025-01-01,1.027,1.546
11,5,2025-01-01,1.005,1.956
11,6,2025-01-01,1.073,1.022
11,7,2025-01-01,1.114,0.771
12,1,2025-01-01,0.959,1.705
12,2,2025-01-01,1.035,0.985
12,3,2025-01-01,1.093,1.546
12,4,2025-01-01,1.110,1.956
12,5,2025-01-01,1.097,1.022
12,6,2025-01-01,1.197,0.771
12,7,2025-01-01,1.244,1.435
13,1,2025-01-01,1.029,0.985
13,2,2025-01-01,1.118,1.546
13,3,2025-01-01,1.176,1.956
13,4,2025-01-01,1.214,1.022
13,5,2025-01-01,1.240,0.771
13,6,2025-01-01,1.303,1.435
13,7,2025-01-01,1.265,1.575
14,1,2025-01-01,0.919,1.546
14,2,2025-01-01,1.149,1.956
14,3,2025-01-01,1.155,1.022
14,4,2025-01-01,1.210,0.771
14,5,2025-01-01,1.232,1.435
14,6,2025-01-01,1.267,1.575
14,7,2025-01-01,1.331,0.820
15,1,2025-01-01,0.924,1.956
15,2,2025-01-01,1.117,1.022
15,3,2025-01-01,1.115,0.771
15,4,2025-01-01,1.156,1.435
15,5,2025-01-01,1.182,1.575
15,6,2025-01-01,1.183,0.820
15,7,2025-01-01,1.228,1.073
16,1,2025-01-01,0.996,1.022
16,2,2025-01-01,1.232,0.771
16,3,2025-01-01,1.176,1.435
16,4,2025-01-01,1.219,1.575
16,5,2025-01-01,1.150,0.820
16,6,2025-01-01,1.105,1.073
16,7,2025-01-01,1.272,1.825
17,1,2025-01-01,1.012,0.771
17,2,2025-01-01,1.047,1.435
17,3,2025-01-01,1.072,1.575
17,4,2025-01-01,1.128,0.820
17,5,2025-01-01,1.102,1.073
17,6,2025-01-01,1.179,1.825
17,7,2025-01-01,1.167,1.500
18,1,2025-01-01,0.988,1.435
18,2,2025-01-01,1.193,1.575
18,3,2025-01-01,1.090,0.820
18,4,2025-01-01,1.128,1.073
18,5,2025-01-01,1.183,1.825
18,6,2025-01-01,1.231,1.500
18,7,2025-01-01,1.314,1.847
19,1,2025-01-01,1.051,1.575
19,2,2025-01-01,1.361,0.820
19,3,2025-01-01,1.217,1.073
19,4,2025-01-01,1.193,1.825
19,5,2025-01-01,1.291,1.500
19,6,2025-01-01,1.301,1.847
19,7,2025-01-01,1.424,1.625
20,1,2025-01-01,1.073,0.820
20,2,2025-01-01,1.254,1.073
20,3,2025-01-01,1.331,1.825
20,4,2025-01-01,1.329,1.500
20,5,2025-01-01,1.316,1.847
20,6,2025-01-01,1.470,1.625
20,7,2025-01-01,1.439,2.379
21,1,2025-01-01,1.021,1.073
21,2,2025-01-01,1.151,1.825
21,3,2025-01-01,1.126,1.500
21,4,2025-01-01,1.453,1.847
21,5,2025-01-01,1.339,1.625
21,6,2025-01-01,1.304,2.379
21,7,2025-01-01,1.510,2.125
22,1,2025-01-01,1.058,1.825
22,2,2025-01-01,1.264,1.500
22,3,2025-01-01,1.162,1.847
22,4,2025-01-01,1.288,1.625
22,5,2025-01-01,1.432,2.379
22,6,2025-01-01,1.450,2.125
22,7,2025-01-01,1.444,2.152
23,1,2025-01-01,1.309,1.500
23,2,2025-01-01,1.391,1.847
23,3,2025-01-01,1.414,1.625
23,4,2025-01-01,1.432,2.379
23,5,2025-01-01,1.585,2.125
23,6,2025-01-01,1.649,2.152
23,7,2025-01-01,1.710,2.287
24,1,2025-01-01,1.217,1.847
24,2,2025-01-01,1.453,1.625
24,3,2025-01-01,1.454,2.379
24,4,2025-01-01,1.583,2.125
24,5,2025-01-01,1.578,2.152
24,6,2025-01-01,1.676,2.287
24,7,2025-01-02,1.608,1.376
25,1,2025-01-01,1.527,1.625
25,2,2025-01-01,1.588,2.379
25,3,2025-01-01,1.686,2.125
25,4,2025-01-01,1.743,2.152
25,5,2025-01-01,1.775,2.287
25,6,2025-01-02,1.821,1.376
25,7,2025-01-02,1.959,3.431
26,1,2025-01-01,1.468,2.379
26,2,2025-01-01,1.609,2.125
26,3,2025-01-01,1.748,2.152
26,4,2025-01-01,1.808,2.287
26,5,2025-01-02,1.871,1.376
26,6,2025-01-02,1.934,3.431
26,7,2025-01-02,1.974,0.881
27,1,2025-01-01,1.727,2.125
27,2,2025-01-01,1.851,2.152
27,3,2025-01-01,1.939,2.287
27,4,2025-01-02,2.002,1.376
27,5,2025-01-02,2.007,3.431
27,6,2025-01-02,2.110,0.881
27,7,2025-01-02,2.171,3.760
28,1,2025-01-01,1.833,2.152
28,2,2025-01-01,1.904,2.287
28,3,2025-01-02,1.985,1.376
28,4,2025-01-02,2.058,3.431
28,5,2025-01-02,2.124,0.881
28,6,2025-01-02,2.172,3.760
28,7,2025-01-02,2.341,1.508
29,1,2025-01-01,1.917,2.287
29,2,2025-01-02,1.995,1.376
29,3,2025-01-02,2.066,3.431
29,4,2025-01-02,2.132,0.881
29,5,2025-01-02,2.206,3.760
29,6,2025-01-02,2.346,1.508
29,7,2025-01-02,2.456,1.227
30,1,2025-01-02,1.920,1.376
30,2,2025-01-02,2.174,3.431
30,3,2025-01-02,2.228,0.881
30,4,2025-01-02,2.332,3.760
30,5,2025-01-02,2.385,1.508
30,6,2025-01-02,2.555,1.227
30,7,2025-01-02,2.687,2.619
31,1,2025-01-02,1.765,3.431
31,2,2025-01-02,2.224,0.881
31,3,2025-01-02,2.031,3.760
31,4,2025-01-02,2.386,1.508
31,5,2025-01-02,2.526,1.227
31,6,2025-01-02,2.713,2.619
31,7,2025-01-02,2.975,2.276
32,1,2025-01-02,2.357,0.881
32,2,2025-01-02,2.586,3.760
32,3,2025-01-02,2.624,1.508
32,4,2025-01-02,2.743,1.227
32,5,2025-01-02,2.864,2.619
32,6,2025-01-02,3.079,2.276
32,7,2025-01-02,3.237,2.226
33,1,2025-01-02,2.069,3.760
33,2,2025-01-02,2.145,1.508
33,3,2025-01-02,2.593,1.227
33,4,2025-01-02,2.470,2.619
33,5,2025-01-02,2.715,2.276
33,6,2025-01-02,3.057,2.226
33,7,2025-01-02,3.463,1.605
34,1,2025-01-02,2.607,1.508
34,2,2025-01-02,2.760,1.227
34,3,2025-01-02,2.795,2.619
34,4,2025-01-02,2.806,2.276
34,5,2025-01-02,2.922,2.226
34,6,2025-01-02,3.040,1.605
34,7,2025-01-02,3.114,3.370
35,1,2025-01-02,2.253,1.227
35,2,2025-01-02,2.615,2.619
35,3,2025-01-02,2.398,2.276
35,4,2025-01-02,2.772,2.226
35,5,2025-01-02,2.788,1.605
35,6,2025-01-02,3.004,3.370
35,7,2025-01-02,3.096,3.469
36,1,2025-01-02,2.415,2.619
36,2,2025-01-02,2.578,2.276
36,3,2025-01-02,2.731,2.226
36,4,2025-01-02,2.571,1.605
36,5,2025-01-02,2.967,3.370
36,6,2025-01-02,3.264,3.469
36,7,2025-01-02,3.367,3.343
37,1,2025-01-02,2.638,2.276
37,2,2025-01-02,2.677,2.226
37,3,2025-01-02,2.975,1.605
37,4,2025-01-02,3.033,3.370
37,5,2025-01-02,3.016,3.469
37,6,2025-01-02,2.996,3.343
37,7,2025-01-02,2.968,4.084
38,1,2025-01-02,2.723,2.226
38,2,2025-01-02,2.849,1.605
38,3,2025-01-02,2.948,3.370
38,4,2025-01-02,2.967,3.469
38,5,2025-01-02,2.989,3.343
38,6,2025-01-02,2.977,4.084
38,7,2025-01-02,2.977,3.626
39,1,2025-01-02,2.856,1.605
39,2,2025-01-02,2.944,3.370
39,3,2025-01-02,2.883,3.469
39,4,2025-01-02,2.823,3.343
39,5,2025-01-02,2.856,4.084
39,6,2025-01-02,2.854,3.626
39,7,2025-01-02,2.849,3.863
40,1,2025-01-02,2.719,3.370
40,2,2025-01-02,2.833,3.469
40,3,2025-01-02,2.815,3.343
40,4,2025-01-02,2.859,4.084
40,5,2025-01-02,2.789,3.626
40,6,2025-01-02,2.783,3.863
40,7,2025-01-02,2.695,3.651
41,1,2025-01-02,3.227,3.469
