Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.623,0.944
0,2,2025-01-01,0.648,0.648
0,3,2025-01-01,0.686,0.907
0,4,2025-01-01,0.710,0.853
0,5,2025-01-01,0.713,0.759
0,6,2025-01-01,0.714,1.143
0,7,2025-01-01,0.743,1.174
1,1,2025-01-01,0.664,0.648
1,2,2025-01-01,0.686,0.907
1,3,2025-01-01,0.740,0.853
1,4,2025-01-01,0.758,0.759
1,5,2025-01-01,0.768,1.143
1,6,2025-01-01,0.780,1.174
1,7,2025-01-01,0.816,0.579
2,1,2025-01-01,0.717,0.907
2,2,2025-01-01,0.748,0.853
2,3,2025-01-01,0.815,0.759
2,4,2025-01-01,0.859,1.143
2,5,2025-01-01,0.851,1.174
2,6,2025-01-01,0.901,0.579
2,7,2025-01-01,0.932,1.240
3,1,2025-01-01,0.766,0.853
3,2,2025-01-01,0.836,0.759
3,3,2025-01-01,0.878,1.143
3,4,2025-01-01,0.919,1.174
3,5,2025-01-01,0.966,0.579
3,6,2025-01-01,0.932,1.240
3,7,2025-01-01,1.024,0.838
4,1,2025-01-01,0.822,0.759
4,2,2025-01-01,0.899,1.143
4,3,2025-01-01,0.955,1.174
4,4,2025-01-01,1.000,0.579
4,5,2025-01-01,1.022,1.240
4,6,2025-01-01,1.061,0.838
4,7,2025-01-01,1.097,1.066
5,1,2025-01-01,0.970,1.143
5,2,2025-01-01,0.934,1.174
5,3,2025-01-01,1.035,0.579
5,4,2025-01-01,1.173,1.240
5,5,2025-01-01,1.194,0.838
5,6,2025-01-01,1.231,1.066
5,7,2025-01-01,1.264,1.179
6,1,2025-01-01,0.954,1.174
6,2,2025-01-01,0.984,0.579
6,3,2025-01-01,1.050,1.240
6,4,2025-01-01,1.069,0.838
6,5,2025-01-01,1.179,1.066
6,6,2025-01-01,1.233,1.179
6,7,2025-01-01,1.315,1.303
7,1,2025-01-01,1.050,0.579
7,2,2025-01-01,1.150,1.240
7,3,2025-01-01,1.168,0.838
7,4,2025-01-01,1.280,1.066
7,5,2025-01-01,1.315,1.179
7,6,2025-01-01,1.436,1.303
7,7,2025-01-01,1.371,1.296
8,1,2025-01-01,0.976,1.240
8,2,2025-01-01,1.144,0.838
8,3,2025-01-01,1.233,1.066
8,4,2025-01-01,1.233,1.179
8,5,2025-01-01,1.310,1.303
8,6,2025-01-01,1.373,1.296
8,7,2025-01-01,1.410,1.108
9,1,2025-01-01,1.054,0.838
9,2,2025-01-01,1.152,1.066
9,3,2025-01-01,1.224,1.179
9,4,2025-01-01,1.283,1.303
9,5,2025-01-01,1.314,1.296
9,6,2025-01-01,1.341,1.108
9,7,2025-01-01,1.321,0.574
10,1,2025-01-01,1.051,1.066
10,2,2025-01-01,1.129,1.179
10,3,2025-01-01,1.202,1.303
10,4,2025-01-01,1.265,1.296
10,5,2025-01-01,1.285,1.108
10,6,2025-01-01,1.332,0.574
10,7,2025-01-01,1.354,0.715
11,1,2025-01-01,1.051,1.179
