Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.572,1.514
0,2,2025-01-01,0.564,0.599
0,3,2025-01-01,0.593,1.165
0,4,2025-01-01,0.586,0.251
0,5,2025-01-01,0.572,0.993
0,6,2025-01-01,0.573,0.482
0,7,2025-01-01,0.575,1.779
1,1,2025-01-01,0.632,0.599
1,2,2025-01-01,0.623,1.165
1,3,2025-01-01,0.643,0.251
1,4,2025-01-01,0.639,0.993
1,5,2025-01-01,0.638,0.482
1,6,2025-01-01,0.626,1.779
1,7,2025-01-01,0.665,1.536
2,1,2025-01-01,0.636,1.165
2,2,2025-01-01,0.615,0.251
2,3,2025-01-01,0.628,0.993
2,4,2025-01-01,0.616,0.482
2,5,2025-01-01,0.627,1.779
2,6,2025-01-01,0.593,1.536
2,7,2025-01-01,0.605,0.429
3,1,2025-01-01,0.704,0.251
3,2,2025-01-01,0.680,0.993
3,3,2025-01-01,0.703,0.482
3,4,2025-01-01,0.699,1.779
3,5,2025-01-01,0.660,1.536
3,6,2025-01-01,0.674,0.429
3,7,2025-01-01,0.697,0.903
4,1,2025-01-01,0.692,0.993
4,2,2025-01-01,0.670,0.482
4,3,2025-01-01,0.717,1.779
4,4,2025-01-01,0.692,1.536
4,5,2025-01-01,0.714,0.429
4,6,2025-01-01,0.697,0.903
4,7,2025-01-01,0.711,1.239
5,1,2025-01-01,0.730,0.482
5,2,2025-01-01,0.730,1.779
5,3,2025-01-01,0.764,1.536
5,4,2025-01-01,0.749,0.429
5,5,2025-01-01,0.757,0.903
5,6,2025-01-01,0.804,1.239
5,7,2025-01-01,0.775,1.969
6,1,2025-01-01,0.694,1.779
6,2,2025-01-01,0.695,1.536
6,3,2025-01-01,0.753,0.429
6,4,2025-01-01,0.773,0.903
6,5,2025-01-01,0.813,1.239
6,6,2025-01-01,0.788,1.969
6,7,2025-01-01,0.883,1.997
7,1,2025-01-01,0.940,1.536
7,2,2025-01-01,0.954,0.429
7,3,2025-01-01,0.985,0.903
7,4,2025-01-01,1.042,1.239
7,5,2025-01-01,1.037,1.969
7,6,2025-01-01,1.036,1.997
7,7,2025-01-01,1.167,1.277
8,1,2025-01-01,0.958,0.429
8,2,2025-01-01,0.983,0.903
8,3,2025-01-01,1.035,1.239
8,4,2025-01-01,1.033,1.969
8,5,2025-01-01,1.123,1.997
8,6,2025-01-01,1.095,1.277
8,7,2025-01-01,1.277,1.681
9,1,2025-01-01,0.918,0.903
9,2,2025-01-01,0.911,1.239
9,3,2025-01-01,1.008,1.969
9,4,2025-01-01,1.075,1.997
9,5,2025-01-01,1.081,1.277
