Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.278,1.141
0,2,2025-01-01,0.258,0.349
0,3,2025-01-01,0.271,1.117
0,4,2025-01-01,0.246,0.277
0,5,2025-01-01,0.228,0.629
0,6,2025-01-01,0.228,1.444
0,7,2025-01-01,0.244,0.961
1,1,2025-01-01,0.336,0.349
1,2,2025-01-01,0.308,1.117
1,3,2025-01-01,0.311,0.277
1,4,2025-01-01,0.293,0.629
1,5,2025-01-01,0.285,1.444
1,6,2025-01-01,0.293,0.961
1,7,2025-01-01,0.321,1.092
2,1,2025-01-01,0.347,1.117
2,2,2025-01-01,0.318,0.277
2,3,2025-01-01,0.329,0.629
2,4,2025-01-01,0.323,1.444
2,5,2025-01-01,0.297,0.961
2,6,2025-01-01,0.300,1.092
2,7,2025-01-01,0.320,1.298
3,1,2025-01-01,0.404,0.277
3,2,2025-01-01,0.380,0.629
3,3,2025-01-01,0.395,1.444
3,4,2025-01-01,0.386,0.961
3,5,2025-01-01,0.373,1.092
3,6,2025-01-01,0.375,1.298
3,7,2025-01-01,0.388,0.276
4,1,2025-01-01,0.413,0.629
4,2,2025-01-01,0.397,1.444
4,3,2025-01-01,0.421,0.961
4,4,2025-01-01,0.408,1.092
4,5,2025-01-01,0.407,1.298
4,6,2025-01-01,0.416,0.276
4,7,2025-01-01,0.429,1.495
5,1,2025-01-01,0.458,1.444
5,2,2025-01-01,0.441,0.961
5,3,2025-01-01,0.472,1.092
5,4,2025-01-01,0.464,1.298
5,5,2025-01-01,0.460,0.276
5,6,2025-01-01,0.450,1.495
5,7,2025-01-01,0.496,1.801
6,1,2025-01-01,0.525,0.961
6,2,2025-01-01,0.536,1.092
6,3,2025-01-01,0.547,1.298
6,4,2025-01-01,0.572,0.276
6,5,2025-01-01,0.592,1.495
6,6,2025-01-01,0.585,1.801
6,7,2025-01-01,0.641,1.774
7,1,2025-01-01,0.622,1.092
7,2,2025-01-01,0.647,1.298
7,3,2025-01-01,0.701,0.276
7,4,2025-01-01,0.724,1.495
7,5,2025-01-01,0.724,1.801
7,6,2025-01-01,0.778,1.774
7,7,2025-01-01,0.897,1.934
8,1,2025-01-01,0.644,1.298
8,2,2025-01-01,0.690,0.276
8,3,2025-01-01,0.739,1.495
8,4,2025-01-01,0.773,1.801
8,5,2025-01-01,0.795,1.774
8,6,2025-01-01,0.884,1.934
8,7,2025-01-01,0.925,1.938
9,1,2025-01-01,0.719,0.276
9,2,2025-01-01,0.758,1.495
9,3,2025-01-01,0.826,1.801
9,4,2025-01-01,0.844,1.774
9,5,2025-01-01,0.906,1.934
9,6,2025-01-01,0.947,1.938
9,7,2025-01-01,1.008,1.807
10,1,2025-01-01,0.665,1.495
10,2,2025-01-01,0.700,1.801
10,3,2025-01-01,0.735,1.774
10,4,2025-01-01,0.758,1.934
10,5,2025-01-01,0.782,1.938
10,6,2025-01-01,0.868,1.807
10,7,2025-01-01,0.861,1.240
11,1,2025-01-01,0.727,1.801
11,2,2025-01-01,0.782,1.774
11,3,2025-01-01,0.807,1.934
11,4,2025-01-01,0.821,1.938
11,5,2025-01-01,0.820,1.807
11,6,2025-01-01,0.846,1.240
11,7,2025-01-01,0.887,0.908
12,1,2025-01-01,0.854,1.774
12,2,2025-01-01,0.886,1.934
12,3,2025-01-01,0.952,1.938
12,4,2025-01-01,0.975,1.807
12,5,2025-01-01,0.977,1.240
12,6,2025-01-01,1.037,0.908
12,7,2025-01-01,1.088,1.973
13,1,2025-01-01,0.964,1.934
13,2,2025-01-01,0.997,1.938
13,3,2025-01-01,1.086,1.807
13,4,2025-01-01,1.120,1.240
13,5,2025-01-01,1.150,0.908
13,6,2025-01-01,1.222,1.973
13,7,2025-01-01,1.194,1.363
14,1,2025-01-01,1.065,1.938
14,2,2025-01-01,1.139,1.807
14,3,2025-01-01,1.224,1.240
14,4,2025-01-01,1.260,0.908
14,5,2025-01-01,1.285,1.973
14,6,2025-01-01,1.335,1.363
14,7,2025-01-01,1.409,1.149
15,1,2025-01-01,1.060,1.807
15,2,2025-01-01,1.293,1.240
15,3,2025-01-01,1.286,0.908
15,4,2025-01-01,1.365,1.973
15,5,2025-01-01,1.421,1.363
15,6,2025-01-01,1.455,1.149
15,7,2025-01-01,1.517,0.800
16,1,2025-01-01,1.133,1.240
16,2,2025-01-01,1.409,0.908
16,3,2025-01-01,1.363,1.973
16,4,2025-01-01,1.406,1.363
16,5,2025-01-01,1.359,1.149
16,6,2025-01-01,1.308,0.800
16,7,2025-01-01,1.425,1.389
17,1,2025-01-01,1.146,0.908
17,2,2025-01-01,1.206,1.973
17,3,2025-01-01,1.196,1.363
17,4,2025-01-01,1.240,1.149
17,5,2025-01-01,1.249,0.800
17,6,2025-01-01,1.386,1.389
17,7,2025-01-01,1.380,0.846
18,1,2025-01-01,1.238,1.973
18,2,2025-01-01,1.410,1.363
18,3,2025-01-01,1.364,1.149
18,4,2025-01-01,1.423,0.800
18,5,2025-01-01,1.460,1.389
18,6,2025-01-01,1.498,0.846
18,7,2025-01-01,1.622,2.033
19,1,2025-01-01,1.690,1.363
19,2,2025-01-01,1.716,1.149
19,3,2025-01-01,1.847,0.800
19,4,2025-01-01,1.725,1.389
19,5,2025-01-01,1.776,0.846
19,6,2025-01-01,1.821,2.033
19,7,2025-01-01,1.949,2.041
20,1,2025-01-01,1.450,1.149
20,2,2025-01-01,1.495,0.800
20,3,2025-01-01,1.762,1.389
20,4,2025-01-01,1.759,0.846
20,5,2025-01-01,1.729,2.033
20,6,2025-01-01,1.941,2.041
20,7,2025-01-01,1.855,2.232
21,1,2025-01-01,1.270,0.800
21,2,2025-01-01,1.527,1.389
21,3,2025-01-01,1.468,0.846
21,4,2025-01-01,1.737,2.033
21,5,2025-01-01,1.721,2.041
21,6,2025-01-01,1.816,2.232
21,7,2025-01-01,2.024,2.161
22,1,2025-01-01,1.431,1.389
22,2,2025-01-01,1.580,0.846
22,3,2025-01-01,1.503,2.033
22,4,2025-01-01,1.712,2.041
22,5,2025-01-01,1.865,2.232
22,6,2025-01-01,1.944,2.161
22,7,2025-01-01,1.952,1.898
23,1,2025-01-01,1.611,0.846
23,2,2025-01-01,1.795,2.033
23,3,2025-01-01,1.760,2.041
23,4,2025-01-01,1.734,2.232
23,5,2025-01-01,1.941,2.161
23,6,2025-01-01,2.011,1.898
23,7,2025-01-01,2.058,1.768
24,1,2025-01-01,1.494,2.033
24,2,2025-01-01,1.819,2.041
24,3,2025-01-01,1.844,2.232
24,4,2025-01-01,1.904,2.161
24,5,2025-01-01,1.874,1.898
24,6,2025-01-01,1.998,1.768
24,7,2025-01-02,2.032,2.384
25,1,2025-01-01,1.812,2.041
25,2,2025-01-01,1.897,2.232
25,3,2025-01-01,1.904,2.161
25,4,2025-01-01,1.969,1.898
25,5,2025-01-01,1.951,1.768
25,6,2025-01-02,1.960,2.384
25,7,2025-01-02,2.067,3.601
