Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.533,1.355
0,2,2025-01-01,0.847,0.492
0,3,2025-01-01,0.538,1.233
0,4,2025-01-01,0.903,0.312
0,5,2025-01-01,0.578,0.926
0,6,2025-01-01,0.916,0.798
0,7,2025-01-01,0.595,1.409
1,1,2025-01-01,0.596,0.492
1,2,2025-01-01,0.988,1.233
1,3,2025-01-01,0.619,0.312
1,4,2025-01-01,1.140,0.926
1,5,2025-01-01,0.706,0.798
1,6,2025-01-01,1.270,1.409
1,7,2025-01-01,0.800,0.954
2,1,2025-01-01,0.585,1.233
2,2,2025-01-01,0.935,0.312
2,3,2025-01-01,0.573,0.926
2,4,2025-01-01,0.969,0.798
2,5,2025-01-01,0.621,1.409
2,6,2025-01-01,0.976,0.954
2,7,2025-01-01,0.970,1.129
3,1,2025-01-01,0.639,0.312
3,2,2025-01-01,1.064,0.926
3,3,2025-01-01,0.678,0.798
3,4,2025-01-01,1.120,1.409
3,5,2025-01-01,0.685,0.954
3,6,2025-01-01,1.039,1.129
3,7,2025-01-01,0.669,0.444
4,1,2025-01-01,0.627,0.926
4,2,2025-01-01,1.039,0.798
4,3,2025-01-01,0.634,1.409
4,4,2025-01-01,1.086,0.954
4,5,2025-01-01,0.636,1.129
4,6,2025-01-01,1.083,0.444
4,7,2025-01-01,0.656,0.754
5,1,2025-01-01,0.744,0.798
5,2,2025-01-01,1.202,1.409
5,3,2025-01-01,0.739,0.954
5,4,2025-01-01,1.152,1.129
5,5,2025-01-01,0.711,0.444
5,6,2025-01-01,1.167,0.754
5,7,2025-01-01,0.807,1.731
6,1,2025-01-01,0.800,1.409
6,2,2025-01-01,1.264,0.954
6,3,2025-01-01,0.823,1.129
6,4,2025-01-01,1.400,0.444
6,5,2025-01-01,0.933,0.754
6,6,2025-01-01,1.361,1.731
6,7,2025-01-01,1.096,1.705
7,1,2025-01-01,0.930,0.954
7,2,2025-01-01,1.544,1.129
7,3,2025-01-01,1.044,0.444
7,4,2025-01-01,1.719,0.754
7,5,2025-01-01,1.082,1.731
7,6,2025-01-01,1.783,1.705
7,7,2025-01-01,1.293,0.985
8,1,2025-01-01,0.919,1.129
8,2,2025-01-01,1.532,0.444
8,3,2025-01-01,1.069,0.754
8,4,2025-01-01,1.744,1.731
8,5,2025-01-01,1.187,1.705
8,6,2025-01-01,1.931,0.985
8,7,2025-01-01,1.416,1.546
9,1,2025-01-01,0.964,0.444
9,2,2025-01-01,1.569,0.754
9,3,2025-01-01,1.016,1.731
9,4,2025-01-01,1.570,1.705
9,5,2025-01-01,1.396,0.985
9,6,2025-01-01,1.702,1.546
9,7,2025-01-01,2.160,1.956
10,1,2025-01-01,0.928,0.754
10,2,2025-01-01,1.443,1.731
10,3,2025-01-01,0.879,1.705
10,4,2025-01-01,1.623,0.985
10,5,2025-01-01,0.943,1.546
10,6,2025-01-01,1.865,1.956
10,7,2025-01-01,1.009,1.022
11,1,2025-01-01,0.942,1.731
11,2,2025-01-01,1.426,1.705
11,3,2025-01-01,0.962,0.985
11,4,2025-01-01,1.633,1.546
11,5,2025-01-01,1.071,1.956
11,6,2025-01-01,1.752,1.022
11,7,2025-01-01,1.261,0.771
12,1,2025-01-01,1.166,1.705
12,2,2025-01-01,1.626,0.985
12,3,2025-01-01,1.233,1.546
12,4,2025-01-01,1.764,1.956
12,5,2025-01-01,1.311,1.022
12,6,2025-01-01,1.950,0.771
12,7,2025-01-01,1.478,1.435
13,1,2025-01-01,1.148,0.985
13,2,2025-01-01,1.629,1.546
13,3,2025-01-01,1.237,1.956
13,4,2025-01-01,1.833,1.022
13,5,2025-01-01,1.407,0.771
13,6,2025-01-01,1.993,1.435
13,7,2025-01-01,1.355,1.575
14,1,2025-01-01,0.935,1.546
14,2,2025-01-01,1.505,1.956
14,3,2025-01-01,1.077,1.022
14,4,2025-01-01,1.718,0.771
14,5,2025-01-01,1.261,1.435
14,6,2025-01-01,1.820,1.575
14,7,2025-01-01,1.395,0.820
15,1,2025-01-01,0.988,1.956
15,2,2025-01-01,1.613,1.022
15,3,2025-01-01,1.162,0.771
15,4,2025-01-01,1.809,1.435
15,5,2025-01-01,1.335,1.575
15,6,2025-01-01,1.841,0.820
15,7,2025-01-01,1.411,1.073
16,1,2025-01-01,1.098,1.022
16,2,2025-01-01,1.826,0.771
16,3,2025-01-01,1.315,1.435
16,4,2025-01-01,1.997,1.575
16,5,2025-01-01,1.304,0.820
16,6,2025-01-01,1.778,1.073
16,7,2025-01-01,2.162,1.825
17,1,2025-01-01,1.121,0.771
17,2,2025-01-01,1.646,1.435
17,3,2025-01-01,1.191,1.575
17,4,2025-01-01,1.849,0.820
17,5,2025-01-01,1.301,1.073
17,6,2025-01-01,1.954,1.825
17,7,2025-01-01,1.411,1.500
18,1,2025-01-01,1.076,1.435
18,2,2025-01-01,1.735,1.575
18,3,2025-01-01,1.130,0.820
18,4,2025-01-01,1.839,1.073
18,5,2025-01-01,1.354,1.825
18,6,2025-01-01,2.027,1.500
18,7,2025-01-01,1.612,1.847
19,1,2025-01-01,1.095,1.575
19,2,2025-01-01,1.846,0.820
19,3,2025-01-01,1.167,1.073
19,4,2025-01-01,1.864,1.825
19,5,2025-01-01,1.376,1.500
19,6,2025-01-01,2.007,1.847
19,7,2025-01-01,1.598,1.625
20,1,2025-01-01,1.042,0.820
20,2,2025-01-01,1.736,1.073
20,3,2025-01-01,1.279,1.825
20,4,2025-01-01,1.930,1.500
20,5,2025-01-01,1.407,1.847
20,6,2025-01-01,2.213,1.625
20,7,2025-01-01,1.591,2.379
21,1,2025-01-01,0.981,1.073
21,2,2025-01-01,1.527,1.825
21,3,2025-01-01,0.943,1.500
21,4,2025-01-01,2.022,1.847
21,5,2025-01-01,1.240,1.625
21,6,2025-01-01,1.874,2.379
21,7,2025-01-01,1.562,2.125
22,1,2025-01-01,1.034,1.825
22,2,2025-01-01,1.708,1.500
22,3,2025-01-01,1.041,1.847
22,4,2025-01-01,1.902,1.625
22,5,2025-01-01,1.456,2.379
22,6,2025-01-01,2.067,2.125
22,7,2025-01-01,1.639,2.152
23,1,2025-01-01,1.377,1.500
23,2,2025-01-01,1.904,1.847
23,3,2025-01-01,1.449,1.625
23,4,2025-01-01,2.036,2.379
23,5,2025-01-01,1.960,2.125
23,6,2025-01-01,2.488,2.152
23,7,2025-01-01,1.929,2.287
24,1,2025-01-01,1.216,1.847
24,2,2025-01-01,1.931,1.625
24,3,2025-01-01,1.497,2.379
24,4,2025-01-01,2.242,2.125
24,5,2025-01-01,1.744,2.152
24,6,2025-01-01,2.410,2.287
24,7,2025-01-02,1.777,1.376
25,1,2025-01-01,1.672,1.625
25,2,2025-01-01,2.173,2.379
25,3,2025-01-01,1.756,2.125
25,4,2025-01-01,2.412,2.152
25,5,2025-01-01,1.980,2.287
25,6,2025-01-02,2.466,1.376
25,7,2025-01-02,2.787,3.431
26,1,2025-01-01,1.487,2.379
26,2,2025-01-01,2.083,2.125
26,3,2025-01-01,2.215,2.152
26,4,2025-01-01,2.740,2.287
26,5,2025-01-02,2.155,1.376
26,6,2025-01-02,2.717,3.431
26,7,2025-01-02,2.242,0.881
27,1,2025-01-01,1.842,2.125
27,2,2025-01-01,2.413,2.152
27,3,2025-01-01,2.131,2.287
27,4,2025-01-02,2.797,1.376
27,5,2025-01-02,2.309,3.431
27,6,2025-01-02,2.900,0.881
27,7,2025-01-02,2.381,3.760
28,1,2025-01-01,1.970,2.152
28,2,2025-01-01,2.479,2.287
28,3,2025-01-02,2.375,1.376
28,4,2025-01-02,2.965,3.431
28,5,2025-01-02,2.397,0.881
28,6,2025-01-02,2.927,3.760
28,7,2025-01-02,3.373,1.508
29,1,2025-01-01,2.068,2.287
29,2,2025-01-02,2.562,1.376
29,3,2025-01-02,2.701,3.431
29,4,2025-01-02,3.089,0.881
29,5,2025-01-02,3.241,3.760
29,6,2025-01-02,2.765,1.508
29,7,2025-01-02,3.373,1.227
30,1,2025-01-02,2.007,1.376
30,2,2025-01-02,2.628,3.431
30,3,2025-01-02,2.753,0.881
30,4,2025-01-02,3.245,3.760
30,5,2025-01-02,2.625,1.508
30,6,2025-01-02,3.314,1.227
30,7,2025-01-02,2.743,2.619
31,1,2025-01-02,1.795,3.431
31,2,2025-01-02,2.700,0.881
31,3,2025-01-02,2.019,3.760
31,4,2025-01-02,2.912,1.508
31,5,2025-01-02,2.280,1.227
31,6,2025-01-02,2.899,2.619
31,7,2025-01-02,3.118,2.276
32,1,2025-01-02,2.729,0.881
32,2,2025-01-02,3.329,3.760
32,3,2025-01-02,2.608,1.508
32,4,2025-01-02,3.095,1.227
32,5,2025-01-02,2.475,2.619
32,6,2025-01-02,3.188,2.276
32,7,2025-01-02,2.936,2.226
33,1,2025-01-02,2.144,3.760
33,2,2025-01-02,2.635,1.508
33,3,2025-01-02,3.258,1.227
33,4,2025-01-02,2.352,2.619
33,5,2025-01-02,2.982,2.276
33,6,2025-01-02,2.676,2.226
33,7,2025-01-02,3.577,1.605
34,1,2025-01-02,3.171,1.508
34,2,2025-01-02,3.108,1.227
34,3,2025-01-02,2.548,2.619
34,4,2025-01-02,2.948,2.276
34,5,2025-01-02,2.625,2.226
34,6,2025-01-02,3.272,1.605
34,7,2025-01-02,2.791,3.370
35,1,2025-01-02,2.238,1.227
35,2,2025-01-02,2.961,2.619
35,3,2025-01-02,2.182,2.276
35,4,2025-01-02,3.015,2.226
35,5,2025-01-02,2.294,1.605
35,6,2025-01-02,2.997,3.370
35,7,2025-01-02,2.456,3.469
36,1,2025-01-02,2.425,2.619
36,2,2025-01-02,2.915,2.276
36,3,2025-01-02,2.334,2.226
36,4,2025-01-02,1.717,1.605
36,5,2025-01-02,2.754,3.370
36,6,2025-01-02,3.285,3.469
36,7,2025-01-02,3.510,3.343
37,1,2025-01-02,2.519,2.276
37,2,2025-01-02,2.452,2.226
37,3,2025-01-02,3.157,1.605
37,4,2025-01-02,2.626,3.370
37,5,2025-01-02,3.049,3.469
37,6,2025-01-02,2.457,3.343
37,7,2025-01-02,3.049,4.084
38,1,2025-01-02,2.449,2.226
38,2,2025-01-02,2.843,1.605
38,3,2025-01-02,2.291,3.370
38,4,2025-01-02,2.885,3.469
38,5,2025-01-02,2.367,3.343
38,6,2025-01-02,3.007,4.084
38,7,2025-01-02,2.510,3.626
39,1,2025-01-02,2.402,1.605
39,2,2025-01-02,2.938,3.370
39,3,2025-01-02,2.268,3.469
39,4,2025-01-02,2.814,3.343
39,5,2025-01-02,2.288,4.084
39,6,2025-01-02,2.892,3.626
39,7,2025-01-02,2.671,3.863
40,1,2025-01-02,2.223,3.370
40,2,2025-01-02,2.807,3.469
40,3,2025-01-02,2.245,3.343
40,4,2025-01-02,2.976,4.084
40,5,2025-01-02,2.312,3.626
40,6,2025-01-02,2.906,3.863
40,7,2025-01-02,2.203,3.651
41,1,2025-01-02,2.819,3.469
41,2,2025-01-02,2.784,3.343
41,3,2025-01-02,2.497,4.084
41,4,2025-01-02,2.786,3.626
41,5,2025-01-02,2.256,3.863
41,6,2025-01-02,2.861,3.651
41,7,2025-01-02,2.505,3.771
42,1,2025-01-02,2.997,3.343
42,2,2025-01-02,2.625,4.084
42,3,2025-01-02,2.994,3.626
42,4,2025-01-02,2.444,3.863
42,5,2025-01-02,3.083,3.651
42,6,2025-01-02,2.652,3.771
42,7,2025-01-02,3.384,3.197
43,1,2025-01-02,3.058,4.084
43,2,2025-01-02,3.243,3.626
43,3,2025-01-02,2.683,3.863
43,4,2025-01-02,3.332,3.651
43,5,2025-01-02,2.789,3.771
43,6,2025-01-02,3.476,3.197
43,7,2025-01-02,3.576,1.223
44,1,2025-01-02,3.705,3.626
44,2,2025-01-02,3.006,3.863
44,3,2025-01-02,3.465,3.651
44,4,2025-01-02,3.016,3.771
44,5,2025-01-02,3.678,3.197
44,6,2025-01-02,4.211,1.223
44,7,2025-01-02,4.008,2.855
45,1,2025-01-02,3.596,3.863
45,2,2025-01-02,3.496,3.651
45,3,2025-01-02,3.537,3.771
45,4,2025-01-02,3.543,3.197
45,5,2025-01-02,4.192,1.223
45,6,2025-01-02,4.637,2.855
45,7,2025-01-02,4.893,2.880
46,1,2025-01-02,3.945,3.651
46,2,2025-01-02,4.247,3.771
46,3,2025-01-02,3.726,3.197
46,4,2025-01-02,4.200,1.223
46,5,2025-01-02,4.188,2.855
46,6,2025-01-02,4.832,2.880
46,7,2025-01-02,5.075,3.086
47,1,2025-01-02,4.035,3.771
47,2,2025-01-02,4.655,3.197
47,3,2025-01-02,3.999,1.223
47,4,2025-01-02,4.386,2.855
47,5,2025-01-02,4.001,2.880
47,6,2025-01-02,4.758,3.086
47,7,2025-01-02,4.579,3.182
48,1,2025-01-02,4.181,3.197
48,2,2025-01-02,4.817,1.223
48,3,2025-01-02,4.106,2.855
48,4,2025-01-02,3.602,2.880
48,5,2025-01-02,4.300,3.086
48,6,2025-01-02,4.408,3.182
48,7,2025-01-02,4.991,3.954
49,1,2025-01-02,4.239,1.223
49,2,2025-01-02,2.744,2.855
49,3,2025-01-02,3.905,2.880
49,4,2025-01-02,3.098,3.086
49,5,2025-01-02,3.753,3.182
49,6,2025-01-02,4.693,3.954
49,7,2025-01-02,5.526,3.261
50,1,2025-01-02,2.342,2.855
50,2,2025-01-02,3.637,2.880
50,3,2025-01-02,2.724,3.086
50,4,2025-01-02,3.867,3.182
50,5,2025-01-02,4.310,3.954
50,6,2025-01-02,5.101,3.261
50,7,2025-01-02,5.104,2.398
51,1,2025-01-02,2.687,2.880
51,2,2025-01-02,3.614,3.086
51,3,2025-01-02,2.884,3.182
51,4,2025-01-02,3.347,3.954
51,5,2025-01-02,2.305,3.261
51,6,2025-01-02,3.502,2.398
51,7,2025-01-02,4.275,4.528
52,1,2025-01-02,2.723,3.086
52,2,2025-01-02,2.992,3.182
52,3,2025-01-02,2.476,3.954
52,4,2025-01-02,2.793,3.261
52,5,2025-01-02,1.539,2.398
52,6,2025-01-02,3.470,4.528
52,7,2025-01-02,3.753,4.086
53,1,2025-01-02,2.777,3.182
53,2,2025-01-02,2.407,3.954
53,3,2025-01-02,2.951,3.261
53,4,2025-01-02,2.497,2.398
53,5,2025-01-02,2.960,4.528
53,6,2025-01-02,1.977,4.086
53,7,2025-01-02,3.606,4.290
54,1,2025-01-02,2.720,3.954
54,2,2025-01-02,2.872,3.261
54,3,2025-01-02,2.925,2.398
54,4,2025-01-02,2.957,4.528
54,5,2025-01-02,2.918,4.086
54,6,2025-01-02,4.070,4.290
54,7,2025-01-02,3.555,4.279
55,1,2025-01-02,3.168,3.261
55,2,2025-01-02,3.763,2.398
55,3,2025-01-02,3.132,4.528
55,4,2025-01-02,3.454,4.086
55,5,2025-01-02,4.176,4.290
55,6,2025-01-02,4.973,4.279
55,7,2025-01-02,5.675,3.500
56,1,2025-01-02,2.832,2.398
56,2,2025-01-02,3.296,4.528
56,3,2025-01-02,3.382,4.086
56,4,2025-01-02,3.821,4.290
56,5,2025-01-02,4.746,4.279
56,6,2025-01-02,5.603,3.500
56,7,2025-01-02,5.517,4.871
57,1,2025-01-02,3.039,4.528
57,2,2025-01-02,3.780,4.086
57,3,2025-01-02,4.145,4.290
57,4,2025-01-02,4.467,4.279
57,5,2025-01-02,4.871,3.500
57,6,2025-01-02,5.330,4.871
57,7,2025-01-02,5.842,4.354
58,1,2025-01-02,4.028,4.086
58,2,2025-01-02,4.121,4.290
58,3,2025-01-02,3.487,4.279
58,4,2025-01-02,4.020,3.500
58,5,2025-01-02,4.891,4.871
58,6,2025-01-02,5.670,4.354
58,7,2025-01-02,5.411,4.201
59,1,2025-01-02,4.300,4.290
59,2,2025-01-02,3.173,4.279
59,3,2025-01-02,3.609,3.500
59,4,2025-01-02,4.416,4.871
59,5,2025-01-02,5.308,4.354
59,6,2025-01-02,6.067,4.201
59,7,2025-01-02,5.615,4.695
60,1,2025-01-02,3.532,4.279
60,2,2025-01-02,3.984,3.500
60,3,2025-01-02,4.109,4.871
60,4,2025-01-02,4.122,4.354
60,5,2025-01-02,5.245,4.201
60,6,2025-01-02,6.146,4.695
60,7,2025-01-02,5.701,3.631
61,1,2025-01-02,3.338,3.500
61,2,2025-01-02,3.732,4.871
61,3,2025-01-02,3.950,4.354
61,4,2025-01-02,4.705,4.201
61,5,2025-01-02,5.583,4.695
61,6,2025-01-02,6.200,3.631
61,7,2025-01-02,5.504,4.818
62,1,2025-01-02,3.513,4.871
62,2,2025-01-02,4.313,4.354
62,3,2025-01-02,4.483,4.201
62,4,2025-01-02,4.688,4.695
62,5,2025-01-02,4.957,3.631
62,6,2025-01-02,5.456,4.818
62,7,2025-01-02,5.339,2.840
63,1,2025-01-02,4.051,4.354
63,2,2025-01-02,4.869,4.201
63,3,2025-01-02,5.262,4.695
63,4,2025-01-02,5.519,3.631
63,5,2025-01-02,4.778,4.818
63,6,2025-01-02,5.127,2.840
63,7,2025-01-02,5.200,4.700
64,1,2025-01-02,4.344,4.201
