Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.557,1.514
0,2,2025-01-01,0.858,0.599
0,3,2025-01-01,0.525,1.165
0,4,2025-01-01,0.885,0.251
0,5,2025-01-01,0.527,0.993
0,6,2025-01-01,0.914,0.482
0,7,2025-01-01,0.608,1.779
1,1,2025-01-01,0.607,0.599
1,2,2025-01-01,0.960,1.165
1,3,2025-01-01,0.611,0.251
1,4,2025-01-01,1.001,0.993
1,5,2025-01-01,0.638,0.482
1,6,2025-01-01,0.960,1.779
1,7,2025-01-01,0.976,1.536
2,1,2025-01-01,0.626,1.165
2,2,2025-01-01,0.985,0.251
2,3,2025-01-01,0.613,0.993
2,4,2025-01-01,1.009,0.482
2,5,2025-01-01,0.630,1.779
2,6,2025-01-01,0.961,1.536
2,7,2025-01-01,0.616,0.429
3,1,2025-01-01,0.679,0.251
3,2,2025-01-01,1.060,0.993
3,3,2025-01-01,0.682,0.482
3,4,2025-01-01,1.138,1.779
3,5,2025-01-01,0.640,1.536
3,6,2025-01-01,1.109,0.429
3,7,2025-01-01,0.694,0.903
4,1,2025-01-01,0.662,0.993
4,2,2025-01-01,1.043,0.482
4,3,2025-01-01,0.669,1.779
4,4,2025-01-01,1.059,1.536
4,5,2025-01-01,0.678,0.429
4,6,2025-01-01,1.035,0.903
4,7,2025-01-01,0.678,1.239
5,1,2025-01-01,0.747,0.482
5,2,2025-01-01,1.181,1.779
5,3,2025-01-01,0.742,1.536
5,4,2025-01-01,1.185,0.429
5,5,2025-01-01,0.715,0.903
5,6,2025-01-01,1.262,1.239
5,7,2025-01-01,0.721,1.969
6,1,2025-01-01,0.780,1.779
6,2,2025-01-01,1.176,1.536
6,3,2025-01-01,0.770,0.429
6,4,2025-01-01,1.294,0.903
6,5,2025-01-01,0.845,1.239
6,6,2025-01-01,1.270,1.969
6,7,2025-01-01,1.742,1.997
7,1,2025-01-01,1.090,1.536
7,2,2025-01-01,1.489,0.429
7,3,2025-01-01,0.978,0.903
7,4,2025-01-01,1.588,1.239
7,5,2025-01-01,0.943,1.969
7,6,2025-01-01,1.464,1.997
7,7,2025-01-01,1.039,1.277
8,1,2025-01-01,1.154,0.429
8,2,2025-01-01,1.577,0.903
8,3,2025-01-01,1.056,1.239
8,4,2025-01-01,1.583,1.969
8,5,2025-01-01,1.103,1.997
8,6,2025-01-01,1.365,1.277
8,7,2025-01-01,2.039,1.681
9,1,2025-01-01,0.965,0.903
9,2,2025-01-01,1.373,1.239
9,3,2025-01-01,0.924,1.969
9,4,2025-01-01,1.577,1.997
9,5,2025-01-01,1.027,1.277
9,6,2025-01-01,1.693,1.681
9,7,2025-01-01,0.980,1.425
10,1,2025-01-01,0.940,1.239
10,2,2025-01-01,1.485,1.969
10,3,2025-01-01,0.885,1.997
10,4,2025-01-01,1.608,1.277
10,5,2025-01-01,1.012,1.681
10,6,2025-01-01,1.583,1.425
10,7,2025-01-01,1.717,0.826
11,1,2025-01-01,0.898,1.969
11,2,2025-01-01,1.300,1.997
11,3,2025-01-01,1.259,1.277
11,4,2025-01-01,1.749,1.681
11,5,2025-01-01,1.261,1.425
11,6,2025-01-01,1.816,0.826
11,7,2025-01-01,1.353,1.080
12,1,2025-01-01,0.986,1.997
12,2,2025-01-01,1.487,1.277
12,3,2025-01-01,1.003,1.681
12,4,2025-01-01,1.755,1.425
12,5,2025-01-01,1.138,0.826
12,6,2025-01-01,1.708,1.080
12,7,2025-01-01,1.330,1.336
13,1,2025-01-01,1.001,1.277
13,2,2025-01-01,1.363,1.681
13,3,2025-01-01,0.927,1.425
13,4,2025-01-01,1.506,0.826
13,5,2025-01-01,1.113,1.080
13,6,2025-01-01,1.701,1.336
13,7,2025-01-01,1.467,1.473
14,1,2025-01-01,0.903,1.681
14,2,2025-01-01,1.440,1.425
14,3,2025-01-01,0.952,0.826
14,4,2025-01-01,1.561,1.080
14,5,2025-01-01,1.081,1.336
14,6,2025-01-01,1.632,1.473
14,7,2025-01-01,1.378,0.865
15,1,2025-01-01,1.068,1.425
15,2,2025-01-01,1.586,0.826
15,3,2025-01-01,1.138,1.080
15,4,2025-01-01,1.686,1.336
15,5,2025-01-01,1.223,1.473
15,6,2025-01-01,1.673,0.865
15,7,2025-01-01,2.169,1.220
16,1,2025-01-01,1.296,0.826
16,2,2025-01-01,1.834,1.080
16,3,2025-01-01,1.334,1.336
16,4,2025-01-01,1.923,1.473
16,5,2025-01-01,1.344,0.865
16,6,2025-01-01,1.795,1.220
16,7,2025-01-01,2.291,0.960
17,1,2025-01-01,1.186,1.080
17,2,2025-01-01,1.735,1.336
17,3,2025-01-01,1.312,1.473
17,4,2025-01-01,1.855,0.865
17,5,2025-01-01,1.410,1.220
17,6,2025-01-01,1.903,0.960
17,7,2025-01-01,2.150,2.142
18,1,2025-01-01,1.104,1.336
18,2,2025-01-01,1.565,1.473
18,3,2025-01-01,1.129,0.865
18,4,2025-01-01,1.662,1.220
18,5,2025-01-01,1.267,0.960
18,6,2025-01-01,1.824,2.142
18,7,2025-01-01,1.493,2.250
19,1,2025-01-01,1.205,1.473
19,2,2025-01-01,1.704,0.865
19,3,2025-01-01,1.174,1.220
19,4,2025-01-01,1.853,0.960
19,5,2025-01-01,1.368,2.142
19,6,2025-01-01,1.880,2.250
19,7,2025-01-01,1.931,1.790
20,1,2025-01-01,1.058,0.865
20,2,2025-01-01,1.612,1.220
20,3,2025-01-01,1.099,0.960
20,4,2025-01-01,1.787,2.142
20,5,2025-01-01,1.164,2.250
20,6,2025-01-01,1.905,1.790
20,7,2025-01-01,1.473,2.649
21,1,2025-01-01,0.987,1.220
21,2,2025-01-01,1.511,0.960
21,3,2025-01-01,1.042,2.142
21,4,2025-01-01,1.671,2.250
21,5,2025-01-01,1.088,1.790
21,6,2025-01-01,1.768,2.649
21,7,2025-01-01,1.425,2.569
22,1,2025-01-01,1.158,0.960
22,2,2025-01-01,1.677,2.142
22,3,2025-01-01,1.230,2.250
22,4,2025-01-01,1.799,1.790
22,5,2025-01-01,1.294,2.649
22,6,2025-01-01,1.807,2.569
22,7,2025-01-01,1.903,2.819
23,1,2025-01-01,1.048,2.142
23,2,2025-01-01,1.545,2.250
23,3,2025-01-01,1.115,1.790
23,4,2025-01-01,1.627,2.649
23,5,2025-01-01,2.197,2.569
23,6,2025-01-01,1.606,2.819
23,7,2025-01-01,2.187,2.401
24,1,2025-01-01,1.376,2.250
24,2,2025-01-01,1.877,1.790
24,3,2025-01-01,1.239,2.649
24,4,2025-01-01,2.158,2.569
24,5,2025-01-01,1.255,2.819
24,6,2025-01-01,2.270,2.401
24,7,2025-01-02,1.640,2.327
25,1,2025-01-01,1.607,1.790
25,2,2025-01-01,2.117,2.649
25,3,2025-01-01,1.666,2.569
25,4,2025-01-01,2.091,2.819
25,5,2025-01-01,2.703,2.401
25,6,2025-01-02,1.909,2.327
25,7,2025-01-02,2.744,2.636
26,1,2025-01-01,1.482,2.649
26,2,2025-01-01,2.030,2.569
26,3,2025-01-01,1.618,2.819
26,4,2025-01-01,2.397,2.401
26,5,2025-01-02,1.963,2.327
26,6,2025-01-02,2.597,2.636
26,7,2025-01-02,2.105,1.482
27,1,2025-01-01,1.786,2.569
27,2,2025-01-01,2.374,2.819
27,3,2025-01-01,1.865,2.401
27,4,2025-01-02,2.640,2.327
27,5,2025-01-02,2.073,2.636
27,6,2025-01-02,2.704,1.482
27,7,2025-01-02,2.904,3.503
28,1,2025-01-01,1.912,2.819
28,2,2025-01-01,2.483,2.401
28,3,2025-01-02,2.074,2.327
28,4,2025-01-02,2.065,2.636
28,5,2025-01-02,2.737,1.482
28,6,2025-01-02,2.206,3.503
28,7,2025-01-02,2.918,0.737
29,1,2025-01-01,2.116,2.401
29,2,2025-01-02,2.666,2.327
29,3,2025-01-02,2.582,2.636
29,4,2025-01-02,2.940,1.482
29,5,2025-01-02,2.671,3.503
29,6,2025-01-02,2.991,0.737
29,7,2025-01-02,3.565,0.685
