Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.290,1.141
0,2,2025-01-01,0.541,0.349
0,3,2025-01-01,0.281,1.117
0,4,2025-01-01,0.555,0.277
0,5,2025-01-01,0.315,0.629
0,6,2025-01-01,0.583,1.444
0,7,2025-01-01,0.332,0.961
1,1,2025-01-01,0.323,0.349
1,2,2025-01-01,0.603,1.117
1,3,2025-01-01,0.341,0.277
1,4,2025-01-01,0.654,0.629
1,5,2025-01-01,0.409,1.444
1,6,2025-01-01,0.724,0.961
1,7,2025-01-01,0.462,1.092
2,1,2025-01-01,0.320,1.117
2,2,2025-01-01,0.602,0.277
2,3,2025-01-01,0.325,0.629
2,4,2025-01-01,0.619,1.444
2,5,2025-01-01,0.361,0.961
2,6,2025-01-01,0.661,1.092
2,7,2025-01-01,0.409,1.298
3,1,2025-01-01,0.349,0.277
3,2,2025-01-01,0.649,0.629
3,3,2025-01-01,0.355,1.444
3,4,2025-01-01,0.660,0.961
3,5,2025-01-01,0.367,1.092
3,6,2025-01-01,0.661,1.298
3,7,2025-01-01,0.391,0.276
4,1,2025-01-01,0.355,0.629
4,2,2025-01-01,0.672,1.444
4,3,2025-01-01,0.374,0.961
4,4,2025-01-01,0.703,1.092
4,5,2025-01-01,0.403,1.298
4,6,2025-01-01,0.718,0.276
4,7,2025-01-01,0.419,1.495
5,1,2025-01-01,0.416,1.444
5,2,2025-01-01,0.740,0.961
5,3,2025-01-01,0.415,1.092
5,4,2025-01-01,0.740,1.298
5,5,2025-01-01,0.428,0.276
5,6,2025-01-01,0.759,1.495
5,7,2025-01-01,0.451,1.801
6,1,2025-01-01,0.539,0.961
6,2,2025-01-01,0.918,1.092
6,3,2025-01-01,0.546,1.298
6,4,2025-01-01,0.979,0.276
6,5,2025-01-01,0.604,1.495
6,6,2025-01-01,0.966,1.801
6,7,2025-01-01,0.610,1.774
7,1,2025-01-01,0.672,1.092
7,2,2025-01-01,1.098,1.298
7,3,2025-01-01,0.722,0.276
7,4,2025-01-01,1.214,1.495
7,5,2025-01-01,0.749,1.801
7,6,2025-01-01,1.259,1.774
7,7,2025-01-01,0.850,1.934
8,1,2025-01-01,0.738,1.298
8,2,2025-01-01,1.210,0.276
8,3,2025-01-01,0.795,1.495
8,4,2025-01-01,1.335,1.801
8,5,2025-01-01,0.837,1.774
8,6,2025-01-01,1.464,1.934
8,7,2025-01-01,0.938,1.938
9,1,2025-01-01,0.883,0.276
9,2,2025-01-01,1.342,1.495
9,3,2025-01-01,0.929,1.801
9,4,2025-01-01,1.464,1.774
9,5,2025-01-01,1.036,1.934
9,6,2025-01-01,1.586,1.938
9,7,2025-01-01,1.165,1.807
10,1,2025-01-01,0.837,1.495
10,2,2025-01-01,1.213,1.801
10,3,2025-01-01,0.797,1.774
10,4,2025-01-01,1.284,1.934
10,5,2025-01-01,0.838,1.938
10,6,2025-01-01,1.477,1.807
10,7,2025-01-01,0.935,1.240
11,1,2025-01-01,0.956,1.801
11,2,2025-01-01,1.403,1.774
11,3,2025-01-01,0.996,1.934
11,4,2025-01-01,1.482,1.938
11,5,2025-01-01,1.010,1.807
11,6,2025-01-01,1.526,1.240
11,7,2025-01-01,1.093,0.908
12,1,2025-01-01,1.255,1.774
12,2,2025-01-01,1.640,1.934
12,3,2025-01-01,1.257,1.938
12,4,2025-01-01,1.820,1.807
12,5,2025-01-01,1.382,1.240
12,6,2025-01-01,1.887,0.908
12,7,2025-01-01,1.430,1.973
13,1,2025-01-01,1.290,1.934
13,2,2025-01-01,1.683,1.938
13,3,2025-01-01,1.356,1.807
13,4,2025-01-01,1.946,1.240
13,5,2025-01-01,1.506,0.908
13,6,2025-01-01,2.069,1.973
13,7,2025-01-01,1.410,1.363
14,1,2025-01-01,1.137,1.938
14,2,2025-01-01,1.626,1.807
14,3,2025-01-01,1.227,1.240
14,4,2025-01-01,1.867,0.908
14,5,2025-01-01,1.434,1.973
14,6,2025-01-01,2.001,1.363
14,7,2025-01-01,1.539,1.149
15,1,2025-01-01,1.153,1.807
15,2,2025-01-01,1.865,1.240
15,3,2025-01-01,1.420,0.908
15,4,2025-01-01,2.193,1.973
15,5,2025-01-01,1.703,1.363
15,6,2025-01-01,2.260,1.149
15,7,2025-01-01,1.793,0.800
16,1,2025-01-01,1.284,1.240
16,2,2025-01-01,2.053,0.908
16,3,2025-01-01,1.620,1.973
16,4,2025-01-01,2.286,1.363
16,5,2025-01-01,1.675,1.149
16,6,2025-01-01,2.117,0.800
16,7,2025-01-01,1.684,1.389
17,1,2025-01-01,1.335,0.908
17,2,2025-01-01,1.874,1.973
17,3,2025-01-01,1.458,1.363
17,4,2025-01-01,2.009,1.149
17,5,2025-01-01,1.570,0.800
17,6,2025-01-01,2.179,1.389
17,7,2025-01-01,1.672,0.846
18,1,2025-01-01,1.432,1.973
18,2,2025-01-01,2.032,1.363
18,3,2025-01-01,1.639,1.149
18,4,2025-01-01,2.210,0.800
18,5,2025-01-01,1.768,1.389
18,6,2025-01-01,2.270,0.846
18,7,2025-01-01,1.816,2.033
19,1,2025-01-01,1.874,1.363
19,2,2025-01-01,2.455,1.149
19,3,2025-01-01,2.257,0.800
19,4,2025-01-01,1.842,1.389
19,5,2025-01-01,2.445,0.846
19,6,2025-01-01,1.976,2.033
19,7,2025-01-01,2.568,2.041
20,1,2025-01-01,1.588,1.149
20,2,2025-01-01,2.094,0.800
20,3,2025-01-01,2.632,1.389
20,4,2025-01-01,2.052,0.846
20,5,2025-01-01,2.495,2.033
20,6,2025-01-01,2.727,2.041
20,7,2025-01-01,2.104,2.232
21,1,2025-01-01,1.314,0.800
21,2,2025-01-01,1.963,1.389
21,3,2025-01-01,1.525,0.846
21,4,2025-01-01,2.306,2.033
21,5,2025-01-01,1.800,2.041
21,6,2025-01-01,2.375,2.232
21,7,2025-01-01,1.954,2.161
22,1,2025-01-01,1.520,1.389
22,2,2025-01-01,2.076,0.846
22,3,2025-01-01,1.631,2.033
22,4,2025-01-01,2.316,2.041
22,5,2025-01-01,1.904,2.232
22,6,2025-01-01,2.473,2.161
22,7,2025-01-01,2.039,1.898
23,1,2025-01-01,1.749,0.846
23,2,2025-01-01,2.298,2.033
23,3,2025-01-01,1.893,2.041
23,4,2025-01-01,2.329,2.232
23,5,2025-01-01,2.730,2.161
23,6,2025-01-01,2.135,1.898
23,7,2025-01-01,2.650,1.768
24,1,2025-01-01,1.641,2.033
24,2,2025-01-01,2.219,2.041
24,3,2025-01-01,1.908,2.232
24,4,2025-01-01,2.440,2.161
24,5,2025-01-01,1.997,1.898
24,6,2025-01-01,2.494,1.768
24,7,2025-01-02,2.030,2.384
25,1,2025-01-01,1.974,2.041
25,2,2025-01-01,2.403,2.232
25,3,2025-01-01,1.979,2.161
25,4,2025-01-01,2.491,1.898
25,5,2025-01-01,2.078,1.768
25,6,2025-01-02,2.424,2.384
25,7,2025-01-02,2.253,3.601
26,1,2025-01-01,2.150,2.232
26,2,2025-01-01,2.580,2.161
26,3,2025-01-01,2.415,1.898
26,4,2025-01-01,2.884,1.768
26,5,2025-01-02,2.293,2.384
26,6,2025-01-02,2.753,3.601
26,7,2025-01-02,2.209,1.228
27,1,2025-01-01,2.227,2.161
27,2,2025-01-01,2.669,1.898
27,3,2025-01-01,2.710,1.768
27,4,2025-01-02,3.125,2.384
27,5,2025-01-02,2.513,3.601
27,6,2025-01-02,2.977,1.228
27,7,2025-01-02,2.445,3.915
28,1,2025-01-01,2.240,1.898
28,2,2025-01-01,2.658,1.768
28,3,2025-01-02,2.561,2.384
28,4,2025-01-02,3.082,3.601
28,5,2025-01-02,2.503,1.228
28,6,2025-01-02,2.925,3.915
28,7,2025-01-02,3.220,1.948
29,1,2025-01-01,2.293,1.768
29,2,2025-01-02,2.707,2.384
29,3,2025-01-02,2.887,3.601
29,4,2025-01-02,3.304,1.228
29,5,2025-01-02,2.896,3.915
29,6,2025-01-02,3.350,1.948
29,7,2025-01-02,2.710,2.017
30,1,2025-01-02,2.368,2.384
30,2,2025-01-02,2.840,3.601
30,3,2025-01-02,3.267,1.228
30,4,2025-01-02,3.412,3.915
30,5,2025-01-02,2.948,1.948
30,6,2025-01-02,3.475,2.017
30,7,2025-01-02,2.871,3.185
31,1,2025-01-02,2.082,3.601
31,2,2025-01-02,2.825,1.228
31,3,2025-01-02,3.061,3.915
31,4,2025-01-02,2.369,1.948
31,5,2025-01-02,2.847,2.017
31,6,2025-01-02,2.406,3.185
31,7,2025-01-02,3.099,2.836
32,1,2025-01-02,3.200,1.228
32,2,2025-01-02,2.918,3.915
32,3,2025-01-02,3.574,1.948
32,4,2025-01-02,2.807,2.017
32,5,2025-01-02,3.278,3.185
32,6,2025-01-02,3.235,2.836
