Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,2.220,3.140
0,2,2025-01-01,2.345,2.305
0,3,2025-01-01,2.449,4.108
0,4,2025-01-01,2.457,4.553
0,5,2025-01-01,2.700,4.018
0,6,2025-01-01,2.675,4.312
0,7,2025-01-01,2.684,4.636
1,1,2025-01-01,2.003,2.305
1,2,2025-01-01,2.197,4.108
1,3,2025-01-01,2.235,4.553
1,4,2025-01-01,2.370,4.018
1,5,2025-01-01,2.553,4.312
1,6,2025-01-01,2.780,4.636
1,7,2025-01-01,2.815,2.920
2,1,2025-01-01,2.071,4.108
2,2,2025-01-01,2.437,4.553
2,3,2025-01-01,2.456,4.018
2,4,2025-01-01,2.478,4.312
2,5,2025-01-01,2.626,4.636
2,6,2025-01-01,2.671,2.920
2,7,2025-01-01,2.866,1.282
3,1,2025-01-01,2.733,4.553
3,2,2025-01-01,2.849,4.018
3,3,2025-01-01,2.954,4.312
3,4,2025-01-01,3.032,4.636
3,5,2025-01-01,3.125,2.920
3,6,2025-01-01,3.153,1.282
3,7,2025-01-01,3.179,4.847
4,1,2025-01-01,2.704,4.018
4,2,2025-01-01,2.936,4.312
4,3,2025-01-01,3.070,4.636
4,4,2025-01-01,3.174,2.920
4,5,2025-01-01,3.280,1.282
4,6,2025-01-01,3.281,4.847
4,7,2025-01-01,3.457,4.683
5,1,2025-01-01,2.651,4.312
5,2,2025-01-01,2.827,4.636
5,3,2025-01-01,3.062,2.920
5,4,2025-01-01,3.292,1.282
5,5,2025-01-01,3.444,4.847
5,6,2025-01-01,3.514,4.683
5,7,2025-01-01,3.639,4.033
6,1,2025-01-01,2.930,4.636
6,2,2025-01-01,3.155,2.920
6,3,2025-01-01,3.499,1.282
6,4,2025-01-01,3.610,4.847
6,5,2025-01-01,3.718,4.683
6,6,2025-01-01,3.750,4.033
6,7,2025-01-01,3.951,4.072
7,1,2025-01-01,3.294,2.920
7,2,2025-01-01,3.562,1.282
7,3,2025-01-01,3.806,4.847
7,4,2025-01-01,3.808,4.683
7,5,2025-01-01,3.873,4.033
7,6,2025-01-01,3.884,4.072
7,7,2025-01-01,4.022,2.835
8,1,2025-01-01,3.314,1.282
8,2,2025-01-01,3.931,4.847
8,3,2025-01-01,4.103,4.683
8,4,2025-01-01,4.015,4.033
8,5,2025-01-01,3.978,4.072
8,6,2025-01-01,3.937,2.835
8,7,2025-01-01,3.797,4.973
9,1,2025-01-01,3.230,4.847
9,2,2025-01-01,3.856,4.683
9,3,2025-01-01,4.043,4.033
9,4,2025-01-01,3.960,4.072
9,5,2025-01-01,3.812,2.835
9,6,2025-01-01,3.786,4.973
9,7,2025-01-01,3.655,5.388
10,1,2025-01-01,3.710,4.683
10,2,2025-01-01,3.786,4.033
10,3,2025-01-01,3.884,4.072
10,4,2025-01-01,3.801,2.835
10,5,2025-01-01,3.757,4.973
10,6,2025-01-01,3.797,5.388
10,7,2025-01-01,3.618,5.848
11,1,2025-01-01,3.914,4.033
11,2,2025-01-01,4.152,4.072
11,3,2025-01-01,4.261,2.835
11,4,2025-01-01,4.215,4.973
11,5,2025-01-01,4.183,5.388
11,6,2025-01-01,4.160,5.848
11,7,2025-01-01,4.021,5.689
12,1,2025-01-01,4.066,4.072
12,2,2025-01-01,4.372,2.835
12,3,2025-01-01,4.354,4.973
12,4,2025-01-01,4.283,5.388
12,5,2025-01-01,4.152,5.848
12,6,2025-01-01,4.177,5.689
12,7,2025-01-01,4.147,2.778
13,1,2025-01-01,3.778,2.835
13,2,2025-01-01,4.203,4.973
13,3,2025-01-01,4.123,5.388
13,4,2025-01-01,4.062,5.848
13,5,2025-01-01,3.865,5.689
13,6,2025-01-01,3.964,2.778
13,7,2025-01-01,3.868,5.945
14,1,2025-01-01,3.138,4.973
14,2,2025-01-01,3.585,5.388
14,3,2025-01-01,4.037,5.848
14,4,2025-01-01,4.030,5.689
14,5,2025-01-01,3.798,2.778
14,6,2025-01-01,3.881,5.945
14,7,2025-01-01,3.786,6.142
15,1,2025-01-01,4.012,5.388
15,2,2025-01-01,4.225,5.848
15,3,2025-01-01,4.230,5.689
15,4,2025-01-01,4.194,2.778
15,5,2025-01-01,4.253,5.945
15,6,2025-01-01,4.242,6.142
15,7,2025-01-01,4.230,6.013
16,1,2025-01-01,4.435,5.848
16,2,2025-01-01,4.579,5.689
16,3,2025-01-01,4.562,2.778
16,4,2025-01-01,4.566,5.945
16,5,2025-01-01,4.705,6.142
16,6,2025-01-01,4.878,6.013
16,7,2025-01-01,5.029,4.249
17,1,2025-01-01,4.577,5.689
17,2,2025-01-01,4.671,2.778
17,3,2025-01-01,4.660,5.945
17,4,2025-01-01,4.790,6.142
17,5,2025-01-01,4.938,6.013
17,6,2025-01-01,5.160,4.249
17,7,2025-01-01,5.318,6.228
18,1,2025-01-01,4.452,2.778
18,2,2025-01-01,4.513,5.945
18,3,2025-01-01,4.618,6.142
18,4,2025-01-01,4.680,6.013
18,5,2025-01-01,4.831,4.249
18,6,2025-01-01,4.991,6.228
18,7,2025-01-01,5.081,5.028
19,1,2025-01-01,3.678,5.945
19,2,2025-01-01,4.287,6.142
19,3,2025-01-01,4.483,6.013
19,4,2025-01-01,4.653,4.249
19,5,2025-01-01,4.669,6.228
19,6,2025-01-01,4.759,5.028
19,7,2025-01-01,4.691,4.124
20,1,2025-01-01,4.118,6.142
20,2,2025-01-01,4.020,6.013
20,3,2025-01-01,4.382,4.249
20,4,2025-01-01,4.680,6.228
20,5,2025-01-01,4.832,5.028
20,6,2025-01-01,4.917,4.124
20,7,2025-01-01,4.811,5.684
21,1,2025-01-01,4.279,6.013
21,2,2025-01-01,4.448,4.249
21,3,2025-01-01,4.632,6.228
21,4,2025-01-01,4.812,5.028
21,5,2025-01-01,4.987,4.124
21,6,2025-01-01,5.123,5.684
21,7,2025-01-01,5.062,5.223
22,1,2025-01-01,3.901,4.249
22,2,2025-01-01,3.817,6.228
22,3,2025-01-01,4.095,5.028
22,4,2025-01-01,4.506,4.124
22,5,2025-01-01,5.045,5.684
22,6,2025-01-01,5.129,5.223
22,7,2025-01-01,5.171,5.858
23,1,2025-01-01,3.825,6.228
23,2,2025-01-01,4.159,5.028
23,3,2025-01-01,4.405,4.124
23,4,2025-01-01,4.821,5.684
