Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.543,0.861
0,2,2025-01-01,0.622,0.809
0,3,2025-01-01,0.690,0.450
0,4,2025-01-01,0.753,1.133
0,5,2025-01-01,0.781,0.416
0,6,2025-01-01,0.782,1.423
0,7,2025-01-01,0.792,0.688
1,1,2025-01-01,0.546,0.809
1,2,2025-01-01,0.636,0.450
1,3,2025-01-01,0.688,1.133
1,4,2025-01-01,0.715,0.416
1,5,2025-01-01,0.752,1.423
1,6,2025-01-01,0.768,0.688
1,7,2025-01-01,0.788,0.572
2,1,2025-01-01,0.560,0.450
2,2,2025-01-01,0.633,1.133
2,3,2025-01-01,0.730,0.416
2,4,2025-01-01,0.832,1.423
2,5,2025-01-01,0.819,0.688
2,6,2025-01-01,0.891,0.572
2,7,2025-01-01,0.909,1.283
3,1,2025-01-01,0.501,1.133
3,2,2025-01-01,0.614,0.416
3,3,2025-01-01,0.698,1.423
3,4,2025-01-01,0.792,0.688
3,5,2025-01-01,0.858,0.572
3,6,2025-01-01,0.887,1.283
3,7,2025-01-01,0.889,1.421
4,1,2025-01-01,0.663,0.416
4,2,2025-01-01,0.748,1.423
4,3,2025-01-01,0.819,0.688
4,4,2025-01-01,0.893,0.572
4,5,2025-01-01,0.936,1.283
4,6,2025-01-01,0.992,1.421
4,7,2025-01-01,1.005,1.389
5,1,2025-01-01,0.611,1.423
5,2,2025-01-01,0.766,0.688
5,3,2025-01-01,0.867,0.572
5,4,2025-01-01,0.932,1.283
5,5,2025-01-01,1.033,1.421
5,6,2025-01-01,1.111,1.389
5,7,2025-01-01,1.126,1.192
6,1,2025-01-01,0.719,0.688
6,2,2025-01-01,0.773,0.572
6,3,2025-01-01,0.801,1.283
6,4,2025-01-01,0.905,1.421
6,5,2025-01-01,0.996,1.389
6,6,2025-01-01,1.067,1.192
6,7,2025-01-01,1.058,1.187
7,1,2025-01-01,0.679,0.572
7,2,2025-01-01,0.833,1.283
7,3,2025-01-01,0.906,1.421
7,4,2025-01-01,1.028,1.389
7,5,2025-01-01,1.128,1.192
7,6,2025-01-01,1.208,1.187
7,7,2025-01-01,1.119,1.214
8,1,2025-01-01,0.635,1.283
8,2,2025-01-01,0.818,1.421
8,3,2025-01-01,0.907,1.389
8,4,2025-01-01,0.909,1.192
8,5,2025-01-01,0.992,1.187
8,6,2025-01-01,1.084,1.214
8,7,2025-01-01,1.031,1.287
9,1,2025-01-01,0.753,1.421
9,2,2025-01-01,0.897,1.389
9,3,2025-01-01,0.945,1.192
9,4,2025-01-01,1.070,1.187
9,5,2025-01-01,1.132,1.214
9,6,2025-01-01,1.109,1.287
9,7,2025-01-01,1.072,0.819
10,1,2025-01-01,0.867,1.389
10,2,2025-01-01,0.928,1.192
10,3,2025-01-01,0.992,1.187
10,4,2025-01-01,1.079,1.214
10,5,2025-01-01,1.114,1.287
10,6,2025-01-01,1.153,0.819
10,7,2025-01-01,1.215,0.602
11,1,2025-01-01,0.781,1.192
11,2,2025-01-01,0.861,1.187
11,3,2025-01-01,0.884,1.214
11,4,2025-01-01,0.916,1.287
11,5,2025-01-01,1.041,0.819
11,6,2025-01-01,1.012,0.602
11,7,2025-01-01,1.022,1.107
12,1,2025-01-01,0.785,1.187
12,2,2025-01-01,0.843,1.214
12,3,2025-01-01,0.885,1.287
12,4,2025-01-01,0.939,0.819
12,5,2025-01-01,0.936,0.602
12,6,2025-01-01,0.938,1.107
12,7,2025-01-01,0.865,1.520
13,1,2025-01-01,0.745,1.214
13,2,2025-01-01,0.845,1.287
13,3,2025-01-01,0.871,0.819
13,4,2025-01-01,0.861,0.602
13,5,2025-01-01,0.931,1.107
13,6,2025-01-01,0.902,1.520
13,7,2025-01-01,0.827,1.662
14,1,2025-01-01,0.784,1.287
14,2,2025-01-01,0.875,0.819
14,3,2025-01-01,0.897,0.602
14,4,2025-01-01,0.967,1.107
14,5,2025-01-01,0.987,1.520
14,6,2025-01-01,1.004,1.662
14,7,2025-01-01,1.092,1.608
15,1,2025-01-01,0.795,0.819
15,2,2025-01-01,0.900,0.602
15,3,2025-01-01,0.969,1.107
15,4,2025-01-01,1.069,1.520
15,5,2025-01-01,1.174,1.662
15,6,2025-01-01,1.169,1.608
15,7,2025-01-01,1.256,0.873
16,1,2025-01-01,0.728,0.602
16,2,2025-01-01,0.840,1.107
16,3,2025-01-01,0.959,1.520
16,4,2025-01-01,1.053,1.662
16,5,2025-01-01,1.174,1.608
16,6,2025-01-01,1.201,0.873
16,7,2025-01-01,1.250,0.848
17,1,2025-01-01,0.651,1.107
17,2,2025-01-01,0.739,1.520
17,3,2025-01-01,0.763,1.662
17,4,2025-01-01,0.799,1.608
17,5,2025-01-01,0.787,0.873
17,6,2025-01-01,0.801,0.848
17,7,2025-01-01,1.016,0.931
