Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.327,1.141
0,2,2025-01-01,0.428,0.349
0,3,2025-01-01,0.386,1.117
0,4,2025-01-01,0.365,0.277
0,5,2025-01-01,0.373,0.629
0,6,2025-01-01,0.352,1.444
0,7,2025-01-01,0.345,0.961
1,1,2025-01-01,0.396,0.349
1,2,2025-01-01,0.455,1.117
1,3,2025-01-01,0.445,0.277
1,4,2025-01-01,0.446,0.629
1,5,2025-01-01,0.447,1.444
1,6,2025-01-01,0.460,0.961
1,7,2025-01-01,0.478,1.092
2,1,2025-01-01,0.321,1.117
2,2,2025-01-01,0.379,0.277
2,3,2025-01-01,0.370,0.629
2,4,2025-01-01,0.374,1.444
2,5,2025-01-01,0.371,0.961
2,6,2025-01-01,0.387,1.092
2,7,2025-01-01,0.395,1.298
3,1,2025-01-01,0.400,0.277
3,2,2025-01-01,0.480,0.629
3,3,2025-01-01,0.409,1.444
3,4,2025-01-01,0.409,0.961
3,5,2025-01-01,0.376,1.092
3,6,2025-01-01,0.364,1.298
3,7,2025-01-01,0.439,0.276
4,1,2025-01-01,0.333,0.629
4,2,2025-01-01,0.413,1.444
4,3,2025-01-01,0.402,0.961
4,4,2025-01-01,0.389,1.092
4,5,2025-01-01,0.390,1.298
4,6,2025-01-01,0.403,0.276
4,7,2025-01-01,0.417,1.495
5,1,2025-01-01,0.361,1.444
5,2,2025-01-01,0.435,0.961
5,3,2025-01-01,0.391,1.092
5,4,2025-01-01,0.360,1.298
5,5,2025-01-01,0.363,0.276
5,6,2025-01-01,0.346,1.495
5,7,2025-01-01,0.435,1.801
6,1,2025-01-01,0.479,0.961
6,2,2025-01-01,0.596,1.092
6,3,2025-01-01,0.445,1.298
6,4,2025-01-01,0.500,0.276
6,5,2025-01-01,0.563,1.495
6,6,2025-01-01,0.512,1.801
6,7,2025-01-01,0.548,1.774
7,1,2025-01-01,0.558,1.092
7,2,2025-01-01,0.651,1.298
7,3,2025-01-01,0.613,0.276
7,4,2025-01-01,0.614,1.495
7,5,2025-01-01,0.601,1.801
7,6,2025-01-01,0.656,1.774
7,7,2025-01-01,0.754,1.934
8,1,2025-01-01,0.464,1.298
8,2,2025-01-01,0.633,0.276
8,3,2025-01-01,0.545,1.495
8,4,2025-01-01,0.599,1.801
8,5,2025-01-01,0.609,1.774
8,6,2025-01-01,0.695,1.934
8,7,2025-01-01,0.701,1.938
9,1,2025-01-01,0.589,0.276
9,2,2025-01-01,0.689,1.495
9,3,2025-01-01,0.625,1.801
9,4,2025-01-01,0.651,1.774
9,5,2025-01-01,0.723,1.934
9,6,2025-01-01,0.755,1.938
9,7,2025-01-01,0.825,1.807
10,1,2025-01-01,0.456,1.495
10,2,2025-01-01,0.523,1.801
10,3,2025-01-01,0.484,1.774
10,4,2025-01-01,0.504,1.934
10,5,2025-01-01,0.517,1.938
10,6,2025-01-01,0.680,1.807
10,7,2025-01-01,0.655,1.240
11,1,2025-01-01,0.584,1.801
11,2,2025-01-01,0.716,1.774
11,3,2025-01-01,0.646,1.934
11,4,2025-01-01,0.665,1.938
11,5,2025-01-01,0.638,1.807
11,6,2025-01-01,0.677,1.240
11,7,2025-01-01,0.750,0.908
12,1,2025-01-01,0.772,1.774
12,2,2025-01-01,0.827,1.934
12,3,2025-01-01,0.818,1.938
12,4,2025-01-01,0.822,1.807
12,5,2025-01-01,0.751,1.240
12,6,2025-01-01,0.826,0.908
12,7,2025-01-01,0.897,1.973
13,1,2025-01-01,0.822,1.934
13,2,2025-01-01,0.881,1.938
13,3,2025-01-01,0.889,1.807
13,4,2025-01-01,0.909,1.240
13,5,2025-01-01,0.913,0.908
13,6,2025-01-01,0.982,1.973
13,7,2025-01-01,0.803,1.363
14,1,2025-01-01,0.885,1.938
14,2,2025-01-01,0.966,1.807
14,3,2025-01-01,0.957,1.240
14,4,2025-01-01,0.968,0.908
14,5,2025-01-01,0.970,1.973
14,6,2025-01-01,1.020,1.363
14,7,2025-01-01,1.089,1.149
15,1,2025-01-01,0.777,1.807
15,2,2025-01-01,1.072,1.240
15,3,2025-01-01,1.007,0.908
15,4,2025-01-01,1.054,1.973
15,5,2025-01-01,1.088,1.363
15,6,2025-01-01,1.135,1.149
15,7,2025-01-01,1.178,0.800
16,1,2025-01-01,0.850,1.240
16,2,2025-01-01,1.156,0.908
16,3,2025-01-01,1.095,1.973
16,4,2025-01-01,1.095,1.363
16,5,2025-01-01,0.950,1.149
16,6,2025-01-01,0.909,0.800
16,7,2025-01-01,1.129,1.389
17,1,2025-01-01,0.828,0.908
17,2,2025-01-01,0.872,1.973
17,3,2025-01-01,0.850,1.363
17,4,2025-01-01,0.881,1.149
17,5,2025-01-01,0.891,0.800
17,6,2025-01-01,1.145,1.389
17,7,2025-01-01,1.042,0.846
18,1,2025-01-01,0.820,1.973
18,2,2025-01-01,0.952,1.363
18,3,2025-01-01,0.923,1.149
18,4,2025-01-01,0.979,0.800
18,5,2025-01-01,1.046,1.389
18,6,2025-01-01,1.088,0.846
18,7,2025-01-01,1.260,2.033
19,1,2025-01-01,1.184,1.363
19,2,2025-01-01,1.203,1.149
19,3,2025-01-01,1.316,0.800
19,4,2025-01-01,1.159,1.389
19,5,2025-01-01,1.230,0.846
19,6,2025-01-01,1.253,2.033
19,7,2025-01-01,1.397,2.041
