Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,2.060,3.140
0,2,2025-01-01,2.462,2.305
0,3,2025-01-01,2.896,4.108
0,4,2025-01-01,2.381,4.553
0,5,2025-01-01,1.846,4.018
0,6,2025-01-01,2.386,4.312
0,7,2025-01-01,2.795,4.636
1,1,2025-01-01,2.148,2.305
1,2,2025-01-01,2.572,4.108
1,3,2025-01-01,2.987,4.553
1,4,2025-01-01,2.574,4.018
1,5,2025-01-01,1.983,4.312
1,6,2025-01-01,2.484,4.636
1,7,2025-01-01,2.978,2.920
2,1,2025-01-01,2.232,4.108
2,2,2025-01-01,2.695,4.553
2,3,2025-01-01,3.136,4.018
2,4,2025-01-01,2.759,4.312
2,5,2025-01-01,2.145,4.636
2,6,2025-01-01,2.665,2.920
2,7,2025-01-01,3.175,1.282
3,1,2025-01-01,2.442,4.553
3,2,2025-01-01,2.861,4.018
3,3,2025-01-01,3.362,4.312
3,4,2025-01-01,2.911,4.636
3,5,2025-01-01,2.370,2.920
3,6,2025-01-01,3.071,1.282
3,7,2025-01-01,3.559,4.847
4,1,2025-01-01,2.543,4.018
4,2,2025-01-01,2.957,4.312
4,3,2025-01-01,3.460,4.636
4,4,2025-01-01,3.052,2.920
4,5,2025-01-01,2.484,1.282
4,6,2025-01-01,3.224,4.847
4,7,2025-01-01,3.802,4.683
5,1,2025-01-01,2.656,4.312
5,2,2025-01-01,3.115,4.636
5,3,2025-01-01,3.617,2.920
5,4,2025-01-01,3.358,1.282
5,5,2025-01-01,2.745,4.847
5,6,2025-01-01,3.339,4.683
5,7,2025-01-01,3.977,4.033
6,1,2025-01-01,2.792,4.636
6,2,2025-01-01,3.244,2.920
6,3,2025-01-01,3.758,1.282
6,4,2025-01-01,3.476,4.847
6,5,2025-01-01,2.846,4.683
6,6,2025-01-01,3.407,4.033
6,7,2025-01-01,4.079,4.072
7,1,2025-01-01,2.997,2.920
7,2,2025-01-01,3.480,1.282
7,3,2025-01-01,4.043,4.847
7,4,2025-01-01,3.784,4.683
