Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.187,0.944
0,2,2025-01-01,0.382,0.648
0,3,2025-01-01,0.541,0.907
0,4,2025-01-01,0.314,0.853
0,5,2025-01-01,0.070,0.759
0,6,2025-01-01,0.259,1.143
0,7,2025-01-01,0.453,1.174
1,1,2025-01-01,0.198,0.648
1,2,2025-01-01,0.392,0.907
1,3,2025-01-01,0.553,0.853
1,4,2025-01-01,0.321,0.759
1,5,2025-01-01,0.075,1.143
1,6,2025-01-01,0.261,1.174
1,7,2025-01-01,0.451,0.579
2,1,2025-01-01,0.229,0.907
2,2,2025-01-01,0.441,0.853
2,3,2025-01-01,0.623,0.759
2,4,2025-01-01,0.377,1.143
2,5,2025-01-01,0.121,1.174
2,6,2025-01-01,0.315,0.579
2,7,2025-01-01,0.511,1.240
3,1,2025-01-01,0.257,0.853
3,2,2025-01-01,0.487,0.759
3,3,2025-01-01,0.686,1.143
3,4,2025-01-01,0.431,1.174
3,5,2025-01-01,0.174,0.579
3,6,2025-01-01,0.369,1.240
3,7,2025-01-01,0.561,0.838
4,1,2025-01-01,0.271,0.759
4,2,2025-01-01,0.510,1.143
4,3,2025-01-01,0.724,1.174
4,4,2025-01-01,0.464,0.579
4,5,2025-01-01,0.200,1.240
4,6,2025-01-01,0.423,0.838
4,7,2025-01-01,0.632,1.066
5,1,2025-01-01,0.305,1.143
5,2,2025-01-01,0.541,1.174
5,3,2025-01-01,0.748,0.579
5,4,2025-01-01,0.493,1.240
5,5,2025-01-01,0.223,0.838
5,6,2025-01-01,0.424,1.066
5,7,2025-01-01,0.632,1.179
6,1,2025-01-01,0.363,1.174
6,2,2025-01-01,0.594,0.579
6,3,2025-01-01,0.793,1.240
6,4,2025-01-01,0.494,0.838
6,5,2025-01-01,0.208,1.066
6,6,2025-01-01,0.422,1.179
6,7,2025-01-01,0.628,1.303
7,1,2025-01-01,0.443,0.579
7,2,2025-01-01,0.706,1.240
7,3,2025-01-01,0.935,0.838
7,4,2025-01-01,0.615,1.066
7,5,2025-01-01,0.306,1.179
7,6,2025-01-01,0.540,1.303
7,7,2025-01-01,0.734,1.296
8,1,2025-01-01,0.469,1.240
8,2,2025-01-01,0.727,0.838
8,3,2025-01-01,0.964,1.066
8,4,2025-01-01,0.627,1.179
8,5,2025-01-01,0.305,1.303
8,6,2025-01-01,0.550,1.296
8,7,2025-01-01,0.764,1.108
9,1,2025-01-01,0.607,0.838
9,2,2025-01-01,0.873,1.066
9,3,2025-01-01,1.099,1.179
9,4,2025-01-01,0.726,1.303
9,5,2025-01-01,0.372,1.296
9,6,2025-01-01,0.613,1.108
9,7,2025-01-01,0.825,0.574
10,1,2025-01-01,0.660,1.066
10,2,2025-01-01,0.925,1.179
10,3,2025-01-01,1.155,1.303
10,4,2025-01-01,0.765,1.296
10,5,2025-01-01,0.387,1.108
10,6,2025-01-01,0.628,0.574
10,7,2025-01-01,0.847,0.715
11,1,2025-01-01,0.692,1.179
11,2,2025-01-01,0.958,1.303
11,3,2025-01-01,1.179,1.296
11,4,2025-01-01,0.779,1.108
11,5,2025-01-01,0.400,0.574
11,6,2025-01-01,0.660,0.715
11,7,2025-01-01,0.877,0.746
12,1,2025-01-01,0.683,1.303
12,2,2025-01-01,0.934,1.296
12,3,2025-01-01,1.136,1.108
12,4,2025-01-01,0.738,0.574
12,5,2025-01-01,0.370,0.715
12,6,2025-01-01,0.632,0.746
12,7,2025-01-01,0.852,1.850
13,1,2025-01-01,0.644,1.296
13,2,2025-01-01,0.881,1.108
13,3,2025-01-01,1.073,0.574
13,4,2025-01-01,0.683,0.715
13,5,2025-01-01,0.314,0.746
13,6,2025-01-01,0.554,1.850
13,7,2025-01-01,0.771,1.421
14,1,2025-01-01,0.621,1.108
14,2,2025-01-01,0.857,0.574
14,3,2025-01-01,1.051,0.715
14,4,2025-01-01,0.669,0.746
14,5,2025-01-01,0.313,1.850
14,6,2025-01-01,0.576,1.421
14,7,2025-01-01,0.824,1.052
15,1,2025-01-01,0.669,0.574
15,2,2025-01-01,0.923,0.715
15,3,2025-01-01,1.128,0.746
15,4,2025-01-01,0.734,1.850
15,5,2025-01-01,0.372,1.421
15,6,2025-01-01,0.643,1.052
15,7,2025-01-01,0.901,0.978
