Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.337,1.514
0,2,2025-01-01,0.596,0.599
0,3,2025-01-01,0.828,1.165
0,4,2025-01-01,0.520,0.251
0,5,2025-01-01,0.234,0.993
0,6,2025-01-01,0.521,0.482
0,7,2025-01-01,0.794,1.779
1,1,2025-01-01,0.404,0.599
1,2,2025-01-01,0.670,1.165
1,3,2025-01-01,0.919,0.251
1,4,2025-01-01,0.589,0.993
1,5,2025-01-01,0.292,0.482
1,6,2025-01-01,0.598,1.779
1,7,2025-01-01,0.868,1.536
2,1,2025-01-01,0.459,1.165
2,2,2025-01-01,0.739,0.251
2,3,2025-01-01,1.008,0.993
2,4,2025-01-01,0.675,0.482
2,5,2025-01-01,0.347,1.779
2,6,2025-01-01,0.617,1.536
2,7,2025-01-01,0.880,0.429
3,1,2025-01-01,0.452,0.251
3,2,2025-01-01,0.747,0.993
3,3,2025-01-01,1.025,0.482
3,4,2025-01-01,0.691,1.779
3,5,2025-01-01,0.390,1.536
3,6,2025-01-01,0.692,0.429
3,7,2025-01-01,0.959,0.903
4,1,2025-01-01,0.434,0.993
4,2,2025-01-01,0.725,0.482
4,3,2025-01-01,1.008,1.779
4,4,2025-01-01,0.686,1.536
4,5,2025-01-01,0.381,0.429
4,6,2025-01-01,0.666,0.903
4,7,2025-01-01,0.928,1.239
5,1,2025-01-01,0.580,0.482
5,2,2025-01-01,0.875,1.779
5,3,2025-01-01,1.146,1.536
5,4,2025-01-01,0.782,0.429
5,5,2025-01-01,0.442,0.903
5,6,2025-01-01,0.724,1.239
5,7,2025-01-01,0.985,1.969
6,1,2025-01-01,0.716,1.779
6,2,2025-01-01,1.028,1.536
6,3,2025-01-01,1.306,0.429
6,4,2025-01-01,0.906,0.903
6,5,2025-01-01,0.531,1.239
6,6,2025-01-01,0.823,1.969
6,7,2025-01-01,1.100,1.997
7,1,2025-01-01,0.813,1.536
7,2,2025-01-01,1.152,0.429
7,3,2025-01-01,1.451,0.903
7,4,2025-01-01,1.031,1.239
7,5,2025-01-01,0.646,1.969
