Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.155,0.881
0,2,2025-01-01,0.383,0.621
0,3,2025-01-01,0.574,0.851
0,4,2025-01-01,0.343,0.215
0,5,2025-01-01,0.118,0.417
0,6,2025-01-01,0.371,0.983
0,7,2025-01-01,0.569,0.787
1,1,2025-01-01,0.169,0.621
1,2,2025-01-01,0.400,0.851
1,3,2025-01-01,0.602,0.215
1,4,2025-01-01,0.374,0.417
1,5,2025-01-01,0.147,0.983
1,6,2025-01-01,0.413,0.787
1,7,2025-01-01,0.625,1.049
2,1,2025-01-01,0.194,0.851
2,2,2025-01-01,0.430,0.215
2,3,2025-01-01,0.633,0.417
2,4,2025-01-01,0.398,0.983
2,5,2025-01-01,0.167,0.787
2,6,2025-01-01,0.410,1.049
2,7,2025-01-01,0.604,1.235
3,1,2025-01-01,0.196,0.215
3,2,2025-01-01,0.418,0.417
3,3,2025-01-01,0.599,0.983
3,4,2025-01-01,0.362,0.787
3,5,2025-01-01,0.122,1.049
3,6,2025-01-01,0.323,1.235
3,7,2025-01-01,0.505,0.365
4,1,2025-01-01,0.209,0.417
4,2,2025-01-01,0.437,0.983
4,3,2025-01-01,0.627,0.787
4,4,2025-01-01,0.395,1.049
4,5,2025-01-01,0.156,1.235
4,6,2025-01-01,0.357,0.365
4,7,2025-01-01,0.550,1.261
5,1,2025-01-01,0.272,0.983
5,2,2025-01-01,0.483,0.787
5,3,2025-01-01,0.657,1.049
5,4,2025-01-01,0.402,1.235
5,5,2025-01-01,0.143,0.365
5,6,2025-01-01,0.334,1.261
5,7,2025-01-01,0.536,1.204
6,1,2025-01-01,0.363,0.787
6,2,2025-01-01,0.604,1.049
6,3,2025-01-01,0.815,1.235
6,4,2025-01-01,0.512,0.365
6,5,2025-01-01,0.219,1.261
6,6,2025-01-01,0.456,1.204
6,7,2025-01-01,0.678,1.194
7,1,2025-01-01,0.423,1.049
7,2,2025-01-01,0.679,1.235
7,3,2025-01-01,0.912,0.365
7,4,2025-01-01,0.595,1.261
7,5,2025-01-01,0.286,1.204
7,6,2025-01-01,0.533,1.194
7,7,2025-01-01,0.766,1.349
8,1,2025-01-01,0.464,1.235
8,2,2025-01-01,0.700,0.365
8,3,2025-01-01,0.915,1.261
