Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.406,0.861
0,2,2025-01-01,0.460,0.809
0,3,2025-01-01,0.527,0.450
0,4,2025-01-01,0.582,1.133
0,5,2025-01-01,0.608,0.416
0,6,2025-01-01,0.618,1.423
0,7,2025-01-01,0.654,0.688
1,1,2025-01-01,0.412,0.809
1,2,2025-01-01,0.459,0.450
1,3,2025-01-01,0.504,1.133
1,4,2025-01-01,0.537,0.416
1,5,2025-01-01,0.591,1.423
1,6,2025-01-01,0.613,0.688
1,7,2025-01-01,0.643,0.572
2,1,2025-01-01,0.414,0.450
2,2,2025-01-01,0.473,1.133
2,3,2025-01-01,0.564,0.416
2,4,2025-01-01,0.668,1.423
2,5,2025-01-01,0.664,0.688
2,6,2025-01-01,0.750,0.572
2,7,2025-01-01,0.768,1.283
3,1,2025-01-01,0.382,1.133
3,2,2025-01-01,0.462,0.416
3,3,2025-01-01,0.524,1.423
3,4,2025-01-01,0.639,0.688
3,5,2025-01-01,0.713,0.572
3,6,2025-01-01,0.791,1.283
3,7,2025-01-01,0.823,1.421
4,1,2025-01-01,0.529,0.416
4,2,2025-01-01,0.599,1.423
4,3,2025-01-01,0.697,0.688
4,4,2025-01-01,0.773,0.572
4,5,2025-01-01,0.808,1.283
4,6,2025-01-01,0.899,1.421
4,7,2025-01-01,0.948,1.389
5,1,2025-01-01,0.448,1.423
5,2,2025-01-01,0.600,0.688
5,3,2025-01-01,0.755,0.572
5,4,2025-01-01,0.905,1.283
5,5,2025-01-01,1.065,1.421
5,6,2025-01-01,1.199,1.389
5,7,2025-01-01,1.275,1.192
6,1,2025-01-01,0.542,0.688
6,2,2025-01-01,0.546,0.572
6,3,2025-01-01,0.603,1.283
6,4,2025-01-01,0.700,1.421
6,5,2025-01-01,0.762,1.389
6,6,2025-01-01,0.813,1.192
6,7,2025-01-01,0.778,1.187
7,1,2025-01-01,0.541,0.572
7,2,2025-01-01,0.698,1.283
7,3,2025-01-01,0.776,1.421
7,4,2025-01-01,0.933,1.389
7,5,2025-01-01,1.092,1.192
7,6,2025-01-01,1.241,1.187
7,7,2025-01-01,1.280,1.214
8,1,2025-01-01,0.510,1.283
8,2,2025-01-01,0.724,1.421
8,3,2025-01-01,0.827,1.389
8,4,2025-01-01,0.797,1.192
8,5,2025-01-01,0.891,1.187
8,6,2025-01-01,1.007,1.214
8,7,2025-01-01,1.017,1.287
9,1,2025-01-01,0.620,1.421
9,2,2025-01-01,0.783,1.389
9,3,2025-01-01,0.836,1.192
9,4,2025-01-01,1.008,1.187
9,5,2025-01-01,1.097,1.214
9,6,2025-01-01,1.108,1.287
9,7,2025-01-01,1.136,0.819
10,1,2025-01-01,0.753,1.389
10,2,2025-01-01,0.811,1.192
10,3,2025-01-01,0.905,1.187
10,4,2025-01-01,1.015,1.214
10,5,2025-01-01,1.098,1.287
10,6,2025-01-01,1.190,0.819
10,7,2025-01-01,1.301,0.602
11,1,2025-01-01,0.666,1.192
11,2,2025-01-01,0.729,1.187
11,3,2025-01-01,0.742,1.214
11,4,2025-01-01,0.786,1.287
11,5,2025-01-01,0.947,0.819
11,6,2025-01-01,0.918,0.602
11,7,2025-01-01,0.983,1.107
12,1,2025-01-01,0.669,1.187
12,2,2025-01-01,0.703,1.214
12,3,2025-01-01,0.744,1.287
12,4,2025-01-01,0.806,0.819
12,5,2025-01-01,0.818,0.602
12,6,2025-01-01,0.839,1.107
12,7,2025-01-01,0.786,1.520
13,1,2025-01-01,0.613,1.214
13,2,2025-01-01,0.670,1.287
13,3,2025-01-01,0.713,0.819
13,4,2025-01-01,0.721,0.602
13,5,2025-01-01,0.805,1.107
13,6,2025-01-01,0.791,1.520
13,7,2025-01-01,0.738,1.662
14,1,2025-01-01,0.658,1.287
14,2,2025-01-01,0.704,0.819
14,3,2025-01-01,0.739,0.602
14,4,2025-01-01,0.819,1.107
14,5,2025-01-01,0.848,1.520
14,6,2025-01-01,0.866,1.662
14,7,2025-01-01,0.979,1.608
15,1,2025-01-01,0.647,0.819
15,2,2025-01-01,0.724,0.602
15,3,2025-01-01,0.806,1.107
15,4,2025-01-01,0.933,1.520
15,5,2025-01-01,1.062,1.662
15,6,2025-01-01,1.137,1.608
15,7,2025-01-01,1.298,0.873
16,1,2025-01-01,0.610,0.602
16,2,2025-01-01,0.692,1.107
16,3,2025-01-01,0.832,1.520
16,4,2025-01-01,0.953,1.662
16,5,2025-01-01,1.114,1.608
16,6,2025-01-01,1.180,0.873
16,7,2025-01-01,1.278,0.848
17,1,2025-01-01,0.533,1.107
17,2,2025-01-01,0.611,1.520
17,3,2025-01-01,0.648,1.662
17,4,2025-01-01,0.696,1.608
17,5,2025-01-01,0.694,0.873
17,6,2025-01-01,0.705,0.848
17,7,2025-01-01,0.900,0.931
18,1,2025-01-01,0.600,1.520
18,2,2025-01-01,0.677,1.662
18,3,2025-01-01,0.700,1.608
18,4,2025-01-01,0.770,0.873
18,5,2025-01-01,0.804,0.848
18,6,2025-01-01,0.799,0.931
18,7,2025-01-01,0.940,0.947
19,1,2025-01-01,0.693,1.662
19,2,2025-01-01,0.761,1.608
19,3,2025-01-01,0.825,0.873
