Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.495,0.944
0,2,2025-01-01,0.776,0.648
0,3,2025-01-01,0.509,0.907
0,4,2025-01-01,0.796,0.853
0,5,2025-01-01,0.513,0.759
0,6,2025-01-01,0.814,1.143
0,7,2025-01-01,0.535,1.174
1,1,2025-01-01,0.542,0.648
1,2,2025-01-01,0.837,0.907
1,3,2025-01-01,0.549,0.853
1,4,2025-01-01,0.856,0.759
1,5,2025-01-01,0.553,1.143
1,6,2025-01-01,0.873,1.174
1,7,2025-01-01,0.572,0.579
2,1,2025-01-01,0.593,0.907
2,2,2025-01-01,0.912,0.853
2,3,2025-01-01,0.613,0.759
2,4,2025-01-01,0.929,1.143
2,5,2025-01-01,0.616,1.174
2,6,2025-01-01,0.949,0.579
2,7,2025-01-01,0.622,1.240
3,1,2025-01-01,0.664,0.853
3,2,2025-01-01,0.989,0.759
3,3,2025-01-01,0.664,1.143
3,4,2025-01-01,0.978,1.174
3,5,2025-01-01,0.641,0.579
3,6,2025-01-01,0.976,1.240
3,7,2025-01-01,0.654,0.838
4,1,2025-01-01,0.712,0.759
4,2,2025-01-01,1.040,1.143
4,3,2025-01-01,0.701,1.174
4,4,2025-01-01,1.019,0.579
4,5,2025-01-01,0.686,1.240
4,6,2025-01-01,1.021,0.838
4,7,2025-01-01,0.696,1.066
5,1,2025-01-01,0.871,1.143
5,2,2025-01-01,1.211,1.174
5,3,2025-01-01,0.886,0.579
5,4,2025-01-01,1.217,1.240
5,5,2025-01-01,0.845,0.838
5,6,2025-01-01,1.218,1.066
5,7,2025-01-01,0.867,1.179
6,1,2025-01-01,0.997,1.174
6,2,2025-01-01,1.351,0.579
6,3,2025-01-01,0.942,1.240
6,4,2025-01-01,1.331,0.838
6,5,2025-01-01,0.957,1.066
6,6,2025-01-01,1.380,1.179
6,7,2025-01-01,1.028,1.303
7,1,2025-01-01,1.129,0.579
7,2,2025-01-01,1.504,1.240
7,3,2025-01-01,1.060,0.838
7,4,2025-01-01,1.468,1.066
7,5,2025-01-01,1.077,1.179
7,6,2025-01-01,1.502,1.303
7,7,2025-01-01,1.158,1.296
8,1,2025-01-01,1.068,1.240
8,2,2025-01-01,1.463,0.838
8,3,2025-01-01,1.075,1.066
8,4,2025-01-01,1.508,1.179
8,5,2025-01-01,1.122,1.303
8,6,2025-01-01,1.539,1.296
8,7,2025-01-01,1.198,1.108
9,1,2025-01-01,1.138,0.838
9,2,2025-01-01,1.514,1.066
9,3,2025-01-01,1.121,1.179
9,4,2025-01-01,1.546,1.303
9,5,2025-01-01,1.169,1.296
9,6,2025-01-01,1.575,1.108
9,7,2025-01-01,1.223,0.574
10,1,2025-01-01,1.114,1.066
10,2,2025-01-01,1.486,1.179
10,3,2025-01-01,1.113,1.303
10,4,2025-01-01,1.531,1.296
10,5,2025-01-01,1.157,1.108
10,6,2025-01-01,1.556,0.574
10,7,2025-01-01,1.205,0.715
11,1,2025-01-01,1.079,1.179
11,2,2025-01-01,1.445,1.303
11,3,2025-01-01,1.099,1.296
11,4,2025-01-01,1.525,1.108
11,5,2025-01-01,1.157,0.574
11,6,2025-01-01,1.566,0.715
11,7,2025-01-01,1.239,0.746
12,1,2025-01-01,1.031,1.303
12,2,2025-01-01,1.394,1.296
12,3,2025-01-01,1.046,1.108
12,4,2025-01-01,1.481,0.574
12,5,2025-01-01,1.119,0.715
12,6,2025-01-01,1.550,0.746
12,7,2025-01-01,1.195,1.850
13,1,2025-01-01,0.956,1.296
13,2,2025-01-01,1.334,1.108
13,3,2025-01-01,0.977,0.574
13,4,2025-01-01,1.425,0.715
13,5,2025-01-01,1.047,0.746
13,6,2025-01-01,1.482,1.850
13,7,2025-01-01,1.112,1.421
14,1,2025-01-01,0.966,1.108
14,2,2025-01-01,1.323,0.574
14,3,2025-01-01,1.028,0.715
14,4,2025-01-01,1.485,0.746
14,5,2025-01-01,1.100,1.850
14,6,2025-01-01,1.554,1.421
14,7,2025-01-01,1.180,1.052
15,1,2025-01-01,1.046,0.574
15,2,2025-01-01,1.417,0.715
15,3,2025-01-01,1.062,0.746
15,4,2025-01-01,1.534,1.850
15,5,2025-01-01,1.160,1.421
15,6,2025-01-01,1.637,1.052
15,7,2025-01-01,1.265,0.978
16,1,2025-01-01,0.964,0.715
16,2,2025-01-01,1.329,0.746
16,3,2025-01-01,0.945,1.850
16,4,2025-01-01,1.377,1.421
16,5,2025-01-01,1.054,1.052
16,6,2025-01-01,1.512,0.978
16,7,2025-01-01,1.149,1.077
17,1,2025-01-01,0.906,0.746
17,2,2025-01-01,1.272,1.850
17,3,2025-01-01,0.876,1.421
17,4,2025-01-01,1.306,1.052
17,5,2025-01-01,0.910,0.978
17,6,2025-01-01,1.350,1.077
17,7,2025-01-01,0.981,1.136
18,1,2025-01-01,0.876,1.850
18,2,2025-01-01,1.207,1.421
18,3,2025-01-01,0.836,1.052
18,4,2025-01-01,1.201,0.978
18,5,2025-01-01,0.826,1.077
18,6,2025-01-01,1.198,1.136
18,7,2025-01-01,0.839,0.793
19,1,2025-01-01,0.966,1.421
19,2,2025-01-01,1.318,1.052
19,3,2025-01-01,0.945,0.978
19,4,2025-01-01,1.356,1.077
19,5,2025-01-01,0.985,1.136
19,6,2025-01-01,1.390,0.793
19,7,2025-01-01,1.017,0.896
20,1,2025-01-01,0.933,1.052
20,2,2025-01-01,1.286,0.978
20,3,2025-01-01,0.900,1.077
20,4,2025-01-01,1.325,1.136
20,5,2025-01-01,0.952,0.793
20,6,2025-01-01,1.394,0.896
20,7,2025-01-01,1.014,0.938
21,1,2025-01-01,0.926,0.978
21,2,2025-01-01,1.286,1.077
21,3,2025-01-01,0.912,1.136
21,4,2025-01-01,1.322,0.793
21,5,2025-01-01,0.942,0.896
21,6,2025-01-01,1.374,0.938
21,7,2025-01-01,1.010,0.924
22,1,2025-01-01,0.931,1.077
22,2,2025-01-01,1.281,1.136
22,3,2025-01-01,0.927,0.793
22,4,2025-01-01,1.359,0.896
22,5,2025-01-01,0.999,0.938
22,6,2025-01-01,1.434,0.924
22,7,2025-01-01,1.078,1.099
23,1,2025-01-01,0.950,1.136
23,2,2025-01-01,1.321,0.793
23,3,2025-01-01,0.939,0.896
23,4,2025-01-01,1.364,0.938
23,5,2025-01-01,0.981,0.924
23,6,2025-01-01,1.404,1.099
23,7,2025-01-01,1.046,0.739
24,1,2025-01-01,0.931,0.793
24,2,2025-01-01,1.312,0.896
24,3,2025-01-01,0.960,0.938
24,4,2025-01-01,1.418,0.924
24,5,2025-01-01,1.032,1.099
24,6,2025-01-01,1.469,0.739
24,7,2025-01-02,1.077,1.398
25,1,2025-01-01,0.965,0.896
25,2,2025-01-01,1.347,0.938
25,3,2025-01-01,0.986,0.924
25,4,2025-01-01,1.464,1.099
25,5,2025-01-01,1.095,0.739
25,6,2025-01-02,1.564,1.398
25,7,2025-01-02,1.183,3.044
26,1,2025-01-01,1.051,0.938
26,2,2025-01-01,1.459,0.924
26,3,2025-01-01,1.111,1.099
26,4,2025-01-01,1.595,0.739
26,5,2025-01-02,1.223,1.398
26,6,2025-01-02,1.686,3.044
26,7,2025-01-02,1.303,2.289
27,1,2025-01-01,1.085,0.924
27,2,2025-01-01,1.476,1.099
27,3,2025-01-01,1.266,0.739
27,4,2025-01-02,1.710,1.398
27,5,2025-01-02,1.315,3.044
27,6,2025-01-02,1.765,2.289
27,7,2025-01-02,1.431,2.185
28,1,2025-01-01,1.149,1.099
28,2,2025-01-01,1.533,0.739
28,3,2025-01-02,1.292,1.398
28,4,2025-01-02,1.735,3.044
28,5,2025-01-02,1.352,2.289
28,6,2025-01-02,1.819,2.185
28,7,2025-01-02,1.479,2.907
29,1,2025-01-01,1.252,0.739
29,2,2025-01-02,1.628,1.398
29,3,2025-01-02,1.516,3.044
29,4,2025-01-02,1.918,2.289
29,5,2025-01-02,1.500,2.185
29,6,2025-01-02,1.966,2.907
29,7,2025-01-02,1.608,2.574
30,1,2025-01-02,1.384,1.398
30,2,2025-01-02,1.773,3.044
30,3,2025-01-02,1.856,2.289
30,4,2025-01-02,2.149,2.185
30,5,2025-01-02,1.714,2.907
30,6,2025-01-02,2.140,2.574
30,7,2025-01-02,1.793,1.492
31,1,2025-01-02,1.703,3.044
31,2,2025-01-02,2.108,2.289
31,3,2025-01-02,1.688,2.185
31,4,2025-01-02,2.144,2.907
31,5,2025-01-02,1.670,2.574
31,6,2025-01-02,2.155,1.492
31,7,2025-01-02,1.722,1.524
32,1,2025-01-02,2.129,2.289
32,2,2025-01-02,2.560,2.185
32,3,2025-01-02,2.090,2.907
32,4,2025-01-02,2.188,2.574
32,5,2025-01-02,1.721,1.492
32,6,2025-01-02,2.241,1.524
32,7,2025-01-02,1.805,2.032
33,1,2025-01-02,2.195,2.185
33,2,2025-01-02,2.604,2.907
33,3,2025-01-02,1.959,2.574
33,4,2025-01-02,2.398,1.492
33,5,2025-01-02,1.880,1.524
