Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.596,0.861
0,2,2025-01-01,0.911,0.809
0,3,2025-01-01,0.627,0.450
0,4,2025-01-01,0.924,1.133
0,5,2025-01-01,0.630,0.416
0,6,2025-01-01,0.943,1.423
0,7,2025-01-01,0.639,0.688
1,1,2025-01-01,0.633,0.809
1,2,2025-01-01,0.952,0.450
1,3,2025-01-01,0.652,1.133
1,4,2025-01-01,0.959,0.416
1,5,2025-01-01,0.638,1.423
1,6,2025-01-01,0.972,0.688
1,7,2025-01-01,0.665,0.572
2,1,2025-01-01,0.681,0.450
2,2,2025-01-01,1.002,1.133
2,3,2025-01-01,0.721,0.416
2,4,2025-01-01,1.047,1.423
2,5,2025-01-01,0.743,0.688
2,6,2025-01-01,1.092,0.572
2,7,2025-01-01,0.763,1.283
3,1,2025-01-01,0.656,1.133
3,2,2025-01-01,0.972,0.416
3,3,2025-01-01,0.673,1.423
3,4,2025-01-01,0.996,0.688
3,5,2025-01-01,0.676,0.572
3,6,2025-01-01,1.028,1.283
3,7,2025-01-01,0.715,1.421
4,1,2025-01-01,0.764,0.416
4,2,2025-01-01,1.091,1.423
4,3,2025-01-01,0.763,0.688
4,4,2025-01-01,1.082,0.572
4,5,2025-01-01,0.759,1.283
4,6,2025-01-01,1.101,1.421
4,7,2025-01-01,0.768,1.389
5,1,2025-01-01,0.756,1.423
5,2,2025-01-01,1.113,0.688
5,3,2025-01-01,0.935,0.572
5,4,2025-01-01,1.192,1.283
5,5,2025-01-01,0.866,1.421
5,6,2025-01-01,1.188,1.389
5,7,2025-01-01,0.900,1.192
6,1,2025-01-01,0.992,0.688
6,2,2025-01-01,1.328,0.572
6,3,2025-01-01,0.924,1.283
6,4,2025-01-01,1.341,1.421
6,5,2025-01-01,0.959,1.389
6,6,2025-01-01,1.412,1.192
6,7,2025-01-01,1.068,1.187
7,1,2025-01-01,1.008,0.572
7,2,2025-01-01,1.366,1.283
7,3,2025-01-01,1.025,1.421
7,4,2025-01-01,1.413,1.389
7,5,2025-01-01,1.059,1.192
7,6,2025-01-01,1.463,1.187
7,7,2025-01-01,1.147,1.214
8,1,2025-01-01,0.982,1.283
8,2,2025-01-01,1.370,1.421
8,3,2025-01-01,1.015,1.389
8,4,2025-01-01,1.431,1.192
8,5,2025-01-01,1.055,1.187
8,6,2025-01-01,1.457,1.214
8,7,2025-01-01,1.134,1.287
9,1,2025-01-01,1.085,1.421
9,2,2025-01-01,1.448,1.389
9,3,2025-01-01,1.078,1.192
9,4,2025-01-01,1.488,1.187
9,5,2025-01-01,1.136,1.214
9,6,2025-01-01,1.548,1.287
9,7,2025-01-01,1.208,0.819
10,1,2025-01-01,1.173,1.389
10,2,2025-01-01,1.523,1.192
10,3,2025-01-01,1.155,1.187
10,4,2025-01-01,1.545,1.214
10,5,2025-01-01,1.188,1.287
10,6,2025-01-01,1.564,0.819
10,7,2025-01-01,1.212,0.602
11,1,2025-01-01,1.057,1.192
11,2,2025-01-01,1.422,1.187
11,3,2025-01-01,1.063,1.214
11,4,2025-01-01,1.489,1.287
11,5,2025-01-01,1.129,0.819
11,6,2025-01-01,1.561,0.602
11,7,2025-01-01,1.216,1.107
12,1,2025-01-01,1.019,1.187
12,2,2025-01-01,1.383,1.214
12,3,2025-01-01,1.033,1.287
12,4,2025-01-01,1.471,0.819
12,5,2025-01-01,1.119,0.602
12,6,2025-01-01,1.554,1.107
12,7,2025-01-01,1.202,1.520
13,1,2025-01-01,1.026,1.214
13,2,2025-01-01,1.375,1.287
