Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.474,1.141
0,2,2025-01-01,0.787,0.349
0,3,2025-01-01,0.502,1.117
0,4,2025-01-01,0.793,0.277
0,5,2025-01-01,0.504,0.629
0,6,2025-01-01,0.814,1.444
0,7,2025-01-01,0.531,0.961
1,1,2025-01-01,0.541,0.349
1,2,2025-01-01,0.888,1.117
1,3,2025-01-01,0.569,0.277
1,4,2025-01-01,0.891,0.629
1,5,2025-01-01,0.573,1.444
1,6,2025-01-01,0.914,0.961
1,7,2025-01-01,0.601,1.092
2,1,2025-01-01,0.516,1.117
2,2,2025-01-01,0.839,0.277
2,3,2025-01-01,0.530,0.629
2,4,2025-01-01,0.833,1.444
2,5,2025-01-01,0.533,0.961
2,6,2025-01-01,0.871,1.092
2,7,2025-01-01,0.580,1.298
3,1,2025-01-01,0.592,0.277
3,2,2025-01-01,0.936,0.629
3,3,2025-01-01,0.584,1.444
3,4,2025-01-01,0.900,0.961
3,5,2025-01-01,0.563,1.092
3,6,2025-01-01,0.909,1.298
3,7,2025-01-01,0.588,0.276
4,1,2025-01-01,0.581,0.629
4,2,2025-01-01,0.920,1.444
4,3,2025-01-01,0.565,0.961
4,4,2025-01-01,0.903,1.092
4,5,2025-01-01,0.561,1.298
4,6,2025-01-01,0.926,0.276
4,7,2025-01-01,0.586,1.495
5,1,2025-01-01,0.635,1.444
5,2,2025-01-01,0.980,0.961
5,3,2025-01-01,0.613,1.092
5,4,2025-01-01,0.939,1.298
5,5,2025-01-01,0.578,0.276
5,6,2025-01-01,0.959,1.495
5,7,2025-01-01,0.644,1.801
6,1,2025-01-01,0.794,0.961
6,2,2025-01-01,1.193,1.092
6,3,2025-01-01,0.759,1.298
6,4,2025-01-01,1.177,0.276
6,5,2025-01-01,0.769,1.495
6,6,2025-01-01,1.212,1.801
6,7,2025-01-01,0.861,1.774
7,1,2025-01-01,0.971,1.092
7,2,2025-01-01,1.385,1.298
7,3,2025-01-01,0.876,0.276
7,4,2025-01-01,1.327,1.495
7,5,2025-01-01,0.886,1.801
7,6,2025-01-01,1.383,1.774
7,7,2025-01-01,1.070,1.934
8,1,2025-01-01,0.902,1.298
8,2,2025-01-01,1.354,0.276
8,3,2025-01-01,0.865,1.495
8,4,2025-01-01,1.364,1.801
8,5,2025-01-01,0.923,1.774
8,6,2025-01-01,1.465,1.934
8,7,2025-01-01,1.050,1.938
9,1,2025-01-01,1.032,0.276
9,2,2025-01-01,1.460,1.495
9,3,2025-01-01,0.975,1.801
9,4,2025-01-01,1.466,1.774
9,5,2025-01-01,1.085,1.934
9,6,2025-01-01,1.594,1.938
9,7,2025-01-01,1.170,1.807
10,1,2025-01-01,0.836,1.495
10,2,2025-01-01,1.209,1.801
10,3,2025-01-01,0.763,1.774
10,4,2025-01-01,1.221,1.934
10,5,2025-01-01,0.838,1.938
10,6,2025-01-01,1.362,1.807
10,7,2025-01-01,0.932,1.240
11,1,2025-01-01,0.931,1.801
11,2,2025-01-01,1.332,1.774
11,3,2025-01-01,0.888,1.934
11,4,2025-01-01,1.329,1.938
11,5,2025-01-01,0.915,1.807
11,6,2025-01-01,1.380,1.240
11,7,2025-01-01,0.953,0.908
12,1,2025-01-01,1.148,1.774
12,2,2025-01-01,1.566,1.934
12,3,2025-01-01,1.147,1.938
12,4,2025-01-01,1.632,1.807
12,5,2025-01-01,1.199,1.240
12,6,2025-01-01,1.675,0.908
12,7,2025-01-01,1.214,1.973
13,1,2025-01-01,1.264,1.934
13,2,2025-01-01,1.691,1.938
13,3,2025-01-01,1.411,1.807
13,4,2025-01-01,1.878,1.240
13,5,2025-01-01,1.377,0.908
13,6,2025-01-01,1.868,1.973
13,7,2025-01-01,1.414,1.363
14,1,2025-01-01,1.327,1.938
14,2,2025-01-01,1.779,1.807
14,3,2025-01-01,1.440,1.240
14,4,2025-01-01,1.941,0.908
14,5,2025-01-01,1.436,1.973
14,6,2025-01-01,1.939,1.363
14,7,2025-01-01,1.427,1.149
15,1,2025-01-01,1.243,1.807
15,2,2025-01-01,1.791,1.240
15,3,2025-01-01,1.312,0.908
15,4,2025-01-01,1.932,1.973
15,5,2025-01-01,1.456,1.363
15,6,2025-01-01,2.032,1.149
15,7,2025-01-01,1.518,0.800
16,1,2025-01-01,1.293,1.240
16,2,2025-01-01,1.853,0.908
16,3,2025-01-01,1.364,1.973
16,4,2025-01-01,1.967,1.363
16,5,2025-01-01,1.458,1.149
16,6,2025-01-01,1.894,0.800
16,7,2025-01-01,1.848,1.389
17,1,2025-01-01,1.218,0.908
17,2,2025-01-01,1.647,1.973
17,3,2025-01-01,1.170,1.363
17,4,2025-01-01,1.728,1.149
17,5,2025-01-01,1.298,0.800
17,6,2025-01-01,1.895,1.389
17,7,2025-01-01,1.423,0.846
18,1,2025-01-01,1.260,1.973
18,2,2025-01-01,1.786,1.363
18,3,2025-01-01,1.294,1.149
18,4,2025-01-01,1.879,0.800
18,5,2025-01-01,1.382,1.389
18,6,2025-01-01,1.960,0.846
18,7,2025-01-01,1.600,2.033
19,1,2025-01-01,1.753,1.363
19,2,2025-01-01,2.302,1.149
19,3,2025-01-01,1.802,0.800
19,4,2025-01-01,1.438,1.389
19,5,2025-01-01,2.070,0.846
19,6,2025-01-01,1.512,2.033
19,7,2025-01-01,2.174,2.041
20,1,2025-01-01,1.563,1.149
20,2,2025-01-01,1.934,0.800
20,3,2025-01-01,2.439,1.389
20,4,2025-01-01,1.695,0.846
20,5,2025-01-01,2.104,2.033
20,6,2025-01-01,2.419,2.041
20,7,2025-01-01,1.714,2.232
21,1,2025-01-01,1.238,0.800
21,2,2025-01-01,1.758,1.389
21,3,2025-01-01,1.296,0.846
21,4,2025-01-01,1.975,2.033
21,5,2025-01-01,1.519,2.041
21,6,2025-01-01,2.126,2.232
21,7,2025-01-01,1.752,2.161
22,1,2025-01-01,1.366,1.389
22,2,2025-01-01,1.820,0.846
22,3,2025-01-01,1.302,2.033
22,4,2025-01-01,1.953,2.041
22,5,2025-01-01,2.151,2.232
22,6,2025-01-01,2.415,2.161
22,7,2025-01-01,1.793,1.898
23,1,2025-01-01,1.508,0.846
23,2,2025-01-01,1.989,2.033
23,3,2025-01-01,1.526,2.041
23,4,2025-01-01,2.041,2.232
23,5,2025-01-01,2.498,2.161
23,6,2025-01-01,2.702,1.898
23,7,2025-01-01,2.009,1.768
24,1,2025-01-01,1.297,2.033
24,2,2025-01-01,1.852,2.041
24,3,2025-01-01,1.525,2.232
24,4,2025-01-01,2.132,2.161
