Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,2.732,3.140
0,2,2025-01-01,2.647,2.305
0,3,2025-01-01,2.635,4.108
0,4,2025-01-01,2.534,4.553
0,5,2025-01-01,2.685,4.018
0,6,2025-01-01,2.666,4.312
0,7,2025-01-01,2.638,4.636
1,1,2025-01-01,2.536,2.305
1,2,2025-01-01,2.557,4.108
1,3,2025-01-01,2.589,4.553
1,4,2025-01-01,2.676,4.018
1,5,2025-01-01,2.771,4.312
1,6,2025-01-01,2.911,4.636
1,7,2025-01-01,2.919,2.920
2,1,2025-01-01,2.492,4.108
2,2,2025-01-01,2.639,4.553
2,3,2025-01-01,2.658,4.018
2,4,2025-01-01,2.688,4.312
2,5,2025-01-01,2.774,4.636
2,6,2025-01-01,2.801,2.920
2,7,2025-01-01,2.853,1.282
3,1,2025-01-01,2.989,4.553
3,2,2025-01-01,2.895,4.018
3,3,2025-01-01,2.862,4.312
3,4,2025-01-01,2.865,4.636
3,5,2025-01-01,2.880,2.920
3,6,2025-01-01,2.922,1.282
3,7,2025-01-01,2.952,4.847
4,1,2025-01-01,3.186,4.018
4,2,2025-01-01,3.117,4.312
4,3,2025-01-01,3.099,4.636
4,4,2025-01-01,3.127,2.920
4,5,2025-01-01,3.163,1.282
4,6,2025-01-01,3.175,4.847
4,7,2025-01-01,3.182,4.683
5,1,2025-01-01,3.263,4.312
5,2,2025-01-01,3.190,4.636
5,3,2025-01-01,3.228,2.920
5,4,2025-01-01,3.344,1.282
5,5,2025-01-01,3.457,4.847
5,6,2025-01-01,3.528,4.683
5,7,2025-01-01,3.593,4.033
6,1,2025-01-01,3.409,4.636
6,2,2025-01-01,3.302,2.920
6,3,2025-01-01,3.416,1.282
6,4,2025-01-01,3.509,4.847
6,5,2025-01-01,3.611,4.683
6,6,2025-01-01,3.653,4.033
6,7,2025-01-01,3.707,4.072
7,1,2025-01-01,3.756,2.920
7,2,2025-01-01,3.655,1.282
7,3,2025-01-01,3.712,4.847
7,4,2025-01-01,3.760,4.683
7,5,2025-01-01,3.810,4.033
7,6,2025-01-01,3.871,4.072
7,7,2025-01-01,3.905,2.835
8,1,2025-01-01,3.526,1.282
8,2,2025-01-01,3.592,4.847
8,3,2025-01-01,3.638,4.683
8,4,2025-01-01,3.695,4.033
8,5,2025-01-01,3.884,4.072
8,6,2025-01-01,3.946,2.835
8,7,2025-01-01,3.931,4.973
9,1,2025-01-01,3.402,4.847
9,2,2025-01-01,3.667,4.683
9,3,2025-01-01,3.913,4.033
9,4,2025-01-01,4.008,4.072
9,5,2025-01-01,3.987,2.835
9,6,2025-01-01,3.991,4.973
