Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.723,0.861
0,2,2025-01-01,0.725,0.809
0,3,2025-01-01,0.753,0.450
0,4,2025-01-01,0.776,1.133
0,5,2025-01-01,0.788,0.416
0,6,2025-01-01,0.796,1.423
0,7,2025-01-01,0.805,0.688
1,1,2025-01-01,0.775,0.809
1,2,2025-01-01,0.771,0.450
1,3,2025-01-01,0.782,1.133
1,4,2025-01-01,0.793,0.416
1,5,2025-01-01,0.843,1.423
1,6,2025-01-01,0.848,0.688
1,7,2025-01-01,0.852,0.572
2,1,2025-01-01,0.798,0.450
2,2,2025-01-01,0.810,1.133
2,3,2025-01-01,0.847,0.416
2,4,2025-01-01,0.879,1.423
2,5,2025-01-01,0.866,0.688
2,6,2025-01-01,0.976,0.572
2,7,2025-01-01,0.956,1.283
3,1,2025-01-01,0.762,1.133
3,2,2025-01-01,0.795,0.416
3,3,2025-01-01,0.806,1.423
3,4,2025-01-01,0.870,0.688
3,5,2025-01-01,0.882,0.572
3,6,2025-01-01,0.879,1.283
3,7,2025-01-01,0.886,1.421
4,1,2025-01-01,0.894,0.416
4,2,2025-01-01,0.886,1.423
4,3,2025-01-01,0.931,0.688
4,4,2025-01-01,0.952,0.572
4,5,2025-01-01,0.953,1.283
4,6,2025-01-01,0.980,1.421
4,7,2025-01-01,0.975,1.389
5,1,2025-01-01,0.956,1.423
5,2,2025-01-01,0.964,0.688
5,3,2025-01-01,1.030,0.572
5,4,2025-01-01,1.073,1.283
5,5,2025-01-01,1.113,1.421
5,6,2025-01-01,1.167,1.389
5,7,2025-01-01,1.134,1.192
6,1,2025-01-01,1.123,0.688
6,2,2025-01-01,1.001,0.572
6,3,2025-01-01,1.004,1.283
6,4,2025-01-01,1.111,1.421
6,5,2025-01-01,1.157,1.389
6,6,2025-01-01,1.156,1.192
6,7,2025-01-01,1.116,1.187
7,1,2025-01-01,1.178,0.572
7,2,2025-01-01,1.159,1.283
7,3,2025-01-01,1.164,1.421
