Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,2.752,3.140
0,2,2025-01-01,2.649,2.305
0,3,2025-01-01,2.589,4.108
0,4,2025-01-01,2.447,4.553
0,5,2025-01-01,2.535,4.018
0,6,2025-01-01,2.488,4.312
0,7,2025-01-01,2.433,4.636
1,1,2025-01-01,2.606,2.305
1,2,2025-01-01,2.608,4.108
1,3,2025-01-01,2.609,4.553
1,4,2025-01-01,2.631,4.018
1,5,2025-01-01,2.660,4.312
1,6,2025-01-01,2.733,4.636
1,7,2025-01-01,2.701,2.920
2,1,2025-01-01,2.599,4.108
2,2,2025-01-01,2.714,4.553
2,3,2025-01-01,2.739,4.018
2,4,2025-01-01,2.739,4.312
2,5,2025-01-01,2.787,4.636
2,6,2025-01-01,2.785,2.920
2,7,2025-01-01,2.828,1.282
3,1,2025-01-01,3.244,4.553
3,2,2025-01-01,3.160,4.018
3,3,2025-01-01,3.122,4.312
3,4,2025-01-01,3.091,4.636
3,5,2025-01-01,3.076,2.920
3,6,2025-01-01,3.090,1.282
3,7,2025-01-01,3.100,4.847
4,1,2025-01-01,3.445,4.018
4,2,2025-01-01,3.441,4.312
4,3,2025-01-01,3.423,4.636
4,4,2025-01-01,3.408,2.920
4,5,2025-01-01,3.399,1.282
4,6,2025-01-01,3.346,4.847
4,7,2025-01-01,3.291,4.683
5,1,2025-01-01,3.550,4.312
5,2,2025-01-01,3.549,4.636
5,3,2025-01-01,3.592,2.920
5,4,2025-01-01,3.666,1.282
5,5,2025-01-01,3.729,4.847
5,6,2025-01-01,3.729,4.683
5,7,2025-01-01,3.703,4.033
6,1,2025-01-01,3.747,4.636
6,2,2025-01-01,3.744,2.920
6,3,2025-01-01,3.868,1.282
6,4,2025-01-01,3.961,4.847
6,5,2025-01-01,4.034,4.683
6,6,2025-01-01,4.051,4.033
6,7,2025-01-01,4.068,4.072
7,1,2025-01-01,4.105,2.920
7,2,2025-01-01,4.108,1.282
7,3,2025-01-01,4.184,4.847
7,4,2025-01-01,4.243,4.683
7,5,2025-01-01,4.276,4.033
7,6,2025-01-01,4.283,4.072
7,7,2025-01-01,4.273,2.835
8,1,2025-01-01,3.705,1.282
8,2,2025-01-01,3.903,4.847
8,3,2025-01-01,3.974,4.683
8,4,2025-01-01,4.001,4.033
8,5,2025-01-01,4.114,4.072
8,6,2025-01-01,4.135,2.835
8,7,2025-01-01,4.031,4.973
9,1,2025-01-01,3.458,4.847
9,2,2025-01-01,3.781,4.683
9,3,2025-01-01,4.066,4.033
9,4,2025-01-01,4.173,4.072
9,5,2025-01-01,4.173,2.835
9,6,2025-01-01,4.162,4.973
9,7,2025-01-01,4.102,5.388
10,1,2025-01-01,4.167,4.683
10,2,2025-01-01,4.127,4.033
10,3,2025-01-01,4.215,4.072
10,4,2025-01-01,4.251,2.835
