Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.815,1.514
0,2,2025-01-01,0.821,0.599
0,3,2025-01-01,0.816,1.165
0,4,2025-01-01,0.828,0.251
0,5,2025-01-01,0.814,0.993
0,6,2025-01-01,0.824,0.482
0,7,2025-01-01,0.825,1.779
1,1,2025-01-01,0.920,0.599
1,2,2025-01-01,0.938,1.165
1,3,2025-01-01,0.950,0.251
1,4,2025-01-01,0.937,0.993
1,5,2025-01-01,0.952,0.482
1,6,2025-01-01,0.910,1.779
1,7,2025-01-01,0.946,1.536
2,1,2025-01-01,0.934,1.165
2,2,2025-01-01,0.921,0.251
2,3,2025-01-01,0.928,0.993
2,4,2025-01-01,0.906,0.482
2,5,2025-01-01,0.926,1.779
2,6,2025-01-01,0.895,1.536
2,7,2025-01-01,0.895,0.429
3,1,2025-01-01,1.026,0.251
3,2,2025-01-01,0.999,0.993
3,3,2025-01-01,1.007,0.482
3,4,2025-01-01,1.025,1.779
3,5,2025-01-01,0.986,1.536
3,6,2025-01-01,0.991,0.429
3,7,2025-01-01,1.020,0.903
4,1,2025-01-01,0.947,0.993
4,2,2025-01-01,0.927,0.482
4,3,2025-01-01,0.961,1.779
4,4,2025-01-01,0.949,1.536
4,5,2025-01-01,0.970,0.429
4,6,2025-01-01,0.964,0.903
4,7,2025-01-01,0.963,1.239
5,1,2025-01-01,1.051,0.482
5,2,2025-01-01,1.055,1.779
5,3,2025-01-01,1.053,1.536
5,4,2025-01-01,1.041,0.429
5,5,2025-01-01,1.048,0.903
5,6,2025-01-01,1.083,1.239
5,7,2025-01-01,1.044,1.969
6,1,2025-01-01,1.039,1.779
6,2,2025-01-01,1.046,1.536
6,3,2025-01-01,1.070,0.429
6,4,2025-01-01,1.099,0.903
6,5,2025-01-01,1.146,1.239
6,6,2025-01-01,1.131,1.969
6,7,2025-01-01,1.168,1.997
7,1,2025-01-01,1.324,1.536
7,2,2025-01-01,1.319,0.429
7,3,2025-01-01,1.310,0.903
7,4,2025-01-01,1.351,1.239
7,5,2025-01-01,1.365,1.969
7,6,2025-01-01,1.361,1.997
7,7,2025-01-01,1.405,1.277
8,1,2025-01-01,1.365,0.429
8,2,2025-01-01,1.362,0.903
8,3,2025-01-01,1.358,1.239
8,4,2025-01-01,1.350,1.969
8,5,2025-01-01,1.408,1.997
8,6,2025-01-01,1.404,1.277
8,7,2025-01-01,1.472,1.681
9,1,2025-01-01,1.280,0.903
9,2,2025-01-01,1.246,1.239
9,3,2025-01-01,1.265,1.969
9,4,2025-01-01,1.326,1.997
9,5,2025-01-01,1.337,1.277
9,6,2025-01-01,1.332,1.681
9,7,2025-01-01,1.272,1.425
10,1,2025-01-01,1.238,1.239
10,2,2025-01-01,1.288,1.969
10,3,2025-01-01,1.248,1.997
10,4,2025-01-01,1.273,1.277
10,5,2025-01-01,1.313,1.681
10,6,2025-01-01,1.273,1.425
10,7,2025-01-01,1.333,0.826
11,1,2025-01-01,1.127,1.969
11,2,2025-01-01,1.146,1.997
11,3,2025-01-01,1.264,1.277
11,4,2025-01-01,1.266,1.681
11,5,2025-01-01,1.267,1.425
11,6,2025-01-01,1.278,0.826
11,7,2025-01-01,1.264,1.080
12,1,2025-01-01,1.261,1.997
12,2,2025-01-01,1.295,1.277
12,3,2025-01-01,1.291,1.681
12,4,2025-01-01,1.358,1.425
12,5,2025-01-01,1.346,0.826
12,6,2025-01-01,1.304,1.080
12,7,2025-01-01,1.350,1.336
13,1,2025-01-01,1.310,1.277
13,2,2025-01-01,1.259,1.681
13,3,2025-01-01,1.307,1.425
13,4,2025-01-01,1.323,0.826
13,5,2025-01-01,1.342,1.080
13,6,2025-01-01,1.333,1.336
13,7,2025-01-01,1.367,1.473
14,1,2025-01-01,1.223,1.681
14,2,2025-01-01,1.301,1.425
14,3,2025-01-01,1.313,0.826
14,4,2025-01-01,1.292,1.080
14,5,2025-01-01,1.291,1.336
14,6,2025-01-01,1.270,1.473
14,7,2025-01-01,1.314,0.865
15,1,2025-01-01,1.383,1.425
15,2,2025-01-01,1.387,0.826
15,3,2025-01-01,1.396,1.080
15,4,2025-01-01,1.372,1.336
15,5,2025-01-01,1.357,1.473
15,6,2025-01-01,1.289,0.865
15,7,2025-01-01,1.383,1.220
16,1,2025-01-01,1.529,0.826
16,2,2025-01-01,1.511,1.080
16,3,2025-01-01,1.494,1.336
16,4,2025-01-01,1.463,1.473
16,5,2025-01-01,1.438,0.865
16,6,2025-01-01,1.357,1.220
16,7,2025-01-01,1.469,0.960
17,1,2025-01-01,1.370,1.080
17,2,2025-01-01,1.381,1.336
17,3,2025-01-01,1.388,1.473
17,4,2025-01-01,1.371,0.865
17,5,2025-01-01,1.379,1.220
17,6,2025-01-01,1.374,0.960
17,7,2025-01-01,1.442,2.142
18,1,2025-01-01,1.288,1.336
18,2,2025-01-01,1.267,1.473
18,3,2025-01-01,1.272,0.865
18,4,2025-01-01,1.261,1.220
18,5,2025-01-01,1.298,0.960
18,6,2025-01-01,1.308,2.142
18,7,2025-01-01,1.327,2.250
19,1,2025-01-01,1.378,1.473
19,2,2025-01-01,1.360,0.865
19,3,2025-01-01,1.316,1.220
19,4,2025-01-01,1.319,0.960
19,5,2025-01-01,1.355,2.142
19,6,2025-01-01,1.332,2.250
19,7,2025-01-01,1.388,1.790
20,1,2025-01-01,1.311,0.865
20,2,2025-01-01,1.302,1.220
20,3,2025-01-01,1.308,0.960
20,4,2025-01-01,1.309,2.142
20,5,2025-01-01,1.264,2.250
20,6,2025-01-01,1.284,1.790
20,7,2025-01-01,1.302,2.649
21,1,2025-01-01,1.208,1.220
21,2,2025-01-01,1.219,0.960
21,3,2025-01-01,1.241,2.142
21,4,2025-01-01,1.234,2.250
21,5,2025-01-01,1.187,1.790
21,6,2025-01-01,1.207,2.649
21,7,2025-01-01,1.257,2.569
22,1,2025-01-01,1.315,0.960
22,2,2025-01-01,1.294,2.142
22,3,2025-01-01,1.298,2.250
22,4,2025-01-01,1.280,1.790
22,5,2025-01-01,1.259,2.649
22,6,2025-01-01,1.237,2.569
22,7,2025-01-01,1.306,2.819
23,1,2025-01-01,1.219,2.142
23,2,2025-01-01,1.211,2.250
23,3,2025-01-01,1.254,1.790
23,4,2025-01-01,1.234,2.649
23,5,2025-01-01,1.323,2.569
23,6,2025-01-01,1.292,2.819
23,7,2025-01-01,1.311,2.401
24,1,2025-01-01,1.468,2.250
24,2,2025-01-01,1.445,1.790
24,3,2025-01-01,1.384,2.649
24,4,2025-01-01,1.465,2.569
24,5,2025-01-01,1.431,2.819
24,6,2025-01-01,1.504,2.401
24,7,2025-01-02,1.524,2.327
25,1,2025-01-01,1.599,1.790
25,2,2025-01-01,1.605,2.649
25,3,2025-01-01,1.627,2.569
25,4,2025-01-01,1.590,2.819
25,5,2025-01-01,1.760,2.401
25,6,2025-01-02,1.734,2.327
25,7,2025-01-02,1.850,2.636
26,1,2025-01-01,1.618,2.649
26,2,2025-01-01,1.625,2.569
26,3,2025-01-01,1.665,2.819
26,4,2025-01-01,1.759,2.401
26,5,2025-01-02,1.810,2.327
26,6,2025-01-02,1.863,2.636
26,7,2025-01-02,1.934,1.482
27,1,2025-01-01,1.849,2.569
27,2,2025-01-01,1.881,2.819
27,3,2025-01-01,1.851,2.401
27,4,2025-01-02,1.950,2.327
27,5,2025-01-02,2.022,2.636
27,6,2025-01-02,2.049,1.482
27,7,2025-01-02,2.164,3.503
28,1,2025-01-01,1.978,2.819
28,2,2025-01-01,2.004,2.401
28,3,2025-01-02,2.072,2.327
28,4,2025-01-02,2.005,2.636
28,5,2025-01-02,2.131,1.482
28,6,2025-01-02,2.169,3.503
28,7,2025-01-02,2.218,0.737
29,1,2025-01-01,2.194,2.401
29,2,2025-01-02,2.212,2.327
29,3,2025-01-02,2.275,2.636
29,4,2025-01-02,2.354,1.482
29,5,2025-01-02,2.394,3.503
29,6,2025-01-02,2.461,0.737
29,7,2025-01-02,2.541,0.685
30,1,2025-01-02,2.291,2.327
30,2,2025-01-02,2.285,2.636
30,3,2025-01-02,2.384,1.482
30,4,2025-01-02,2.418,3.503
30,5,2025-01-02,2.535,0.737
30,6,2025-01-02,2.488,0.685
30,7,2025-01-02,2.516,2.647
31,1,2025-01-02,2.459,2.636
31,2,2025-01-02,2.386,1.482
31,3,2025-01-02,2.393,3.503
31,4,2025-01-02,2.449,0.737
31,5,2025-01-02,2.484,0.685
31,6,2025-01-02,2.338,2.647
31,7,2025-01-02,2.439,2.970
32,1,2025-01-02,2.651,1.482
32,2,2025-01-02,2.645,3.503
32,3,2025-01-02,2.606,0.737
32,4,2025-01-02,2.591,0.685
32,5,2025-01-02,2.645,2.647
32,6,2025-01-02,2.694,2.970
32,7,2025-01-02,2.679,1.823
33,1,2025-01-02,2.492,3.503
33,2,2025-01-02,2.477,0.737
33,3,2025-01-02,2.514,0.685
33,4,2025-01-02,2.617,2.647
33,5,2025-01-02,2.627,2.970
