Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.838,0.861
0,2,2025-01-01,0.842,0.809
0,3,2025-01-01,0.870,0.450
0,4,2025-01-01,0.893,1.133
0,5,2025-01-01,0.913,0.416
0,6,2025-01-01,0.941,1.423
0,7,2025-01-01,0.985,0.688
1,1,2025-01-01,0.867,0.809
1,2,2025-01-01,0.869,0.450
1,3,2025-01-01,0.878,1.133
1,4,2025-01-01,0.880,0.416
1,5,2025-01-01,0.935,1.423
1,6,2025-01-01,0.968,0.688
1,7,2025-01-01,0.999,0.572
2,1,2025-01-01,0.900,0.450
2,2,2025-01-01,0.908,1.133
2,3,2025-01-01,0.952,0.416
2,4,2025-01-01,0.994,1.423
2,5,2025-01-01,0.990,0.688
2,6,2025-01-01,1.106,0.572
2,7,2025-01-01,1.155,1.283
3,1,2025-01-01,0.855,1.133
3,2,2025-01-01,0.880,0.416
3,3,2025-01-01,0.901,1.423
3,4,2025-01-01,0.951,0.688
3,5,2025-01-01,0.988,0.572
3,6,2025-01-01,1.013,1.283
3,7,2025-01-01,1.053,1.421
4,1,2025-01-01,0.951,0.416
4,2,2025-01-01,0.967,1.423
4,3,2025-01-01,1.007,0.688
4,4,2025-01-01,1.040,0.572
4,5,2025-01-01,1.062,1.283
4,6,2025-01-01,1.115,1.421
4,7,2025-01-01,1.154,1.389
5,1,2025-01-01,0.970,1.423
5,2,2025-01-01,1.020,0.688
5,3,2025-01-01,1.082,0.572
5,4,2025-01-01,1.119,1.283
5,5,2025-01-01,1.196,1.421
5,6,2025-01-01,1.271,1.389
5,7,2025-01-01,1.306,1.192
6,1,2025-01-01,1.092,0.688
6,2,2025-01-01,1.048,0.572
6,3,2025-01-01,1.040,1.283
6,4,2025-01-01,1.125,1.421
6,5,2025-01-01,1.179,1.389
6,6,2025-01-01,1.200,1.192
6,7,2025-01-01,1.187,1.187
7,1,2025-01-01,1.112,0.572
7,2,2025-01-01,1.133,1.283
7,3,2025-01-01,1.147,1.421
7,4,2025-01-01,1.196,1.389
7,5,2025-01-01,1.240,1.192
7,6,2025-01-01,1.310,1.187
7,7,2025-01-01,1.285,1.214
8,1,2025-01-01,1.060,1.283
8,2,2025-01-01,1.118,1.421
8,3,2025-01-01,1.152,1.389
8,4,2025-01-01,1.118,1.192
8,5,2025-01-01,1.155,1.187
8,6,2025-01-01,1.221,1.214
8,7,2025-01-01,1.186,1.287
9,1,2025-01-01,1.156,1.421
9,2,2025-01-01,1.187,1.389
9,3,2025-01-01,1.215,1.192
9,4,2025-01-01,1.265,1.187
9,5,2025-01-01,1.302,1.214
9,6,2025-01-01,1.297,1.287
9,7,2025-01-01,1.298,0.819
10,1,2025-01-01,1.250,1.389
10,2,2025-01-01,1.245,1.192
10,3,2025-01-01,1.288,1.187
10,4,2025-01-01,1.314,1.214
10,5,2025-01-01,1.324,1.287
10,6,2025-01-01,1.382,0.819
10,7,2025-01-01,1.451,0.602
11,1,2025-01-01,1.208,1.192
11,2,2025-01-01,1.230,1.187
11,3,2025-01-01,1.250,1.214
11,4,2025-01-01,1.257,1.287
11,5,2025-01-01,1.330,0.819
11,6,2025-01-01,1.333,0.602
11,7,2025-01-01,1.350,1.107
12,1,2025-01-01,1.207,1.187
12,2,2025-01-01,1.229,1.214
12,3,2025-01-01,1.248,1.287
12,4,2025-01-01,1.290,0.819
12,5,2025-01-01,1.303,0.602
12,6,2025-01-01,1.319,1.107
12,7,2025-01-01,1.300,1.520
13,1,2025-01-01,1.225,1.214
13,2,2025-01-01,1.196,1.287
13,3,2025-01-01,1.228,0.819
13,4,2025-01-01,1.239,0.602
13,5,2025-01-01,1.316,1.107
13,6,2025-01-01,1.318,1.520
13,7,2025-01-01,1.280,1.662
14,1,2025-01-01,1.272,1.287
14,2,2025-01-01,1.254,0.819
14,3,2025-01-01,1.288,0.602
14,4,2025-01-01,1.342,1.107
14,5,2025-01-01,1.357,1.520
14,6,2025-01-01,1.379,1.662
14,7,2025-01-01,1.432,1.608
15,1,2025-01-01,1.318,0.819
15,2,2025-01-01,1.341,0.602
15,3,2025-01-01,1.374,1.107
15,4,2025-01-01,1.425,1.520
15,5,2025-01-01,1.486,1.662
15,6,2025-01-01,1.490,1.608
15,7,2025-01-01,1.576,0.873
16,1,2025-01-01,1.281,0.602
16,2,2025-01-01,1.308,1.107
16,3,2025-01-01,1.350,1.520
16,4,2025-01-01,1.386,1.662
16,5,2025-01-01,1.462,1.608
16,6,2025-01-01,1.498,0.873
16,7,2025-01-01,1.542,0.848
17,1,2025-01-01,1.124,1.107
17,2,2025-01-01,1.176,1.520
17,3,2025-01-01,1.179,1.662
17,4,2025-01-01,1.209,1.608
17,5,2025-01-01,1.204,0.873
17,6,2025-01-01,1.203,0.848
17,7,2025-01-01,1.264,0.931
18,1,2025-01-01,1.197,1.520
18,2,2025-01-01,1.220,1.662
18,3,2025-01-01,1.233,1.608
18,4,2025-01-01,1.256,0.873
18,5,2025-01-01,1.259,0.848
18,6,2025-01-01,1.271,0.931
18,7,2025-01-01,1.330,0.947
19,1,2025-01-01,1.297,1.662
19,2,2025-01-01,1.307,1.608
19,3,2025-01-01,1.335,0.873
19,4,2025-01-01,1.371,0.848
19,5,2025-01-01,1.422,0.931
19,6,2025-01-01,1.438,0.947
19,7,2025-01-01,1.477,1.057
20,1,2025-01-01,1.368,1.608
20,2,2025-01-01,1.376,0.873
20,3,2025-01-01,1.402,0.848
