Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.493,1.141
0,2,2025-01-01,0.493,0.349
0,3,2025-01-01,0.506,1.117
0,4,2025-01-01,0.511,0.277
0,5,2025-01-01,0.519,0.629
0,6,2025-01-01,0.518,1.444
0,7,2025-01-01,0.511,0.961
1,1,2025-01-01,0.589,0.349
1,2,2025-01-01,0.606,1.117
1,3,2025-01-01,0.633,0.277
1,4,2025-01-01,0.656,0.629
1,5,2025-01-01,0.682,1.444
1,6,2025-01-01,0.715,0.961
1,7,2025-01-01,0.743,1.092
2,1,2025-01-01,0.562,1.117
2,2,2025-01-01,0.569,0.277
2,3,2025-01-01,0.591,0.629
2,4,2025-01-01,0.588,1.444
2,5,2025-01-01,0.644,0.961
2,6,2025-01-01,0.671,1.092
2,7,2025-01-01,0.687,1.298
3,1,2025-01-01,0.643,0.277
3,2,2025-01-01,0.644,0.629
3,3,2025-01-01,0.654,1.444
3,4,2025-01-01,0.651,0.961
3,5,2025-01-01,0.651,1.092
3,6,2025-01-01,0.646,1.298
3,7,2025-01-01,0.698,0.276
4,1,2025-01-01,0.623,0.629
4,2,2025-01-01,0.640,1.444
4,3,2025-01-01,0.664,0.961
4,4,2025-01-01,0.669,1.092
4,5,2025-01-01,0.676,1.298
4,6,2025-01-01,0.674,0.276
4,7,2025-01-01,0.698,1.495
5,1,2025-01-01,0.710,1.444
5,2,2025-01-01,0.714,0.961
5,3,2025-01-01,0.718,1.092
5,4,2025-01-01,0.709,1.298
5,5,2025-01-01,0.730,0.276
5,6,2025-01-01,0.736,1.495
5,7,2025-01-01,0.792,1.801
6,1,2025-01-01,0.883,0.961
6,2,2025-01-01,0.941,1.092
6,3,2025-01-01,0.932,1.298
6,4,2025-01-01,0.963,0.276
6,5,2025-01-01,1.024,1.495
6,6,2025-01-01,1.019,1.801
6,7,2025-01-01,1.062,1.774
7,1,2025-01-01,1.057,1.092
7,2,2025-01-01,1.101,1.298
7,3,2025-01-01,1.137,0.276
7,4,2025-01-01,1.167,1.495
7,5,2025-01-01,1.179,1.801
7,6,2025-01-01,1.233,1.774
7,7,2025-01-01,1.337,1.934
8,1,2025-01-01,1.037,1.298
8,2,2025-01-01,1.132,0.276
8,3,2025-01-01,1.155,1.495
8,4,2025-01-01,1.183,1.801
8,5,2025-01-01,1.211,1.774
8,6,2025-01-01,1.286,1.934
8,7,2025-01-01,1.311,1.938
9,1,2025-01-01,1.148,0.276
9,2,2025-01-01,1.187,1.495
9,3,2025-01-01,1.219,1.801
9,4,2025-01-01,1.231,1.774
9,5,2025-01-01,1.296,1.934
9,6,2025-01-01,1.338,1.938
9,7,2025-01-01,1.366,1.807
10,1,2025-01-01,1.004,1.495
10,2,2025-01-01,1.034,1.801
10,3,2025-01-01,1.045,1.774
10,4,2025-01-01,1.079,1.934
10,5,2025-01-01,1.127,1.938
10,6,2025-01-01,1.194,1.807
10,7,2025-01-01,1.155,1.240
11,1,2025-01-01,1.077,1.801
11,2,2025-01-01,1.121,1.774
11,3,2025-01-01,1.139,1.934
11,4,2025-01-01,1.139,1.938
11,5,2025-01-01,1.145,1.807
11,6,2025-01-01,1.182,1.240
11,7,2025-01-01,1.196,0.908
12,1,2025-01-01,1.227,1.774
12,2,2025-01-01,1.235,1.934
12,3,2025-01-01,1.280,1.938
12,4,2025-01-01,1.312,1.807
12,5,2025-01-01,1.323,1.240
12,6,2025-01-01,1.404,0.908
12,7,2025-01-01,1.435,1.973
13,1,2025-01-01,1.315,1.934
13,2,2025-01-01,1.319,1.938
13,3,2025-01-01,1.380,1.807
13,4,2025-01-01,1.420,1.240
13,5,2025-01-01,1.451,0.908
13,6,2025-01-01,1.525,1.973
13,7,2025-01-01,1.479,1.363
14,1,2025-01-01,1.391,1.938
14,2,2025-01-01,1.407,1.807
14,3,2025-01-01,1.458,1.240
14,4,2025-01-01,1.492,0.908
14,5,2025-01-01,1.504,1.973
14,6,2025-01-01,1.528,1.363
14,7,2025-01-01,1.563,1.149
15,1,2025-01-01,1.401,1.807
15,2,2025-01-01,1.548,1.240
15,3,2025-01-01,1.576,0.908
15,4,2025-01-01,1.617,1.973
15,5,2025-01-01,1.666,1.363
15,6,2025-01-01,1.682,1.149
15,7,2025-01-01,1.681,0.800
16,1,2025-01-01,1.478,1.240
16,2,2025-01-01,1.649,0.908
16,3,2025-01-01,1.664,1.973
16,4,2025-01-01,1.672,1.363
16,5,2025-01-01,1.621,1.149
16,6,2025-01-01,1.553,0.800
16,7,2025-01-01,1.627,1.389
17,1,2025-01-01,1.421,0.908
17,2,2025-01-01,1.439,1.973
17,3,2025-01-01,1.472,1.363
17,4,2025-01-01,1.508,1.149
17,5,2025-01-01,1.523,0.800
17,6,2025-01-01,1.623,1.389
17,7,2025-01-01,1.558,0.846
18,1,2025-01-01,1.402,1.973
18,2,2025-01-01,1.489,1.363
18,3,2025-01-01,1.488,1.149
18,4,2025-01-01,1.523,0.800
18,5,2025-01-01,1.582,1.389
18,6,2025-01-01,1.609,0.846
18,7,2025-01-01,1.697,2.033
19,1,2025-01-01,1.678,1.363
19,2,2025-01-01,1.696,1.149
19,3,2025-01-01,1.787,0.800
19,4,2025-01-01,1.736,1.389
19,5,2025-01-01,1.740,0.846
19,6,2025-01-01,1.777,2.033
19,7,2025-01-01,1.859,2.041
20,1,2025-01-01,1.573,1.149
20,2,2025-01-01,1.535,0.800
20,3,2025-01-01,1.693,1.389
20,4,2025-01-01,1.710,0.846
20,5,2025-01-01,1.656,2.033
20,6,2025-01-01,1.766,2.041
20,7,2025-01-01,1.666,2.232
21,1,2025-01-01,1.381,0.800
21,2,2025-01-01,1.494,1.389
21,3,2025-01-01,1.518,0.846
21,4,2025-01-01,1.669,2.033
21,5,2025-01-01,1.662,2.041
21,6,2025-01-01,1.663,2.232
21,7,2025-01-01,1.733,2.161
22,1,2025-01-01,1.470,1.389
22,2,2025-01-01,1.515,0.846
22,3,2025-01-01,1.491,2.033
22,4,2025-01-01,1.666,2.041
22,5,2025-01-01,1.792,2.232
22,6,2025-01-01,1.812,2.161
22,7,2025-01-01,1.740,1.898
23,1,2025-01-01,1.566,0.846
23,2,2025-01-01,1.654,2.033
23,3,2025-01-01,1.661,2.041
23,4,2025-01-01,1.622,2.232
23,5,2025-01-01,1.844,2.161
23,6,2025-01-01,1.937,1.898
23,7,2025-01-01,1.966,1.768
24,1,2025-01-01,1.469,2.033
24,2,2025-01-01,1.641,2.041
24,3,2025-01-01,1.715,2.232
24,4,2025-01-01,1.760,2.161
