Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.505,0.944
0,2,2025-01-01,0.541,0.648
0,3,2025-01-01,0.504,0.907
0,4,2025-01-01,0.510,0.853
0,5,2025-01-01,0.481,0.759
0,6,2025-01-01,0.472,1.143
0,7,2025-01-01,0.485,1.174
1,1,2025-01-01,0.558,0.648
1,2,2025-01-01,0.606,0.907
1,3,2025-01-01,0.567,0.853
1,4,2025-01-01,0.570,0.759
1,5,2025-01-01,0.547,1.143
1,6,2025-01-01,0.540,1.174
1,7,2025-01-01,0.576,0.579
2,1,2025-01-01,0.616,0.907
2,2,2025-01-01,0.685,0.853
2,3,2025-01-01,0.639,0.759
2,4,2025-01-01,0.672,1.143
2,5,2025-01-01,0.619,1.174
2,6,2025-01-01,0.654,0.579
2,7,2025-01-01,0.668,1.240
3,1,2025-01-01,0.664,0.853
3,2,2025-01-01,0.715,0.759
3,3,2025-01-01,0.666,1.143
3,4,2025-01-01,0.713,1.174
3,5,2025-01-01,0.721,0.579
3,6,2025-01-01,0.677,1.240
3,7,2025-01-01,0.816,0.838
4,1,2025-01-01,0.693,0.759
4,2,2025-01-01,0.739,1.143
4,3,2025-01-01,0.722,1.174
4,4,2025-01-01,0.752,0.579
4,5,2025-01-01,0.756,1.240
4,6,2025-01-01,0.778,0.838
4,7,2025-01-01,0.797,1.066
5,1,2025-01-01,0.811,1.143
5,2,2025-01-01,0.860,1.174
5,3,2025-01-01,0.940,0.579
5,4,2025-01-01,1.069,1.240
5,5,2025-01-01,1.040,0.838
5,6,2025-01-01,1.093,1.066
5,7,2025-01-01,1.083,1.179
6,1,2025-01-01,0.872,1.174
6,2,2025-01-01,0.932,0.579
6,3,2025-01-01,0.924,1.240
6,4,2025-01-01,1.043,0.838
6,5,2025-01-01,1.191,1.066
6,6,2025-01-01,1.212,1.179
6,7,2025-01-01,1.262,1.303
7,1,2025-01-01,0.963,0.579
7,2,2025-01-01,1.100,1.240
7,3,2025-01-01,1.135,0.838
7,4,2025-01-01,1.350,1.066
7,5,2025-01-01,1.398,1.179
7,6,2025-01-01,1.456,1.303
7,7,2025-01-01,1.399,1.296
8,1,2025-01-01,0.895,1.240
8,2,2025-01-01,1.051,0.838
8,3,2025-01-01,1.143,1.066
8,4,2025-01-01,1.272,1.179
8,5,2025-01-01,1.366,1.303
8,6,2025-01-01,1.382,1.296
8,7,2025-01-01,1.374,1.108
9,1,2025-01-01,1.005,0.838
9,2,2025-01-01,1.155,1.066
9,3,2025-01-01,1.280,1.179
9,4,2025-01-01,1.388,1.303
9,5,2025-01-01,1.363,1.296
9,6,2025-01-01,1.280,1.108
9,7,2025-01-01,1.152,0.574
10,1,2025-01-01,1.018,1.066
10,2,2025-01-01,1.152,1.179
10,3,2025-01-01,1.263,1.303
10,4,2025-01-01,1.287,1.296
10,5,2025-01-01,1.201,1.108
10,6,2025-01-01,1.099,0.574
10,7,2025-01-01,0.979,0.715
11,1,2025-01-01,0.970,1.179
11,2,2025-01-01,1.096,1.303
11,3,2025-01-01,1.154,1.296
11,4,2025-01-01,1.184,1.108
11,5,2025-01-01,1.083,0.574
11,6,2025-01-01,1.022,0.715
11,7,2025-01-01,0.854,0.746
12,1,2025-01-01,0.909,1.303
12,2,2025-01-01,0.992,1.296
12,3,2025-01-01,0.975,1.108
12,4,2025-01-01,1.002,0.574
12,5,2025-01-01,0.927,0.715
12,6,2025-01-01,0.878,0.746
12,7,2025-01-01,0.805,1.850
13,1,2025-01-01,0.814,1.296
13,2,2025-01-01,0.914,1.108
13,3,2025-01-01,0.841,0.574
13,4,2025-01-01,0.839,0.715
13,5,2025-01-01,0.803,0.746
13,6,2025-01-01,0.788,1.850
13,7,2025-01-01,0.790,1.421
14,1,2025-01-01,0.873,1.108
14,2,2025-01-01,0.900,0.574
14,3,2025-01-01,0.873,0.715
14,4,2025-01-01,0.878,0.746
14,5,2025-01-01,0.835,1.850
14,6,2025-01-01,0.865,1.421
14,7,2025-01-01,0.918,1.052
15,1,2025-01-01,0.927,0.574
15,2,2025-01-01,0.985,0.715
15,3,2025-01-01,0.931,0.746
15,4,2025-01-01,1.015,1.850
15,5,2025-01-01,0.988,1.421
15,6,2025-01-01,1.049,1.052
15,7,2025-01-01,1.124,0.978
16,1,2025-01-01,0.825,0.715
16,2,2025-01-01,0.935,0.746
16,3,2025-01-01,0.817,1.850
16,4,2025-01-01,0.949,1.421
16,5,2025-01-01,1.023,1.052
16,6,2025-01-01,1.065,0.978
16,7,2025-01-01,1.163,1.077
17,1,2025-01-01,0.757,0.746
17,2,2025-01-01,0.821,1.850
17,3,2025-01-01,0.749,1.421
17,4,2025-01-01,0.897,1.052
17,5,2025-01-01,0.950,0.978
17,6,2025-01-01,1.068,1.077
17,7,2025-01-01,1.120,1.136
18,1,2025-01-01,0.761,1.850
18,2,2025-01-01,0.804,1.421
18,3,2025-01-01,0.800,1.052
18,4,2025-01-01,0.899,0.978
18,5,2025-01-01,0.953,1.077
18,6,2025-01-01,0.965,1.136
18,7,2025-01-01,0.968,0.793
19,1,2025-01-01,0.878,1.421
19,2,2025-01-01,0.970,1.052
19,3,2025-01-01,1.034,0.978
19,4,2025-01-01,1.165,1.077
19,5,2025-01-01,1.209,1.136
19,6,2025-01-01,1.185,0.793
19,7,2025-01-01,1.169,0.896
20,1,2025-01-01,0.897,1.052
20,2,2025-01-01,0.991,0.978
20,3,2025-01-01,0.984,1.077
20,4,2025-01-01,1.115,1.136
20,5,2025-01-01,1.125,0.793
20,6,2025-01-01,1.117,0.896
20,7,2025-01-01,1.122,0.938
21,1,2025-01-01,0.910,0.978
21,2,2025-01-01,1.004,1.077
21,3,2025-01-01,0.994,1.136
21,4,2025-01-01,1.115,0.793
21,5,2025-01-01,1.141,0.896
21,6,2025-01-01,1.184,0.938
21,7,2025-01-01,1.184,0.924
22,1,2025-01-01,0.954,1.077
22,2,2025-01-01,1.038,1.136
22,3,2025-01-01,1.117,0.793
22,4,2025-01-01,1.233,0.896
22,5,2025-01-01,1.255,0.938
22,6,2025-01-01,1.249,0.924
22,7,2025-01-01,1.227,1.099
23,1,2025-01-01,0.948,1.136
23,2,2025-01-01,1.061,0.793
23,3,2025-01-01,1.074,0.896
23,4,2025-01-01,1.177,0.938
23,5,2025-01-01,1.161,0.924
23,6,2025-01-01,1.200,1.099
23,7,2025-01-01,1.185,0.739
24,1,2025-01-01,0.882,0.793
24,2,2025-01-01,1.006,0.896
24,3,2025-01-01,1.025,0.938
24,4,2025-01-01,1.081,0.924
24,5,2025-01-01,1.029,1.099
24,6,2025-01-01,1.062,0.739
24,7,2025-01-02,1.066,1.398
25,1,2025-01-01,0.933,0.896
25,2,2025-01-01,1.080,0.938
25,3,2025-01-01,1.118,0.924
25,4,2025-01-01,1.303,1.099
25,5,2025-01-01,1.337,0.739
25,6,2025-01-02,1.361,1.398
25,7,2025-01-02,1.356,3.044
26,1,2025-01-01,0.971,0.938
26,2,2025-01-01,1.184,0.924
26,3,2025-01-01,1.265,1.099
26,4,2025-01-01,1.489,0.739
26,5,2025-01-02,1.581,1.398
26,6,2025-01-02,1.679,3.044
26,7,2025-01-02,1.719,2.289
27,1,2025-01-01,0.955,0.924
27,2,2025-01-01,1.157,1.099
27,3,2025-01-01,1.267,0.739
27,4,2025-01-02,1.476,1.398
27,5,2025-01-02,1.570,3.044
27,6,2025-01-02,1.599,2.289
27,7,2025-01-02,1.654,2.185
28,1,2025-01-01,0.960,1.099
28,2,2025-01-01,1.099,0.739
28,3,2025-01-02,1.175,1.398
28,4,2025-01-02,1.399,3.044
28,5,2025-01-02,1.480,2.289
28,6,2025-01-02,1.515,2.185
28,7,2025-01-02,1.519,2.907
29,1,2025-01-01,0.984,0.739
29,2,2025-01-02,1.096,1.398
29,3,2025-01-02,1.195,3.044
29,4,2025-01-02,1.386,2.289
29,5,2025-01-02,1.537,2.185
29,6,2025-01-02,1.578,2.907
29,7,2025-01-02,1.579,2.574
30,1,2025-01-02,1.071,1.398
30,2,2025-01-02,1.199,3.044
30,3,2025-01-02,1.315,2.289
30,4,2025-01-02,1.524,2.185
30,5,2025-01-02,1.647,2.907
30,6,2025-01-02,1.706,2.574
30,7,2025-01-02,1.604,1.492
31,1,2025-01-02,1.104,3.044
31,2,2025-01-02,1.383,2.289
31,3,2025-01-02,1.445,2.185
31,4,2025-01-02,1.671,2.907
31,5,2025-01-02,1.703,2.574
31,6,2025-01-02,1.816,1.492
31,7,2025-01-02,1.784,1.524
32,1,2025-01-02,1.275,2.289
32,2,2025-01-02,1.617,2.185
32,3,2025-01-02,1.627,2.907
32,4,2025-01-02,1.683,2.574
32,5,2025-01-02,1.796,1.492
32,6,2025-01-02,1.881,1.524
32,7,2025-01-02,1.959,2.032
33,1,2025-01-02,1.586,2.185
33,2,2025-01-02,1.882,2.907
33,3,2025-01-02,1.939,2.574
33,4,2025-01-02,2.043,1.492
33,5,2025-01-02,2.056,1.524
33,6,2025-01-02,2.064,2.032
33,7,2025-01-02,2.058,1.695
34,1,2025-01-02,1.816,2.907
34,2,2025-01-02,1.991,2.574
34,3,2025-01-02,2.072,1.492
34,4,2025-01-02,2.135,1.524
34,5,2025-01-02,2.121,2.032
34,6,2025-01-02,2.130,1.695
34,7,2025-01-02,2.138,3.132
35,1,2025-01-02,1.995,2.574
35,2,2025-01-02,2.117,1.492
35,3,2025-01-02,2.203,1.524
35,4,2025-01-02,2.208,2.032
35,5,2025-01-02,2.142,1.695
35,6,2025-01-02,2.089,3.132
35,7,2025-01-02,1.999,2.639
36,1,2025-01-02,1.936,1.492
36,2,2025-01-02,2.003,1.524
36,3,2025-01-02,1.977,2.032
36,4,2025-01-02,2.054,1.695
36,5,2025-01-02,1.964,3.132
36,6,2025-01-02,1.895,2.639
36,7,2025-01-02,1.921,2.317
37,1,2025-01-02,1.899,1.524
37,2,2025-01-02,1.930,2.032
37,3,2025-01-02,2.097,1.695
37,4,2025-01-02,2.152,3.132
37,5,2025-01-02,2.224,2.639
37,6,2025-01-02,2.176,2.317
37,7,2025-01-02,2.168,2.363
38,1,2025-01-02,1.876,2.032
38,2,2025-01-02,1.822,1.695
38,3,2025-01-02,2.071,3.132
38,4,2025-01-02,2.239,2.639
38,5,2025-01-02,2.318,2.317
38,6,2025-01-02,2.105,2.363
38,7,2025-01-02,2.066,3.165
39,1,2025-01-02,1.870,1.695
39,2,2025-01-02,1.786,3.132
39,3,2025-01-02,1.947,2.639
39,4,2025-01-02,2.165,2.317
39,5,2025-01-02,2.297,2.363
39,6,2025-01-02,2.231,3.165
39,7,2025-01-02,2.073,3.419
40,1,2025-01-02,1.940,3.132
40,2,2025-01-02,1.836,2.639
40,3,2025-01-02,1.919,2.317
40,4,2025-01-02,2.193,2.363
40,5,2025-01-02,2.316,3.165
40,6,2025-01-02,2.283,3.419
40,7,2025-01-02,2.199,3.938
41,1,2025-01-02,2.134,2.639
41,2,2025-01-02,2.162,2.317
41,3,2025-01-02,2.144,2.363
41,4,2025-01-02,2.357,3.165
41,5,2025-01-02,2.538,3.419
41,6,2025-01-02,2.595,3.938
41,7,2025-01-02,2.526,4.236
42,1,2025-01-02,2.385,2.317
42,2,2025-01-02,2.323,2.363
42,3,2025-01-02,2.294,3.165
42,4,2025-01-02,2.414,3.419
42,5,2025-01-02,2.641,3.938
42,6,2025-01-02,2.683,4.236
42,7,2025-01-02,2.674,4.112
43,1,2025-01-02,2.463,2.363
43,2,2025-01-02,2.462,3.165
43,3,2025-01-02,2.532,3.419
43,4,2025-01-02,2.689,3.938
43,5,2025-01-02,2.666,4.236
43,6,2025-01-02,2.721,4.112
43,7,2025-01-02,2.709,3.812
44,1,2025-01-02,2.414,3.165
44,2,2025-01-02,2.544,3.419
44,3,2025-01-02,2.643,3.938
44,4,2025-01-02,2.781,4.236
44,5,2025-01-02,2.808,4.112
44,6,2025-01-02,2.800,3.812
44,7,2025-01-02,2.754,1.860
45,1,2025-01-02,2.363,3.419
45,2,2025-01-02,2.515,3.938
45,3,2025-01-02,2.612,4.236
45,4,2025-01-02,2.737,4.112
45,5,2025-01-02,2.840,3.812
45,6,2025-01-02,2.764,1.860
45,7,2025-01-02,2.677,2.149
46,1,2025-01-02,2.500,3.938
46,2,2025-01-02,2.742,4.236
46,3,2025-01-02,2.829,4.112
46,4,2025-01-02,2.931,3.812
46,5,2025-01-02,2.871,1.860
46,6,2025-01-02,2.734,2.149
46,7,2025-01-02,2.592,2.217
47,1,2025-01-02,2.583,4.236
47,2,2025-01-02,3.041,4.112
47,3,2025-01-02,3.120,3.812
47,4,2025-01-02,3.166,1.860
47,5,2025-01-02,3.022,2.149
47,6,2025-01-02,2.669,2.217
47,7,2025-01-02,2.689,1.882
48,1,2025-01-02,2.439,4.112
48,2,2025-01-02,3.351,3.812
48,3,2025-01-02,3.132,1.860
48,4,2025-01-02,3.155,2.149
48,5,2025-01-02,3.125,2.217
48,6,2025-01-02,3.083,1.882
48,7,2025-01-02,3.054,3.627
49,1,2025-01-02,2.506,3.812
49,2,2025-01-02,3.345,1.860
49,3,2025-01-02,3.251,2.149
49,4,2025-01-02,3.262,2.217
49,5,2025-01-02,2.947,1.882
49,6,2025-01-02,3.138,3.627
49,7,2025-01-02,3.066,2.076
50,1,2025-01-02,2.539,1.860
50,2,2025-01-02,3.418,2.149
50,3,2025-01-02,2.931,2.217
50,4,2025-01-02,2.959,1.882
50,5,2025-01-02,2.948,3.627
50,6,2025-01-02,2.523,2.076
50,7,2025-01-02,2.544,1.749
51,1,2025-01-02,2.328,2.149
51,2,2025-01-02,2.685,2.217
51,3,2025-01-02,2.910,1.882
51,4,2025-01-02,2.701,3.627
51,5,2025-01-02,2.752,2.076
51,6,2025-01-02,2.687,1.749
51,7,2025-01-02,2.766,2.270
52,1,2025-01-02,2.210,2.217
52,2,2025-01-02,2.011,1.882
52,3,2025-01-02,2.003,3.627
52,4,2025-01-02,2.667,2.076
52,5,2025-01-02,2.877,1.749
52,6,2025-01-02,2.626,2.270
52,7,2025-01-02,2.831,3.496
53,1,2025-01-02,2.148,1.882
53,2,2025-01-02,1.734,3.627
53,3,2025-01-02,1.914,2.076
53,4,2025-01-02,2.449,1.749
53,5,2025-01-02,2.987,2.270
53,6,2025-01-02,2.601,3.496
53,7,2025-01-02,2.350,4.319
54,1,2025-01-02,1.925,3.627
54,2,2025-01-02,1.755,2.076
54,3,2025-01-02,2.009,1.749
54,4,2025-01-02,2.164,2.270
54,5,2025-01-02,2.335,3.496
54,6,2025-01-02,2.713,4.319
54,7,2025-01-02,3.314,3.549
55,1,2025-01-02,2.055,2.076
55,2,2025-01-02,2.110,1.749
55,3,2025-01-02,2.391,2.270
55,4,2025-01-02,2.986,3.496
55,5,2025-01-02,3.319,4.319
55,6,2025-01-02,3.314,3.549
55,7,2025-01-02,3.317,3.563
56,1,2025-01-02,2.386,1.749
56,2,2025-01-02,2.678,2.270
56,3,2025-01-02,2.988,3.496
56,4,2025-01-02,3.343,4.319
56,5,2025-01-02,3.552,3.549
56,6,2025-01-02,3.473,3.563
56,7,2025-01-02,3.495,4.306
57,1,2025-01-02,2.717,2.270
57,2,2025-01-02,2.931,3.496
57,3,2025-01-02,3.112,4.319
57,4,2025-01-02,3.211,3.549
57,5,2025-01-02,3.283,3.563
57,6,2025-01-02,3.366,4.306
57,7,2025-01-02,3.317,3.606
58,1,2025-01-02,2.937,3.496
58,2,2025-01-02,3.049,4.319
58,3,2025-01-02,3.087,3.549
58,4,2025-01-02,3.212,3.563
58,5,2025-01-02,3.276,4.306
58,6,2025-01-02,3.208,3.606
58,7,2025-01-02,3.121,1.951
59,1,2025-01-02,3.087,4.319
59,2,2025-01-02,3.143,3.549
59,3,2025-01-02,3.193,3.563
59,4,2025-01-02,3.333,4.306
59,5,2025-01-02,3.389,3.606
59,6,2025-01-02,3.247,1.951
59,7,2025-01-02,2.982,3.957
60,1,2025-01-02,3.241,3.549
60,2,2025-01-02,3.514,3.563
60,3,2025-01-02,3.682,4.306
60,4,2025-01-02,3.921,3.606
60,5,2025-01-02,3.826,1.951
60,6,2025-01-02,3.416,3.957
60,7,2025-01-02,2.952,4.547
61,1,2025-01-02,3.046,3.563
61,2,2025-01-02,3.475,4.306
61,3,2025-01-02,3.488,3.606
61,4,2025-01-02,3.551,1.951
61,5,2025-01-02,3.508,3.957
61,6,2025-01-02,2.719,4.547
61,7,2025-01-02,2.759,2.652
62,1,2025-01-02,3.047,4.306
62,2,2025-01-02,3.559,3.606
62,3,2025-01-02,3.459,1.951
62,4,2025-01-02,3.317,3.957
62,5,2025-01-02,3.045,4.547
62,6,2025-01-02,2.836,2.652
62,7,2025-01-02,3.139,1.722
63,1,2025-01-02,3.045,3.606
63,2,2025-01-02,3.387,1.951
63,3,2025-01-02,3.222,3.957
63,4,2025-01-02,3.091,4.547
63,5,2025-01-02,2.906,2.652
63,6,2025-01-02,3.179,1.722
63,7,2025-01-02,3.026,2.690
64,1,2025-01-02,2.880,1.951
64,2,2025-01-02,3.270,3.957
64,3,2025-01-02,3.097,4.547
64,4,2025-01-02,3.160,2.652
64,5,2025-01-02,3.402,1.722
64,6,2025-01-02,3.539,2.690
64,7,2025-01-02,3.708,2.821
65,1,2025-01-02,2.631,3.957
65,2,2025-01-02,2.786,4.547
65,3,2025-01-02,3.115,2.652
65,4,2025-01-02,3.410,1.722
65,5,2025-01-02,3.704,2.690
65,6,2025-01-02,3.867,2.821
65,7,2025-01-02,3.939,5.145
66,1,2025-01-02,2.536,4.547
66,2,2025-01-02,2.595,2.652
66,3,2025-01-02,2.994,1.722
66,4,2025-01-02,3.469,2.690
66,5,2025-01-02,3.774,2.821
66,6,2025-01-02,3.863,5.145
66,7,2025-01-02,3.856,4.741
67,1,2025-01-02,2.873,2.652
67,2,2025-01-02,2.732,1.722
67,3,2025-01-02,3.289,2.690
67,4,2025-01-02,3.777,2.821
67,5,2025-01-02,3.650,5.145
67,6,2025-01-02,3.888,4.741
67,7,2025-01-02,4.086,4.789
68,1,2025-01-02,2.506,1.722
68,2,2025-01-02,3.034,2.690
68,3,2025-01-02,3.428,2.821
68,4,2025-01-02,3.730,5.145
68,5,2025-01-02,3.845,4.741
68,6,2025-01-02,3.871,4.789
68,7,2025-01-02,3.986,4.041
69,1,2025-01-02,2.514,2.690
69,2,2025-01-02,3.094,2.821
69,3,2025-01-02,3.666,5.145
69,4,2025-01-02,3.883,4.741
69,5,2025-01-02,3.756,4.789
69,6,2025-01-02,3.819,4.041
69,7,2025-01-02,4.125,2.182
70,1,2025-01-02,2.491,2.821
70,2,2025-01-02,3.322,5.145
70,3,2025-01-02,3.618,4.741
70,4,2025-01-02,3.817,4.789
70,5,2025-01-02,3.878,4.041
70,6,2025-01-02,4.091,2.182
70,7,2025-01-02,4.454,3.092
71,1,2025-01-02,2.614,5.145
71,2,2025-01-02,3.552,4.741
71,3,2025-01-02,3.578,4.789
71,4,2025-01-02,3.725,4.041
71,5,2025-01-02,4.081,2.182
71,6,2025-01-02,4.459,3.092
71,7,2025-01-02,4.516,3.267
72,1,2025-01-02,2.897,4.741
72,2,2025-01-02,2.622,4.789
72,3,2025-01-02,3.543,4.041
72,4,2025-01-02,4.041,2.182
72,5,2025-01-02,4.710,3.092
72,6,2025-01-02,5.085,3.267
72,7,2025-01-02,4.788,2.925
73,1,2025-01-02,3.249,4.789
73,2,2025-01-02,3.535,4.041
73,3,2025-01-02,4.175,2.182
73,4,2025-01-02,5.048,3.092
73,5,2025-01-02,5.566,3.267
73,6,2025-01-02,5.271,2.925
73,7,2025-01-02,4.547,4.430
74,1,2025-01-02,3.314,4.041
74,2,2025-01-02,3.867,2.182
74,3,2025-01-02,4.551,3.092
74,4,2025-01-02,5.529,3.267
74,5,2025-01-02,5.608,2.925
74,6,2025-01-02,4.824,4.430
74,7,2025-01-03,3.857,5.002
75,1,2025-01-02,3.250,2.182
75,2,2025-01-02,4.062,3.092
75,3,2025-01-02,4.868,3.267
75,4,2025-01-02,5.522,2.925
75,5,2025-01-02,5.295,4.430
75,6,2025-01-03,4.413,5.002
75,7,2025-01-03,3.409,6.127
76,1,2025-01-02,2.859,3.092
76,2,2025-01-02,4.519,3.267
76,3,2025-01-02,5.073,2.925
76,4,2025-01-02,5.152,4.430
76,5,2025-01-03,4.636,5.002
76,6,2025-01-03,3.994,6.127
76,7,2025-01-03,3.601,4.080
77,1,2025-01-02,3.408,3.267
77,2,2025-01-02,4.741,2.925
77,3,2025-01-02,5.118,4.430
77,4,2025-01-03,4.869,5.002
77,5,2025-01-03,4.328,6.127
77,6,2025-01-03,3.892,4.080
77,7,2025-01-03,3.832,4.224
78,1,2025-01-02,4.082,2.925
78,2,2025-01-02,4.734,4.430
78,3,2025-01-03,4.702,5.002
78,4,2025-01-03,4.305,6.127
78,5,2025-01-03,3.936,4.080
78,6,2025-01-03,3.718,4.224
78,7,2025-01-03,3.440,5.689
79,1,2025-01-02,4.166,4.430
79,2,2025-01-03,4.381,5.002
79,3,2025-01-03,4.368,6.127
79,4,2025-01-03,3.916,4.080
79,5,2025-01-03,3.716,4.224
79,6,2025-01-03,3.628,5.689
79,7,2025-01-03,3.361,5.377
80,1,2025-01-03,3.897,5.002
80,2,2025-01-03,4.080,6.127
80,3,2025-01-03,3.889,4.080
80,4,2025-01-03,3.707,4.224
80,5,2025-01-03,3.621,5.689
80,6,2025-01-03,3.427,5.377
80,7,2025-01-03,3.100,4.522
81,1,2025-01-03,3.636,6.127
81,2,2025-01-03,3.789,4.080
81,3,2025-01-03,3.730,4.224
81,4,2025-01-03,3.582,5.689
81,5,2025-01-03,3.477,5.377
81,6,2025-01-03,2.903,4.522
81,7,2025-01-03,3.115,1.514
