Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.549,0.861
0,2,2025-01-01,0.621,0.809
0,3,2025-01-01,0.630,0.450
0,4,2025-01-01,0.708,1.133
0,5,2025-01-01,0.721,0.416
0,6,2025-01-01,0.732,1.423
0,7,2025-01-01,0.729,0.688
1,1,2025-01-01,0.600,0.809
1,2,2025-01-01,0.679,0.450
1,3,2025-01-01,0.658,1.133
1,4,2025-01-01,0.713,0.416
1,5,2025-01-01,0.761,1.423
1,6,2025-01-01,0.759,0.688
1,7,2025-01-01,0.773,0.572
2,1,2025-01-01,0.641,0.450
2,2,2025-01-01,0.778,1.133
2,3,2025-01-01,0.794,0.416
2,4,2025-01-01,0.958,1.423
2,5,2025-01-01,0.990,0.688
2,6,2025-01-01,1.093,0.572
2,7,2025-01-01,1.031,1.283
3,1,2025-01-01,0.626,1.133
3,2,2025-01-01,0.726,0.416
3,3,2025-01-01,0.718,1.423
3,4,2025-01-01,0.897,0.688
3,5,2025-01-01,0.958,0.572
3,6,2025-01-01,1.023,1.283
3,7,2025-01-01,1.057,1.421
4,1,2025-01-01,0.689,0.416
4,2,2025-01-01,0.783,1.423
4,3,2025-01-01,0.845,0.688
4,4,2025-01-01,0.963,0.572
4,5,2025-01-01,1.021,1.283
4,6,2025-01-01,1.067,1.421
4,7,2025-01-01,1.043,1.389
5,1,2025-01-01,0.741,1.423
5,2,2025-01-01,0.828,0.688
5,3,2025-01-01,0.951,0.572
5,4,2025-01-01,1.051,1.283
5,5,2025-01-01,1.091,1.421
5,6,2025-01-01,1.162,1.389
5,7,2025-01-01,1.106,1.192
6,1,2025-01-01,0.851,0.688
6,2,2025-01-01,0.887,0.572
6,3,2025-01-01,0.901,1.283
6,4,2025-01-01,1.135,1.421
6,5,2025-01-01,1.201,1.389
6,6,2025-01-01,1.252,1.192
6,7,2025-01-01,1.265,1.187
7,1,2025-01-01,0.865,0.572
7,2,2025-01-01,1.000,1.283
7,3,2025-01-01,1.077,1.421
7,4,2025-01-01,1.272,1.389
7,5,2025-01-01,1.338,1.192
7,6,2025-01-01,1.390,1.187
7,7,2025-01-01,1.340,1.214
8,1,2025-01-01,0.793,1.283
8,2,2025-01-01,0.925,1.421
8,3,2025-01-01,0.988,1.389
8,4,2025-01-01,1.149,1.192
8,5,2025-01-01,1.274,1.187
8,6,2025-01-01,1.329,1.214
8,7,2025-01-01,1.367,1.287
9,1,2025-01-01,0.918,1.421
9,2,2025-01-01,1.047,1.389
9,3,2025-01-01,1.164,1.192
9,4,2025-01-01,1.285,1.187
9,5,2025-01-01,1.284,1.214
9,6,2025-01-01,1.200,1.287
9,7,2025-01-01,1.103,0.819
10,1,2025-01-01,1.054,1.389
10,2,2025-01-01,1.158,1.192
10,3,2025-01-01,1.297,1.187
10,4,2025-01-01,1.307,1.214
10,5,2025-01-01,1.257,1.287
10,6,2025-01-01,1.176,0.819
10,7,2025-01-01,1.096,0.602
