Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.252,1.141
0,2,2025-01-01,0.246,0.349
0,3,2025-01-01,0.227,1.117
0,4,2025-01-01,0.217,0.277
0,5,2025-01-01,0.206,0.629
0,6,2025-01-01,0.201,1.444
0,7,2025-01-01,0.196,0.961
1,1,2025-01-01,0.278,0.349
1,2,2025-01-01,0.274,1.117
1,3,2025-01-01,0.259,0.277
1,4,2025-01-01,0.259,0.629
1,5,2025-01-01,0.255,1.444
1,6,2025-01-01,0.261,0.961
1,7,2025-01-01,0.270,1.092
2,1,2025-01-01,0.284,1.117
2,2,2025-01-01,0.281,0.277
2,3,2025-01-01,0.266,0.629
2,4,2025-01-01,0.264,1.444
2,5,2025-01-01,0.266,0.961
2,6,2025-01-01,0.273,1.092
2,7,2025-01-01,0.288,1.298
3,1,2025-01-01,0.339,0.277
3,2,2025-01-01,0.334,0.629
3,3,2025-01-01,0.317,1.444
3,4,2025-01-01,0.314,0.961
3,5,2025-01-01,0.306,1.092
3,6,2025-01-01,0.302,1.298
3,7,2025-01-01,0.314,0.276
4,1,2025-01-01,0.374,0.629
4,2,2025-01-01,0.367,1.444
4,3,2025-01-01,0.349,0.961
4,4,2025-01-01,0.351,1.092
4,5,2025-01-01,0.348,1.298
4,6,2025-01-01,0.347,0.276
4,7,2025-01-01,0.354,1.495
5,1,2025-01-01,0.372,1.444
5,2,2025-01-01,0.369,0.961
5,3,2025-01-01,0.351,1.092
5,4,2025-01-01,0.349,1.298
5,5,2025-01-01,0.347,0.276
5,6,2025-01-01,0.351,1.495
5,7,2025-01-01,0.373,1.801
6,1,2025-01-01,0.418,0.961
6,2,2025-01-01,0.426,1.092
6,3,2025-01-01,0.408,1.298
6,4,2025-01-01,0.419,0.276
6,5,2025-01-01,0.422,1.495
6,6,2025-01-01,0.427,1.801
6,7,2025-01-01,0.446,1.774
7,1,2025-01-01,0.513,1.092
7,2,2025-01-01,0.534,1.298
7,3,2025-01-01,0.533,0.276
7,4,2025-01-01,0.565,1.495
7,5,2025-01-01,0.567,1.801
7,6,2025-01-01,0.588,1.774
7,7,2025-01-01,0.612,1.934
8,1,2025-01-01,0.580,1.298
8,2,2025-01-01,0.625,0.276
8,3,2025-01-01,0.611,1.495
8,4,2025-01-01,0.651,1.801
8,5,2025-01-01,0.657,1.774
8,6,2025-01-01,0.699,1.934
8,7,2025-01-01,0.688,1.938
9,1,2025-01-01,0.671,0.276
9,2,2025-01-01,0.704,1.495
9,3,2025-01-01,0.700,1.801
9,4,2025-01-01,0.713,1.774
9,5,2025-01-01,0.762,1.934
9,6,2025-01-01,0.756,1.938
9,7,2025-01-01,0.781,1.807
10,1,2025-01-01,0.637,1.495
10,2,2025-01-01,0.637,1.801
10,3,2025-01-01,0.619,1.774
10,4,2025-01-01,0.635,1.934
10,5,2025-01-01,0.668,1.938
10,6,2025-01-01,0.747,1.807
10,7,2025-01-01,0.748,1.240
11,1,2025-01-01,0.667,1.801
11,2,2025-01-01,0.676,1.774
11,3,2025-01-01,0.664,1.934
11,4,2025-01-01,0.665,1.938
11,5,2025-01-01,0.672,1.807
11,6,2025-01-01,0.694,1.240
11,7,2025-01-01,0.703,0.908
12,1,2025-01-01,0.824,1.774
12,2,2025-01-01,0.837,1.934
12,3,2025-01-01,0.864,1.938
12,4,2025-01-01,0.854,1.807
12,5,2025-01-01,0.867,1.240
12,6,2025-01-01,0.936,0.908
12,7,2025-01-01,0.925,1.973
13,1,2025-01-01,0.992,1.934
13,2,2025-01-01,1.011,1.938
13,3,2025-01-01,1.050,1.807
13,4,2025-01-01,0.992,1.240
13,5,2025-01-01,1.035,0.908
13,6,2025-01-01,1.130,1.973
13,7,2025-01-01,1.064,1.363
14,1,2025-01-01,1.116,1.938
14,2,2025-01-01,1.131,1.807
14,3,2025-01-01,1.091,1.240
14,4,2025-01-01,1.005,0.908
14,5,2025-01-01,1.004,1.973
14,6,2025-01-01,1.062,1.363
14,7,2025-01-01,1.244,1.149
15,1,2025-01-01,1.157,1.807
15,2,2025-01-01,1.343,1.240
15,3,2025-01-01,1.114,0.908
15,4,2025-01-01,1.182,1.973
15,5,2025-01-01,1.127,1.363
15,6,2025-01-01,1.207,1.149
15,7,2025-01-01,1.351,0.800
16,1,2025-01-01,1.185,1.240
16,2,2025-01-01,1.419,0.908
16,3,2025-01-01,1.129,1.973
16,4,2025-01-01,1.202,1.363
16,5,2025-01-01,1.016,1.149
16,6,2025-01-01,1.122,0.800
16,7,2025-01-01,1.426,1.389
17,1,2025-01-01,1.145,0.908
17,2,2025-01-01,1.134,1.973
17,3,2025-01-01,0.960,1.363
17,4,2025-01-01,0.977,1.149
17,5,2025-01-01,0.966,0.800
17,6,2025-01-01,1.247,1.389
17,7,2025-01-01,1.179,0.846
18,1,2025-01-01,1.121,1.973
18,2,2025-01-01,1.332,1.363
18,3,2025-01-01,1.036,1.149
18,4,2025-01-01,1.252,0.800
18,5,2025-01-01,1.166,1.389
18,6,2025-01-01,1.298,0.846
18,7,2025-01-01,1.414,2.033
19,1,2025-01-01,1.314,1.363
19,2,2025-01-01,1.532,1.149
19,3,2025-01-01,1.501,0.800
19,4,2025-01-01,1.279,1.389
19,5,2025-01-01,1.503,0.846
19,6,2025-01-01,1.487,2.033
19,7,2025-01-01,1.674,2.041
20,1,2025-01-01,1.157,1.149
20,2,2025-01-01,1.115,0.800
20,3,2025-01-01,1.112,1.389
20,4,2025-01-01,1.087,0.846
20,5,2025-01-01,1.190,2.033
20,6,2025-01-01,1.510,2.041
20,7,2025-01-01,1.483,2.232
21,1,2025-01-01,1.021,0.800
21,2,2025-01-01,1.006,1.389
21,3,2025-01-01,0.868,0.846
21,4,2025-01-01,1.143,2.033
21,5,2025-01-01,1.061,2.041
21,6,2025-01-01,1.368,2.232
21,7,2025-01-01,1.508,2.161
22,1,2025-01-01,1.088,1.389
22,2,2025-01-01,1.054,0.846
22,3,2025-01-01,0.974,2.033
22,4,2025-01-01,1.303,2.041
22,5,2025-01-01,1.379,2.232
22,6,2025-01-01,1.434,2.161
22,7,2025-01-01,1.339,1.898
23,1,2025-01-01,1.160,0.846
23,2,2025-01-01,1.282,2.033
23,3,2025-01-01,1.350,2.041
23,4,2025-01-01,1.556,2.232
23,5,2025-01-01,1.679,2.161
23,6,2025-01-01,1.656,1.898
23,7,2025-01-01,1.583,1.768
24,1,2025-01-01,1.068,2.033
