Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,2.097,3.140
0,2,2025-01-01,2.106,2.305
0,3,2025-01-01,2.247,4.108
0,4,2025-01-01,2.331,4.553
0,5,2025-01-01,2.505,4.018
0,6,2025-01-01,2.532,4.312
0,7,2025-01-01,2.511,4.636
1,1,2025-01-01,1.972,2.305
1,2,2025-01-01,2.047,4.108
1,3,2025-01-01,2.135,4.553
1,4,2025-01-01,2.305,4.018
1,5,2025-01-01,2.458,4.312
1,6,2025-01-01,2.574,4.636
1,7,2025-01-01,2.593,2.920
2,1,2025-01-01,2.001,4.108
2,2,2025-01-01,2.277,4.553
2,3,2025-01-01,2.314,4.018
2,4,2025-01-01,2.390,4.312
2,5,2025-01-01,2.517,4.636
2,6,2025-01-01,2.543,2.920
2,7,2025-01-01,2.620,1.282
3,1,2025-01-01,2.606,4.553
3,2,2025-01-01,2.697,4.018
3,3,2025-01-01,2.801,4.312
3,4,2025-01-01,2.879,4.636
3,5,2025-01-01,2.932,2.920
3,6,2025-01-01,2.946,1.282
3,7,2025-01-01,2.909,4.847
4,1,2025-01-01,2.714,4.018
4,2,2025-01-01,2.860,4.312
4,3,2025-01-01,2.952,4.636
4,4,2025-01-01,3.039,2.920
4,5,2025-01-01,3.078,1.282
4,6,2025-01-01,3.051,4.847
4,7,2025-01-01,3.019,4.683
5,1,2025-01-01,2.737,4.312
5,2,2025-01-01,2.776,4.636
5,3,2025-01-01,2.948,2.920
5,4,2025-01-01,3.130,1.282
5,5,2025-01-01,3.230,4.847
5,6,2025-01-01,3.247,4.683
5,7,2025-01-01,3.245,4.033
6,1,2025-01-01,3.009,4.636
6,2,2025-01-01,3.165,2.920
6,3,2025-01-01,3.408,1.282
6,4,2025-01-01,3.520,4.847
6,5,2025-01-01,3.585,4.683
6,6,2025-01-01,3.565,4.033
6,7,2025-01-01,3.551,4.072
7,1,2025-01-01,3.341,2.920
7,2,2025-01-01,3.501,1.282
7,3,2025-01-01,3.735,4.847
7,4,2025-01-01,3.811,4.683
7,5,2025-01-01,3.836,4.033
7,6,2025-01-01,3.811,4.072
7,7,2025-01-01,3.766,2.835
8,1,2025-01-01,3.228,1.282
8,2,2025-01-01,3.616,4.847
8,3,2025-01-01,3.788,4.683
8,4,2025-01-01,3.865,4.033
8,5,2025-01-01,3.845,4.072
8,6,2025-01-01,3.762,2.835
8,7,2025-01-01,3.630,4.973
9,1,2025-01-01,3.011,4.847
9,2,2025-01-01,3.396,4.683
9,3,2025-01-01,3.632,4.033
9,4,2025-01-01,3.756,4.072
9,5,2025-01-01,3.780,2.835
9,6,2025-01-01,3.742,4.973
9,7,2025-01-01,3.658,5.388
10,1,2025-01-01,3.450,4.683
10,2,2025-01-01,3.534,4.033
10,3,2025-01-01,3.743,4.072
10,4,2025-01-01,3.843,2.835
10,5,2025-01-01,3.879,4.973
10,6,2025-01-01,3.886,5.388
10,7,2025-01-01,3.828,5.848
11,1,2025-01-01,3.714,4.033
11,2,2025-01-01,3.973,4.072
11,3,2025-01-01,4.154,2.835
11,4,2025-01-01,4.229,4.973
11,5,2025-01-01,4.263,5.388
11,6,2025-01-01,4.234,5.848
11,7,2025-01-01,4.137,5.689
12,1,2025-01-01,3.922,4.072
12,2,2025-01-01,4.213,2.835
12,3,2025-01-01,4.263,4.973
12,4,2025-01-01,4.287,5.388
12,5,2025-01-01,4.238,5.848
12,6,2025-01-01,4.154,5.689
12,7,2025-01-01,4.055,2.778
13,1,2025-01-01,3.818,2.835
13,2,2025-01-01,4.216,4.973
13,3,2025-01-01,4.171,5.388
13,4,2025-01-01,4.130,5.848
13,5,2025-01-01,4.016,5.689
13,6,2025-01-01,3.918,2.778
13,7,2025-01-01,3.798,5.945
14,1,2025-01-01,3.390,4.973
14,2,2025-01-01,3.602,5.388
14,3,2025-01-01,3.883,5.848
14,4,2025-01-01,3.997,5.689
14,5,2025-01-01,3.930,2.778
14,6,2025-01-01,3.862,5.945
14,7,2025-01-01,3.759,6.142
15,1,2025-01-01,4.054,5.388
15,2,2025-01-01,4.323,5.848
15,3,2025-01-01,4.257,5.689
15,4,2025-01-01,4.159,2.778
15,5,2025-01-01,4.098,5.945
15,6,2025-01-01,4.003,6.142
15,7,2025-01-01,3.904,6.013
16,1,2025-01-01,4.428,5.848
16,2,2025-01-01,4.664,5.689
16,3,2025-01-01,4.528,2.778
16,4,2025-01-01,4.379,5.945
16,5,2025-01-01,4.273,6.142
16,6,2025-01-01,4.187,6.013
16,7,2025-01-01,4.103,4.249
17,1,2025-01-01,4.625,5.689
17,2,2025-01-01,4.846,2.778
17,3,2025-01-01,4.689,5.945
17,4,2025-01-01,4.584,6.142
17,5,2025-01-01,4.475,6.013
17,6,2025-01-01,4.375,4.249
17,7,2025-01-01,4.277,6.228
18,1,2025-01-01,4.647,2.778
18,2,2025-01-01,4.810,5.945
18,3,2025-01-01,4.703,6.142
18,4,2025-01-01,4.494,6.013
18,5,2025-01-01,4.382,4.249
18,6,2025-01-01,4.290,6.228
18,7,2025-01-01,4.178,5.028
19,1,2025-01-01,4.004,5.945
19,2,2025-01-01,4.358,6.142
19,3,2025-01-01,4.306,6.013
19,4,2025-01-01,4.347,4.249
19,5,2025-01-01,4.326,6.228
19,6,2025-01-01,4.246,5.028
19,7,2025-01-01,4.120,4.124
20,1,2025-01-01,4.460,6.142
