Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.443,0.944
0,2,2025-01-01,0.507,0.648
0,3,2025-01-01,0.496,0.907
0,4,2025-01-01,0.494,0.853
0,5,2025-01-01,0.513,0.759
0,6,2025-01-01,0.509,1.143
0,7,2025-01-01,0.549,1.174
1,1,2025-01-01,0.448,0.648
1,2,2025-01-01,0.507,0.907
1,3,2025-01-01,0.502,0.853
1,4,2025-01-01,0.492,0.759
1,5,2025-01-01,0.511,1.143
1,6,2025-01-01,0.542,1.174
1,7,2025-01-01,0.561,0.579
2,1,2025-01-01,0.461,0.907
2,2,2025-01-01,0.513,0.853
2,3,2025-01-01,0.501,0.759
2,4,2025-01-01,0.529,1.143
2,5,2025-01-01,0.495,1.174
2,6,2025-01-01,0.561,0.579
2,7,2025-01-01,0.565,1.240
3,1,2025-01-01,0.544,0.853
3,2,2025-01-01,0.576,0.759
3,3,2025-01-01,0.581,1.143
3,4,2025-01-01,0.547,1.174
3,5,2025-01-01,0.619,0.579
3,6,2025-01-01,0.633,1.240
3,7,2025-01-01,0.664,0.838
4,1,2025-01-01,0.601,0.759
4,2,2025-01-01,0.637,1.143
4,3,2025-01-01,0.641,1.174
4,4,2025-01-01,0.687,0.579
4,5,2025-01-01,0.718,1.240
4,6,2025-01-01,0.777,0.838
4,7,2025-01-01,0.803,1.066
5,1,2025-01-01,0.670,1.143
5,2,2025-01-01,0.628,1.174
5,3,2025-01-01,0.644,0.579
5,4,2025-01-01,0.787,1.240
5,5,2025-01-01,0.830,0.838
5,6,2025-01-01,0.870,1.066
5,7,2025-01-01,0.882,1.179
6,1,2025-01-01,0.703,1.174
6,2,2025-01-01,0.688,0.579
6,3,2025-01-01,0.668,1.240
6,4,2025-01-01,0.619,0.838
6,5,2025-01-01,0.663,1.066
6,6,2025-01-01,0.723,1.179
6,7,2025-01-01,0.795,1.303
7,1,2025-01-01,0.775,0.579
7,2,2025-01-01,0.840,1.240
7,3,2025-01-01,0.789,0.838
7,4,2025-01-01,0.914,1.066
7,5,2025-01-01,1.012,1.179
7,6,2025-01-01,1.125,1.303
7,7,2025-01-01,1.097,1.296
8,1,2025-01-01,0.712,1.240
8,2,2025-01-01,0.834,0.838
8,3,2025-01-01,0.846,1.066
8,4,2025-01-01,0.805,1.179
8,5,2025-01-01,0.894,1.303
8,6,2025-01-01,0.967,1.296
8,7,2025-01-01,1.019,1.108
9,1,2025-01-01,0.749,0.838
9,2,2025-01-01,0.803,1.066
9,3,2025-01-01,0.851,1.179
9,4,2025-01-01,0.900,1.303
9,5,2025-01-01,0.942,1.296
9,6,2025-01-01,0.990,1.108
9,7,2025-01-01,0.964,0.574
10,1,2025-01-01,0.743,1.066
10,2,2025-01-01,0.798,1.179
10,3,2025-01-01,0.788,1.303
10,4,2025-01-01,0.875,1.296
10,5,2025-01-01,0.904,1.108
10,6,2025-01-01,0.926,0.574
10,7,2025-01-01,0.910,0.715
11,1,2025-01-01,0.738,1.179
11,2,2025-01-01,0.772,1.303
11,3,2025-01-01,0.786,1.296
11,4,2025-01-01,0.813,1.108
11,5,2025-01-01,0.853,0.574
11,6,2025-01-01,0.880,0.715
11,7,2025-01-01,0.798,0.746
12,1,2025-01-01,0.738,1.303
12,2,2025-01-01,0.749,1.296
12,3,2025-01-01,0.744,1.108
12,4,2025-01-01,0.769,0.574
12,5,2025-01-01,0.756,0.715
12,6,2025-01-01,0.806,0.746
12,7,2025-01-01,0.748,1.850
13,1,2025-01-01,0.667,1.296
13,2,2025-01-01,0.612,1.108
13,3,2025-01-01,0.682,0.574
13,4,2025-01-01,0.665,0.715
13,5,2025-01-01,0.698,0.746
13,6,2025-01-01,0.707,1.850
13,7,2025-01-01,0.765,1.421
14,1,2025-01-01,0.679,1.108
14,2,2025-01-01,0.654,0.574
14,3,2025-01-01,0.709,0.715
14,4,2025-01-01,0.722,0.746
14,5,2025-01-01,0.731,1.850
14,6,2025-01-01,0.758,1.421
14,7,2025-01-01,0.884,1.052
15,1,2025-01-01,0.693,0.574
15,2,2025-01-01,0.732,0.715
15,3,2025-01-01,0.721,0.746
15,4,2025-01-01,0.765,1.850
15,5,2025-01-01,0.792,1.421
15,6,2025-01-01,0.795,1.052
15,7,2025-01-01,0.956,0.978
16,1,2025-01-01,0.596,0.715
16,2,2025-01-01,0.654,0.746
16,3,2025-01-01,0.621,1.850
16,4,2025-01-01,0.706,1.421
16,5,2025-01-01,0.853,1.052
16,6,2025-01-01,0.865,0.978
16,7,2025-01-01,0.924,1.077
17,1,2025-01-01,0.566,0.746
17,2,2025-01-01,0.632,1.850
17,3,2025-01-01,0.596,1.421
17,4,2025-01-01,0.686,1.052
17,5,2025-01-01,0.699,0.978
17,6,2025-01-01,0.710,1.077
17,7,2025-01-01,0.824,1.136
18,1,2025-01-01,0.602,1.850
18,2,2025-01-01,0.618,1.421
18,3,2025-01-01,0.578,1.052
18,4,2025-01-01,0.602,0.978
18,5,2025-01-01,0.635,1.077
18,6,2025-01-01,0.605,1.136
18,7,2025-01-01,0.725,0.793
19,1,2025-01-01,0.755,1.421
19,2,2025-01-01,0.722,1.052
19,3,2025-01-01,0.740,0.978
19,4,2025-01-01,0.721,1.077
19,5,2025-01-01,0.781,1.136
19,6,2025-01-01,0.679,0.793
19,7,2025-01-01,0.727,0.896
20,1,2025-01-01,0.654,1.052
20,2,2025-01-01,0.618,0.978
20,3,2025-01-01,0.608,1.077
20,4,2025-01-01,0.665,1.136
20,5,2025-01-01,0.701,0.793
20,6,2025-01-01,0.636,0.896
20,7,2025-01-01,0.749,0.938
21,1,2025-01-01,0.659,0.978
21,2,2025-01-01,0.663,1.077
21,3,2025-01-01,0.643,1.136
21,4,2025-01-01,0.629,0.793
21,5,2025-01-01,0.656,0.896
21,6,2025-01-01,0.746,0.938
21,7,2025-01-01,0.866,0.924
22,1,2025-01-01,0.622,1.077
22,2,2025-01-01,0.657,1.136
22,3,2025-01-01,0.694,0.793
22,4,2025-01-01,0.773,0.896
22,5,2025-01-01,0.793,0.938
22,6,2025-01-01,0.784,0.924
22,7,2025-01-01,0.842,1.099
23,1,2025-01-01,0.662,1.136
23,2,2025-01-01,0.686,0.793
23,3,2025-01-01,0.673,0.896
23,4,2025-01-01,0.670,0.938
23,5,2025-01-01,0.659,0.924
23,6,2025-01-01,0.777,1.099
23,7,2025-01-01,0.793,0.739
24,1,2025-01-01,0.586,0.793
24,2,2025-01-01,0.607,0.896
24,3,2025-01-01,0.648,0.938
24,4,2025-01-01,0.653,0.924
24,5,2025-01-01,0.645,1.099
24,6,2025-01-01,0.686,0.739
24,7,2025-01-02,0.764,1.398
25,1,2025-01-01,0.580,0.896
25,2,2025-01-01,0.629,0.938
25,3,2025-01-01,0.644,0.924
25,4,2025-01-01,0.633,1.099
25,5,2025-01-01,0.646,0.739
25,6,2025-01-02,0.684,1.398
25,7,2025-01-02,0.863,3.044
26,1,2025-01-01,0.679,0.938
26,2,2025-01-01,0.770,0.924
26,3,2025-01-01,0.646,1.099
26,4,2025-01-01,0.661,0.739
26,5,2025-01-02,0.649,1.398
26,6,2025-01-02,0.742,3.044
26,7,2025-01-02,0.824,2.289
27,1,2025-01-01,0.594,0.924
27,2,2025-01-01,0.711,1.099
27,3,2025-01-01,0.734,0.739
27,4,2025-01-02,0.676,1.398
27,5,2025-01-02,0.814,3.044
27,6,2025-01-02,0.871,2.289
27,7,2025-01-02,0.931,2.185
28,1,2025-01-01,0.677,1.099
28,2,2025-01-01,0.752,0.739
28,3,2025-01-02,0.746,1.398
28,4,2025-01-02,0.784,3.044
28,5,2025-01-02,0.804,2.289
28,6,2025-01-02,0.852,2.185
28,7,2025-01-02,0.922,2.907
29,1,2025-01-01,0.669,0.739
29,2,2025-01-02,0.756,1.398
29,3,2025-01-02,0.759,3.044
29,4,2025-01-02,0.665,2.289
29,5,2025-01-02,0.840,2.185
29,6,2025-01-02,0.951,2.907
29,7,2025-01-02,1.043,2.574
30,1,2025-01-02,0.672,1.398
30,2,2025-01-02,0.769,3.044
30,3,2025-01-02,0.769,2.289
30,4,2025-01-02,0.829,2.185
30,5,2025-01-02,0.844,2.907
30,6,2025-01-02,1.033,2.574
30,7,2025-01-02,1.125,1.492
31,1,2025-01-02,0.723,3.044
31,2,2025-01-02,0.895,2.289
31,3,2025-01-02,0.826,2.185
31,4,2025-01-02,0.879,2.907
31,5,2025-01-02,1.054,2.574
31,6,2025-01-02,1.147,1.492
31,7,2025-01-02,1.345,1.524
32,1,2025-01-02,1.108,2.289
32,2,2025-01-02,1.209,2.185
32,3,2025-01-02,1.252,2.907
32,4,2025-01-02,1.096,2.574
32,5,2025-01-02,1.224,1.492
32,6,2025-01-02,1.408,1.524
32,7,2025-01-02,1.516,2.032
33,1,2025-01-02,1.217,2.185
33,2,2025-01-02,1.366,2.907
33,3,2025-01-02,1.302,2.574
33,4,2025-01-02,1.487,1.492
33,5,2025-01-02,1.518,1.524
33,6,2025-01-02,1.597,2.032
33,7,2025-01-02,1.727,1.695
34,1,2025-01-02,1.342,2.907
34,2,2025-01-02,1.408,2.574
34,3,2025-01-02,1.425,1.492
34,4,2025-01-02,1.602,1.524
34,5,2025-01-02,1.621,2.032
34,6,2025-01-02,1.811,1.695
34,7,2025-01-02,1.935,3.132
35,1,2025-01-02,1.329,2.574
35,2,2025-01-02,1.395,1.492
35,3,2025-01-02,1.490,1.524
35,4,2025-01-02,1.632,2.032
35,5,2025-01-02,1.693,1.695
35,6,2025-01-02,2.011,3.132
35,7,2025-01-02,2.093,2.639
36,1,2025-01-02,1.340,1.492
36,2,2025-01-02,1.216,1.524
36,3,2025-01-02,1.336,2.032
36,4,2025-01-02,1.626,1.695
36,5,2025-01-02,1.822,3.132
36,6,2025-01-02,1.929,2.639
36,7,2025-01-02,2.114,2.317
37,1,2025-01-02,1.199,1.524
37,2,2025-01-02,1.238,2.032
37,3,2025-01-02,1.547,1.695
37,4,2025-01-02,1.677,3.132
37,5,2025-01-02,1.987,2.639
37,6,2025-01-02,2.162,2.317
37,7,2025-01-02,2.275,2.363
38,1,2025-01-02,1.164,2.032
38,2,2025-01-02,1.181,1.695
