Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.374,1.141
0,2,2025-01-01,0.369,0.349
0,3,2025-01-01,0.290,1.117
0,4,2025-01-01,0.234,0.277
0,5,2025-01-01,0.247,0.629
0,6,2025-01-01,0.222,1.444
0,7,2025-01-01,0.242,0.961
1,1,2025-01-01,0.435,0.349
1,2,2025-01-01,0.407,1.117
1,3,2025-01-01,0.370,0.277
1,4,2025-01-01,0.336,0.629
1,5,2025-01-01,0.313,1.444
1,6,2025-01-01,0.309,0.961
1,7,2025-01-01,0.325,1.092
2,1,2025-01-01,0.376,1.117
2,2,2025-01-01,0.313,0.277
2,3,2025-01-01,0.292,0.629
2,4,2025-01-01,0.241,1.444
2,5,2025-01-01,0.259,0.961
2,6,2025-01-01,0.247,1.092
2,7,2025-01-01,0.246,1.298
3,1,2025-01-01,0.443,0.277
3,2,2025-01-01,0.372,0.629
3,3,2025-01-01,0.275,1.444
3,4,2025-01-01,0.232,0.961
3,5,2025-01-01,0.171,1.092
3,6,2025-01-01,0.144,1.298
3,7,2025-01-01,0.268,0.276
4,1,2025-01-01,0.394,0.629
4,2,2025-01-01,0.342,1.444
4,3,2025-01-01,0.339,0.961
4,4,2025-01-01,0.267,1.092
4,5,2025-01-01,0.234,1.298
4,6,2025-01-01,0.232,0.276
4,7,2025-01-01,0.241,1.495
5,1,2025-01-01,0.425,1.444
5,2,2025-01-01,0.338,0.961
5,3,2025-01-01,0.287,1.092
5,4,2025-01-01,0.188,1.298
5,5,2025-01-01,0.176,0.276
5,6,2025-01-01,0.120,1.495
5,7,2025-01-01,0.243,1.801
6,1,2025-01-01,0.504,0.961
6,2,2025-01-01,0.533,1.092
6,3,2025-01-01,0.349,1.298
6,4,2025-01-01,0.371,0.276
6,5,2025-01-01,0.423,1.495
6,6,2025-01-01,0.323,1.801
6,7,2025-01-01,0.347,1.774
7,1,2025-01-01,0.652,1.092
7,2,2025-01-01,0.629,1.298
7,3,2025-01-01,0.605,0.276
7,4,2025-01-01,0.569,1.495
