Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,3.156,3.140
0,2,2025-01-01,2.922,2.305
0,3,2025-01-01,2.759,4.108
0,4,2025-01-01,2.582,4.553
0,5,2025-01-01,2.379,4.018
0,6,2025-01-01,2.127,4.312
0,7,2025-01-01,1.838,4.636
1,1,2025-01-01,3.143,2.305
1,2,2025-01-01,2.882,4.108
1,3,2025-01-01,2.721,4.553
1,4,2025-01-01,2.583,4.018
1,5,2025-01-01,2.418,4.312
1,6,2025-01-01,2.218,4.636
1,7,2025-01-01,1.985,2.920
2,1,2025-01-01,3.142,4.108
2,2,2025-01-01,2.886,4.553
2,3,2025-01-01,2.732,4.018
2,4,2025-01-01,2.598,4.312
2,5,2025-01-01,2.436,4.636
2,6,2025-01-01,2.235,2.920
2,7,2025-01-01,2.008,1.282
3,1,2025-01-01,3.521,4.553
3,2,2025-01-01,3.305,4.018
3,3,2025-01-01,3.139,4.312
3,4,2025-01-01,2.969,4.636
3,5,2025-01-01,2.758,2.920
3,6,2025-01-01,2.499,1.282
3,7,2025-01-01,2.211,4.847
4,1,2025-01-01,3.712,4.018
4,2,2025-01-01,3.488,4.312
4,3,2025-01-01,3.336,4.636
4,4,2025-01-01,3.177,2.920
4,5,2025-01-01,2.980,1.282
4,6,2025-01-01,2.718,4.847
4,7,2025-01-01,2.433,4.683
5,1,2025-01-01,3.786,4.312
5,2,2025-01-01,3.534,4.636
5,3,2025-01-01,3.377,2.920
5,4,2025-01-01,3.239,1.282
5,5,2025-01-01,3.076,4.847
5,6,2025-01-01,2.864,4.683
5,7,2025-01-01,2.619,4.033
6,1,2025-01-01,3.992,4.636
6,2,2025-01-01,3.736,2.920
6,3,2025-01-01,3.581,1.282
6,4,2025-01-01,3.454,4.847
6,5,2025-01-01,3.292,4.683
6,6,2025-01-01,3.075,4.033
6,7,2025-01-01,2.866,4.072
7,1,2025-01-01,4.220,2.920
7,2,2025-01-01,3.983,1.282
7,3,2025-01-01,3.830,4.847
7,4,2025-01-01,3.690,4.683
7,5,2025-01-01,3.511,4.033
7,6,2025-01-01,3.273,4.072
7,7,2025-01-01,3.026,2.835
8,1,2025-01-01,4.282,1.282
8,2,2025-01-01,4.018,4.847
8,3,2025-01-01,3.856,4.683
8,4,2025-01-01,3.684,4.033
8,5,2025-01-01,3.482,4.072
8,6,2025-01-01,3.226,2.835
8,7,2025-01-01,2.894,4.973
9,1,2025-01-01,4.143,4.847
9,2,2025-01-01,3.846,4.683
9,3,2025-01-01,3.741,4.033
9,4,2025-01-01,3.648,4.072
9,5,2025-01-01,3.476,2.835
9,6,2025-01-01,3.235,4.973
9,7,2025-01-01,2.931,5.388
10,1,2025-01-01,4.578,4.683
10,2,2025-01-01,4.305,4.033
10,3,2025-01-01,4.168,4.072
10,4,2025-01-01,4.043,2.835
10,5,2025-01-01,3.870,4.973
10,6,2025-01-01,3.640,5.388
10,7,2025-01-01,3.305,5.848
11,1,2025-01-01,4.814,4.033
11,2,2025-01-01,4.569,4.072
11,3,2025-01-01,4.512,2.835
11,4,2025-01-01,4.462,4.973
11,5,2025-01-01,4.330,5.388
11,6,2025-01-01,4.087,5.848
11,7,2025-01-01,3.714,5.689
12,1,2025-01-01,4.964,4.072
12,2,2025-01-01,4.755,2.835
12,3,2025-01-01,4.651,4.973
12,4,2025-01-01,4.543,5.388
12,5,2025-01-01,4.317,5.848
12,6,2025-01-01,4.041,5.689
12,7,2025-01-01,3.691,2.778
13,1,2025-01-01,4.910,2.835
13,2,2025-01-01,4.694,4.973
13,3,2025-01-01,4.567,5.388
13,4,2025-01-01,4.438,5.848
13,5,2025-01-01,4.168,5.689
13,6,2025-01-01,3.861,2.778
13,7,2025-01-01,3.492,5.945
14,1,2025-01-01,4.567,4.973
14,2,2025-01-01,4.278,5.388
14,3,2025-01-01,4.195,5.848
14,4,2025-01-01,4.152,5.689
14,5,2025-01-01,3.987,2.778
14,6,2025-01-01,3.750,5.945
14,7,2025-01-01,3.432,6.142
15,1,2025-01-01,4.948,5.388
15,2,2025-01-01,4.755,5.848
15,3,2025-01-01,4.650,5.689
15,4,2025-01-01,4.516,2.778
15,5,2025-01-01,4.339,5.945
15,6,2025-01-01,4.037,6.142
15,7,2025-01-01,3.686,6.013
16,1,2025-01-01,5.251,5.848
16,2,2025-01-01,5.075,5.689
16,3,2025-01-01,4.936,2.778
16,4,2025-01-01,4.758,5.945
16,5,2025-01-01,4.523,6.142
16,6,2025-01-01,4.211,6.013
16,7,2025-01-01,3.851,4.249
