Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,1.243,0.944
0,2,2025-01-01,1.035,0.648
0,3,2025-01-01,0.901,0.907
0,4,2025-01-01,0.781,0.853
0,5,2025-01-01,0.643,0.759
0,6,2025-01-01,0.473,1.143
0,7,2025-01-01,0.257,1.174
1,1,2025-01-01,1.311,0.648
1,2,2025-01-01,1.098,0.907
1,3,2025-01-01,0.960,0.853
1,4,2025-01-01,0.839,0.759
1,5,2025-01-01,0.699,1.143
1,6,2025-01-01,0.525,1.174
1,7,2025-01-01,0.305,0.579
2,1,2025-01-01,1.380,0.907
2,2,2025-01-01,1.156,0.853
2,3,2025-01-01,1.009,0.759
2,4,2025-01-01,0.878,1.143
2,5,2025-01-01,0.729,1.174
2,6,2025-01-01,0.545,0.579
2,7,2025-01-01,0.314,1.240
3,1,2025-01-01,1.396,0.853
3,2,2025-01-01,1.175,0.759
3,3,2025-01-01,1.035,1.143
3,4,2025-01-01,0.904,1.174
3,5,2025-01-01,0.752,0.579
3,6,2025-01-01,0.579,1.240
3,7,2025-01-01,0.355,0.838
4,1,2025-01-01,1.404,0.759
4,2,2025-01-01,1.185,1.143
4,3,2025-01-01,1.050,1.174
4,4,2025-01-01,0.933,0.579
4,5,2025-01-01,0.791,1.240
4,6,2025-01-01,0.616,0.838
4,7,2025-01-01,0.406,1.066
5,1,2025-01-01,1.519,1.143
5,2,2025-01-01,1.284,1.174
5,3,2025-01-01,1.118,0.579
5,4,2025-01-01,0.979,1.240
5,5,2025-01-01,0.836,0.838
5,6,2025-01-01,0.655,1.066
5,7,2025-01-01,0.442,1.179
6,1,2025-01-01,1.618,1.174
6,2,2025-01-01,1.379,0.579
6,3,2025-01-01,1.215,1.240
6,4,2025-01-01,1.064,0.838
6,5,2025-01-01,0.888,1.066
6,6,2025-01-01,0.685,1.179
6,7,2025-01-01,0.456,1.303
7,1,2025-01-01,1.698,0.579
7,2,2025-01-01,1.470,1.240
7,3,2025-01-01,1.312,0.838
7,4,2025-01-01,1.164,1.066
7,5,2025-01-01,0.994,1.179
7,6,2025-01-01,0.790,1.303
7,7,2025-01-01,0.560,1.296
8,1,2025-01-01,1.677,1.240
8,2,2025-01-01,1.436,0.838
8,3,2025-01-01,1.295,1.066
8,4,2025-01-01,1.166,1.179
8,5,2025-01-01,1.003,1.303
8,6,2025-01-01,0.803,1.296
8,7,2025-01-01,0.577,1.108
9,1,2025-01-01,1.748,0.838
9,2,2025-01-01,1.515,1.066
9,3,2025-01-01,1.373,1.179
9,4,2025-01-01,1.245,1.303
9,5,2025-01-01,1.088,1.296
9,6,2025-01-01,0.890,1.108
9,7,2025-01-01,0.651,0.574
10,1,2025-01-01,1.752,1.066
10,2,2025-01-01,1.513,1.179
10,3,2025-01-01,1.366,1.303
10,4,2025-01-01,1.238,1.296
10,5,2025-01-01,1.080,1.108
10,6,2025-01-01,0.880,0.574
10,7,2025-01-01,0.645,0.715
11,1,2025-01-01,1.772,1.179
