Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,1.284,1.514
0,2,2025-01-01,1.092,0.599
0,3,2025-01-01,0.963,1.165
0,4,2025-01-01,0.838,0.251
0,5,2025-01-01,0.697,0.993
0,6,2025-01-01,0.516,0.482
0,7,2025-01-01,0.295,1.779
1,1,2025-01-01,1.364,0.599
1,2,2025-01-01,1.178,1.165
1,3,2025-01-01,1.053,0.251
1,4,2025-01-01,0.938,0.993
1,5,2025-01-01,0.794,0.482
1,6,2025-01-01,0.624,1.779
1,7,2025-01-01,0.408,1.536
2,1,2025-01-01,1.374,1.165
2,2,2025-01-01,1.165,0.251
2,3,2025-01-01,1.024,0.993
2,4,2025-01-01,0.896,0.482
2,5,2025-01-01,0.754,1.779
2,6,2025-01-01,0.576,1.536
2,7,2025-01-01,0.363,0.429
3,1,2025-01-01,1.417,0.251
3,2,2025-01-01,1.224,0.993
3,3,2025-01-01,1.095,0.482
3,4,2025-01-01,0.979,1.779
3,5,2025-01-01,0.835,1.536
3,6,2025-01-01,0.660,0.429
3,7,2025-01-01,0.445,0.903
4,1,2025-01-01,1.404,0.993
4,2,2025-01-01,1.180,0.482
4,3,2025-01-01,1.024,1.779
4,4,2025-01-01,0.891,1.536
4,5,2025-01-01,0.736,0.429
4,6,2025-01-01,0.556,0.903
4,7,2025-01-01,0.343,1.239
5,1,2025-01-01,1.522,0.482
5,2,2025-01-01,1.302,1.779
5,3,2025-01-01,1.152,1.536
5,4,2025-01-01,1.012,0.429
5,5,2025-01-01,0.856,0.903
5,6,2025-01-01,0.671,1.239
5,7,2025-01-01,0.462,1.969
6,1,2025-01-01,1.558,1.779
6,2,2025-01-01,1.326,1.536
6,3,2025-01-01,1.167,0.429
6,4,2025-01-01,1.026,0.903
6,5,2025-01-01,0.869,1.239
6,6,2025-01-01,0.686,1.969
6,7,2025-01-01,0.473,1.997
7,1,2025-01-01,1.692,1.536
7,2,2025-01-01,1.500,0.429
7,3,2025-01-01,1.365,0.903
7,4,2025-01-01,1.237,1.239
7,5,2025-01-01,1.082,1.969
7,6,2025-01-01,0.886,1.997
7,7,2025-01-01,0.660,1.277
8,1,2025-01-01,1.772,0.429
8,2,2025-01-01,1.564,0.903
8,3,2025-01-01,1.419,1.239
8,4,2025-01-01,1.274,1.969
8,5,2025-01-01,1.104,1.997
8,6,2025-01-01,0.901,1.277
8,7,2025-01-01,0.666,1.681
9,1,2025-01-01,1.744,0.903
9,2,2025-01-01,1.501,1.239
9,3,2025-01-01,1.333,1.969
9,4,2025-01-01,1.182,1.997
9,5,2025-01-01,1.014,1.277
9,6,2025-01-01,0.820,1.681
9,7,2025-01-01,0.584,1.425
10,1,2025-01-01,1.738,1.239
10,2,2025-01-01,1.500,1.969
10,3,2025-01-01,1.335,1.997
10,4,2025-01-01,1.182,1.277
10,5,2025-01-01,1.014,1.681
10,6,2025-01-01,0.811,1.425
10,7,2025-01-01,0.580,0.826
11,1,2025-01-01,1.708,1.969
11,2,2025-01-01,1.464,1.997
11,3,2025-01-01,1.299,1.277
11,4,2025-01-01,1.155,1.681
11,5,2025-01-01,0.992,1.425
11,6,2025-01-01,0.799,0.826
11,7,2025-01-01,0.574,1.080
12,1,2025-01-01,1.767,1.997
12,2,2025-01-01,1.549,1.277
12,3,2025-01-01,1.396,1.681
12,4,2025-01-01,1.255,1.425
12,5,2025-01-01,1.095,0.826
12,6,2025-01-01,0.899,1.080
12,7,2025-01-01,0.665,1.336
13,1,2025-01-01,1.804,1.277
13,2,2025-01-01,1.583,1.681
13,3,2025-01-01,1.425,1.425
13,4,2025-01-01,1.279,0.826
13,5,2025-01-01,1.107,1.080
13,6,2025-01-01,0.907,1.336
13,7,2025-01-01,0.669,1.473
14,1,2025-01-01,1.755,1.681
14,2,2025-01-01,1.532,1.425
14,3,2025-01-01,1.385,0.826
14,4,2025-01-01,1.249,1.080
14,5,2025-01-01,1.089,1.336
14,6,2025-01-01,0.896,1.473
14,7,2025-01-01,0.664,0.865
15,1,2025-01-01,1.813,1.425
15,2,2025-01-01,1.607,0.826
15,3,2025-01-01,1.469,1.080
15,4,2025-01-01,1.340,1.336
15,5,2025-01-01,1.187,1.473
15,6,2025-01-01,0.994,0.865
15,7,2025-01-01,0.753,1.220
16,1,2025-01-01,1.849,0.826
16,2,2025-01-01,1.650,1.080
16,3,2025-01-01,1.522,1.336
16,4,2025-01-01,1.400,1.473
16,5,2025-01-01,1.248,0.865
