Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,1.042,1.141
0,2,2025-01-01,0.845,0.349
0,3,2025-01-01,0.696,1.117
0,4,2025-01-01,0.553,0.277
0,5,2025-01-01,0.399,0.629
0,6,2025-01-01,0.227,1.444
0,7,2025-01-01,0.045,0.961
1,1,2025-01-01,1.128,0.349
1,2,2025-01-01,0.931,1.117
1,3,2025-01-01,0.789,0.277
1,4,2025-01-01,0.661,0.629
1,5,2025-01-01,0.518,1.444
1,6,2025-01-01,0.355,0.961
1,7,2025-01-01,0.176,1.092
2,1,2025-01-01,1.143,1.117
2,2,2025-01-01,0.915,0.277
2,3,2025-01-01,0.747,0.629
2,4,2025-01-01,0.602,1.444
2,5,2025-01-01,0.429,0.961
2,6,2025-01-01,0.262,1.092
2,7,2025-01-01,0.084,1.298
3,1,2025-01-01,1.198,0.277
3,2,2025-01-01,0.988,0.629
3,3,2025-01-01,0.826,1.444
3,4,2025-01-01,0.678,0.961
3,5,2025-01-01,0.512,1.092
3,6,2025-01-01,0.331,1.298
3,7,2025-01-01,0.136,0.276
4,1,2025-01-01,1.203,0.629
4,2,2025-01-01,0.967,1.444
4,3,2025-01-01,0.795,0.961
4,4,2025-01-01,0.642,1.092
4,5,2025-01-01,0.482,1.298
4,6,2025-01-01,0.310,0.276
4,7,2025-01-01,0.120,1.495
5,1,2025-01-01,1.306,1.444
5,2,2025-01-01,1.067,0.961
5,3,2025-01-01,0.893,1.092
5,4,2025-01-01,0.735,1.298
5,5,2025-01-01,0.564,0.276
5,6,2025-01-01,0.373,1.495
5,7,2025-01-01,0.169,1.801
6,1,2025-01-01,1.450,0.961
6,2,2025-01-01,1.234,1.092
6,3,2025-01-01,1.072,1.298
6,4,2025-01-01,0.919,0.276
6,5,2025-01-01,0.751,1.495
6,6,2025-01-01,0.563,1.801
6,7,2025-01-01,0.350,1.774
7,1,2025-01-01,1.512,1.092
7,2,2025-01-01,1.295,1.298
7,3,2025-01-01,1.147,0.276
7,4,2025-01-01,1.014,1.495
7,5,2025-01-01,0.857,1.801
7,6,2025-01-01,0.671,1.774
7,7,2025-01-01,0.473,1.934
8,1,2025-01-01,1.601,1.298
8,2,2025-01-01,1.360,0.276
8,3,2025-01-01,1.187,1.495
8,4,2025-01-01,1.032,1.801
8,5,2025-01-01,0.858,1.774
8,6,2025-01-01,0.664,1.934
8,7,2025-01-01,0.450,1.938
9,1,2025-01-01,1.705,0.276
9,2,2025-01-01,1.467,1.495
9,3,2025-01-01,1.294,1.801
9,4,2025-01-01,1.135,1.774
9,5,2025-01-01,0.961,1.934
9,6,2025-01-01,0.765,1.938
9,7,2025-01-01,0.554,1.807
10,1,2025-01-01,1.648,1.495
10,2,2025-01-01,1.383,1.801
10,3,2025-01-01,1.190,1.774
10,4,2025-01-01,1.013,1.934
10,5,2025-01-01,0.818,1.938
10,6,2025-01-01,0.616,1.807
10,7,2025-01-01,0.403,1.240
11,1,2025-01-01,1.694,1.801
11,2,2025-01-01,1.459,1.774
11,3,2025-01-01,1.288,1.934
11,4,2025-01-01,1.130,1.938
11,5,2025-01-01,0.948,1.807
11,6,2025-01-01,0.740,1.240
11,7,2025-01-01,0.518,0.908
12,1,2025-01-01,1.791,1.774
12,2,2025-01-01,1.579,1.934
12,3,2025-01-01,1.429,1.938
12,4,2025-01-01,1.285,1.807
12,5,2025-01-01,1.109,1.240
12,6,2025-01-01,0.899,0.908
12,7,2025-01-01,0.667,1.973
13,1,2025-01-01,1.881,1.934
13,2,2025-01-01,1.673,1.938
13,3,2025-01-01,1.526,1.807
13,4,2025-01-01,1.385,1.240
13,5,2025-01-01,1.214,0.908
13,6,2025-01-01,1.008,1.973
13,7,2025-01-01,0.766,1.363
14,1,2025-01-01,1.921,1.938
14,2,2025-01-01,1.713,1.807
14,3,2025-01-01,1.566,1.240
14,4,2025-01-01,1.426,0.908
14,5,2025-01-01,1.258,1.973
14,6,2025-01-01,1.053,1.363
14,7,2025-01-01,0.820,1.149
15,1,2025-01-01,2.018,1.807
15,2,2025-01-01,1.806,1.240
15,3,2025-01-01,1.662,0.908
15,4,2025-01-01,1.527,1.973
15,5,2025-01-01,1.370,1.363
15,6,2025-01-01,1.177,1.149
15,7,2025-01-01,0.946,0.800
16,1,2025-01-01,2.083,1.240
16,2,2025-01-01,1.869,0.908
16,3,2025-01-01,1.729,1.973
16,4,2025-01-01,1.600,1.363
16,5,2025-01-01,1.435,1.149
16,6,2025-01-01,1.224,0.800
16,7,2025-01-01,0.975,1.389
17,1,2025-01-01,2.101,0.908
17,2,2025-01-01,1.860,1.973
17,3,2025-01-01,1.694,1.363
17,4,2025-01-01,1.541,1.149
17,5,2025-01-01,1.364,0.800
17,6,2025-01-01,1.158,1.389
17,7,2025-01-01,0.917,0.846
18,1,2025-01-01,2.138,1.973
18,2,2025-01-01,1.905,1.363
18,3,2025-01-01,1.746,1.149
18,4,2025-01-01,1.589,0.800
18,5,2025-01-01,1.400,1.389
18,6,2025-01-01,1.172,0.846
18,7,2025-01-01,0.918,2.033
19,1,2025-01-01,2.295,1.363
19,2,2025-01-01,2.096,1.149
19,3,2025-01-01,1.981,0.800
19,4,2025-01-01,1.834,1.389
19,5,2025-01-01,1.633,0.846
19,6,2025-01-01,1.385,2.033
19,7,2025-01-01,1.109,2.041
20,1,2025-01-01,2.292,1.149
20,2,2025-01-01,2.044,0.800
20,3,2025-01-01,1.882,1.389
20,4,2025-01-01,1.737,0.846
20,5,2025-01-01,1.556,2.033
20,6,2025-01-01,1.339,2.041
20,7,2025-01-01,1.078,2.232
21,1,2025-01-01,2.251,0.800
21,2,2025-01-01,1.993,1.389
21,3,2025-01-01,1.821,0.846
21,4,2025-01-01,1.671,2.033
21,5,2025-01-01,1.500,2.041
21,6,2025-01-01,1.289,2.232
21,7,2025-01-01,1.043,2.161
22,1,2025-01-01,2.255,1.389
22,2,2025-01-01,2.000,0.846
22,3,2025-01-01,1.828,2.033
22,4,2025-01-01,1.675,2.041
22,5,2025-01-01,1.509,2.232
22,6,2025-01-01,1.317,2.161
22,7,2025-01-01,1.084,1.898
23,1,2025-01-01,2.295,0.846
23,2,2025-01-01,2.065,2.033
23,3,2025-01-01,1.912,2.041
23,4,2025-01-01,1.758,2.232
23,5,2025-01-01,1.582,2.161
23,6,2025-01-01,1.383,1.898
23,7,2025-01-01,1.171,1.768
24,1,2025-01-01,2.283,2.033
24,2,2025-01-01,2.038,2.041
24,3,2025-01-01,1.896,2.232
24,4,2025-01-01,1.773,2.161
24,5,2025-01-01,1.610,1.898
24,6,2025-01-01,1.400,1.768
24,7,2025-01-02,1.154,2.384
25,1,2025-01-01,2.418,2.041
25,2,2025-01-01,2.212,2.232
25,3,2025-01-01,2.086,2.161
25,4,2025-01-01,1.972,1.898
25,5,2025-01-01,1.822,1.768
25,6,2025-01-02,1.614,2.384
25,7,2025-01-02,1.365,3.601
26,1,2025-01-01,2.521,2.232
26,2,2025-01-01,2.333,2.161
26,3,2025-01-01,2.222,1.898
26,4,2025-01-01,2.109,1.768
26,5,2025-01-02,1.962,2.384
26,6,2025-01-02,1.770,3.601
26,7,2025-01-02,1.517,1.228
27,1,2025-01-01,2.704,2.161
27,2,2025-01-01,2.516,1.898
27,3,2025-01-01,2.412,1.768
27,4,2025-01-02,2.325,2.384
27,5,2025-01-02,2.184,3.601
27,6,2025-01-02,2.004,1.228
27,7,2025-01-02,1.783,3.915
28,1,2025-01-01,2.862,1.898
28,2,2025-01-01,2.683,1.768
28,3,2025-01-02,2.585,2.384
28,4,2025-01-02,2.486,3.601
28,5,2025-01-02,2.367,1.228
28,6,2025-01-02,2.185,3.915
28,7,2025-01-02,1.947,1.948
29,1,2025-01-01,3.017,1.768
29,2,2025-01-02,2.858,2.384
29,3,2025-01-02,2.803,3.601
29,4,2025-01-02,2.726,1.228
29,5,2025-01-02,2.595,3.915
29,6,2025-01-02,2.400,1.948
29,7,2025-01-02,2.173,2.017
30,1,2025-01-02,3.143,2.384
30,2,2025-01-02,2.957,3.601
30,3,2025-01-02,2.878,1.228
