Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,3.155,3.140
0,2,2025-01-01,2.588,2.305
0,3,2025-01-01,2.339,4.108
0,4,2025-01-01,1.198,4.553
0,5,2025-01-01,2.294,4.018
0,6,2025-01-01,2.892,4.312
0,7,2025-01-01,2.196,4.636
1,1,2025-01-01,2.062,2.305
1,2,2025-01-01,2.595,4.108
1,3,2025-01-01,2.267,4.553
1,4,2025-01-01,2.071,4.018
1,5,2025-01-01,2.511,4.312
1,6,2025-01-01,3.445,4.636
1,7,2025-01-01,2.754,2.920
2,1,2025-01-01,1.845,4.108
2,2,2025-01-01,3.392,4.553
2,3,2025-01-01,3.420,4.018
2,4,2025-01-01,2.830,4.312
2,5,2025-01-01,3.373,4.636
2,6,2025-01-01,2.775,2.920
2,7,2025-01-01,3.071,1.282
3,1,2025-01-01,3.490,4.553
3,2,2025-01-01,3.553,4.018
3,3,2025-01-01,3.495,4.312
3,4,2025-01-01,3.040,4.636
3,5,2025-01-01,2.888,2.920
3,6,2025-01-01,3.818,1.282
3,7,2025-01-01,3.596,4.847
4,1,2025-01-01,3.819,4.018
4,2,2025-01-01,4.042,4.312
4,3,2025-01-01,3.746,4.636
4,4,2025-01-01,3.762,2.920
4,5,2025-01-01,3.738,1.282
4,6,2025-01-01,4.042,4.847
4,7,2025-01-01,1.848,4.683
5,1,2025-01-01,4.056,4.312
5,2,2025-01-01,3.673,4.636
5,3,2025-01-01,3.687,2.920
5,4,2025-01-01,4.041,1.282
5,5,2025-01-01,4.348,4.847
5,6,2025-01-01,4.478,4.683
5,7,2025-01-01,3.918,4.033
6,1,2025-01-01,2.981,4.636
6,2,2025-01-01,2.930,2.920
6,3,2025-01-01,3.805,1.282
6,4,2025-01-01,3.329,4.847
6,5,2025-01-01,4.383,4.683
6,6,2025-01-01,4.295,4.033
6,7,2025-01-01,2.987,4.072
7,1,2025-01-01,4.088,2.920
7,2,2025-01-01,3.479,1.282
7,3,2025-01-01,4.223,4.847
7,4,2025-01-01,3.774,4.683
7,5,2025-01-01,3.322,4.033
7,6,2025-01-01,4.388,4.072
7,7,2025-01-01,2.654,2.835
8,1,2025-01-01,1.119,1.282
8,2,2025-01-01,0.939,4.847
8,3,2025-01-01,0.557,4.683
8,4,2025-01-01,1.060,4.033
8,5,2025-01-01,2.155,4.072
8,6,2025-01-01,2.334,2.835
8,7,2025-01-01,3.484,4.973
9,1,2025-01-01,1.508,4.847
9,2,2025-01-01,2.674,4.683
9,3,2025-01-01,3.097,4.033
9,4,2025-01-01,1.904,4.072
9,5,2025-01-01,2.062,2.835
9,6,2025-01-01,1.604,4.973
9,7,2025-01-01,2.522,5.388
10,1,2025-01-01,4.532,4.683
10,2,2025-01-01,4.193,4.033
10,3,2025-01-01,4.428,4.072
10,4,2025-01-01,4.327,2.835
10,5,2025-01-01,3.381,4.973
10,6,2025-01-01,2.267,5.388
10,7,2025-01-01,3.224,5.848
11,1,2025-01-01,3.953,4.033
11,2,2025-01-01,4.543,4.072
11,3,2025-01-01,4.038,2.835
11,4,2025-01-01,3.916,4.973
11,5,2025-01-01,3.981,5.388
11,6,2025-01-01,4.006,5.848
11,7,2025-01-01,2.335,5.689
12,1,2025-01-01,3.459,4.072
12,2,2025-01-01,3.226,2.835
12,3,2025-01-01,3.071,4.973
12,4,2025-01-01,2.976,5.388
12,5,2025-01-01,3.825,5.848
12,6,2025-01-01,3.525,5.689
12,7,2025-01-01,3.150,2.778
13,1,2025-01-01,2.706,2.835
13,2,2025-01-01,4.093,4.973
13,3,2025-01-01,4.248,5.388
13,4,2025-01-01,3.852,5.848
13,5,2025-01-01,2.752,5.689
13,6,2025-01-01,2.326,2.778
13,7,2025-01-01,4.198,5.945
14,1,2025-01-01,2.445,4.973
14,2,2025-01-01,2.401,5.388
14,3,2025-01-01,4.511,5.848
14,4,2025-01-01,4.606,5.689
14,5,2025-01-01,2.224,2.778
14,6,2025-01-01,4.066,5.945
14,7,2025-01-01,4.743,6.142
15,1,2025-01-01,4.279,5.388
15,2,2025-01-01,4.872,5.848
15,3,2025-01-01,4.887,5.689
15,4,2025-01-01,4.274,2.778
15,5,2025-01-01,4.379,5.945
15,6,2025-01-01,3.667,6.142
15,7,2025-01-01,3.637,6.013
16,1,2025-01-01,5.062,5.848
16,2,2025-01-01,5.297,5.689
16,3,2025-01-01,5.326,2.778
16,4,2025-01-01,5.267,5.945
16,5,2025-01-01,4.929,6.142
16,6,2025-01-01,5.145,6.013
16,7,2025-01-01,5.342,4.249
17,1,2025-01-01,5.346,5.689
17,2,2025-01-01,5.274,2.778
17,3,2025-01-01,5.053,5.945
17,4,2025-01-01,5.435,6.142
17,5,2025-01-01,5.376,6.013
17,6,2025-01-01,5.181,4.249
17,7,2025-01-01,5.242,6.228
18,1,2025-01-01,4.776,2.778
18,2,2025-01-01,5.013,5.945
18,3,2025-01-01,5.661,6.142
18,4,2025-01-01,4.360,6.013
18,5,2025-01-01,5.081,4.249
18,6,2025-01-01,5.116,6.228
18,7,2025-01-01,5.076,5.028
19,1,2025-01-01,2.149,5.945
19,2,2025-01-01,3.777,6.142
19,3,2025-01-01,2.281,6.013
19,4,2025-01-01,2.642,4.249
19,5,2025-01-01,3.468,6.228
19,6,2025-01-01,3.374,5.028
19,7,2025-01-01,2.814,4.124
20,1,2025-01-01,5.699,6.142
20,2,2025-01-01,5.189,6.013
20,3,2025-01-01,5.654,4.249
20,4,2025-01-01,5.977,6.228
20,5,2025-01-01,5.876,5.028
20,6,2025-01-01,4.842,4.124
20,7,2025-01-01,4.589,5.684
21,1,2025-01-01,5.672,6.013
21,2,2025-01-01,5.567,4.249
21,3,2025-01-01,5.975,6.228
21,4,2025-01-01,5.310,5.028
21,5,2025-01-01,5.509,4.124
21,6,2025-01-01,5.583,5.684
21,7,2025-01-01,4.394,5.223
22,1,2025-01-01,5.596,4.249
22,2,2025-01-01,5.456,6.228
22,3,2025-01-01,5.026,5.028
22,4,2025-01-01,2.998,4.124
22,5,2025-01-01,2.816,5.684
22,6,2025-01-01,2.092,5.223
22,7,2025-01-01,3.025,5.858
23,1,2025-01-01,4.227,6.228
23,2,2025-01-01,5.157,5.028
23,3,2025-01-01,4.698,4.124
23,4,2025-01-01,3.915,5.684
23,5,2025-01-01,1.576,5.223
23,6,2025-01-01,4.475,5.858
23,7,2025-01-01,2.543,4.500
24,1,2025-01-01,5.755,5.028
24,2,2025-01-01,4.941,4.124
24,3,2025-01-01,5.463,5.684
24,4,2025-01-01,4.911,5.223
24,5,2025-01-01,4.631,5.858
24,6,2025-01-01,4.132,4.500
24,7,2025-01-02,3.272,3.633
25,1,2025-01-01,3.447,4.124
25,2,2025-01-01,4.493,5.684
25,3,2025-01-01,4.950,5.223
25,4,2025-01-01,5.336,5.858
25,5,2025-01-01,5.284,4.500
25,6,2025-01-02,4.572,3.633
25,7,2025-01-02,3.793,7.370
26,1,2025-01-01,3.921,5.684
26,2,2025-01-01,4.237,5.223
26,3,2025-01-01,4.015,5.858
