Sequence_ID,Lead_Time_Days,Date_Cible,ET_LSTM,ET_PT_SINRH
0,1,2025-01-01,0.590,1.141
0,2,2025-01-01,0.805,0.349
0,3,2025-01-01,0.774,1.117
0,4,2025-01-01,0.644,0.277
0,5,2025-01-01,0.780,0.629
0,6,2025-01-01,0.774,1.444
0,7,2025-01-01,0.800,0.961
1,1,2025-01-01,0.916,0.349
1,2,2025-01-01,0.840,1.117
1,3,2025-01-01,0.859,0.277
1,4,2025-01-01,0.808,0.629
1,5,2025-01-01,0.797,1.444
1,6,2025-01-01,0.939,0.961
1,7,2025-01-01,1.267,1.092
2,1,2025-01-01,0.237,1.117
2,2,2025-01-01,0.265,0.277
2,3,2025-01-01,0.343,0.629
2,4,2025-01-01,0.474,1.444
2,5,2025-01-01,0.438,0.961
2,6,2025-01-01,0.994,1.092
2,7,2025-01-01,1.053,1.298
3,1,2025-01-01,0.852,0.277
3,2,2025-01-01,0.866,0.629
3,3,2025-01-01,0.611,1.444
3,4,2025-01-01,0.625,0.961
3,5,2025-01-01,0.464,1.092
3,6,2025-01-01,0.632,1.298
3,7,2025-01-01,1.749,0.276
4,1,2025-01-01,0.189,0.629
4,2,2025-01-01,0.340,1.444
4,3,2025-01-01,0.633,0.961
4,4,2025-01-01,0.551,1.092
4,5,2025-01-01,0.698,1.298
4,6,2025-01-01,0.878,0.276
4,7,2025-01-01,1.559,1.495
5,1,2025-01-01,0.525,1.444
5,2,2025-01-01,0.524,0.961
5,3,2025-01-01,0.568,1.092
5,4,2025-01-01,0.441,1.298
5,5,2025-01-01,0.640,0.276
5,6,2025-01-01,0.401,1.495
5,7,2025-01-01,1.463,1.801
6,1,2025-01-01,1.213,0.961
6,2,2025-01-01,1.233,1.092
6,3,2025-01-01,0.768,1.298
6,4,2025-01-01,1.000,0.276
6,5,2025-01-01,1.531,1.495
6,6,2025-01-01,1.249,1.801
6,7,2025-01-01,1.490,1.774
7,1,2025-01-01,1.437,1.092
7,2,2025-01-01,1.401,1.298
7,3,2025-01-01,1.643,0.276
7,4,2025-01-01,1.465,1.495
7,5,2025-01-01,0.838,1.801
7,6,2025-01-01,0.860,1.774
7,7,2025-01-01,2.081,1.934
8,1,2025-01-01,0.383,1.298
8,2,2025-01-01,0.746,0.276
8,3,2025-01-01,0.488,1.495
8,4,2025-01-01,0.699,1.801
8,5,2025-01-01,0.642,1.774
8,6,2025-01-01,1.365,1.934
8,7,2025-01-01,1.133,1.938
9,1,2025-01-01,1.341,0.276
9,2,2025-01-01,1.212,1.495
9,3,2025-01-01,1.143,1.801
9,4,2025-01-01,1.236,1.774
9,5,2025-01-01,1.568,1.934
9,6,2025-01-01,1.377,1.938
9,7,2025-01-01,2.260,1.807
10,1,2025-01-01,0.302,1.495
10,2,2025-01-01,0.357,1.801
10,3,2025-01-01,0.408,1.774
10,4,2025-01-01,0.465,1.934
10,5,2025-01-01,0.432,1.938
10,6,2025-01-01,1.609,1.807
10,7,2025-01-01,1.810,1.240
11,1,2025-01-01,1.037,1.801
11,2,2025-01-01,1.451,1.774
11,3,2025-01-01,1.371,1.934
11,4,2025-01-01,1.463,1.938
11,5,2025-01-01,1.278,1.807
11,6,2025-01-01,1.514,1.240
11,7,2025-01-01,2.281,0.908
12,1,2025-01-01,1.554,1.774
12,2,2025-01-01,1.646,1.934
12,3,2025-01-01,1.605,1.938
12,4,2025-01-01,1.710,1.807
12,5,2025-01-01,1.248,1.240
12,6,2025-01-01,1.608,0.908
12,7,2025-01-01,2.180,1.973
13,1,2025-01-01,1.550,1.934
13,2,2025-01-01,1.560,1.938
13,3,2025-01-01,1.627,1.807
